date,transactionType,shares,value
2026-02-10,Stock Award(Grant) at price 0.00 per share.,3640,0
2026-02-10,Stock Award(Grant) at price 0.00 per share.,3640,0
2026-02-10,Stock Award(Grant) at price 0.00 per share.,1456,0
2026-02-10,Stock Award(Grant) at price 0.00 per share.,6826,0
2026-02-10,Stock Award(Grant) at price 0.00 per share.,5915,0
2026-02-10,Stock Award(Grant) at price 0.00 per share.,28214,0
2026-02-10,Stock Gift at price 0.00 per share.,368,0
2026-02-10,Conversion of Exercise of derivative security at price 57.31 per share.,12861,737064
2026-02-10,Sale at price 165.00 per share.,12861,2122078
2026-02-10,Stock Award(Grant) at price 0.00 per share.,10921,0
2026-02-18,Sale at price 155.00 per share.,279937,43389339
2026-02-18,Conversion of Exercise of derivative security at price 67.00 - 76.16 per share.,52079,3501320
2026-02-18,Conversion of Exercise of derivative security at price 57.31 per share.,5347,306437
2026-02-18,Sale at price 154.49 - 155.25 per share.,15213,2358347
2026-02-19,Sale at price 153.18 - 154.93 per share.,3865,594155
2026-02-19,Sale at price 154.00 per share.,2490,383460
2026-02-19,Sale at price 153.21 - 155.72 per share.,11303,1738630
2026-02-20,Sale at price 153.11 - 154.72 per share.,13456,2070406
