year_quarter,ticker,agent,agent_score,final_score,feature,feature_value,feature_present
2025Q4,A,valuation,0.4966673403524834,0.3719900723290932,pe_vs_5y_median__pct_sector,,False
2025Q4,A,valuation,0.4966673403524834,0.3719900723290932,pb_ratio__pct_universe,,False
2025Q4,A,valuation,0.4966673403524834,0.3719900723290932,pb_ratio__pct_sector,,False
2025Q4,A,valuation,0.4966673403524834,0.3719900723290932,earnings_yield__pct_universe,,False
2025Q4,A,valuation,0.4966673403524834,0.3719900723290932,earnings_yield__pct_sector,,False
2025Q4,A,valuation,0.4966673403524834,0.3719900723290932,ev_ebitda_vs_5y_median__pct_universe,,False
2025Q4,A,valuation,0.4966673403524834,0.3719900723290932,ev_ebitda_vs_5y_median__pct_sector,,False
2025Q4,A,valuation,0.4966673403524834,0.3719900723290932,fcf_yield__pct_universe,,False
2025Q4,A,valuation,0.4966673403524834,0.3719900723290932,fcf_yield__pct_sector,,False
2025Q4,A,valuation,0.4966673403524834,0.3719900723290932,ps_ratio__pct_universe,,False
2025Q4,A,valuation,0.4966673403524834,0.3719900723290932,ps_ratio__pct_sector,,False
2025Q4,A,valuation,0.4966673403524834,0.3719900723290932,ev_to_ebitda__pct_universe,,False
2025Q4,A,valuation,0.4966673403524834,0.3719900723290932,ev_to_ebitda__pct_sector,,False
2025Q4,A,momentum,0.42172526381171604,0.3719900723290932,price_vs_52w_high,-0.03787679258266896,True
2025Q4,A,momentum,0.42172526381171604,0.3719900723290932,momentum_6m,0.29049847636755244,True
2025Q4,A,momentum,0.42172526381171604,0.3719900723290932,volatility_60d,0.29913656757867674,True
2025Q4,A,momentum,0.42172526381171604,0.3719900723290932,momentum_3m,0.24265768453722902,True
2025Q4,A,momentum,0.42172526381171604,0.3719900723290932,rsi_28,59.84806966269613,True
2025Q4,A,momentum,0.42172526381171604,0.3719900723290932,vol_ratio_20_50,0.914168632762875,True
2025Q4,A,momentum,0.42172526381171604,0.3719900723290932,rsi_14,56.96945524887888,True
2025Q4,A,momentum,0.42172526381171604,0.3719900723290932,price_vs_52w_high__pct_universe,,False
2025Q4,A,momentum,0.42172526381171604,0.3719900723290932,price_vs_52w_high__pct_sector,,False
2025Q4,A,momentum,0.42172526381171604,0.3719900723290932,momentum_6m__pct_universe,,False
2025Q4,A,momentum,0.42172526381171604,0.3719900723290932,momentum_6m__pct_sector,,False
2025Q4,A,momentum,0.42172526381171604,0.3719900723290932,volatility_60d__pct_universe,,False
2025Q4,A,momentum,0.42172526381171604,0.3719900723290932,volatility_60d__pct_sector,,False
2025Q4,A,momentum,0.42172526381171604,0.3719900723290932,momentum_3m__pct_universe,,False
2025Q4,A,momentum,0.42172526381171604,0.3719900723290932,momentum_3m__pct_sector,,False
2025Q4,A,momentum,0.42172526381171604,0.3719900723290932,rsi_28__pct_universe,,False
2025Q4,A,momentum,0.42172526381171604,0.3719900723290932,rsi_28__pct_sector,,False
2025Q4,A,momentum,0.42172526381171604,0.3719900723290932,vol_ratio_20_50__pct_universe,,False
2025Q4,A,momentum,0.42172526381171604,0.3719900723290932,vol_ratio_20_50__pct_sector,,False
2025Q4,A,momentum,0.42172526381171604,0.3719900723290932,rsi_14__pct_universe,,False
2025Q4,A,momentum,0.42172526381171604,0.3719900723290932,rsi_14__pct_sector,,False
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,insider_sell_ratio,0.69082627852864,True
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,insider_net_ratio_90d,-0.3816525570572801,True
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,fcf_margin,0.1376056614900727,True
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,interest_coverage,9.891304347826088,True
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,revenue_decline,0.0,True
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,total_debt_yoy_growth,0.16268758526603003,True
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,debt_to_ebitda,2.027959547888162,True
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,eps_revision,0.07977362586246994,True
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,eps_surprise_pct,-1.637,True
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,insider_sell_ratio__pct_universe,,False
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,insider_sell_ratio__pct_sector,,False
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,insider_net_ratio_90d__pct_universe,,False
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,insider_net_ratio_90d__pct_sector,,False
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,fcf_margin__pct_universe,,False
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,fcf_margin__pct_sector,,False
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,interest_coverage__pct_universe,,False
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,interest_coverage__pct_sector,,False
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,revenue_decline__pct_universe,,False
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,revenue_decline__pct_sector,,False
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,total_debt_yoy_growth__pct_universe,,False
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,total_debt_yoy_growth__pct_sector,,False
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,debt_to_ebitda__pct_universe,,False
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,debt_to_ebitda__pct_sector,,False
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,eps_revision__pct_universe,,False
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,eps_revision__pct_sector,,False
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,debt_equity__pct_universe,,False
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,debt_equity__pct_sector,,False
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,eps_surprise_pct__pct_universe,,False
2025Q4,A,bear,0.4231586674139194,0.3719900723290932,eps_surprise_pct__pct_sector,,False
2025Q4,A,sentiment,0.4893840122910776,0.3719900723290932,insider_net_ratio_90d,-0.3816525570572801,True
2025Q4,A,sentiment,0.4893840122910776,0.3719900723290932,eps_surprise_avg_4q,-0.039349999999999996,True
2025Q4,A,sentiment,0.4893840122910776,0.3719900723290932,mspr_trend,146.31543,True
2025Q4,A,sentiment,0.4893840122910776,0.3719900723290932,analyst_dispersion,,False
2025Q4,A,sentiment,0.4893840122910776,0.3719900723290932,analyst_consensus,,False
2025Q4,A,sentiment,0.4893840122910776,0.3719900723290932,analyst_consensus_change,,False
2025Q4,A,sentiment,0.4893840122910776,0.3719900723290932,insider_net_ratio_90d__pct_universe,,False
2025Q4,A,sentiment,0.4893840122910776,0.3719900723290932,insider_net_ratio_90d__pct_sector,,False
2025Q4,A,sentiment,0.4893840122910776,0.3719900723290932,eps_surprise_avg_4q__pct_universe,,False
2025Q4,A,sentiment,0.4893840122910776,0.3719900723290932,eps_surprise_avg_4q__pct_sector,,False
2025Q4,A,sentiment,0.4893840122910776,0.3719900723290932,mspr_trend__pct_universe,,False
