fold_id,final_score,label,regime_adjusted_score,tp_level,sl_level,tp_sl_outcome,confidence,ev,ticker,date,sector,strategy,tp_pct,sl_pct,max_holding_days,rr_ratio,risk_benefit_score,sim_entry_date,sim_actual_entry_date,entry_price,tp_price,sl_price,sim_outcome,sim_days_to_outcome,sim_outcome_date
2024Q4,0.265,1,0.222,0.08,0.07,TP,0.265,-0.028,AON,2024-12-31,Financials,conservative,0.08,0.07,91,1.173,-0.037,2025-02-14,2025-02-14,386.99,417.24,361.2,SL,53,2025-04-08
2024Q4,0.424,1,0.47,0.06,0.07,TP,0.424,-0.011,AOS,2024-12-31,Building,conservative,0.06,0.07,91,0.951,-0.014,2025-02-14,2025-02-14,66.22,70.35,61.88,SL,52,2025-04-07
2024Q4,0.623,0,0.592,0.14,0.11,SL,0.623,0.045,APA,2024-12-31,Energy,conservative,0.14,0.11,91,1.285,0.059,2025-02-14,2025-02-14,23.14,26.28,20.7,SL,13,2025-02-27
2024Q4,0.373,1,0.423,0.07,0.05,TP,0.373,-0.004,APD,2024-12-31,Materials,conservative,0.07,0.05,91,1.46,-0.006,2025-02-14,2025-02-14,316.12,339.6,300.04,SL,25,2025-03-11
2024Q4,0.596,1,0.607,0.07,0.07,TP,0.596,0.012,APH,2024-12-31,Electrical Equipment,conservative,0.07,0.07,91,0.945,0.014,2025-02-14,2025-02-14,68.88,73.59,63.9,SL,17,2025-03-03
2024Q4,0.888,1,0.845,0.07,0.13,TP,0.888,0.044,APTV,2024-12-31,Auto Components,conservative,0.07,0.13,91,0.506,0.049,2025-02-14,2025-02-14,67.0,71.38,58.34,SL,48,2025-04-03
2024Q4,0.563,1,0.588,0.05,0.09,TP,0.563,-0.01,ARE,2024-12-31,Real Estate,conservative,0.05,0.09,91,0.568,-0.012,2025-02-14,2025-02-14,94.85,99.52,86.63,TP,11,2025-02-25
2024Q4,0.762,1,0.711,0.05,0.05,TP,0.762,0.023,ATO,2024-12-31,Utilities,conservative,0.05,0.05,91,0.853,0.027,2025-02-14,2025-02-14,146.51,153.37,138.46,TP,17,2025-03-03
2024Q4,0.517,0,0.542,0.08,0.05,SL,0.517,0.015,AVB,2024-12-31,Real Estate,conservative,0.08,0.05,91,1.501,0.02,2025-02-14,2025-02-14,218.35,234.8,207.39,SL,48,2025-04-03
2024Q4,0.218,0,0.199,0.15,0.05,SL,0.218,-0.001,AVGO,2024-12-31,Technology,conservative,0.15,0.05,91,3.438,-0.003,2025-02-14,2025-02-14,233.04,269.09,222.55,SL,7,2025-02-21
2024Q4,0.674,1,0.705,0.04,0.07,TP,0.674,-0.0,AVY,2024-12-31,Packaging,conservative,0.04,0.07,91,0.476,-0.0,2025-02-14,2025-02-14,181.61,187.99,168.2,SL,52,2025-04-07
2024Q4,0.725,1,0.674,0.05,0.07,TP,0.725,0.018,AWK,2024-12-31,Utilities,conservative,0.05,0.07,91,0.715,0.021,2025-02-14,2025-02-14,125.66,132.25,116.45,TP,7,2025-02-21
2024Q4,0.336,1,0.32,0.12,0.07,TP,0.336,-0.007,AXON,2024-12-31,Industrials,conservative,0.12,0.07,91,1.698,-0.01,2025-02-14,2025-02-14,683.41,768.67,633.19,SL,5,2025-02-19
2024Q4,0.222,0,0.178,0.11,0.06,SL,0.222,-0.019,AXP,2024-12-31,Financials,conservative,0.11,0.06,91,2.001,-0.029,2025-02-14,2025-02-14,311.04,346.4,293.37,SL,11,2025-02-25
2024Q4,0.252,1,0.298,0.09,0.06,TP,0.252,-0.022,AZO,2024-12-31,Consumer Discretionary,conservative,0.09,0.06,91,1.514,-0.03,2025-02-14,2025-02-14,3458.55,3766.12,3255.43,TP,41,2025-03-27
2024Q4,0.395,0,0.378,0.08,0.09,SL,0.395,-0.023,BA,2024-12-31,Industrials,conservative,0.08,0.09,91,0.872,-0.029,2025-02-14,2025-02-14,184.42,198.85,167.86,SL,18,2025-03-04
2024Q4,0.712,1,0.743,0.06,0.06,TP,0.712,0.028,BAC,2024-12-31,Banking,conservative,0.06,0.06,91,1.095,0.035,2025-02-14,2025-02-14,46.96,49.87,44.3,SL,11,2025-02-25
2024Q4,0.725,0,0.756,0.03,0.1,SL,0.725,-0.004,BALL,2024-12-31,Packaging,conservative,0.03,0.1,91,0.324,-0.004,2025-02-14,2025-02-14,49.85,51.45,44.92,TP,11,2025-02-25
2024Q4,0.771,1,0.748,0.05,0.09,TP,0.771,0.018,BAX,2024-12-31,Health Care,conservative,0.05,0.09,91,0.566,0.021,2025-02-14,2025-02-14,30.82,32.33,28.15,TP,6,2025-02-20
2024Q4,0.728,1,0.775,0.04,0.1,TP,0.728,0.004,BBY,2024-12-31,Consumer Discretionary,conservative,0.04,0.1,91,0.43,0.005,2025-02-14,2025-02-14,91.1,94.96,82.12,SL,18,2025-03-04
2024Q4,0.562,1,0.538,0.05,0.06,TP,0.562,0.003,BDX,2024-12-31,Health Care,conservative,0.05,0.06,91,0.883,0.004,2025-02-14,2025-02-14,176.73,185.43,166.87,SL,49,2025-04-04
2024Q4,0.863,1,0.82,0.06,0.12,TP,0.863,0.036,BEN,2024-12-31,Financials,conservative,0.06,0.12,91,0.5,0.041,2025-02-14,2025-02-14,20.53,21.79,18.01,SL,48,2025-04-03
2024Q4,0.701,0,0.747,0.04,0.09,SL,0.701,0.001,BF-B,2024-12-31,Consumer Staples,conservative,0.04,0.09,91,0.443,0.001,2025-02-14,2025-02-14,31.15,32.36,28.43,TP,10,2025-02-24
2024Q4,0.561,1,0.607,0.06,0.07,TP,0.561,0.0,BG,2024-12-31,Consumer Staples,conservative,0.06,0.07,91,0.793,0.001,2025-02-14,2025-02-14,70.5,74.39,65.59,TP,20,2025-03-06
2024Q4,0.849,0,0.829,0.03,0.13,NONE,0.849,0.003,BIIB,2024-12-31,Technology,conservative,0.03,0.13,91,0.207,0.003,2025-02-14,2025-02-14,137.33,141.06,119.29,TP,10,2025-02-24
2024Q4,0.57,1,0.526,0.07,0.05,TP,0.57,0.019,BK,2024-12-31,Financials,conservative,0.07,0.05,91,1.482,0.026,2025-02-14,2025-02-14,87.84,93.81,83.81,SL,25,2025-03-11
2024Q4,0.32,0,0.293,0.09,0.08,SL,0.32,-0.025,BKNG,2024-12-31,"Hotels, Restaurants & Leisure",conservative,0.09,0.08,91,1.154,-0.032,2025-02-14,2025-02-14,201.78,220.31,185.72,SL,24,2025-03-10
2024Q4,0.426,1,0.395,0.14,0.07,TP,0.426,0.021,BKR,2024-12-31,Energy,conservative,0.14,0.07,91,2.033,0.031,2025-02-14,2025-02-14,46.4,53.09,43.11,SL,18,2025-03-04
2024Q4,0.171,1,0.217,0.17,0.07,TP,0.171,-0.031,BLDR,2024-12-31,Building,conservative,0.17,0.07,91,2.333,-0.05,2025-02-14,2025-02-14,153.9,180.12,142.66,SL,7,2025-02-21
2024Q4,0.451,0,0.408,0.07,0.07,SL,0.451,-0.006,BLK,2024-12-31,Financials,conservative,0.07,0.07,91,1.011,-0.008,2025-02-14,2025-02-14,973.92,1038.73,909.81,SL,27,2025-03-13
