report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2015-03-31,17336000000.0,7434000000.0,4427000000.0,12778000000.0,3792000000.0,,23000000.0,1613000000.0,,,224000000.0,103000000.0,123000000.0,0.0,274000000.0,-262000000.0,204000000.0,172000000.0,-466000000.0,23000000.0,,0.4131,2.6802,0.0,,0.05907172995780591,0.012921089063221043,,,,,,,0.006065400843881856,1.6792410210074542,,2727000000.0,,-39000000.0,,426000000.0,8.0,8.0,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2015-06-30,17516000000.0,7695000000.0,4741000000.0,12751000000.0,3970000000.0,,36000000.0,1638000000.0,,,416000000.0,209000000.0,243000000.0,1.0,274000000.0,274000000.0,448000000.0,349000000.0,-174000000.0,36000000.0,,0.472,3.0016,1.0,,0.10478589420654912,0.02374971454670016,,,,,,,0.00906801007556675,1.6230753005695,,2981000000.0,,1362000000.0,,428000000.0,9.0,9.0,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2015-09-30,17515000000.0,7922000000.0,4783000000.0,12563000000.0,4143000000.0,,41000000.0,1690000000.0,,,687000000.0,311000000.0,369000000.0,2.0,274000000.0,635000000.0,656000000.0,522000000.0,-21000000.0,41000000.0,,0.4713,2.8008,2.0,,0.165821868211441,0.039223522694833,,,,,,,0.009896210475500844,1.656282667781727,,3345000000.0,,2914000000.0,,424000000.0,10.0,10.0,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2015-12-31,16439000000.0,6141000000.0,4957000000.0,12297000000.0,3920000000.0,,49000000.0,1476000000.0,,,-1020000000.0,-211000000.0,-503000000.0,-2.0,-549000000.0,1040000000.0,-325000000.0,-345000000.0,715000000.0,49000000.0,1.2363,0.5343,28.6164,-2.0,,-0.2602040816326531,-0.06204756980351603,,,,,,,0.0125,1.2388541456526125,,307000000.0,,54000000.0,,412000000.0,1.0,1.0,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2016-03-31,16777000000.0,6375000000.0,4601000000.0,12445000000.0,4104000000.0,,76000000.0,1079000000.0,,,184000000.0,91000000.0,78000000.0,0.0,271000000.0,-381000000.0,253000000.0,174000000.0,-634000000.0,76000000.0,,0.5444,32.8496,0.0,,0.04483430799220273,0.01096739583954223,,,,,,,0.018518518518518517,1.3855683547054989,,267000000.0,,-114000000.0,,400000000.0,1.0,1.0,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2016-06-30,16860000000.0,6468000000.0,4594000000.0,12452000000.0,4182000000.0,,145000000.0,1138000000.0,,,386000000.0,195000000.0,171000000.0,1.0,269000000.0,-120000000.0,466000000.0,355000000.0,-586000000.0,145000000.0,,0.4258,24.312,1.0,,0.09230033476805356,0.022894424673784105,,,,,,,0.03467240554758489,1.4079233783195473,,237000000.0,,-526000000.0,,386000000.0,1.0,1.0,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2016-09-30,17143000000.0,6571000000.0,4800000000.0,12439000000.0,4477000000.0,,179000000.0,975000000.0,,,703000000.0,285000000.0,161000000.0,2.0,268000000.0,237000000.0,711000000.0,536000000.0,-474000000.0,179000000.0,,0.5447,26.1053,2.0,,0.15702479338842976,0.04100799160007,,,,,,,0.0399821308912218,1.3689583333333333,,253000000.0,,-979000000.0,,360000000.0,1.0,1.0,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2016-12-31,16511000000.0,5718000000.0,4817000000.0,11786000000.0,4507000000.0,,245000000.0,1132000000.0,,,-9000000.0,-199000000.0,-487000000.0,1.0,-542000000.0,1768000000.0,-434000000.0,-338000000.0,1334000000.0,245000000.0,1.187,0.5372,6.4416,1.0,,-0.0019968937208786333,-0.000545091151353643,,,,,,,0.05435988462391835,1.1870458791779115,,1264000000.0,,-360000000.0,,372000000.0,4.0,4.0,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2017-03-31,17194000000.0,6325000000.0,4915000000.0,12234000000.0,4733000000.0,,217000000.0,961000000.0,,,166000000.0,87000000.0,70000000.0,0.0,256000000.0,-286000000.0,271000000.0,185000000.0,-557000000.0,217000000.0,,0.5977,7.275,0.0,,0.035072892457215295,0.009654530650226823,,,,,,,0.04584829917599831,1.2868769074262463,,1246000000.0,,-283000000.0,,368000000.0,4.0,4.0,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2017-06-30,17646000000.0,6632000000.0,5069000000.0,12501000000.0,4909000000.0,,238000000.0,903000000.0,,,313000000.0,176000000.0,106000000.0,1.0,256000000.0,-185000000.0,497000000.0,387000000.0,-682000000.0,238000000.0,,0.5878,7.3901,1.0,,0.0637604400081483,0.0177377309305225,,,,,,,0.04848237930332043,1.3083448411915566,,1173000000.0,,-379000000.0,,349000000.0,4.0,4.0,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2017-09-30,17852000000.0,6727000000.0,4922000000.0,12731000000.0,4882000000.0,,276000000.0,822000000.0,,,442000000.0,260000000.0,136000000.0,1.0,255000000.0,-154000000.0,683000000.0,586000000.0,-837000000.0,276000000.0,,0.5496,8.2445,1.0,,0.0905366653011061,0.02475913062962133,,,,,,,0.0565342072920934,1.3667208451848842,,912000000.0,,-742000000.0,,324000000.0,3.0,3.0,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2017-12-31,17064000000.0,6079000000.0,5025000000.0,12214000000.0,4603000000.0,,262000000.0,1043000000.0,,,-575000000.0,-188000000.0,201000000.0,-1.0,-514000000.0,1783000000.0,-570000000.0,-377000000.0,1213000000.0,262000000.0,1.2098,0.5177,23.0095,-1.0,,-0.12491853139257006,-0.033696671354899205,,,,,,,0.05691940039104931,1.2097512437810944,,346000000.0,,-863000000.0,,335000000.0,1.0,1.0,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2018-03-31,17580000000.0,6488000000.0,4941000000.0,12618000000.0,4737000000.0,,332000000.0,837000000.0,,,75000000.0,76000000.0,33000000.0,0.0,244000000.0,-389000000.0,248000000.0,199000000.0,-637000000.0,332000000.0,,0.4039,24.566,0.0,,0.015832805573147563,0.004266211604095563,,,,,,,0.07008655267046654,1.3130945152803077,,255000000.0,,-943000000.0,,324000000.0,1.0,1.0,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2018-06-30,17355000000.0,6569000000.0,4833000000.0,12511000000.0,4637000000.0,,335000000.0,975000000.0,7671000000.0,,232000000.0,154000000.0,52000000.0,0.0,242000000.0,-84000000.0,442000000.0,392000000.0,-526000000.0,335000000.0,,0.3538,20.9111,0.0,,0.05003234850118611,0.013367905502736964,0.030243775257463173,,,,-0.06856993873028289,,0.07224498598231616,1.3591971860128285,,174000000.0,,-787000000.0,,302000000.0,0.0,0.0,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2018-09-30,17591000000.0,6753000000.0,5047000000.0,12591000000.0,4800000000.0,,445000000.0,896000000.0,11599000000.0,,583000000.0,236000000.0,211000000.0,2.0,241000000.0,-24000000.0,615000000.0,589000000.0,-639000000.0,445000000.0,,0.3505,11.2773,2.0,,0.12145833333333333,0.033141947586834176,0.05026295370290542,,,,-0.05509095611690663,,0.09270833333333334,1.3380225876758471,,315000000.0,,-589000000.0,,278000000.0,1.0,1.0,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
2018-12-31,16872000000.0,5925000000.0,4781000000.0,11802000000.0,4864000000.0,,410000000.0,801000000.0,-3795000000.0,,-197000000.0,-145000000.0,7000000.0,0.0,-488000000.0,1413000000.0,-494000000.0,-402000000.0,919000000.0,410000000.0,1.2393,0.3073,6.8625,0.0,,-0.040501644736842105,-0.011676149834044572,0.051910408432147566,,,,-0.24216073781291172,,0.08429276315789473,1.239280485254131,,693000000.0,,-883000000.0,,321000000.0,2.0,2.0,,,1.2452191,12.03,6.14,7.73982,1903.5426,0.7754,0.1041
