report_date,total_assets,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2013-12-31,7752614000.0,4707985000.0,3013243000.0,4254376000.0,19275000.0,-558286000.0,-127804000.0,-48006000.0,-126130000.0,-580000.0,-0.15000000000000002,-641589000.0,-153587000.0,4254376000.0,0.6805,25.6616,5.046,-0.15000000000000002,-127804000.0,-0.0159316722879635,-0.0061922340000417925,0.0859881852670495,0.22892209369391314,-0.016485278384813173,-0.017585401766383187,0.22892209369391314,1.4118927680243512,1081790000.0,153044000.0,296000000.0,296000000.0,228895000.0,0.47,0.47,14.372891891891891,1.2931693571288145,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2014-03-31,7767363000.0,4750701000.0,2985712000.0,4323210000.0,19474000.0,293170000.0,66522000.0,18683000.0,55257000.0,2674000.0,0.06,331716000.0,59137000.0,4323210000.0,,32.058,5.6561,0.06,66522000.0,0.0062574689052393535,0.002405320827673433,0.0637275301019886,0.22690589078009346,0.008564296531525564,0.009101478986914897,0.22690589078009346,1.4479661802611907,1106292000.0,143684000.0,267375000.0,267375000.0,224077000.0,0.44,0.44,16.169088359046285,1.1932282206562923,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2014-06-30,7862504000.0,4610644000.0,3224894000.0,4133885000.0,21225000.0,596200000.0,256310000.0,146371000.0,110129000.0,3038000.0,0.44,334102000.0,204030000.0,4133885000.0,,25.1303,6.0796,0.44,256310000.0,0.045387848406800345,0.018616333931276857,0.24550654142905065,0.4299060717879906,0.03259902952036654,0.034830506528324874,0.4299060717879906,1.2818669388823323,1160318000.0,200518000.0,381990000.0,381990000.0,215261000.0,0.6,0.6,10.821971779365953,1.7745434611936208,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2014-09-30,7884195000.0,4654985000.0,3202207000.0,4208547000.0,66132000.0,887262000.0,379686000.0,207904000.0,163479000.0,2595000.0,0.62,338057000.0,320999000.0,4208547000.0,,19.0545,6.0959,0.62,379686000.0,0.06492522188603048,0.026369718151314118,0.2343208657645656,0.42792996882544276,0.048157865197398085,0.051234462782059696,0.42792996882544276,1.3142645056987259,1218346000.0,324952000.0,574714000.0,574714000.0,202735000.0,0.97,0.97,7.322854498063385,2.8348040545539743,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2014-12-31,7754839000.0,4874959000.0,2860325000.0,4453403000.0,17922000.0,-611928000.0,-257644000.0,-168065000.0,-109252000.0,-9151000.0,-0.5200000000000001,-663429000.0,-139679000.0,4453403000.0,0.4995,28.5464,6.6397,-0.5200000000000001,-257644000.0,-0.05875730904704885,-0.021672274563018006,0.27464832463950006,0.4210364618059641,-0.033223642682975105,-0.03522745171819351,0.4210364618059641,1.5569569891533306,1164704000.0,204893000.0,444874000.0,444874000.0,219613000.0,0.6,0.6,10.010481619514739,2.0257179675155843,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2015-03-31,7730504000.0,4836321000.0,2873698000.0,4444368000.0,17806000.0,267435000.0,88200000.0,65244000.0,49610000.0,1484000.0,0.19,348653000.0,42678000.0,4444368000.0,,26.4731,7.1491,0.19,88200000.0,0.02270384709875568,0.008439811944990909,0.24396208424476976,0.3297997644287397,0.01140934666096803,0.012052364654814537,0.3297997644287397,1.546567523796864,1138969000.0,251454000.0,466552000.0,466552000.0,213966000.0,0.7299999999999998,0.7299999999999998,9.525986385226084,2.1804959666489068,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2015-06-30,7114521000.0,3822678000.0,3264441000.0,3460743000.0,20254000.0,493333000.0,269466000.0,514624000.0,92567000.0,-804000.0,1.49,348945000.0,175652000.0,3460743000.0,,10.7114,6.3986,1.49,269466000.0,0.15764536715474411,0.07233431456594197,1.0431574615928794,0.5462152339292121,0.037875494358650424,0.040068197390584405,0.5462152339292121,1.0601334194736556,1036102000.0,619707000.0,479708000.0,479708000.0,196404000.0,1.7799999999999998,1.7799999999999998,7.214269930874615,2.442455347141606,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2015-09-30,7139909000.0,3828466000.0,3287265000.0,3446020000.0,175874000.0,727869000.0,389169000.0,591058000.0,134576000.0,-4109000.0,1.7,352013000.0,278218000.0,3446020000.0,,10.8928,6.7519,1.7,389169000.0,0.1798023584955883,0.08278228756136807,0.8120389795416483,0.5346690132427676,0.05450615687118701,0.05779779112275806,0.5346690132427676,1.0482939464874295,876709000.0,1002861000.0,489191000.0,489191000.0,167501000.0,2.8599999999999994,2.8599999999999994,7.044324200567877,2.92052584760688,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2015-12-31,6917113000.0,3712312000.0,3181932000.0,3341739000.0,22533000.0,-539205000.0,-298439000.0,-555616000.0,-103179000.0,-499000.0,-1.6099999999999999,-697414000.0,-117167000.0,3341739000.0,0.6005,11.795,9.1623,-1.6099999999999999,-298439000.0,-0.17461592516747687,-0.08032484072473588,1.030435548631782,0.5534796598696229,-0.04314502307537841,-0.0457470954620489,0.5534796598696229,1.0502232605850785,949432000.0,615310000.0,448396000.0,448396000.0,173574000.0,1.7700000000000002,1.7700000000000002,7.452651227932453,2.5833131690230102,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2016-03-31,6896960000.0,3706843000.0,3165431000.0,3381060000.0,15640000.0,224954000.0,79158000.0,43307000.0,37730000.0,343000.0,0.12,349674000.0,66709000.0,3381060000.0,,13.1389,11.006,0.12,79158000.0,0.013681233298088001,0.006279143274718136,0.1925149141602283,0.3518852743227504,0.01147723054795156,0.012091668651190386,0.3518852743227504,1.0681199495424163,906951000.0,593373000.0,439354000.0,439354000.0,161694000.0,1.7000000000000002,1.7000000000000002,7.695525703646718,2.717194206340371,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2016-06-30,6865025000.0,3524816000.0,3314389000.0,3197781000.0,91700000.0,451518000.0,227924000.0,152374000.0,74914000.0,186000.0,0.44,352227000.0,191372000.0,3197781000.0,,36.4397,13.8378,0.44,227924000.0,0.04597348108505067,0.022195694844519866,0.33747048844121386,0.50479493619302,0.033200753092669,0.03499970056064261,0.50479493619302,0.9648176481396722,865136000.0,231123000.0,397812000.0,397812000.0,144041000.0,0.6500000000000001,0.6500000000000001,8.038422672015928,2.7617969883574816,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2016-09-30,6862081000.0,3353159000.0,3481643000.0,2991051000.0,110211000.0,677717000.0,380377000.0,264388000.0,109520000.0,-173000.0,0.75,355405000.0,347371000.0,2991051000.0,,33.2047,15.6203,0.75,380377000.0,0.07593771101747078,0.03852883695193921,0.39011563823837975,0.5612622967994015,0.055431726906167385,0.05876641163632948,0.5612622967994015,0.8590918138361687,814984000.0,-95547000.0,389020000.0,389020000.0,118985000.0,-0.2999999999999998,-0.2999999999999998,7.6886818158449435,3.269487750556793,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2016-12-31,6772002000.0,3278709000.0,3465818000.0,2908477000.0,12639000.0,-451945000.0,-210478000.0,-147926000.0,-80588000.0,-945000.0,-0.43000000000000005,-700230000.0,-155317000.0,2908477000.0,0.8907,29.9077,12.7819,-0.43000000000000005,-210478000.0,-0.04268141027601565,-0.021843762007158297,0.3273097390169158,0.4657159610129551,-0.03108061692834704,-0.033019808465093003,0.4657159610129551,0.8391891899690058,902244000.0,312143000.0,476981000.0,476981000.0,141576000.0,0.88,0.88,6.097678943186416,3.3690809176696614,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2017-03-31,6958510000.0,3460630000.0,3467201000.0,3080262000.0,13389000.0,227314000.0,102860000.0,70200000.0,30505000.0,2132000.0,,360700000.0,109943000.0,3080262000.0,,27.5451,12.8322,,102860000.0,0.020246879255053283,0.010088366618715788,0.3088239175765681,0.4525018256684586,0.014781900148163904,0.015709901682529556,0.4525018256684586,0.8884001821642299,904604000.0,339036000.0,500683000.0,500683000.0,134351000.0,,,6.152120203801607,3.7266786253916977,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2017-06-30,7317569000.0,2654113000.0,4614149000.0,2280128000.0,76326000.0,370487000.0,244752000.0,1280743000.0,44566000.0,7557000.0,3.57,361789000.0,231447000.0,2280128000.0,,6.8996,13.5536,3.57,244752000.0,0.2775686264141015,0.17502301652365698,3.4569175166739994,0.660622370015682,0.033447173508032516,0.03550074938967494,0.660622370015682,0.4941600282088853,823573000.0,1467405000.0,517511000.0,517511000.0,104003000.0,,,4.405950791384145,4.97592377142967,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2017-09-30,7297471000.0,2544096000.0,4710384000.0,2131880000.0,27315000.0,565315000.0,318120000.0,1446012000.0,65401000.0,7918000.0,4.03,361947000.0,360499000.0,2131880000.0,,6.8965,13.8023,4.03,318120000.0,0.3069838892115802,0.19815248323700088,2.5578871956342923,0.5627305130767802,0.04359318454297386,0.04649338289197844,0.5627305130767802,0.4525915509223876,711171000.0,2649029000.0,455254000.0,455254000.0,59884000.0,,,4.682836394628054,7.602264377797074,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2017-12-31,7388196000.0,2813818000.0,4532844000.0,2422891000.0,67562000.0,-382182000.0,-277111000.0,-1162524000.0,-53469000.0,-17964000.0,-3.04,-722425000.0,-253773000.0,2422891000.0,3.4667,5.8594,12.2636,-3.04,-277111000.0,-0.25646680097528174,-0.1573488304858182,3.0418073064665525,0.7250760109057988,-0.03750726158320651,-0.0398392118158613,0.7250760109057988,0.5345189466039423,780934000.0,1634431000.0,388621000.0,388621000.0,87003000.0,,,6.2345858818746285,4.466754019976323,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2018-03-31,7427674000.0,2846490000.0,4533505000.0,2496456000.0,160861000.0,234557000.0,99390000.0,72963000.0,20000000.0,10329000.0,0.2,360400000.0,113162000.0,2496456000.0,,5.6126,11.0126,0.2,99390000.0,0.016094169963416827,0.00982312901724012,0.3110672459146391,0.4237349556824141,0.01338103960943897,0.014138058518390074,0.4237349556824141,0.5506679710290382,788177000.0,1637194000.0,385151000.0,385151000.0,76498000.0,4.76,4.76,6.481759102274173,5.034785223143088,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2018-06-30,7502818000.0,2793848000.0,4660492000.0,2417429000.0,86339000.0,445115000.0,308303000.0,266808000.0,40675000.0,10392000.0,0.74,362551000.0,230618000.0,2417429000.0,,16.5367,11.9928,0.74,308303000.0,0.05724889131877064,0.0355610385324554,0.5994136346786786,0.6926367343270841,0.04109162717261701,0.043558412138253594,0.6926367343270841,0.5187068232281056,862805000.0,623259000.0,448702000.0,448702000.0,72607000.0,1.9300000000000002,1.9300000000000002,5.38760469086387,6.1798724640874845,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2018-09-30,7824810000.0,3099886000.0,4672461000.0,2634176000.0,133405000.0,677013000.0,378130000.0,319833000.0,62137000.0,9495000.0,0.89,362745000.0,371649000.0,2634176000.0,,19.7265,11.23,0.89,378130000.0,0.06845065159452374,0.040874219310117435,0.4724178117702319,0.558526941137024,0.04832449605805125,0.051751578735880814,0.558526941137024,0.5637662893280436,974503000.0,-502920000.0,508712000.0,508712000.0,69343000.0,-1.21,-1.21,5.1781282926292285,7.336169476371083,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2018-12-31,7804024000.0,3090781000.0,4658201000.0,2658501000.0,17901000.0,-408815000.0,-325467000.0,-275875000.0,-37806000.0,-21388000.0,-0.76,-722399000.0,-231022000.0,2658501000.0,2.0075,24.1868,9.7895,-0.76,-325467000.0,-0.05922350710070261,-0.03535035258733187,0.6748162371732935,0.7961229406944461,-0.04170502294713599,-0.044482746461452165,0.7961229406944461,0.5707141018603534,947870000.0,383729000.0,460356000.0,460356000.0,85006000.0,1.0699999999999998,1.0699999999999998,5.774880744467326,5.415570665600075,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2019-03-31,7962480000.0,3281309000.0,4621610000.0,2826824000.0,15295000.0,264929000.0,62281000.0,44551000.0,22132000.0,385000.0,,362362000.0,114559000.0,2826824000.0,,31.1216,11.3028,,62281000.0,0.009639714298696775,0.005595116094483126,0.1681620358662132,0.23508562671508215,0.007821809285549226,0.008361623396273632,0.23508562671508215,0.6116535146842766,978242000.0,355317000.0,423247000.0,423247000.0,87138000.0,,,6.678899082568807,4.8572035162615625,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2019-06-30,8014127000.0,3312006000.0,4640597000.0,2838975000.0,8664000.0,501955000.0,161442000.0,115604000.0,45642000.0,7001000.0,0.32,362615000.0,257792000.0,2838975000.0,,49.1393,11.3763,0.32,161442000.0,0.024911449970768846,0.014425027205084222,0.23030749768405534,0.3216264406171868,0.02014467701847001,0.021584390122857296,0.3216264406171868,0.6117693477800378,1035082000.0,204113000.0,276386000.0,276386000.0,92105000.0,,,10.271775704992294,3.0007708593453124,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2019-09-30,8262954000.0,3241682000.0,4957933000.0,2767582000.0,121233000.0,743284000.0,409844000.0,342170000.0,68246000.0,6465000.0,0.94,365343000.0,404087000.0,2767582000.0,,30.2272,12.1076,0.94,409844000.0,0.06901464783812125,0.041410130081808515,0.4603489379564204,0.5513962361627588,0.04960017930633524,0.053050702768682734,0.5513962361627588,0.5582128681448498,1101353000.0,226450000.0,308100000.0,308100000.0,98214000.0,,,8.982739370334308,3.137027307715804,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2019-12-31,8420562000.0,3340302000.0,5018115000.0,2914765000.0,110891000.0,-536409000.0,-108806000.0,-73353000.0,-46264000.0,-5165000.0,-0.08000000000000007,-722981000.0,-270540000.0,2914765000.0,1.5989,29.6987,13.0879,-0.08000000000000007,-108806000.0,-0.014617640289232112,-0.0087111762849083,0.13674826485014233,0.20284148849105813,-0.01292146533687419,-0.013715825778279768,0.20284148849105813,0.5808485855744637,973759000.0,428972000.0,524761000.0,524761000.0,89756000.0,,,5.554461936005153,5.846528365791702,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2020-03-31,8574284000.0,3547222000.0,4959843000.0,3146611000.0,187563000.0,226369000.0,59457000.0,19456000.0,23494000.0,-60000.0,,371870000.0,114550000.0,3146611000.0,,29.522,12.7533,,59457000.0,0.003922704811422459,0.002269110750238737,0.08594816428044476,0.2626552222256581,0.0069343399402212475,0.007334526292260463,0.2626552222256581,0.6344174603913874,935199000.0,403877000.0,521937000.0,521937000.0,91118000.0,,,6.028718025355551,5.728143725718299,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2020-06-30,8567009000.0,3509593000.0,4987820000.0,3075186000.0,29870000.0,464880000.0,135818000.0,59276000.0,46335000.0,-210000.0,,372197000.0,261158000.0,3075186000.0,,34.9799,13.918,,135818000.0,0.011884149788885726,0.006919100937094848,0.12750817415246946,0.29215711581483395,0.015853607717699374,0.0168445862498428,0.29215711581483395,0.6165390892213432,898124000.0,347549000.0,496313000.0,496313000.0,91811000.0,,,6.196061759413918,5.4058119397457824,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2020-09-30,8743025000.0,3654378000.0,5018219000.0,3146428000.0,6748000.0,726908000.0,227456000.0,131099000.0,69394000.0,-1166000.0,,373091000.0,438942000.0,3146428000.0,,62.7522,14.2821,,227456000.0,0.026124607156443352,0.014994695771772355,0.18035157131301346,0.3129089238252984,0.026015709665704947,0.027858644715442075,0.3129089238252984,0.6270009339967029,881748000.0,136478000.0,313925000.0,313925000.0,92959000.0,,,10.022865334076611,3.377026431007218,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2021-03-31,9295447000.0,4036306000.0,5180959000.0,3532891000.0,9009000.0,289292000.0,107502000.0,79362000.0,22507000.0,5184000.0,,377744000.0,150142000.0,3532891000.0,,43.5575,14.8395,,107502000.0,0.0153180135183467,0.008537728201774482,0.2743318169876803,0.3716037774981679,0.011565016722703061,0.012336911927563591,0.3716037774981679,0.6818990461032407,1707449000.0,289193000.0,530233000.0,530233000.0,161730000.0,,,6.662902912493187,3.278507388857973,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2021-06-30,9844160000.0,4329251000.0,5425846000.0,3714152000.0,8252000.0,560984000.0,308945000.0,255179000.0,43579000.0,8856000.0,,380334000.0,311950000.0,3714152000.0,,35.8108,16.3001,,308945000.0,0.047030269565335986,0.025921866365439,0.45487750096259427,0.5507198066255009,0.031383581737801904,0.03380142971584895,0.5507198066255009,0.6845295646061462,2042064000.0,524916000.0,779721000.0,779721000.0,181815000.0,,,4.763437178170141,4.288540549459616,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
