report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-12-31,35128000000.0,7956000000.0,4677000000.0,24346000000.0,10533000000.0,15733000000.0,2087000000.0,,-3827000000.0,-20000000.0,679000000.0,-331000000.0,172000000.0,2.94,-225000000.0,-418000000.0,-1310000000.0,-447000000.0,-1728000000.0,15733000000.0,1.7071,25.1165,0.8798,2.94,-467000000.0,0.06446406531852274,0.019329309952174904,-0.17742356937548995,0.005226025607525477,-0.0005693463903438852,-0.0007614406457016675,0.4515286124902012,0.12202769793571988,1.4936865090667426,1.7010904425914048,8422000000.0,559000000.0,350000000.0,-4867000000.0,1300000000.0,661000000.0,2.3499999999999996,2.3499999999999996,12.102307692307692,0.529500756429652,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2013-03-31,35371000000.0,8031000000.0,5162000000.0,24926000000.0,10196000000.0,,1707000000.0,,2081000000.0,-259000000.0,-328000000.0,196000000.0,-149000000.0,,,-124000000.0,813000000.0,298000000.0,-937000000.0,0.0,,50.3802,0.9912,,39000000.0,-0.03216947822675559,-0.009273133357835516,-0.15761653051417587,-0.12445939452186448,-0.007322382742924995,-0.025402118477834443,-0.4502642960115329,0.01874098990869774,0.0,1.5557923285548236,8641000000.0,438000000.0,261000000.0,-5089000000.0,1279000000.0,692000000.0,,,0.0,0.37716763005780346,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2013-06-30,34492000000.0,6943000000.0,4411000000.0,23940000000.0,10303000000.0,,1368000000.0,,5010000000.0,36000000.0,-198000000.0,402000000.0,-210000000.0,0.0,323000000.0,-78000000.0,1281000000.0,603000000.0,-1359000000.0,0.0,,196.9423,0.9005,0.0,639000000.0,-0.019217703581481123,-0.0057404615563029105,-0.03952095808383234,0.00718562874251497,0.0010437202829641657,0.0034941279239056587,-0.2712574850299401,0.12754491017964073,0.0,1.5740194967127636,9623000000.0,196000000.0,70000000.0,-5440000000.0,1227000000.0,762000000.0,,,0.0,0.09186351706036745,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2013-09-30,34863000000.0,7249000000.0,4382000000.0,23733000000.0,10881000000.0,,2129000000.0,,8500000000.0,571000000.0,-74000000.0,630000000.0,-47000000.0,0.0,323000000.0,823000000.0,1581000000.0,921000000.0,-758000000.0,0.0,,54.145,0.8355,0.0,1492000000.0,-0.00680084551052293,-0.0021225941542609645,-0.008705882352941176,0.0671764705882353,0.016378395433554196,0.05247679441227828,-0.08917647058823529,0.17552941176470588,0.0,1.6542674577818348,11764000000.0,79000000.0,328000000.0,-4782000000.0,1703000000.0,897000000.0,,,0.0,0.3656633221850613,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2013-12-31,33902000000.0,7596000000.0,4204000000.0,23184000000.0,10469000000.0,,2254000000.0,,-4296000000.0,-5000000.0,214000000.0,-380000000.0,124000000.0,-1.0,-323000000.0,649000000.0,-1688000000.0,-566000000.0,-1039000000.0,0.0,1.8069,,0.8544,-1.0,-571000000.0,0.02044130289425924,0.006312311957996578,-0.04981378026070764,0.0011638733705772813,-0.0001474839242522565,-0.0004776005349125991,0.24185288640595903,0.13291433891992552,0.0,1.8068506184586108,11295000000.0,-386000000.0,343000000.0,-4093000000.0,1599000000.0,848000000.0,,,0.0,0.4044811320754717,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2014-03-31,34961000000.0,8383000000.0,4225000000.0,24318000000.0,10394000000.0,,3187000000.0,,3486000000.0,180000000.0,-56000000.0,255000000.0,-31000000.0,,,391000000.0,237000000.0,335000000.0,154000000.0,0.0,,,0.8146,,515000000.0,-0.005387723686742351,-0.0016017848459712251,-0.01606425702811245,0.05163511187607573,0.005148594147764652,0.0173176832788147,0.04417670682730924,0.14773379231210557,0.0,1.9841420118343196,12700000000.0,-114000000.0,782000000.0,-3002000000.0,2075000000.0,907000000.0,,,0.0,0.8621830209481808,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2014-06-30,37629000000.0,7757000000.0,4746000000.0,26403000000.0,10977000000.0,,1481000000.0,,7107000000.0,269000000.0,-153000000.0,529000000.0,-157000000.0,0.0,331000000.0,370000000.0,507000000.0,721000000.0,-137000000.0,0.0,,,0.9368,0.0,990000000.0,-0.013938234490297895,-0.004066012915570438,-0.021528070915998312,0.037850007035317296,0.007148741662015999,0.024505784822811332,-0.019276769382299143,0.13929928239763614,0.0,1.6344289928360725,14797000000.0,-69000000.0,1015000000.0,-1780000000.0,2426000000.0,1034000000.0,,,0.0,0.9816247582205029,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2014-09-30,5740000000.0,2254000000.0,866000000.0,5399000000.0,341000000.0,3117000000.0,968000000.0,,2317000000.0,171000000.0,,,2000000.0,,,279000000.0,125000000.0,172000000.0,154000000.0,3117000000.0,,,0.7117,,343000000.0,,,,0.07380233059991369,0.029790940766550523,0.04945054945054945,0.06646525679758308,0.14803625377643503,9.140762463343108,2.602771362586605,8614000000.0,,615000000.0,-868000000.0,1277000000.0,,,,2.4408770555990604,,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2014-12-31,40665000000.0,8582000000.0,4859000000.0,28679000000.0,11676000000.0,,2116000000.0,,2958000000.0,651000000.0,343000000.0,335000000.0,189000000.0,0.0,8000000.0,470000000.0,40000000.0,295000000.0,430000000.0,0.0,1.7304,68.0002,0.5742,0.0,946000000.0,0.029376498800959234,0.00843477191688184,0.11595672751859365,0.22008113590263692,0.01600885282183696,0.05575539568345324,0.145368492224476,0.3198106828938472,0.0,1.766207038485285,15868000000.0,,1271000000.0,601000000.0,2794000000.0,,,,0.0,,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2015-03-31,5975000000.0,2433000000.0,856000000.0,5586000000.0,389000000.0,3105000000.0,1125000000.0,,754000000.0,38000000.0,,,-1000000.0,,,250000000.0,44000000.0,56000000.0,206000000.0,3105000000.0,,121.3349,0.5239,,94000000.0,,,,0.050397877984084884,0.006359832635983264,0.010875787063537493,0.27320954907161804,0.1246684350132626,7.982005141388175,2.842289719626168,13136000000.0,,1129000000.0,653000000.0,2373000000.0,,,,1.3084702907711758,,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
