report_date,total_assets,total_liabilities,total_equity,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-09-30,18079336000.0,8351483000.0,9517999000.0,96476000.0,1393206000.0,,591512000.0,309875000.0,-1131000.0,1.36,421404000.0,720953000.0,259039000.0,0.0,,,,1.36,,0.062146675997759616,0.03271757325600896,0.42456894386041977,,,,,0.0,2083854000.0,879195000.0,401389000.0,1.9400000000000002,1.9400000000000002,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2012-12-31,19915555000.0,9161778000.0,10551237000.0,247673000.0,-874945000.0,,-347756000.0,-205106000.0,737000.0,-0.7900000000000005,-821415000.0,-356102000.0,-165200000.0,0.0,,,,-0.7900000000000005,,-0.032958789571308086,-0.01746152693208901,0.39746041179731295,,,,,0.0,1900722000.0,832540000.0,417130000.0,1.9,1.9,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2013-03-31,19732731000.0,8950672000.0,10581266000.0,47547000.0,516269000.0,,230585000.0,109351000.0,881000.0,0.51,454613000.0,214350000.0,104717000.0,0.0,,,,0.51,,0.021791815837537778,0.011685407356944155,0.44663731504312676,,,,,0.0,1957980000.0,869745000.0,421913000.0,1.9799999999999998,1.9799999999999998,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2013-06-30,20051793000.0,9253534000.0,10596558000.0,53114000.0,1031712000.0,,443986000.0,218006000.0,2530000.0,0.0,455024000.0,571602000.0,215314000.0,0.0,,,,0.0,,0.04189907703992183,0.022141960073096704,0.43033908687695793,,,,,0.0,2066242000.0,918327000.0,432126000.0,1.0799999999999996,1.0799999999999996,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2013-09-30,19889509000.0,9039272000.0,10640218000.0,49414000.0,1563292000.0,,677742000.0,326094000.0,3563000.0,1.0,455388000.0,843680000.0,317430000.0,0.0,,,,1.0,,0.06369625133620382,0.03407535098025798,0.4335351297134509,,,,,0.0,2236328000.0,1004557000.0,448345000.0,0.7199999999999995,0.7199999999999995,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2013-12-31,20075870000.0,9144736000.0,10723300000.0,300556000.0,-1011395000.0,,-381476000.0,-218199000.0,-1159000.0,0.6199999999999999,-909323000.0,-480645000.0,-214149000.0,0.0,,,,0.6199999999999999,,-0.03557449665681273,-0.01900171698661129,0.3771780560512955,,,,,0.0,2099878000.0,970837000.0,435252000.0,2.13,2.13,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2014-03-31,19858678000.0,8889105000.0,10761753000.0,49738000.0,529992000.0,,259111000.0,106638000.0,1446000.0,0.0,457674000.0,247181000.0,107388000.0,0.0,,,,0.0,,0.024077025369379876,0.013047746682835584,0.48889605880843484,,,,,0.0,2113601000.0,999363000.0,432539000.0,1.6199999999999999,1.6199999999999999,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2014-06-30,20144169000.0,9171575000.0,10760131000.0,54070000.0,1066113000.0,,477996000.0,213480000.0,2785000.0,1.0,458134000.0,607705000.0,220521000.0,0.0,,,,1.0,,0.04442287923818028,0.023728752474227156,0.44835397373449154,,,,,0.0,2148002000.0,1033373000.0,428013000.0,2.62,2.62,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2014-09-30,20744890000.0,9708716000.0,10773125000.0,83531000.0,1662751000.0,,725650000.0,324755000.0,2840000.0,1.0,458473000.0,883022000.0,343496000.0,0.0,,,,1.0,,0.06735742878691188,0.034979698614936015,0.4364153141390383,,,,,0.0,2247461000.0,1081281000.0,426674000.0,2.62,2.62,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2014-12-31,21369940000.0,10372841000.0,10735297000.0,183810000.0,-992577000.0,,-540524000.0,-205131000.0,-6821000.0,0.0,-915485000.0,-489287000.0,-211410000.0,0.0,,,,0.0,,-0.05035016730324275,-0.025293660160019167,0.5445663157619006,,,,,0.0,2266279000.0,922233000.0,439742000.0,1.9999999999999998,1.9999999999999998,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2015-03-31,21024442000.0,10468796000.0,10293270000.0,137170000.0,610791000.0,,-240614000.0,116780000.0,-77000.0,0.0,460880000.0,230068000.0,114522000.0,0.0,,,,0.0,,-0.023375856263364313,-0.011444489228299139,-0.39393835207133043,,,,,0.0,2347078000.0,422508000.0,449884000.0,2.0,2.0,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2015-06-30,22348127000.0,11821130000.0,10232787000.0,115770000.0,1218323000.0,,-75729000.0,235412000.0,-4640000.0,0.0,461380000.0,593986000.0,234925000.0,0.0,,,,0.0,,-0.007400623114699837,-0.0033886061234572364,-0.06215839313548213,,,,,0.0,2499288000.0,-131217000.0,471816000.0,1.0,1.0,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2015-09-30,22192973000.0,11732516000.0,10167752000.0,120498000.0,1876276000.0,,39633000.0,357569000.0,-6620000.0,0.0,462302000.0,867660000.0,369629000.0,0.0,,,,0.0,,0.003897911750798013,0.0017858355435299272,0.021123224941319935,,,,,0.0,2712813000.0,-817234000.0,504630000.0,0.0,0.0,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2015-12-31,21449849000.0,11703532000.0,9343643000.0,346500000.0,-1161078000.0,,-282525000.0,-230165000.0,2326000.0,-1.0,-921767000.0,-469569000.0,-208291000.0,0.0,,,,-1.0,,-0.030237135558368402,-0.013171421393222861,0.24332990548438607,,,,,0.0,2544312000.0,-559235000.0,479596000.0,-1.0,-1.0,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2016-03-31,21199927000.0,11569602000.0,9230747000.0,94665000.0,640782000.0,,116119000.0,122062000.0,53038000.0,,466262000.0,268617000.0,141322000.0,0.0,,,,,,0.012579588629175948,0.005477330181372794,0.1812145160132463,,,,,0.0,2574303000.0,-202502000.0,484878000.0,,,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2016-06-30,21116457000.0,11440069000.0,9281130000.0,116450000.0,1302958000.0,,417836000.0,243395000.0,51035000.0,,466777000.0,666912000.0,282708000.0,0.0,,,,,,0.04501994907947631,0.019787220933890567,0.32068263136647535,,,,,0.0,2658938000.0,291063000.0,492861000.0,,,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2016-09-30,21188545000.0,11613111000.0,9183112000.0,132891000.0,1957056000.0,,569086000.0,361255000.0,48822000.0,,467132000.0,998632000.0,425582000.0,0.0,,,,,,0.061970930987229604,0.02685819153698378,0.2907867736027993,,,,,0.0,2739718000.0,820516000.0,496547000.0,,,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2016-12-31,15759265000.0,9817957000.0,5547595000.0,94730000.0,-1771502000.0,,-475294000.0,-262309000.0,-148422000.0,1.0,-932768000.0,-720030000.0,-281504000.0,0.0,,,,1.0,,-0.08567568468859028,-0.0301596552884922,0.2683000075642026,,,,,0.0,2129294000.0,627747000.0,464403000.0,,,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2017-03-31,14855868000.0,8682393000.0,5841348000.0,764114000.0,492168000.0,,461145000.0,86718000.0,-6162000.0,0.0,475173000.0,193129000.0,136554000.0,0.0,,,,0.0,,0.07894496270381425,0.031041269348919903,0.9369666455356708,,,,,0.0,1980680000.0,972773000.0,429059000.0,,,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2017-06-30,14102575000.0,8073634000.0,5702047000.0,391965000.0,951096000.0,,480528000.0,164506000.0,-9149000.0,1.0,473366000.0,431589000.0,267305000.0,0.0,,,,1.0,,0.08427289357664011,0.034073777306626626,0.505236064498221,,,,,0.0,1628818000.0,1035465000.0,350170000.0,,,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2017-09-30,13904081000.0,8049850000.0,5531433000.0,133887000.0,1405119000.0,,472871000.0,235834000.0,-14630000.0,1.0,468828000.0,637896000.0,397893000.0,0.0,,,,1.0,,0.08548797391200436,0.0340095113082267,0.3365344856912475,,,,,0.0,1076881000.0,939250000.0,224749000.0,3.0,3.0,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2017-12-31,14088461000.0,8493523000.0,5301005000.0,55306000.0,-1000005000.0,,-1000375000.0,-179342000.0,28608000.0,-2.0,-948432000.0,-415573000.0,-267026000.0,0.0,,,,-2.0,,-0.18871421551196424,-0.07100669122056696,1.0003699981500092,,,,,0.0,1848378000.0,414169000.0,307716000.0,0.0,0.0,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2018-03-31,14067571000.0,8586648000.0,5206291000.0,86021000.0,479197000.0,,40232000.0,75102000.0,-5336000.0,0.0,469695000.0,196164000.0,143250000.0,0.0,,,,0.0,,0.007727574198215198,0.0028599109256317243,0.08395711993188605,,,,,0.0,1835407000.0,-6744000.0,296100000.0,0.0,0.0,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2018-06-30,13451387000.0,8034664000.0,5143494000.0,91381000.0,948748000.0,,130174000.0,148140000.0,-9990000.0,0.0,469799000.0,439674000.0,286542000.0,0.0,,,,0.0,,0.025308477078032948,0.009677366356346747,0.1372060863369409,,,,,0.0,1833059000.0,-357098000.0,279734000.0,-1.0,-1.0,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2018-09-30,13083958000.0,7443583000.0,5071168000.0,78864000.0,1404770000.0,,229545000.0,211626000.0,-14919000.0,0.0,469876000.0,632918000.0,418740000.0,0.0,,,,0.0,,0.04526472008026553,0.017544003121991066,0.1634039736042199,,,,,0.0,1832710000.0,-600424000.0,255526000.0,-2.0,-2.0,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2018-12-31,12718553000.0,6205962000.0,5944439000.0,110790000.0,-986026000.0,,661142000.0,-168525000.0,12391000.0,2.0,-933983000.0,-420047000.0,-299033000.0,0.0,0.6758,,,2.0,,0.11122025139798726,0.05198248574346469,-0.6705117309279877,,,,,0.0,1846689000.0,1061093000.0,266343000.0,2.0,2.0,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2019-03-31,12899501000.0,6500436000.0,5836882000.0,120117000.0,436154000.0,-863000.0,61470000.0,49327000.0,-3458000.0,0.13,479131000.0,158582000.0,131951000.0,0.0,0.6758,,,0.13,131088000.0,0.010531307639935157,0.004765300611240699,0.14093645822347153,-0.001978658914053293,-6.690181271353055e-05,-0.00014785291188000718,0.30055439133883904,0.0,1803646000.0,1082331000.0,240568000.0,2.13,2.13,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2019-06-30,13713093000.0,7093821000.0,6054404000.0,130521000.0,927721000.0,,47873000.0,106269000.0,-5322000.0,0.1,479885000.0,380560000.0,297247000.0,0.0,,,,0.1,,0.007907136689259587,0.003491043194996198,0.05160279868624296,,,,,0.0,1782619000.0,1000030000.0,198697000.0,2.23,2.23,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2019-09-30,14010210000.0,7486851000.0,5933134000.0,124990000.0,1465692000.0,,2010000.0,167499000.0,-11583000.0,0.0,484792000.0,628601000.0,469191000.0,0.0,,,,0.0,,0.0003387754262755569,0.00014346680028350754,0.0013713658804168952,,,,,0.0,1843541000.0,772495000.0,154570000.0,2.23,2.23,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2019-12-31,14032891000.0,7365417000.0,6085058000.0,144232000.0,-832184000.0,,-65823000.0,-97476000.0,3101000.0,-0.23,-954473000.0,-321670000.0,-238400000.0,0.0,0.3301,,,-0.23,,-0.010817152441275004,-0.004690622908707835,0.07909669015506186,,,,,0.0,1997383000.0,45530000.0,225619000.0,0.0,0.0,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2020-03-31,16072679000.0,8259236000.0,7236508000.0,783542000.0,585150000.0,,279080000.0,58376000.0,-33044000.0,0.54,515045000.0,95042000.0,189276000.0,0.0,0.3301,,,0.54,,0.03856556228501371,0.01736362681044025,0.47693753738357686,,,,,0.0,2146379000.0,263140000.0,234668000.0,0.41000000000000003,0.41000000000000003,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2020-06-30,16316440000.0,8647719000.0,7098673000.0,730957000.0,1173590000.0,,330586000.0,115926000.0,-40390000.0,0.63,523498000.0,319823000.0,367764000.0,0.0,,,,0.63,,0.04657011247031664,0.02026091475836641,0.2816878126091736,,,,,0.0,2392248000.0,545853000.0,244325000.0,0.9400000000000001,0.9400000000000001,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2020-09-30,15751821000.0,8345513000.0,6840055000.0,197119000.0,1771329000.0,,267169000.0,172161000.0,-16216000.0,0.5,528455000.0,539724000.0,541394000.0,0.0,,,,0.5,,0.039059481246861316,0.016961150079092442,0.15082968776551392,,,,,0.0,2697885000.0,811012000.0,248987000.0,1.44,1.44,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2020-12-31,15920089000.0,8575517000.0,6788345000.0,44226000.0,-1885194000.0,,-463272000.0,-128127000.0,80227000.0,-0.8999999999999999,-1035942000.0,-196158000.0,,0.0,0.0797,,,-0.8999999999999999,,-0.06824520556925141,-0.02909983731874866,0.24574234800238065,,,,,0.0,1644875000.0,413563000.0,218336000.0,0.7700000000000001,0.7700000000000001,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2021-03-31,15193926000.0,7877244000.0,6764538000.0,34007000.0,455276000.0,,145788000.0,46843000.0,8000.0,0.27,538679000.0,122726000.0,,0.0,0.0797,,,0.27,,0.021551804424781117,0.009595150061939225,0.32021894411302154,,,,,0.0,1515001000.0,280271000.0,206803000.0,0.5000000000000001,0.5000000000000001,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2021-06-30,14332370000.0,6898641000.0,6884862000.0,96923000.0,931514000.0,,422068000.0,85524000.0,-755000.0,0.78,539081000.0,359594000.0,,0.0,,,,0.78,,0.06130377050404206,0.029448583869939166,0.45309893356406883,,,,,0.0,1272925000.0,371753000.0,176401000.0,0.6500000000000001,0.6500000000000001,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2021-09-30,14743502000.0,7405114000.0,6670360000.0,201099000.0,1412979000.0,,476779000.0,121429000.0,-1404000.0,0.88,539159000.0,571335000.0,,0.0,,,,0.88,,0.07147725160261215,0.03233824636778969,0.33742822787882903,,,,,0.0,914575000.0,581363000.0,125669000.0,1.0300000000000002,1.0300000000000002,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2021-12-31,15257519000.0,8111415000.0,6515470000.0,158287000.0,-903585000.0,,-539095000.0,-95816000.0,-1110000.0,-1.0,-1077678000.0,-258407000.0,,0.0,0.3059,,,-1.0,,-0.0827407692768135,-0.03533307086165188,0.5966179164107417,,,,,0.0,1896184000.0,505540000.0,157980000.0,0.9300000000000002,0.9300000000000002,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2022-03-31,15287250000.0,8241638000.0,6408223000.0,89066000.0,498372000.0,,71613000.0,37586000.0,777000.0,0.13,539586000.0,194183000.0,,0.0,0.3059,,,0.13,,0.01117517289894562,0.0046844919786096255,0.14369386723170643,,,,,0.0,1939280000.0,431365000.0,148723000.0,0.7900000000000001,0.7900000000000001,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2022-06-30,15318203000.0,8361938000.0,6305212000.0,73013000.0,1016304000.0,,139951000.0,79453000.0,59000.0,0.26,539701000.0,449668000.0,,0.0,,,,0.26,,0.02219608159091241,0.009136254428799513,0.13770584392071664,,,,,0.0,2024070000.0,149248000.0,142652000.0,0.27000000000000013,0.27000000000000013,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2022-09-30,15661956000.0,8535607000.0,6466961000.0,112452000.0,1536710000.0,,493921000.0,123531000.0,-3775000.0,0.91,544852000.0,693306000.0,,0.0,,,,0.91,,0.07637605979068066,0.03153635471840171,0.3214145804998991,,,,,0.0,2147801000.0,166390000.0,144754000.0,0.30000000000000016,0.30000000000000016,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2022-12-31,15771229000.0,8482952000.0,6654701000.0,72032000.0,-990208000.0,,-205036000.0,-67626000.0,-1486000.0,-0.38,-1084992000.0,-436896000.0,,0.0,0.1564,,,-0.38,,-0.030810700585946687,-0.013000635524346264,0.20706356644260598,,,,,0.0,2061178000.0,500449000.0,172944000.0,0.9200000000000003,0.9200000000000003,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2023-03-31,15602289000.0,8378654000.0,6609736000.0,59235000.0,525678000.0,,118952000.0,47963000.0,302000.0,0.22,547110000.0,173921000.0,,0.0,0.1564,,,0.22,,0.017996482764213277,0.007624009528345488,0.2262830097512165,,,,,0.0,2088484000.0,547788000.0,183321000.0,1.0100000000000002,1.0100000000000002,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2023-06-30,15603540000.0,8477887000.0,6535065000.0,103780000.0,1071108000.0,,170851000.0,97037000.0,1438000.0,0.31,547204000.0,471737000.0,,0.0,,,,0.31,,0.026143733841974028,0.010949502484692576,0.15950865832390385,,,,,0.0,2143288000.0,578688000.0,200905000.0,1.0600000000000003,1.0600000000000003,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2023-09-30,15602534000.0,8569706000.0,6457305000.0,63478000.0,1627351000.0,,235065000.0,147547000.0,2225000.0,0.43,547247000.0,724994000.0,,0.0,,40.3296,4.528,0.43,,0.036402957580600574,0.015065822000451978,0.1444464040025784,,,,,0.0,2233929000.0,319832000.0,224921000.0,0.5800000000000003,0.5800000000000003,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2023-12-31,15698850000.0,8773980000.0,6350446000.0,117635000.0,-1043134000.0,,-218859000.0,-92216000.0,-13582000.0,-0.3999999999999999,-1094286000.0,-414410000.0,,0.0,0.2802,35.7214,5.0119,-0.3999999999999999,,-0.03446356366151291,-0.013941084856534077,0.20980909451709942,,,,,0.0,2181003000.0,306009000.0,200331000.0,0.5600000000000003,0.5600000000000003,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2024-03-31,20542040000.0,10942541000.0,8881613000.0,101763000.0,606560000.0,,6676000.0,60907000.0,13698000.0,0.01,601188000.0,152564000.0,,0.0,0.2802,35.7214,5.0119,0.01,,0.0007516652662078386,0.00032499206505293534,0.01100633078343445,,,,,0.0,2261885000.0,193733000.0,213275000.0,0.35000000000000037,0.35000000000000037,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
