report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2020-12-31,,,,,,,,,,,,,,-247574000.0,-44522000.0,,-292096000.0,0.0,3.9424,11.1989,116.4003,,,,,,,,,,,,,,,,,,6821000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2021-03-31,2464595000.0,1585107000.0,397726000.0,,1099924000.0,685157000.0,405489000.0,140074000.0,44128000.0,,7955000.0,0.55,55997136.0,24083000.0,24545000.0,,-462000.0,0.0,,10.3422,115.562,0.55,44128000.0,,,,0.345444635982727,0.10882662661625839,0.017904767314710936,0.04011913550390754,-0.001139365062924025,0.10882662661625839,0.0,3.985424639073131,,,,,-74333000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2021-06-30,2564325000.0,1488911000.0,399585000.0,,1177793000.0,524112000.0,885546000.0,296266000.0,99687000.0,,16679000.0,1.36,55965369.0,62768000.0,65267000.0,,-2499000.0,0.0,,9.1315,105.6635,1.36,99687000.0,,,,0.3345574368807493,0.11257122724285357,0.03887455763212541,0.08463881174365954,-0.0028219877905834366,0.11257122724285357,0.0,3.726143373750266,,,,,-190181000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2021-09-30,2656833000.0,1552554000.0,405507000.0,,1242083000.0,526588000.0,1411950000.0,468827000.0,166101000.0,,24294000.0,2.32,55955441.0,124552000.0,94135000.0,,30417000.0,0.0,,7.8692,95.4709,2.32,166101000.0,,,,0.3320422111264563,0.11763943482417932,0.0625184194866595,0.1337277782563645,0.021542547540635292,0.11763943482417932,0.0,3.8286737343621686,,,,,-264640000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2021-12-31,,,,,,,,,,,,,,2726000.0,-34696000.0,,-31970000.0,0.0,3.2584,7.5031,87.0887,,,,,,,,,,,,,,,,,,-4514000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2022-03-31,3682915000.0,2462317000.0,568741000.0,,2010525000.0,1002772000.0,655080000.0,178958000.0,50864000.0,33123000.0,12292000.0,0.6,56315193.0,-162989000.0,43210000.0,,-206199000.0,0.0,,8.0663,103.6866,0.6,50864000.0,0.016474801357854292,0.008993691138676835,0.05056328997984979,0.2731849545093729,0.07764547841485009,0.013810799326077306,0.025298864724387908,-0.31476918849606156,0.07764547841485009,0.0,4.329417080885675,,,,,-210251000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2022-06-30,3772778000.0,2283808000.0,612174000.0,,2027532000.0,745534000.0,1382854000.0,361600000.0,86876000.0,48207000.0,18909000.0,0.86,57446416.0,-85574000.0,91884000.0,,-177458000.0,0.0,,6.1863,107.0722,0.86,86876000.0,0.02377619687383479,0.012777587231477707,0.03486051311273641,0.2614881975971433,0.06282369650013668,0.023027063877068835,0.04284815233495698,-0.1283273577687883,0.06282369650013668,0.0,3.73065174280515,,,,,-385210000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2022-09-30,3903546000.0,2451773000.0,694480000.0,,2052127000.0,678329000.0,2219577000.0,583601000.0,171283000.0,72950000.0,53081000.0,1.0,57886041.0,-80016000.0,125085000.0,,-205101000.0,0.0,,4.668,113.5843,1.0,171283000.0,0.03554848213585222,0.018688136376515098,0.03286662278443145,0.26293343281174747,0.07716920836717987,0.0438788219736619,0.08346608177758978,-0.09240544482124297,0.07716920836717987,0.0,3.5303723649349155,,,,,-620728000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2022-12-31,,,,,,,,,,-60501000.0,,,,359863000.0,-90838000.0,,269025000.0,0.0,3.2592,5.0906,168.9787,,,,,,,,,,,,,,,93779000.0,,,-319733000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2023-03-31,4496426000.0,3242066000.0,900042000.0,,2350794000.0,727849000.0,943889000.0,300126000.0,144154000.0,138378000.0,29325000.0,2.35,59193831.0,7923000.0,38338000.0,13464000.0,-30415000.0,0.0,,5.0382,86.0578,2.35,157618000.0,0.058864366677811836,0.030775108942079778,0.1466041028129367,0.317967472870221,0.1527234664245478,0.03205968473627721,0.06132140885164757,-0.03222306860234625,0.16698785556352494,0.0,3.6021274562742627,,199034000.0,,,-143949000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
