report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2016-03-27,10024262000.0,6941565000.0,2342186000.0,4153134000.0,5692339000.0,,,2232021000.0,4339632000.0,1920138000.0,765015000.0,655110000.0,,23015000.0,3.0,174329000.0,,216052000.0,0.0,,15.9888,2.16,3.0,981067000.0,0.11508625891746785,0.065352441905449,0.15095980488668165,0.44246562842194914,0.1762856850534792,0.07631634129275551,0.1343937878611938,0.22607147334151836,0.0,2.9637121048456443,6909645000.0,1127617000.0,1340403000.0,3085177000.0,1634304000.0,5.999999999999999,5.999999999999999,0.0,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2016-06-26,12271528000.0,9214911000.0,2419802000.0,6169459000.0,5894517000.0,,,5039322000.0,-3079359000.0,-1372452000.0,-600449000.0,-541399000.0,,-2122000.0,-1.0,-347852000.0,,-138002000.0,0.0,3.8102,13.9614,2.1681,-1.0,-738451000.0,-0.091847898648863,-0.044118303767876337,0.17581548627490332,0.4456940551588821,0.19499155506064736,-0.04893025546614896,-0.1018656829728373,0.23980672601018588,0.0,3.8081260367583796,5885893000.0,914049000.0,1074256000.0,2618922000.0,1365284000.0,4.999999999999999,4.999999999999999,0.0,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2016-09-25,12636362000.0,9599002000.0,2486252000.0,6249012000.0,6184883000.0,,,5861701000.0,1632419000.0,716197000.0,315947000.0,263835000.0,,28958000.0,1.0,180017000.0,,74562000.0,0.0,,16.578,2.4908,1.0,390509000.0,0.04265804219740293,0.02087903148073789,0.16162210804946525,0.43873356044005857,0.19354528463586862,0.02500300323779898,0.05108374725924484,0.239221057828903,0.0,3.860832288923247,5918269000.0,889205000.0,1054775000.0,2612756000.0,1349775000.0,4.999999999999999,4.999999999999999,0.0,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2016-12-25,11521059000.0,8503874000.0,2658018000.0,4928050000.0,6395696000.0,,,2503960000.0,3514718000.0,1562994000.0,755775000.0,596626000.0,,80972000.0,3.0,181780000.0,,151627000.0,0.0,,17.7708,2.7848,3.0,907402000.0,0.09328554703037793,0.051785690881367766,0.16975074529450157,0.4446996885667641,0.21503147620947113,0.06559943838496096,0.11816931261273206,0.2581720638753948,0.0,3.199328973693933,6407410000.0,974172000.0,1236288000.0,2826877000.0,1540527000.0,5.999999999999999,5.999999999999999,0.0,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2017-03-26,11875186000.0,8875948000.0,2756739000.0,4953824000.0,6746254000.0,,,2128570000.0,5668713000.0,2534398000.0,1294193000.0,1171339000.0,,36839000.0,6.0,182885000.0,,227869000.0,0.0,,14.5506,2.8845,6.0,1522062000.0,0.17362806084680477,0.09863752870902401,0.20663226379603272,0.44708525550684963,0.22830455519621473,0.10898296666679579,0.1918387597027921,0.2685022155822671,0.0,3.219727366283134,7736491000.0,1490401000.0,1765466000.0,3441137000.0,2081522000.0,9.0,9.0,0.0,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2017-06-25,12122765000.0,9142498000.0,2950115000.0,5135453000.0,6817451000.0,,,2377534000.0,-2802230000.0,-1210230000.0,-463783000.0,-334037000.0,,-32859000.0,-1.0,-360912000.0,,-147153000.0,0.0,3.099,14.1562,2.9991,-1.0,-610936000.0,-0.04899734519544035,-0.027554522421246307,0.11920399110708257,0.4318810376021954,0.1655049728252142,-0.03825719627494223,-0.06802879844680952,0.21801779297202586,0.0,3.099031054721596,8013620000.0,1697763000.0,1902132000.0,3603359000.0,2209037000.0,9.0,9.0,0.0,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2017-09-24,12398626000.0,9228780000.0,2788631000.0,4990452000.0,7271178000.0,,,2406462000.0,2478140000.0,1149343000.0,693222000.0,590690000.0,,97030000.0,3.0,183880000.0,,79142000.0,0.0,,13.6579,3.1212,3.0,772364000.0,0.08123718055038674,0.047641569315825805,0.23836022177923766,0.4637926025164034,0.2797348011008256,0.05591119532115897,0.09533833444869594,0.31167084991162725,0.0,3.3094303262066584,8859341000.0,2024618000.0,2279407000.0,4036505000.0,2590892000.0,11.0,11.0,0.0,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2017-12-24,12912265000.0,9666122000.0,3911695000.0,6638710000.0,6143131000.0,,,1745173000.0,5058955000.0,2354910000.0,1430593000.0,580735000.0,,841204000.0,3.0,183958000.0,,159040000.0,0.0,,17.7471,3.1229,3.0,1589633000.0,0.09453404135448194,0.04497545550683788,0.11479347019295487,0.4654933677014324,0.2827842904315219,0.11079334260875222,0.2328768505831961,0.31422161296157014,0.0,2.471082740346576,10403578000.0,2008727000.0,2954225000.0,4828421000.0,3273123000.0,11.0,11.0,0.0,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2018-03-25,13663499000.0,10425797000.0,3948420000.0,6779471000.0,6803055000.0,,,4698995000.0,7951070000.0,3685624000.0,2258104000.0,1359535000.0,,834105000.0,7.0,182565000.0,,241276000.0,0.0,,18.5732,3.4021,7.0,2499380000.0,0.19984183576349154,0.09950123317607006,0.17098767838794024,0.46353811499584335,0.2840000150923083,0.1652654272525654,0.33192499546159776,0.3143451132992163,0.0,2.6404984778721614,12685935000.0,2196923000.0,3918136000.0,5979647000.0,4250441000.0,12.0,12.0,0.0,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2018-06-24,12479478000.0,9149911000.0,3150308000.0,5899435000.0,6501851000.0,,610030000.0,4512257000.0,-4411167000.0,-2024845000.0,-1168620000.0,-150279000.0,,-1001231000.0,0.0,-369621000.0,,-153063000.0,610030000.0,2.9044,11.7838,2.5326,0.0,-1321683000.0,-0.023113264207377252,-0.012042090222042941,0.03406785551306491,0.45902705565216645,0.2649230917804744,-0.09364333988969731,-0.16431939735774545,0.29962207279842273,0.09382405102793036,2.9044496601602128,11076998000.0,2380681000.0,3213299000.0,5165032000.0,3539694000.0,13.0,13.0,0.17233975592240458,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2018-09-23,10957577000.0,7515873000.0,2824965000.0,5575940000.0,5322825000.0,,,2568085000.0,2330691000.0,1058198000.0,591751000.0,533360000.0,,58000000.0,3.23,165327000.0,720286000.0,79805000.0,0.0,,10.1426,2.1561,3.23,671556000.0,0.1002024301005575,0.0486749944809879,0.22884200436694524,0.45402758237793,0.2538950894820463,0.05400381854492102,0.11117235678422642,0.28813600773332887,0.0,2.6605189798811666,10929549000.0,2323351000.0,3111828000.0,5073887000.0,3438886000.0,13.229999999999999,13.229999999999999,0.0,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2018-12-23,10768458000.0,7355845000.0,2166837000.0,4927086000.0,5784363000.0,,,3359793000.0,4853364000.0,2203231000.0,1282130000.0,1102215000.0,,148900000.0,6.73,163749000.0,1362705000.0,161599000.0,0.0,,6.5919,1.7597,6.73,1443729000.0,0.19055080049436732,0.10235588047982358,0.2271033040175845,0.4539595628928718,0.26417346813467935,0.11906347222601416,0.22165448468569487,0.29746975499880085,0.0,3.394738505942071,10723958000.0,2844831000.0,2963365000.0,4922208000.0,3292982000.0,16.96,16.96,0.0,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2019-03-31,12895262000.0,9442241000.0,2805628000.0,7554283000.0,5291196000.0,3801514000.0,,4931611000.0,7292412000.0,3277568000.0,1847647000.0,1649605000.0,,187548000.0,10.2,161683000.0,2295526000.0,243873000.0,3801514000.0,,10.5528,2.7052,10.2,2091520000.0,0.31176410777449937,0.12792334114653894,0.2262084204787113,0.44944909859728166,0.25336569025447275,0.14328107486300007,0.20320091589856049,0.28680771190656806,0.7184602498187556,3.365464345237501,10065300000.0,3134901000.0,2552908000.0,4514152000.0,2885122000.0,20.159999999999997,20.159999999999997,1.31762677626804,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2019-06-30,12001333000.0,8560409000.0,2371650000.0,7278029000.0,4673865000.0,,667131000.0,3658219000.0,-4822908000.0,-2180538000.0,-1256796000.0,-1093750000.0,,-139307000.0,-6.460000000000001,-330844000.0,-1202504000.0,-175996000.0,667131000.0,3.6095,13.0905,2.9716,-6.460000000000001,-1432792000.0,-0.23401403335355214,-0.09113570967491695,0.22678226497374612,0.4521210025154948,0.26058883976223474,-0.10472136720146004,-0.2353111666812707,0.2970805165680125,0.1427364718493153,3.6094739948980665,9653559000.0,2191430000.0,2464732000.0,4358459000.0,2774013000.0,13.699999999999998,13.699999999999998,0.24049310511522476,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2019-09-29,12343502000.0,8834615000.0,2457682000.0,7364556000.0,4936393000.0,,,4607182000.0,2165746000.0,981710000.0,537455000.0,465789000.0,,58900000.0,3.09,150682000.0,464047000.0,64664000.0,0.0,,15.7603,3.5277,3.09,602119000.0,0.09435816799837451,0.037735563213745986,0.21507092706162217,0.45328953626140833,0.248161603438261,0.04354153302685089,0.10887605585697897,0.27801921370280724,0.0,3.594694106072307,9488614000.0,2123859000.0,2410436000.0,4281971000.0,2704576000.0,13.559999999999997,13.559999999999997,0.0,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2019-12-29,11914122000.0,8454965000.0,2565501000.0,7496389000.0,4379429000.0,,,3035887000.0,4749247000.0,2161354000.0,1223966000.0,980299000.0,,217000000.0,6.52,150389000.0,771975000.0,130194000.0,0.0,,20.5079,4.4444,6.52,1354160000.0,0.2238417382722725,0.08228042318183412,0.20641145849015644,0.4550940391182013,0.2577179077019999,0.10273237087886124,0.2794807268253464,0.2851315166383218,0.0,3.2956389414777076,9384497000.0,2001943000.0,2352272000.0,4240094000.0,2615007000.0,13.349999999999996,13.349999999999996,0.0,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2020-03-29,12938635000.0,9408785000.0,2105661000.0,8389482000.0,4537607000.0,,,3961586000.0,7252872000.0,3328361000.0,1918080000.0,1555080000.0,,271700000.0,10.39,149648000.0,1313403000.0,197442000.0,0.0,,17.7206,3.865,10.39,2115522000.0,0.34270927385293615,0.12018887618361597,0.21440885762219436,0.4589024871802508,0.2644579967770009,0.14824438590314976,0.4227073873960438,0.29168059218472353,0.0,4.468328472626886,9344957000.0,1907418000.0,2422705000.0,4290887000.0,2639009000.0,13.539999999999997,13.539999999999997,0.0,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2020-06-28,14559047000.0,10853535000.0,3162442000.0,9375558000.0,5172494000.0,,839877000.0,4915172000.0,-4123129000.0,-1862732000.0,-1005699000.0,-749415000.0,,-224375000.0,-4.9,-301629000.0,-422974000.0,-123775000.0,839877000.0,3.432,19.8853,4.4577,-4.9,-1129474000.0,-0.1448846533219758,-0.051474179594309985,0.18175880502404848,0.4517763087208768,0.2439164527716693,-0.0690772548505407,-0.16727161381092417,0.27393612957537833,0.16237370212512572,3.4320107688931527,10044736000.0,2251753000.0,2673802000.0,4608693000.0,2942327000.0,15.1,15.1,0.2854465190306856,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2020-09-27,15057008000.0,11274883000.0,3406868000.0,9631516000.0,5419185000.0,,,4129067000.0,3177080000.0,1506179000.0,961064000.0,823451000.0,,98800000.0,5.59,147248000.0,642511000.0,72912000.0,0.0,,18.7161,4.4173,5.59,1033976000.0,0.1519510775144233,0.054688886397616314,0.25918484898082517,0.47407651050650285,0.3024991501630428,0.06382835155563443,0.17734474833392844,0.3254485250607476,0.0,3.3094569557728684,11056070000.0,2609415000.0,3097411000.0,5133162000.0,3374184000.0,17.599999999999998,17.599999999999998,0.0,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
2020-12-27,15370374000.0,11467952000.0,3591053000.0,9861826000.0,5503033000.0,,,3687165000.0,6633317000.0,3109974000.0,1970788000.0,1692680000.0,,209375000.0,11.55,146579000.0,987148000.0,149301000.0,0.0,,23.1308,5.7477,11.55,2120089000.0,0.3075903778879756,0.11012614266900728,0.2551785177762498,0.4688414559412734,0.2971044501566863,0.12821991189023768,0.3581275998163195,0.3196121940199752,0.0,3.1934789043770726,12940140000.0,3321796000.0,3844233000.0,6081782000.0,4140113000.0,22.63,22.63,0.0,1.8260161,256.68,56.32,11.45141,272781.3,43.902,12.5232,13.2672
