report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2015-09-30,170402000000.0,157206000000.0,13196000000.0,,,10366000000.0,4689000000.0,,1031000000.0,96000000.0,603000000.0,0.0,1326000000.0,,204000000.0,166000000.0,,0.0,,27.208,5.9163,0.0,,0.07812973628372234,0.006050398469501532,0.21987630624866708,,,,,,0.0,6424000000.0,1362000000.0,,132000000.0,0.0,0.0,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2015-12-31,183718000000.0,170316000000.0,13402000000.0,,,11978000000.0,-2927000000.0,,-541000000.0,-55000000.0,-349000000.0,1.0,-2647000000.0,,-118000000.0,-105000000.0,,0.0,0.1784,29.9607,6.6687,1.0,,-0.04036710938665871,-0.0029447305108916927,0.18483088486504953,,,,,,0.0,6380000000.0,1447000000.0,,132000000.0,1.0,1.0,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2016-03-31,190998000000.0,176485000000.0,14513000000.0,,800000000.0,10457000000.0,1764000000.0,,412000000.0,38000000.0,243000000.0,0.0,1330000000.0,,56000000.0,56000000.0,,800000000.0,,23.78,5.482,0.0,,0.02838834148694274,0.0021570906501638763,0.23356009070294784,,,,,,0.055122993178529596,6618000000.0,1557000000.0,,141000000.0,1.0,1.0,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2016-06-30,198052000000.0,183062000000.0,14990000000.0,,5000000000.0,12976000000.0,3592000000.0,,864000000.0,80000000.0,511000000.0,0.0,1331000000.0,,195000000.0,113000000.0,,5000000000.0,,20.2005,4.7619,0.0,,0.057638425617078055,0.004362490659018844,0.24053452115812918,,,,,,0.333555703802535,7118000000.0,1766000000.0,,159000000.0,1.0,1.0,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2016-09-30,209337000000.0,193867000000.0,15470000000.0,,3001000000.0,10431000000.0,5506000000.0,,1367000000.0,126000000.0,802000000.0,0.0,1332000000.0,,272000000.0,173000000.0,,3001000000.0,,23.4252,5.6795,0.0,,0.08836457659987072,0.0065301403956300125,0.24827460951689068,,,,,,0.19398836457659988,7935000000.0,2102000000.0,,189000000.0,1.0,1.0,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2016-12-31,223383000000.0,206962000000.0,16421000000.0,,,10828000000.0,-3384000000.0,,-754000000.0,-73000000.0,-452000000.0,1.0,-2659000000.0,,-177000000.0,-108000000.0,,0.0,0.1433,28.2118,6.9717,1.0,,-0.04591681383594178,-0.0033753687612754777,0.22281323877068557,,,,,,0.0,7478000000.0,1889000000.0,,171000000.0,1.0,1.0,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2017-03-31,227061000000.0,210079000000.0,16982000000.0,,600000000.0,9475000000.0,2081000000.0,,564000000.0,55000000.0,279000000.0,0.0,1351000000.0,,80000000.0,65000000.0,,600000000.0,,26.7293,6.8398,0.0,,0.03321163584972324,0.002483914014295718,0.2710235463719366,,,,,,0.03533152749970557,7795000000.0,2041000000.0,,188000000.0,1.0,1.0,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2017-06-30,220601000000.0,203112000000.0,17489000000.0,,300000000.0,9575000000.0,4211000000.0,,1139000000.0,129000000.0,613000000.0,0.0,1351000000.0,,164000000.0,131000000.0,,300000000.0,,26.5449,6.9109,0.0,,0.06512665103779519,0.005163167891351354,0.27048207076703873,,,,,,0.01715363943049917,8414000000.0,2316000000.0,,237000000.0,1.0,1.0,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2017-09-30,230714000000.0,212687000000.0,18027000000.0,,5000000000.0,12253000000.0,6376000000.0,,1757000000.0,223000000.0,940000000.0,1.0,1352000000.0,,267000000.0,200000000.0,,5000000000.0,,25.8775,6.8448,1.0,,0.09746491374050036,0.007615489307107501,0.275564617314931,,,,,,0.2773617351750153,9284000000.0,2706000000.0,,334000000.0,2.0,2.0,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2017-12-31,243274000000.0,224749000000.0,18525000000.0,,15000000000.0,14217000000.0,-4050000000.0,,-1106000000.0,-65000000.0,-536000000.0,0.0,-2701000000.0,,-111000000.0,-127000000.0,,15000000000.0,0.1638,29.2945,7.6963,0.0,,-0.05970310391363023,-0.004546314032736749,0.2730864197530864,,,,,,0.8097165991902834,8618000000.0,2354000000.0,,342000000.0,1.0,1.0,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
