report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2022-09-30,25350000000.0,9740000000.0,6013000000.0,17887000000.0,7463000000.0,8670000000.0,,2985000000.0,15316000000.0,4082000000.0,3264000000.0,609000000.0,3.78,864300000.0,620000000.0,8670000000.0,,8.3408,1.4635,3.78,4082000000.0,0.43735763097949887,0.12875739644970413,0.21311047270827893,0.26651867328284146,0.16102564102564101,0.25302175664786464,0.26651867328284146,1.1617312072892938,1.6198237152835524,20130000000.0,5664000000.0,6913000000.0,6913000000.0,6.57,6.57,1.2541588311876175,1.3341254,81.09,50.24,6.81222,48129.316,32.4322,3.2239,2.2131
2022-12-31,26086000000.0,9879000000.0,6032000000.0,18010000000.0,8076000000.0,,,3520000000.0,-9414000000.0,-3860000000.0,-3061000000.0,-673000000.0,-3.51,-1745600000.0,1495000000.0,0.0,1.6378,9.7611,1.6892,-3.51,-3860000000.0,-0.379024269440317,-0.11734263589664955,0.3251540259188443,0.41002761844062036,-0.14797209231005137,-0.4779593858345716,0.41002761844062036,0.0,1.63776525198939,20421000000.0,3534000000.0,4515000000.0,4515000000.0,4.1,4.1,0.0,1.3341254,81.09,50.24,6.81222,48129.316,32.4322,3.2239,2.2131
2023-03-31,26411000000.0,10158000000.0,5958000000.0,17943000000.0,8468000000.0,8708000000.0,,3347000000.0,5273000000.0,555000000.0,373000000.0,122000000.0,0.44,852200000.0,120000000.0,8708000000.0,,15.1104,1.8155,0.44,555000000.0,0.04404818138875768,0.014122903335731324,0.07073772046273469,0.10525317655983311,0.021013971451289234,0.03231252911038659,0.10525317655983311,1.0283419933868683,1.7049345417925479,21040000000.0,2528000000.0,3333000000.0,3333000000.0,2.96,2.96,2.612661266126613,1.3341254,81.09,50.24,6.81222,48129.316,32.4322,3.2239,2.2131
2023-06-30,26284000000.0,10141000000.0,6234000000.0,17996000000.0,8288000000.0,8655000000.0,,3209000000.0,11265000000.0,1044000000.0,572000000.0,311000000.0,0.67,851500000.0,504000000.0,8655000000.0,,19.2664,1.9018,0.67,1044000000.0,0.06901544401544402,0.02176228884492467,0.05077674212161563,0.09267643142476698,0.03971998173793943,0.06161836746739066,0.09267643142476698,1.044280888030888,1.6267244145011228,22440000000.0,1148000000.0,1821000000.0,1821000000.0,1.3800000000000001,1.3800000000000001,4.752883031301483,1.3341254,81.09,50.24,6.81222,48129.316,32.4322,3.2239,2.2131
2023-09-30,26544000000.0,10511000000.0,6349000000.0,18042000000.0,8502000000.0,8651000000.0,,3902000000.0,16996000000.0,1689000000.0,929000000.0,524000000.0,1.09,852700000.0,1545000000.0,8651000000.0,,38.1159,2.0678,1.09,1689000000.0,0.10926840743354505,0.03499849306811332,0.05465991998117204,0.09937632384090374,0.06363019891500904,0.09846674051186381,0.09937632384090374,1.01752528816749,1.6555363049299103,24120000000.0,-1187000000.0,-572000000.0,-572000000.0,-1.3099999999999994,-1.3099999999999994,-15.124125874125873,1.3341254,81.09,50.24,6.81222,48129.316,32.4322,3.2239,2.2131
2023-12-31,32822000000.0,18780000000.0,6891000000.0,23817000000.0,9005000000.0,,,10015000000.0,-11436000000.0,-992000000.0,-525000000.0,-313000000.0,-0.6200000000000001,-1703400000.0,438000000.0,0.0,2.8042,35.7326,2.1813,-0.6200000000000001,-992000000.0,-0.05830094392004442,-0.015995368959844006,0.04590766002098636,0.08674361664917804,-0.030223630491743342,-0.11016102165463632,0.08674361664917804,0.0,2.7252938615585545,22098000000.0,1349000000.0,2296000000.0,2296000000.0,1.58,1.58,0.0,1.3341254,81.09,50.24,6.81222,48129.316,32.4322,3.2239,2.2131
2024-03-31,40810000000.0,11715000000.0,8637000000.0,28904000000.0,11906000000.0,15647000000.0,,1313000000.0,6182000000.0,500000000.0,269000000.0,46000000.0,0.29,913000000.0,40000000.0,15647000000.0,,41.4987,2.2457,0.29,500000000.0,0.02259365026037292,0.006591521685861308,0.04351342607570365,0.08087997411840828,0.012251899044351875,0.01814684426378253,0.08087997411840828,1.3142113220225096,1.3563737408822507,23007000000.0,1245000000.0,2241000000.0,2241000000.0,1.4299999999999997,1.4299999999999997,6.98215082552432,1.3341254,81.09,50.24,6.81222,48129.316,32.4322,3.2239,2.2131
2024-06-30,40424000000.0,11573000000.0,10675000000.0,26345000000.0,14079000000.0,11270000000.0,,2919000000.0,12871000000.0,4191000000.0,2606000000.0,1201000000.0,2.85,913600000.0,700000000.0,11270000000.0,,16.4862,2.3529,2.85,4191000000.0,0.18509837346402444,0.06446665347318424,0.20247067049957268,0.3256157252738715,0.10367603403918464,0.16533196575801806,0.3256157252738715,0.8004829888486398,1.0841217798594849,24613000000.0,3279000000.0,5388000000.0,5388000000.0,3.6099999999999994,3.6099999999999994,2.0916852264291017,1.3341254,81.09,50.24,6.81222,48129.316,32.4322,3.2239,2.2131
2024-09-30,40201000000.0,11194000000.0,10378000000.0,25159000000.0,15042000000.0,10337000000.0,,2225000000.0,17338000000.0,1872000000.0,3053000000.0,339000000.0,3.0,914400000.0,431000000.0,10337000000.0,,20.9221,3.033,3.0,1872000000.0,0.20296503124584497,0.07594338449292307,0.1760872072903449,0.10797093090321837,0.046566005820750725,0.07376177154340202,0.10797093090321837,0.6872091477197181,1.0786278666409712,24955000000.0,5403000000.0,5571000000.0,5571000000.0,5.52,5.52,1.855501705259379,1.3341254,81.09,50.24,6.81222,48129.316,32.4322,3.2239,2.2131
2024-12-31,37403000000.0,9891000000.0,7892000000.0,23008000000.0,14395000000.0,,,3969000000.0,-13905000000.0,-3917000000.0,-324000000.0,-524000000.0,-0.14000000000000057,-1829300000.0,-608000000.0,0.0,1.2533,10.9288,2.5515,-0.14000000000000057,-3917000000.0,-0.022507815213615837,-0.008662406758816138,0.02330097087378641,0.2816972312117943,-0.10472421998235436,-0.27210837096213963,0.2816972312117943,0.0,1.253294475418145,22486000000.0,5604000000.0,2646000000.0,2646000000.0,6.0,6.0,0.0,1.3341254,81.09,50.24,6.81222,48129.316,32.4322,3.2239,2.2131
2025-03-31,36447000000.0,8444000000.0,7011000000.0,22249000000.0,14198000000.0,11080000000.0,,1698000000.0,5218000000.0,629000000.0,412000000.0,111000000.0,0.0,878300000.0,483000000.0,11080000000.0,,9.5314,2.3776,0.0,629000000.0,0.029018171573461052,0.011304085384256592,0.07895745496358758,0.12054426983518589,0.01725793618130436,0.02488329772925073,0.12054426983518589,0.7803916044513312,1.2043930965625447,21522000000.0,5747000000.0,2775000000.0,2775000000.0,5.709999999999999,5.709999999999999,3.992792792792793,1.3341254,81.09,50.24,6.81222,48129.316,32.4322,3.2239,2.2131
2025-06-30,38493000000.0,9131000000.0,7829000000.0,23479000000.0,15014000000.0,11336000000.0,,1797000000.0,11331000000.0,1532000000.0,1003000000.0,273000000.0,1.0,872300000.0,1132000000.0,11336000000.0,,15.6827,2.7933,1.0,1532000000.0,0.06680431597175969,0.026056685631153716,0.08851822434030536,0.1352043067690407,0.039799444054763204,0.058140417457305506,0.1352043067690407,0.7550286399360597,1.1663047643377187,19982000000.0,4144000000.0,116000000.0,116000000.0,3.8599999999999994,3.8599999999999994,97.72413793103448,1.3341254,81.09,50.24,6.81222,48129.316,32.4322,3.2239,2.2131
2025-09-30,38077000000.0,8839000000.0,7747000000.0,23238000000.0,14839000000.0,11336000000.0,580000000.0,1423000000.0,16910000000.0,2071000000.0,1431000000.0,272000000.0,1.0,867700000.0,1473000000.0,11916000000.0,,12.7589,2.3033,1.0,2071000000.0,0.09643506974863535,0.03758174225910655,0.08462448255470136,0.12247191011235956,0.05438978911153715,0.07740609231919267,0.12247191011235956,0.803019071365995,1.1409577901123016,19554000000.0,2522000000.0,315000000.0,315000000.0,1.8599999999999994,1.8599999999999994,37.82857142857143,1.3341254,81.09,50.24,6.81222,48129.316,32.4322,3.2239,2.2131
2025-12-31,37190000000.0,8533000000.0,7114000000.0,23062000000.0,14128000000.0,11365000000.0,468000000.0,1555000000.0,-11712000000.0,-2060000000.0,-1362000000.0,-416000000.0,-1.0,-1755900000.0,-575000000.0,11833000000.0,1.1995,29.9881,2.0464,-1.0,-2060000000.0,-0.09640430351075878,-0.036622748050551227,0.11629098360655737,0.1758879781420765,-0.055391234202742674,-0.07934979392165172,0.1758879781420765,0.8375566251415628,1.1994658420016868,21747000000.0,1484000000.0,2172000000.0,2172000000.0,1.0,1.0,5.447974217311234,1.3341254,81.09,50.24,6.81222,48129.316,32.4322,3.2239,2.2131
