report_date,total_assets,total_liabilities,total_equity,cash,revenue,net_income,interest_expense,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2014-03-31,5679849000.0,2885246000.0,2670677000.0,16768000.0,,40036000.0,23133000.0,0.0,88824000.0,94019000.0,57396000.0,0.0,,19.077,7.4765,0.0,0.014990955476832279,0.007048778937609081,,0.0,,312924000.0,96367000.0,3.0600000000000005,3.0600000000000005,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2014-06-30,5790088000.0,3013492000.0,2646681000.0,16069000.0,,75308000.0,45879000.0,0.0,88899000.0,193998000.0,115349000.0,0.0,,22.0581,7.4985,0.0,0.028453750187498985,0.013006365360940974,,0.0,,252584000.0,92554000.0,2.0600000000000005,2.0600000000000005,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2014-09-30,5911976000.0,3100068000.0,2683611000.0,66127000.0,,113591000.0,68846000.0,1.0,89052000.0,327006000.0,174528000.0,0.0,,24.0947,7.1119,1.0,0.04232766969579421,0.019213711287055294,,0.0,,159807000.0,87433000.0,1.0600000000000003,1.0600000000000003,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2014-12-31,6056907000.0,3100364000.0,2815602000.0,153918000.0,,63154000.0,-44595000.0,2.0,-178307000.0,-196495000.0,-111639000.0,0.0,0.3552,21.8407,7.5588,2.0,0.022430016742423113,0.0104267739293339,,0.0,,292089000.0,93263000.0,3.0,3.0,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2015-03-31,6077059000.0,3067248000.0,2863000000.0,174353000.0,,115599000.0,24612000.0,1.0,90464000.0,76536000.0,61530000.0,0.0,,19.1031,8.3652,1.0,0.04037687740132728,0.019022194782048356,,0.0,,367652000.0,94742000.0,4.0,4.0,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2015-06-30,6000768000.0,3011892000.0,2842382000.0,16508000.0,,151678000.0,49023000.0,1.0,90496000.0,194622000.0,125258000.0,0.0,,17.505,7.7013,1.0,0.05336298921116162,0.025276431283462384,,0.0,,444022000.0,97886000.0,5.0,5.0,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2015-09-30,6033888000.0,3065336000.0,2819780000.0,10375000.0,,188722000.0,72288000.0,2.0,89450000.0,317653000.0,190337000.0,0.0,,17.4795,7.6675,2.0,0.0669279163622694,0.031277014091080246,,0.0,,519153000.0,101328000.0,6.0,6.0,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2015-12-31,6037612000.0,3065352000.0,2816557000.0,10617000.0,,-206684000.0,-48611000.0,-2.0,-180920000.0,-165573000.0,-120043000.0,0.0,0.1363,26.7447,7.9792,-2.0,-0.07338179202480191,-0.034232739699073075,,0.0,,249315000.0,97312000.0,2.0,2.0,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2016-03-31,6040455000.0,3087750000.0,2788159000.0,6935000.0,,41730000.0,23790000.0,0.0,90509000.0,96510000.0,62091000.0,0.0,,43.2297,8.9038,0.0,0.014966865232578199,0.006908419978296337,,0.0,,175446000.0,96490000.0,1.0,1.0,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2016-06-30,6199474000.0,2854604000.0,3194449000.0,341726000.0,,488032000.0,46860000.0,5.0,89780000.0,222066000.0,124547000.0,0.0,,13.1359,8.8755,5.0,0.15277501691214979,0.07872151734163253,,0.0,,511800000.0,94327000.0,5.0,5.0,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2016-09-30,6088279000.0,2895029000.0,3040047000.0,313742000.0,,778930000.0,69936000.0,8.0,89858000.0,357511000.0,187379000.0,0.0,,8.7194,8.3723,8.0,0.2562230123415855,0.12793927479341863,,0.0,,1102008000.0,91975000.0,11.0,11.0,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2016-12-31,6028152000.0,2855562000.0,3014873000.0,237364000.0,,-488869000.0,-47441000.0,-4.0,-180244000.0,-233024000.0,-123871000.0,0.0,1.0211,8.9699,8.3906,-4.0,-0.16215243560839876,-0.08109765646254441,,0.0,,819823000.0,93145000.0,9.0,9.0,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2017-03-31,5935346000.0,2788043000.0,2991321000.0,245529000.0,,34861000.0,22956000.0,0.0,90949000.0,72985000.0,63734000.0,0.0,,8.9655,8.2989,0.0,0.011654048495631194,0.005873457082367229,,0.0,,812954000.0,92311000.0,9.0,9.0,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2017-06-30,5798600000.0,2673411000.0,2961148000.0,16318000.0,,74049000.0,44922000.0,0.0,90995000.0,203447000.0,128767000.0,0.0,,18.4632,8.5142,0.0,0.025006855449305473,0.012770151415859,,0.0,,398971000.0,90373000.0,4.0,4.0,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2017-09-30,6168895000.0,2629303000.0,3386907000.0,350274000.0,,108433000.0,66132000.0,1.0,91345000.0,333871000.0,195781000.0,0.0,,56.4799,9.5002,1.0,0.03201534615506124,0.01757737812039271,,0.0,,-271526000.0,86569000.0,-3.0,-3.0,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2017-12-31,6173748000.0,2611804000.0,3405363000.0,368492000.0,,-20921000.0,-47260000.0,1.0,-180774000.0,-175647000.0,-124308000.0,0.0,1.5538,45.2122,9.8615,1.0,-0.006143544755727951,-0.003388703264208387,,0.0,,196422000.0,86750000.0,2.0,2.0,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2018-03-31,6128375000.0,2589792000.0,3383378000.0,101401000.0,,39395000.0,20374000.0,0.0,96046000.0,87154000.0,70224000.0,0.0,,38.3378,8.4485,0.0,0.011643688644898679,0.006428294613172333,,0.0,,200956000.0,84168000.0,2.0,2.0,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2018-06-30,6131906000.0,2617364000.0,3349898000.0,64071000.0,,78066000.0,40981000.0,0.0,95289000.0,231283000.0,145793000.0,0.0,,43.3066,9.3789,0.0,0.02330399313650744,0.012731114925766963,,0.0,,204973000.0,80227000.0,2.0,2.0,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2018-09-30,6198500000.0,2723703000.0,3340002000.0,8529000.0,709586000.0,116932000.0,62216000.0,1.0,95333000.0,375950000.0,222269000.0,0.0,,41.8479,9.1322,1.0,0.035009559874515046,0.01886456400742115,0.16478904600710836,0.0,,213472000.0,76311000.0,2.0,2.0,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2018-12-31,6219586000.0,2781808000.0,3311423000.0,34378000.0,244919000.0,-78265000.0,-39308000.0,0.0,-191302000.0,-190640000.0,-137340000.0,0.0,0.2075,52.5004,8.5915,0.0,-0.023634854260539954,-0.012583634987923633,-0.3195546282648549,0.0,,156128000.0,84263000.0,1.0,1.0,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2019-03-31,6285394000.0,2559074000.0,3652828000.0,6092000.0,,38613000.0,20470000.0,0.4,97041000.0,92651000.0,80274000.0,0.0,,64.574,10.3196,0.4,0.01057071397832036,0.00614329030129217,,0.0,,155346000.0,84359000.0,1.4,1.4,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2019-06-30,6621602000.0,2932834000.0,3615623000.0,149551000.0,3710000.0,81012000.0,39819000.0,0.82,98024000.0,218671000.0,164920000.0,0.0,,63.6713,10.2211,0.82,0.02240609709585319,0.01223450156019646,21.83611859838275,0.0,,158292000.0,83197000.0,2.2199999999999998,2.2199999999999998,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2019-09-30,6648646000.0,2990865000.0,3584878000.0,157239000.0,5849000.0,124609000.0,60538000.0,1.26,98375000.0,408435000.0,250734000.0,0.0,,65.6215,10.6424,1.26,0.03475962082949545,0.018742011531370447,21.304325525730896,0.0,,165969000.0,81519000.0,2.48,2.48,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2019-12-31,6748504000.0,3046780000.0,3628685000.0,23184000.0,-863000.0,-24611000.0,-40121000.0,-0.2599999999999998,-194056000.0,-164160000.0,-159654000.0,0.0,0.1397,46.7842,9.9881,-0.2599999999999998,-0.006782346773004546,-0.003646882331254453,28.51796060254925,0.0,,219623000.0,80706000.0,2.22,2.22,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2020-03-31,6715570000.0,3044246000.0,3598553000.0,22277000.0,2527000.0,43284000.0,19707000.0,0.43,99380000.0,110584000.0,91859000.0,0.0,,35.1968,7.5482,0.43,0.01202816798863321,0.006445320352553841,17.128611001187178,0.0,11223000.0,224294000.0,79943000.0,2.2500000000000004,2.2500000000000004,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2020-06-30,7321700000.0,3711133000.0,3538212000.0,601584000.0,4907000.0,59761000.0,43189000.0,0.6,99394000.0,250174000.0,184662000.0,0.0,,46.5259,8.8689,0.6,0.0168901693849888,0.008162175451056448,12.178724271448951,0.0,12420000.0,203043000.0,83313000.0,2.0300000000000002,2.0300000000000002,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2020-09-30,7324723000.0,3758716000.0,3494063000.0,589614000.0,7449000.0,94718000.0,67454000.0,0.95,99414000.0,413284000.0,275237000.0,0.0,,45.6601,8.2867,0.95,0.0271082690838717,0.012931273988108493,12.715532286212914,0.0,14020000.0,173152000.0,90229000.0,1.7200000000000002,1.7200000000000002,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2020-12-31,7198952000.0,3682365000.0,3444905000.0,420441000.0,-4083000.0,-73852000.0,-38824000.0,-0.74,-198750000.0,-254723000.0,-184596000.0,0.0,1.3001,78.4819,9.3225,-0.74,-0.021438036752827728,-0.010258715435246686,18.087680626989957,0.0,10800000.0,123911000.0,91526000.0,1.24,1.24,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2021-03-31,7104033000.0,3629957000.0,3405977000.0,333402000.0,2206000.0,31347000.0,23644000.0,0.31,99621000.0,88456000.0,93141000.0,0.0,,98.0429,10.5019,0.31,0.009203526623931988,0.004412563961907271,14.20988213961922,0.0,10479000.0,111974000.0,95463000.0,1.12,1.12,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2021-06-30,7457117000.0,3670909000.0,3718241000.0,374556000.0,4469000.0,61526000.0,47728000.0,0.61,100197000.0,243669000.0,192727000.0,0.0,,82.5316,9.6786,0.61,0.016547071585730995,0.00825064163536659,13.767285746251957,0.0,10041000.0,113739000.0,100002000.0,1.13,1.13,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2021-09-30,7685567000.0,3731745000.0,3888685000.0,428226000.0,7717000.0,91009000.0,72715000.0,0.9,101199000.0,436022000.0,304189000.0,0.0,,97.8939,10.8465,0.9,0.023403541299951012,0.011841546628895435,11.793313463781262,0.0,10309000.0,110030000.0,105263000.0,1.08,1.08,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2021-12-31,7976784000.0,3710529000.0,4197490000.0,613391000.0,-3860000.0,120025000.0,-46790000.0,1.1400000000000001,-198188000.0,-190680000.0,-169365000.0,0.0,0.8502,54.4756,12.9399,1.1400000000000001,0.028594469552041816,0.015046790786863478,-31.094559585492227,0.0,10532000.0,303907000.0,97297000.0,2.96,2.96,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2022-03-31,8462710000.0,4176171000.0,4216429000.0,1129716000.0,2450000.0,80745000.0,24542000.0,0.76,106152000.0,122287000.0,113138000.0,0.0,,45.6079,12.0576,0.76,0.01915009122648573,0.009541269876907043,32.957142857142856,0.0,10776000.0,353305000.0,98195000.0,3.41,3.41,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2022-06-30,9486016000.0,4308736000.0,5107107000.0,72095000.0,3640000.0,578060000.0,53564000.0,5.37,108393000.0,330634000.0,270872000.0,0.0,,16.429,9.3474,5.37,0.11318736811271038,0.060938121968168724,158.80769230769232,0.0,9947000.0,869839000.0,104031000.0,8.17,8.17,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2022-09-30,9414125000.0,4305763000.0,5037993000.0,62027000.0,4257000.0,607904000.0,82756000.0,5.62,108099000.0,576530000.0,429749000.0,0.0,,14.5892,7.9064,5.62,0.12066392311382727,0.06457360615033261,142.80103359173125,0.0,6487000.0,1386734000.0,114072000.0,12.89,12.89,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2022-12-31,9327935000.0,4271014000.0,4986620000.0,10687000.0,-5159000.0,-613096000.0,-47438000.0,-5.71,-214256000.0,-284739000.0,-236739000.0,0.0,0.0361,16.2297,6.8729,-5.71,-0.12294820940837682,-0.06572687309677866,118.84008528784648,0.0,5188000.0,653613000.0,113424000.0,6.04,6.04,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2023-06-30,9260403000.0,4268861000.0,4921034000.0,20326000.0,1296000.0,133016000.0,66421000.0,1.22,108636000.0,366642000.0,285498000.0,0.0,,47.9303,6.3472,1.22,0.027030091643341622,0.0143639537069823,102.6358024691358,0.0,4034000.0,705884000.0,155303000.0,6.500000000000001,6.500000000000001,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2023-09-30,9214464000.0,4279485000.0,4864265000.0,14600000.0,2373000.0,180979000.0,99427000.0,1.66,108659000.0,602970000.0,429857000.0,0.0,,38.2118,5.3779,1.66,0.0372058265740045,0.019640751757237316,76.26590813316477,0.0,2767000.0,308803000.0,201166000.0,2.790000000000001,2.790000000000001,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2023-12-31,9383737000.0,4331966000.0,4980757000.0,259686000.0,3451000.0,403309000.0,133395000.0,3.7,109399000.0,794950000.0,574813000.0,0.0,0.2794,23.8111,5.521,3.7,0.08097343435947588,0.04297957199780855,116.86728484497247,0.0,1961000.0,104208000.0,251805000.0,0.870000000000001,0.870000000000001,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2024-03-31,9103604000.0,4109976000.0,4922387000.0,92693000.0,1284000.0,83889000.0,32537000.0,0.77,108729000.0,135890000.0,144802000.0,0.0,,21.7761,5.5108,0.77,0.01704234144938218,0.009214921914441798,65.33411214953271,0.0,8404000.0,801193000.0,331780000.0,7.350000000000001,7.350000000000001,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2024-06-30,9079574000.0,4152642000.0,4855440000.0,93932000.0,3890000.0,126806000.0,64764000.0,1.17,108577000.0,360959000.0,290696000.0,0.0,,29.2939,7.5114,1.17,0.026116273705369647,0.013966073738701838,32.59794344473008,0.0,10998000.0,794983000.0,330123000.0,7.300000000000001,7.300000000000001,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2024-09-30,8947181000.0,4132903000.0,4742562000.0,31234000.0,5597000.0,122602000.0,97250000.0,1.13,108547000.0,622519000.0,436540000.0,0.0,,38.189,8.5254,1.13,0.025851427983440173,0.01370286350527613,21.904949079864213,0.0,14222000.0,736606000.0,327946000.0,6.770000000000001,6.770000000000001,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2024-12-31,8852144000.0,4104955000.0,4675198000.0,21045000.0,-3634000.0,-170004000.0,-64736000.0,-1.5699999999999998,-217314000.0,-344491000.0,-290024000.0,0.0,0.0732,75.8104,8.0185,-1.5699999999999998,-0.03636295190064678,-0.019204838963306516,46.78150798018712,0.0,7137000.0,163293000.0,129815000.0,1.5000000000000009,1.5000000000000009,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2025-03-31,8993132000.0,4305914000.0,4614956000.0,26182000.0,2487000.0,38822000.0,33790000.0,0.36,108597000.0,148216000.0,149252000.0,0.0,,110.4369,8.4167,0.36,0.00841221454765766,0.00431684979159652,15.609971853638923,0.0,8340000.0,118226000.0,131068000.0,1.0900000000000007,1.0900000000000007,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2025-06-30,9119573000.0,4459577000.0,4587485000.0,33091000.0,5120000.0,119492000.0,69165000.0,1.1,108636000.0,378879000.0,301360000.0,0.0,,77.1871,7.7146,1.1,0.026047387620885955,0.01310280645815325,23.33828125,0.0,9570000.0,110912000.0,135469000.0,1.020000000000001,1.020000000000001,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2025-09-30,9055166000.0,4443391000.0,4536293000.0,25931000.0,7685000.0,228426000.0,104160000.0,2.1,108617000.0,629806000.0,460834000.0,0.0,,42.3969,7.2717,2.1,0.05035521294590098,0.025226042239314,29.723617436564737,0.0,11658000.0,216736000.0,142379000.0,1.990000000000001,1.990000000000001,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2025-12-31,9042989000.0,4604736000.0,4362523000.0,25203000.0,-2325000.0,-2278000.0,-68876000.0,-0.020000000000000018,-217416000.0,-330280000.0,-300421000.0,0.0,0.0713,40.6336,9.928,-0.020000000000000018,-0.0005221748974160136,-0.000251907859226634,0.9797849462365591,0.0,12967000.0,384462000.0,138239000.0,3.540000000000001,3.540000000000001,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
