report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-12-31,2429345000.0,1236061000.0,297828000.0,650990000.0,1778355000.0,171059000.0,2328000.0,338920000.0,-1093216000.0,-565953000.0,-274856000.0,-195058000.0,-11495000.0,-69707000.0,-0.8600000000000001,-461309000.0,-82131000.0,-56930000.0,-139061000.0,173387000.0,4.1508,14.6146,1.915,-0.8600000000000001,-274856000.0,-0.10968451181007166,-0.08029242450125446,0.17842585545765888,0.5176954965898779,0.25141966454936626,-0.1131399615945862,-0.14082599032044193,0.12720359014138102,0.25141966454936626,0.09749853094573356,4.150251151671434,1656750000.0,217049000.0,287368000.0,886037000.0,171592000.0,287368000.0,25482000.0,0.94,0.94,0.6033622393585925,11.277293775998745,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2013-03-31,2389538000.0,1207450000.0,417445000.0,598273000.0,1791265000.0,,176835000.0,305219000.0,280367000.0,153417000.0,4408000.0,6589000.0,,-8015000.0,0.03,234757000.0,-36494000.0,22547000.0,-59041000.0,176835000.0,,15.8783,1.9594,0.03,4408000.0,0.003678406042657005,0.0027574367932211162,0.023501339315967998,0.5472006334554352,0.015722249765485953,0.0018447080565364518,0.002239723591280931,-0.21058469791380582,0.015722249765485953,0.0987207364627791,2.892476853238151,1540449000.0,190074000.0,245366000.0,848528000.0,128456000.0,245366000.0,,0.82,0.82,0.7206988743346674,,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2013-06-30,2506170000.0,1282203000.0,465070000.0,639677000.0,1866493000.0,,179565000.0,227601000.0,709256000.0,394650000.0,90316000.0,73145000.0,,5786000.0,0.0,234833000.0,68977000.0,50798000.0,18179000.0,179565000.0,,22.8428,2.3356,0.0,90316000.0,0.03918846735562362,0.029185969028437817,0.10312919453624643,0.5564281444217603,0.12733907080095197,0.036037459549831015,0.04414146617544566,0.025631083839967515,0.12733907080095197,0.09620448616737379,2.757010772571871,1304753000.0,118268000.0,131831000.0,742746000.0,91178000.0,131831000.0,,0.18999999999999992,0.18999999999999992,1.3620847903755566,,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2013-09-29,2611648000.0,1494380000.0,487723000.0,660147000.0,1951501000.0,,183573000.0,572868000.0,1142632000.0,648944000.0,183822000.0,142604000.0,,23879000.0,0.0,235165000.0,223429000.0,82925000.0,140504000.0,183573000.0,,25.0627,2.2737,0.0,183822000.0,0.0730740081608977,0.054603070551621044,0.12480308620798297,0.5679378837631013,0.16087594256068447,0.07038544244859951,0.08609631328937545,0.12296522414915738,0.16087594256068447,0.09406759207399842,3.0639932912739405,1039039000.0,27280000.0,3690000.0,631058000.0,-39419000.0,3690000.0,,-0.8300000000000001,-0.8300000000000001,49.74878048780488,,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2013-12-31,2629824000.0,1440277000.0,475632000.0,644730000.0,1985094000.0,,186663000.0,341638000.0,-704322000.0,-388210000.0,-87887000.0,-57391000.0,,15325000.0,0.6699999999999999,-469156000.0,11363000.0,-49539000.0,-38176000.0,186663000.0,3.0284,20.4618,2.3643,0.6699999999999999,-87887000.0,-0.028910973485386585,-0.021823133411209266,0.08148403713074417,0.5511825557060549,0.12478241486138443,-0.03341934669392324,-0.040468155507268996,0.05420248125147305,0.12478241486138443,0.09403232290259303,3.0281330944932217,1427933000.0,164947000.0,190659000.0,808801000.0,61466000.0,190659000.0,,0.7,0.7,0.9790411152896008,,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2014-03-30,2433449000.0,1261247000.0,273053000.0,443619000.0,1989830000.0,,,232626000.0,321010000.0,167047000.0,3688000.0,929000.0,,-2802000.0,0.0,236484000.0,,31197000.0,,0.0,,24.2398,2.6293,0.0,3688000.0,0.00046687405456747564,0.00038176267511667595,0.0028939908414068096,0.5203794274321673,0.011488738668577303,0.0015155443980950495,0.0018534246644185683,,0.011488738668577303,0.0,4.619055641212512,1468576000.0,159287000.0,189939000.0,822431000.0,,189939000.0,,0.6699999999999999,0.6699999999999999,0.0,,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2014-06-29,2630663000.0,1354627000.0,361232000.0,529190000.0,2101473000.0,,,254625000.0,846577000.0,457460000.0,124355000.0,102134000.0,,17385000.0,0.0,226526000.0,,91389000.0,,0.0,,19.6357,2.4324,0.0,124355000.0,0.0486011478615238,0.03882443323223081,0.12064348547149285,0.5403643141734302,0.14689154087578565,0.04727135326721819,0.05917515951906115,,0.14689154087578565,0.0,3.7500193781281834,1605897000.0,188276000.0,223978000.0,885241000.0,,223978000.0,,0.6699999999999999,0.6699999999999999,0.0,,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2014-09-28,2695007000.0,1401021000.0,329804000.0,505099000.0,2189908000.0,,,211704000.0,1324587000.0,718581000.0,222593000.0,185083000.0,,35106000.0,0.0,223795000.0,,146352000.0,,0.0,,19.3618,2.4931,0.0,222593000.0,0.08451633584607207,0.06867625946797169,0.1397288362334826,0.5424943774927581,0.16804709694417957,0.08259459066340087,0.10164490928386033,,0.16804709694417957,0.0,4.248041260870092,1787852000.0,230755000.0,262749000.0,954878000.0,,262749000.0,,0.6699999999999999,0.6699999999999999,0.0,,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2014-12-31,2538520000.0,1243846000.0,292406000.0,459540000.0,2078980000.0,,,294256000.0,-844350000.0,-464280000.0,-254213000.0,-206874000.0,6934000.0,-35585000.0,0.0,-464255000.0,,-99956000.0,,0.0,4.2654,52.7638,2.6001,0.0,-254213000.0,-0.09950745076912716,-0.08149394135165372,0.24500977082963227,0.5498667614141055,0.3010753834310416,-0.1001422088460993,-0.12227775158972189,,0.3010753834310416,0.0,4.2538320007113395,1647824000.0,81272000.0,96423000.0,878808000.0,,96423000.0,,0.0,0.0,0.0,,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2015-04-05,2512182000.0,1321156000.0,293133000.0,454960000.0,2057222000.0,,,218945000.0,342401000.0,192423000.0,35124000.0,32787000.0,162000.0,9651000.0,0.0,218812000.0,,21149000.0,,0.0,,36.209,2.4534,0.0,35124000.0,0.015937511848502495,0.013051204092697105,0.09575614557200475,0.561981419446789,0.10258147610550203,0.013981471087683934,0.017073509810803113,,0.10258147610550203,0.0,4.507018998202181,1669215000.0,113130000.0,127859000.0,904184000.0,,127859000.0,,0.0,0.0,0.0,,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
