report_date,total_assets,total_liabilities,total_equity,cash,shares_outstanding,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2013-06-30,23482383000.0,12435577000.0,10322384000.0,152564000.0,,1156751000.0,182281000.0,1342445000.0,833000.0,3.0,348654000.0,417819000.0,0.0,,10.6999,10.2615,3.0,182281000.0,0.13005183686249222,0.05716817581929398,1.1605306587156614,0.1575801533778661,0.007762457498457461,0.017658808275297644,0.1575801533778661,0.0,2224531000.0,2807988000.0,511015000.0,511015000.0,7.448,7.448,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2013-09-30,23811431000.0,12512584000.0,10598637000.0,972761000.0,,1756773000.0,291521000.0,1719637000.0,1326000.0,4.871,352414000.0,767093000.0,0.0,,9.2505,8.8013,4.871,291521000.0,0.16225076866015886,0.07221896911613586,0.9788612416060584,0.1659411887591624,0.012242901319118536,0.02750551792650319,0.1659411887591624,0.0,2371341000.0,4052923000.0,312746000.0,312746000.0,10.8,10.8,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2013-12-31,22834545000.0,11626205000.0,10507201000.0,53534000.0,,-1064984000.0,-79043000.0,-2249155000.0,-1397000.0,-5.728000000000001,-684295000.0,-509510000.0,0.0,0.1055,10.2136,7.8313,-5.728000000000001,-79043000.0,-0.21405843478201284,-0.09849791182613886,2.1119143573987964,0.0742198943833898,-0.0034615535365386087,-0.007522745591333029,0.0742198943833898,0.0,2387702000.0,1830613000.0,512288000.0,512288000.0,5.155,5.155,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2014-03-31,22889631000.0,11764797000.0,10376561000.0,37209000.0,,633442000.0,199252000.0,79135000.0,222000.0,0.216,376384000.0,336903000.0,0.0,,24.4103,8.6541,0.216,199252000.0,0.0076263224395828255,0.003457242277081706,0.12492856488834021,0.314554450131188,0.008704902232805763,0.019202122938418616,0.314554450131188,0.0,2481982000.0,892062000.0,594011000.0,594011000.0,2.3590000000000004,2.3590000000000004,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2014-06-30,22991402000.0,11922733000.0,10289738000.0,76132000.0,,1286010000.0,427556000.0,191825000.0,886000.0,0.0,376780000.0,619536000.0,0.0,,33.4976,8.9268,0.0,427556000.0,0.01864235999011831,0.008343336348083513,0.1491629147518293,0.33246708812528675,0.01859634310252154,0.041551689654294406,0.33246708812528675,0.0,2611241000.0,-258558000.0,839286000.0,839286000.0,-0.6409999999999998,-0.6409999999999998,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2014-09-30,23008094000.0,11860523000.0,10378336000.0,31478000.0,,1950088000.0,670825000.0,413569000.0,1146000.0,1.0,377228000.0,1014271000.0,0.0,,42.5258,8.6146,1.0,670825000.0,0.03984925907197454,0.017974935255393166,0.21207709600797503,0.3439972965322591,0.029156043955661865,0.06463704778877848,0.3439972965322591,0.0,2804556000.0,-1564626000.0,1218590000.0,1218590000.0,-4.5120000000000005,-4.5120000000000005,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2014-12-31,22950614000.0,11742105000.0,10368456000.0,40080000.0,,-1254792000.0,-376258000.0,-53221000.0,-860000.0,-0.21599999999999997,-752657000.0,-646637000.0,0.0,0.0787,41.2983,9.9692,-0.21599999999999997,-376258000.0,-0.005132972546732127,-0.002318935780977363,0.042414200919355556,0.29985686870812056,-0.01639424548728849,-0.03628872032634367,0.29985686870812056,0.0,2614748000.0,631308000.0,921375000.0,921375000.0,1.0000000000000002,1.0000000000000002,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2015-03-31,23029048000.0,11813593000.0,10331362000.0,49418000.0,,666371000.0,218171000.0,182522000.0,43000.0,0.0,380327000.0,347895000.0,0.0,,38.5769,10.7027,0.0,218171000.0,0.01766678972240059,0.00792572927895239,0.2739044766353878,0.3274017026551275,0.009473730742147917,0.021117351226295236,0.3274017026551275,0.0,2647677000.0,734695000.0,940294000.0,940294000.0,0.7840000000000003,0.7840000000000003,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2015-06-30,23081830000.0,11748919000.0,10500764000.0,92109000.0,,1345483000.0,464355000.0,468942000.0,369000.0,1.27,380346000.0,675047000.0,0.0,,28.1245,9.5522,1.27,464355000.0,0.04465789346375178,0.020316500034875916,0.34853060202172753,0.34512141736461927,0.02011777229101852,0.04422106810513978,0.34512141736461927,0.0,2707150000.0,1011812000.0,977093000.0,977093000.0,2.0540000000000003,2.0540000000000003,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2015-09-30,23008804000.0,11781555000.0,10478534000.0,37366000.0,,2041772000.0,721856000.0,665634000.0,698000.0,1.8,380423000.0,1063346000.0,0.0,,30.9682,10.1069,1.8,721856000.0,0.06352358068409188,0.028929534972786938,0.32600799697517646,0.3535438824707166,0.031373034426300475,0.06888902588854509,0.3535438824707166,0.0,2798834000.0,1263877000.0,1028124000.0,1028124000.0,2.854,2.854,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2015-12-31,23157328000.0,11894190000.0,10470368000.0,42276000.0,,-1308661000.0,-395562000.0,-446978000.0,-193000.0,-1.0700000000000003,-760476000.0,-729789000.0,0.0,0.0751,34.2034,10.8417,-1.0700000000000003,-395562000.0,-0.04268980803731063,-0.01930179509483996,0.3415536949599629,0.3022646812276059,-0.017081504394634822,-0.03777918789482853,0.3022646812276059,0.0,2744965000.0,870120000.0,1008820000.0,1008820000.0,2.0,2.0,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
