report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_pe,eps,roe,roa,debt_equity,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2013-12-31,65227000000.0,58074000000.0,7153000000.0,3543000000.0,253000000.0,-290000000.0,-63000000.0,-115000000.0,-0.1499999999999999,-175000000.0,-62000000.0,3796000000.0,15.9931,-0.1499999999999999,-0.040542429749755346,-0.004446011620954512,0.5306864252761079,533000000.0,112000000.0,2.85,2.85,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2014-03-31,65681000000.0,58398000000.0,7283000000.0,3534000000.0,160000000.0,137000000.0,25000000.0,64000000.0,0.0,214000000.0,29000000.0,3694000000.0,17.2667,0.0,0.018810929561993685,0.0020858391315601165,0.5072085678978443,538000000.0,107000000.0,2.85,2.85,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2014-06-30,65325000000.0,57956000000.0,7369000000.0,2620000000.0,176000000.0,286000000.0,50000000.0,134000000.0,1.0,346000000.0,61000000.0,2796000000.0,16.388,1.0,0.03881123626000814,0.004378109452736319,0.37942733070972995,551000000.0,98000000.0,2.85,2.85,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2014-09-30,68887000000.0,61454000000.0,7433000000.0,2669000000.0,202000000.0,438000000.0,71000000.0,207000000.0,2.0,565000000.0,92000000.0,2871000000.0,15.9979,2.0,0.05892640925602045,0.006358238854936345,0.38625050450692855,571000000.0,83000000.0,2.85,2.85,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2014-12-31,69190000000.0,61788000000.0,7402000000.0,2679000000.0,116000000.0,-275000000.0,-51000000.0,-128000000.0,0.0,-486000000.0,-59000000.0,2795000000.0,14.1389,0.0,-0.03715212104836531,-0.00397456279809221,0.3776006484733856,586000000.0,95000000.0,3.0,3.0,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2015-03-31,69336000000.0,61836000000.0,7500000000.0,2686000000.0,80000000.0,132000000.0,22000000.0,61000000.0,0.0,338000000.0,30000000.0,2766000000.0,13.6671,0.0,0.0176,0.001903772931810315,0.3688,581000000.0,92000000.0,3.0,3.0,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2015-06-30,69945000000.0,62422000000.0,7523000000.0,2841000000.0,56000000.0,266000000.0,45000000.0,125000000.0,1.0,394000000.0,60000000.0,2897000000.0,15.971,1.0,0.03535823474677655,0.0038029880620487526,0.3850857370729762,561000000.0,87000000.0,3.0,3.0,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2015-09-30,71012000000.0,63390000000.0,7622000000.0,3100000000.0,109000000.0,400000000.0,71000000.0,188000000.0,2.0,663000000.0,90000000.0,3209000000.0,13.2001,2.0,0.05247966413014957,0.005632850785782685,0.4210181054841249,523000000.0,87000000.0,3.0,3.0,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2015-12-31,71877000000.0,64317000000.0,7560000000.0,3058000000.0,23000000.0,-283000000.0,-43000000.0,-145000000.0,-1.0,-533000000.0,-62000000.0,3081000000.0,14.1897,-1.0,-0.03743386243386243,-0.003937281745203611,0.40753968253968254,515000000.0,95000000.0,2.0,2.0,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2016-03-31,69007000000.0,61363000000.0,7644000000.0,3109000000.0,514000000.0,59000000.0,25000000.0,25000000.0,0.0,245000000.0,30000000.0,3623000000.0,14.8156,0.0,0.00771847200418629,0.0008549857260857594,0.4739665096807954,442000000.0,98000000.0,2.0,2.0,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2016-06-30,71280000000.0,63586000000.0,7694000000.0,5921000000.0,12000000.0,162000000.0,53000000.0,67000000.0,0.0,239000000.0,59000000.0,5933000000.0,17.3155,0.0,0.021055367819079802,0.0022727272727272726,0.7711203535222251,338000000.0,106000000.0,1.0,1.0,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2016-09-30,74124000000.0,66397000000.0,7727000000.0,5890000000.0,12000000.0,310000000.0,83000000.0,131000000.0,1.0,397000000.0,91000000.0,5902000000.0,19.182,1.0,0.04011906302575385,0.004182181209864551,0.7638151934774169,248000000.0,118000000.0,0.0,0.0,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2016-12-31,72978000000.0,65182000000.0,7796000000.0,5160000000.0,25000000.0,-58000000.0,-49000000.0,-30000000.0,1.0,-388000000.0,-59000000.0,5185000000.0,24.9042,1.0,-0.007439712673165726,-0.0007947600646770259,0.6650846587993843,473000000.0,112000000.0,2.0,2.0,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2017-03-31,72976000000.0,65046000000.0,7930000000.0,5153000000.0,41000000.0,200000000.0,26000000.0,66000000.0,1.0,407000000.0,31000000.0,5194000000.0,19.5346,1.0,0.025220680958385876,0.002740627055470292,0.6549810844892812,614000000.0,113000000.0,3.0,3.0,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2017-06-30,71447000000.0,63462000000.0,7985000000.0,5143000000.0,541000000.0,402000000.0,55000000.0,165000000.0,2.0,656000000.0,60000000.0,5684000000.0,18.0485,2.0,0.05034439574201628,0.005626548350525565,0.7118346900438322,854000000.0,115000000.0,5.0,5.0,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2017-09-30,72017000000.0,63983000000.0,8034000000.0,4637000000.0,509000000.0,626000000.0,88000000.0,273000000.0,3.0,858000000.0,91000000.0,5146000000.0,16.8081,3.0,0.07791884490913617,0.008692392074093617,0.6405277570326114,1170000000.0,120000000.0,7.0,7.0,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2017-12-31,71567000000.0,63604000000.0,7963000000.0,4622000000.0,10000000.0,-490000000.0,-48000000.0,-13000000.0,-2.0,-818000000.0,-61000000.0,4632000000.0,20.2635,-2.0,-0.06153459751349994,-0.0068467310352536784,0.5816903177194525,738000000.0,121000000.0,4.0,4.0,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2018-03-31,72335000000.0,64335000000.0,8000000000.0,5594000000.0,48000000.0,279000000.0,41000000.0,54000000.0,1.0,358000000.0,31000000.0,5642000000.0,19.7051,1.0,0.034875,0.003857053984931223,0.70525,817000000.0,136000000.0,4.0,4.0,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2018-06-30,71987000000.0,63908000000.0,8079000000.0,5583000000.0,58000000.0,603000000.0,101000000.0,147000000.0,3.0,614000000.0,60000000.0,5641000000.0,16.6966,3.0,0.0746379502413665,0.008376512425854668,0.6982299789577918,1018000000.0,182000000.0,5.0,5.0,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2018-09-30,71448000000.0,63662000000.0,7786000000.0,6418000000.0,84000000.0,919000000.0,177000000.0,210000000.0,5.0,967000000.0,90000000.0,6502000000.0,14.9135,5.0,0.11803236578474184,0.012862501399619303,0.8350886206010789,1311000000.0,271000000.0,7.0,7.0,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2018-12-31,70818000000.0,63311000000.0,7507000000.0,6463000000.0,44000000.0,-574000000.0,-52000000.0,-111000000.0,-2.0,-323000000.0,-61000000.0,6507000000.0,8.9936,-2.0,-0.07646196882909284,-0.008105283967352933,0.8667909950712668,1227000000.0,267000000.0,7.0,7.0,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2019-03-31,70690000000.0,63281000000.0,7409000000.0,6848000000.0,935000000.0,337000000.0,104000000.0,85000000.0,2.11,40000000.0,29000000.0,7783000000.0,9.2917,2.11,0.045485220677554325,0.004767293818078936,1.0504791469833985,1285000000.0,330000000.0,8.11,8.11,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2019-06-30,72537000000.0,65214000000.0,7323000000.0,6558000000.0,1733000000.0,634000000.0,228000000.0,172000000.0,4.06,425000000.0,57000000.0,8291000000.0,8.8975,4.06,0.08657653966953434,0.008740366985124834,1.1321862624607402,1316000000.0,457000000.0,9.17,9.17,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2019-09-30,72848000000.0,65648000000.0,7200000000.0,7311000000.0,51000000.0,924000000.0,353000000.0,252000000.0,6.02,869000000.0,84000000.0,7362000000.0,7.6768,6.02,0.12833333333333333,0.012683944651877882,1.0225,1321000000.0,633000000.0,10.19,10.19,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2019-12-31,73402000000.0,66075000000.0,7327000000.0,7269000000.0,71000000.0,-704000000.0,-217000000.0,-175000000.0,-4.319999999999999,-244000000.0,-56000000.0,7340000000.0,8.5104,-4.319999999999999,-0.09608298075610755,-0.009591019318274706,1.0017742595878258,1191000000.0,468000000.0,7.87,7.87,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2020-03-31,76337000000.0,68935000000.0,7402000000.0,7434000000.0,2263000000.0,-65000000.0,96000000.0,-21000000.0,-0.46,699000000.0,26000000.0,9697000000.0,5.0992,-0.46,-0.008781410429613617,-0.0008514874831339979,1.3100513374763578,789000000.0,460000000.0,5.3,5.3,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2020-06-30,84397000000.0,76595000000.0,7802000000.0,6521000000.0,752000000.0,47000000.0,136000000.0,6000000.0,0.34,744000000.0,55000000.0,7273000000.0,8.5442,0.34,0.006024096385542169,0.0005568918326480799,0.9321968725967701,202000000.0,368000000.0,1.580000000000001,1.580000000000001,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2020-09-30,83631000000.0,75757000000.0,7874000000.0,5754000000.0,10000000.0,250000000.0,162000000.0,54000000.0,1.78,720000000.0,82000000.0,5764000000.0,9.7604,1.78,0.031750063500127,0.002989322141311236,0.7320294640589281,-472000000.0,177000000.0,-2.6599999999999984,-2.6599999999999984,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2020-12-31,88129000000.0,80079000000.0,8050000000.0,5728000000.0,0.0,227000000.0,-212000000.0,78000000.0,1.6099999999999999,-1235000000.0,-55000000.0,5728000000.0,15.6416,1.6099999999999999,0.028198757763975155,0.0025757696104573976,0.711552795031056,459000000.0,182000000.0,3.270000000000001,3.270000000000001,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2021-03-31,86291000000.0,78139000000.0,8152000000.0,2852000000.0,,343000000.0,16000000.0,98000000.0,2.43,159000000.0,25000000.0,2852000000.0,11.0454,2.43,0.04207556427870461,0.003974922066032379,0.34985279685966636,867000000.0,102000000.0,6.160000000000001,6.160000000000001,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2021-06-30,88355000000.0,80424000000.0,7931000000.0,2854000000.0,,664000000.0,30000000.0,191000000.0,4.76,3000000.0,51000000.0,2854000000.0,8.9247,4.76,0.08372210313957887,0.007515137796389564,0.3598537384945152,1484000000.0,-4000000.0,10.580000000000002,10.580000000000002,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2021-09-30,94529000000.0,86726000000.0,7803000000.0,2837000000.0,,919000000.0,44000000.0,261000000.0,6.67,205000000.0,76000000.0,2837000000.0,9.0835,6.67,0.1177752146610278,0.009721884289477303,0.3635781109829553,2153000000.0,-122000000.0,15.469999999999999,15.469999999999999,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2021-12-31,94616000000.0,86719000000.0,7897000000.0,2796000000.0,,-786000000.0,-33000000.0,-228000000.0,-5.51,267000000.0,-53000000.0,2796000000.0,9.7687,-5.51,-0.0995314676459415,-0.008307263042191596,0.35405850322907434,1140000000.0,57000000.0,8.350000000000001,8.350000000000001,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2022-03-31,89165000000.0,82129000000.0,7036000000.0,2682000000.0,,182000000.0,13000000.0,49000000.0,1.37,-710000000.0,23000000.0,2682000000.0,11.7719,1.37,0.02586696986924389,0.0020411596478438847,0.38118249005116545,979000000.0,54000000.0,7.290000000000001,7.290000000000001,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2022-06-30,86889000000.0,80454000000.0,6435000000.0,2630000000.0,,437000000.0,29000000.0,125000000.0,3.29,-352000000.0,46000000.0,2630000000.0,10.209,3.29,0.06790986790986792,0.005029405333241262,0.4087024087024087,752000000.0,53000000.0,5.820000000000001,5.820000000000001,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2022-09-30,84143000000.0,79074000000.0,5069000000.0,3016000000.0,508000000.0,780000000.0,72000000.0,229000000.0,5.88,41000000.0,71000000.0,3524000000.0,9.0392,5.88,0.15387650424146773,0.009269933327787219,0.6952061550601697,613000000.0,81000000.0,5.030000000000001,5.030000000000001,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2022-12-31,85406000000.0,80225000000.0,5181000000.0,3024000000.0,3211000000.0,-277000000.0,92000000.0,-78000000.0,-2.0699999999999985,1659000000.0,-48000000.0,6235000000.0,7.6057,-2.0699999999999985,-0.05346458212700251,-0.003243331850221296,1.2034356301872224,1122000000.0,206000000.0,8.470000000000002,8.470000000000002,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2023-03-31,91127000000.0,85133000000.0,5994000000.0,7084000000.0,,317000000.0,241000000.0,85000000.0,2.39,462000000.0,20000000.0,7084000000.0,4.4411,2.39,0.05288621955288622,0.003478661648029673,1.1818485151818485,1257000000.0,434000000.0,9.490000000000002,9.490000000000002,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2023-06-30,90761000000.0,85166000000.0,5595000000.0,6961000000.0,,583000000.0,694000000.0,168000000.0,4.4,307000000.0,42000000.0,6961000000.0,4.2985,4.4,0.10420017873100983,0.0064234638225669615,1.2441465594280607,1403000000.0,1099000000.0,10.600000000000001,10.600000000000001,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2023-09-30,85706000000.0,80734000000.0,4972000000.0,6049000000.0,,827000000.0,1196000000.0,244000000.0,6.24,129000000.0,64000000.0,6049000000.0,4.4278,6.24,0.166331456154465,0.009649266095722586,1.2166130329847145,1450000000.0,2223000000.0,10.960000000000003,10.960000000000003,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2023-12-31,85834000000.0,79428000000.0,6406000000.0,6206000000.0,3565000000.0,-873000000.0,-470000000.0,-234000000.0,-6.590000000000001,353000000.0,-39000000.0,9771000000.0,8.3539,-6.590000000000001,-0.13627848891664066,-0.010170794789943378,1.5252887917577271,854000000.0,1661000000.0,6.44,6.44,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2024-03-31,79444000000.0,73394000000.0,6050000000.0,7121000000.0,,131000000.0,471000000.0,29000000.0,0.98,-205000000.0,22000000.0,7121000000.0,10.3145,0.98,0.02165289256198347,0.0016489602739036301,1.1770247933884297,668000000.0,1891000000.0,5.030000000000001,5.030000000000001,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2024-06-30,79597000000.0,73436000000.0,6161000000.0,7112000000.0,,331000000.0,909000000.0,92000000.0,2.47,-94000000.0,47000000.0,7112000000.0,10.7586,2.47,0.053725044635611105,0.004158448182720455,1.1543580587566953,416000000.0,2106000000.0,3.1000000000000005,3.1000000000000005,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2024-09-30,79663000000.0,72297000000.0,7366000000.0,6786000000.0,,508000000.0,,143000000.0,3.8,955000000.0,70000000.0,6786000000.0,14.1737,3.8,0.06896551724137931,0.0063768625334220405,0.9212598425196851,97000000.0,,0.6600000000000001,0.6600000000000001,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2024-12-31,79297000000.0,72754000000.0,6543000000.0,6673000000.0,0.0,-299000000.0,,-74000000.0,-2.2300000000000004,-55000000.0,-43000000.0,6673000000.0,11.6535,-2.2300000000000004,-0.04569769219012685,-0.0037706344502314087,1.0198685618217942,671000000.0,,5.0200000000000005,5.0200000000000005,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2025-03-31,77622000000.0,70570000000.0,7052000000.0,5733000000.0,,165000000.0,,53000000.0,1.25,273000000.0,25000000.0,5733000000.0,10.5871,1.25,0.023397617697107204,0.002125686016850893,0.8129608621667612,705000000.0,,5.290000000000001,5.290000000000001,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2025-06-30,77988000000.0,71128000000.0,6860000000.0,5762000000.0,,352000000.0,,98000000.0,2.66,749000000.0,50000000.0,5762000000.0,10.6693,2.66,0.05131195335276968,0.004513514899728163,0.8399416909620991,726000000.0,,5.48,5.48,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2025-09-30,77376000000.0,69947000000.0,7429000000.0,5422000000.0,,527000000.0,,149000000.0,4.01,479000000.0,74000000.0,5422000000.0,12.193,4.01,0.07093821510297482,0.006810897435897436,0.7298425090860142,745000000.0,,5.69,5.69,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
