report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,roi,roic,debt_equity,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2019-03-31,100579000000.0,97136000000.0,3430000000.0,88140000000.0,7505000000.0,1206000000.0,,164000000.0,128000000.0,949000000.0,36000000.0,0.52,247000000.0,188000000.0,95645000000.0,,1.8062,7.4522,0.52,164000000.0,0.037317784256559766,0.0012726314638244565,,0.0016305590630250847,0.0016553116326015645,27.88483965014577,397000000.0,3774000000.0,1.52,1.52,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2019-06-30,98320000000.0,95008000000.0,3301000000.0,86776000000.0,6785000000.0,1746000000.0,,,281000000.0,1860000000.0,78000000.0,1.16,242000000.0,522000000.0,93561000000.0,,1.9002,6.7421,1.16,,0.08512571947894577,0.002858014646053702,,,,28.343229324447137,468000000.0,3861000000.0,2.6799999999999997,2.6799999999999997,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2019-09-30,96553000000.0,93301000000.0,3240000000.0,84769000000.0,7004000000.0,1583000000.0,,,425000000.0,2714000000.0,119000000.0,1.79,238000000.0,831000000.0,91773000000.0,,1.6841,5.6813,1.79,,0.13117283950617284,0.0044017275486002505,,,,28.325,570000000.0,3868000000.0,3.4699999999999998,3.4699999999999998,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2019-12-31,94903000000.0,91554000000.0,3336000000.0,81715000000.0,8483000000.0,1233000000.0,,,-237000000.0,-2035000000.0,-67000000.0,-0.9099999999999997,-494000000.0,-522000000.0,90198000000.0,0.3895,1.8074,5.0565,-0.9099999999999997,,-0.0710431654676259,-0.0024972867032654394,,,,27.037769784172664,597000000.0,3488000000.0,2.5600000000000005,2.5600000000000005,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2020-03-31,93245000000.0,91197000000.0,2035000000.0,81297000000.0,8452000000.0,1084000000.0,,,-106000000.0,714000000.0,-25000000.0,-0.53,200000000.0,453000000.0,89749000000.0,,0.8894,4.0364,-0.53,,-0.052088452088452086,-0.001136790176416966,,,,44.1027027027027,363000000.0,3253000000.0,1.5100000000000002,1.5100000000000002,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2020-06-30,91045000000.0,88919000000.0,2115000000.0,80260000000.0,7310000000.0,1632000000.0,,,19000000.0,1234000000.0,20000000.0,0.1,198000000.0,595000000.0,87570000000.0,,0.8319,4.0555,0.1,,0.008983451536643027,0.00020868801142292273,,,,41.40425531914894,101000000.0,2627000000.0,0.4500000000000003,0.4500000000000003,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2020-09-30,89664000000.0,87399000000.0,2254000000.0,79137000000.0,7078000000.0,1775000000.0,,,227000000.0,1658000000.0,71000000.0,1.15,197000000.0,816000000.0,86215000000.0,,0.946,3.9549,1.15,,0.10070984915705412,0.0025316738044254103,,,,38.24977817213842,-97000000.0,1571000000.0,-0.18999999999999995,-0.18999999999999995,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2020-12-31,87412000000.0,84965000000.0,2433000000.0,77332000000.0,6613000000.0,1183000000.0,,,272000000.0,-1560000000.0,54000000.0,1.4000000000000004,-400000000.0,-877000000.0,83945000000.0,0.489,1.0697,4.4508,1.4000000000000004,,0.11179613645704892,0.0031117009106301193,,,,34.502671598849155,412000000.0,2046000000.0,2.12,2.12,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2021-03-31,84957000000.0,82220000000.0,2723000000.0,75674000000.0,5684000000.0,1497000000.0,,,370000000.0,329000000.0,114000000.0,2.0,185000000.0,179000000.0,81358000000.0,,1.4045,2.8961,2.0,,0.1358795446199045,0.004355144367150441,,,,29.878075651854573,888000000.0,1661000000.0,4.65,4.65,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2021-06-30,83348000000.0,80636000000.0,2701000000.0,75814000000.0,4068000000.0,1453000000.0,,,555000000.0,667000000.0,170000000.0,3.08,180000000.0,333000000.0,79882000000.0,,1.7157,3.4259,3.08,,0.2054794520547945,0.006658828046263858,,,,29.57497223250648,1424000000.0,1094000000.0,7.63,7.63,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2021-09-30,81939000000.0,79205000000.0,2723000000.0,75629000000.0,2781000000.0,1050000000.0,,,728000000.0,995000000.0,217000000.0,4.15,176000000.0,534000000.0,78410000000.0,,1.6745,3.4829,4.15,,0.26735218508997427,0.008884658099317785,,,,28.79544619904517,1925000000.0,431000000.0,10.63,10.63,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2021-12-31,80605000000.0,77997000000.0,2597000000.0,74488000000.0,2490000000.0,905000000.0,,,-936000000.0,-675000000.0,-282000000.0,-5.050000000000001,-369000000.0,-344000000.0,76978000000.0,1.1827,1.827,4.77,-5.050000000000001,,-0.36041586445899115,-0.0116121828670678,,,,29.641124374278014,717000000.0,1316000000.0,4.18,4.18,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2022-03-31,78158000000.0,75328000000.0,2824000000.0,70825000000.0,3802000000.0,708000000.0,,,255000000.0,289000000.0,77000000.0,1.67,153000000.0,-109000000.0,74627000000.0,,1.405,4.2103,1.67,,0.09029745042492918,0.003262621868522736,,,,26.42599150141643,602000000.0,1276000000.0,3.8499999999999996,3.8499999999999996,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2022-06-30,76065000000.0,73138000000.0,2927000000.0,67738000000.0,4609000000.0,976000000.0,,,435000000.0,660000000.0,141000000.0,2.9,150000000.0,30000000.0,72347000000.0,,1.1349,3.3248,2.9,,0.14861633071404168,0.005718793137448235,,,,24.71711650153741,482000000.0,1269000000.0,3.6699999999999995,3.6699999999999995,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2022-09-30,73625000000.0,70652000000.0,2973000000.0,63998000000.0,5677000000.0,1364000000.0,,,540000000.0,1301000000.0,173000000.0,3.67,147000000.0,98000000.0,69675000000.0,,1.2487,3.7766,3.67,,0.18163471241170534,0.0073344651952461795,,,,23.435923309788095,294000000.0,1575000000.0,3.189999999999999,3.189999999999999,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2022-12-31,70795000000.0,67818000000.0,2977000000.0,61026000000.0,5870000000.0,1535000000.0,,,-585000000.0,-148000000.0,-209000000.0,-3.75,-306000000.0,286000000.0,66896000000.0,0.6216,1.5301,3.4587,-3.75,,-0.1965065502183406,-0.008263295430468253,,,,22.470943903258313,645000000.0,2102000000.0,4.49,4.49,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2023-03-31,66913000000.0,63955000000.0,2958000000.0,57388000000.0,5753000000.0,570000000.0,,,111000000.0,837000000.0,33000000.0,0.86,130000000.0,145000000.0,63141000000.0,,1.5204,4.0363,0.86,,0.037525354969574036,0.0016588704736000479,,,,21.345841784989858,501000000.0,2650000000.0,3.68,3.68,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2023-06-30,65598000000.0,62668000000.0,2930000000.0,56936000000.0,4838000000.0,1317000000.0,,,177000000.0,1756000000.0,63000000.0,1.39,128000000.0,244000000.0,61774000000.0,,1.9115,5.8381,1.39,,0.060409556313993175,0.002698252995518156,,,,21.083276450511946,243000000.0,3746000000.0,2.1700000000000004,2.1700000000000004,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2023-09-30,63414000000.0,60516000000.0,2898000000.0,54907000000.0,4662000000.0,977000000.0,,,256000000.0,2636000000.0,93000000.0,2.04,125000000.0,366000000.0,59569000000.0,,1.6192,5.5529,2.04,,0.0883367839889579,0.004036963446557543,,,,20.555210489993097,-41000000.0,5081000000.0,0.5400000000000005,0.5400000000000005,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2024-06-30,56622000000.0,53874000000.0,2748000000.0,47545000000.0,5326000000.0,1088000000.0,,,109000000.0,1718000000.0,27000000.0,0.97,113000000.0,461000000.0,52871000000.0,,1.4729,9.7307,0.97,,0.03966521106259097,0.0019250468015965525,,,,19.23981077147016,653000000.0,6947000000.0,5.260000000000001,5.260000000000001,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2024-09-30,53440000000.0,50746000000.0,2694000000.0,44695000000.0,5305000000.0,1143000000.0,,,107000000.0,,41000000.0,0.95,112000000.0,451000000.0,50000000000.0,,1.9152,21.1156,0.95,,0.03971789161098738,0.002002245508982036,,,,18.55976243504083,649000000.0,,5.3500000000000005,5.3500000000000005,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2024-12-31,51789000000.0,49148000000.0,2641000000.0,43184000000.0,5134000000.0,722000000.0,,,131000000.0,,43000000.0,1.18,111000000.0,459000000.0,48318000000.0,0.2688,1.7599,10.8552,1.18,,0.049602423324498296,0.0025294946803375235,,,,18.295342673229836,603000000.0,,5.140000000000001,5.140000000000001,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2025-03-31,50950000000.0,48361000000.0,2589000000.0,42872000000.0,4855000000.0,642000000.0,,,-2000000.0,,-3000000.0,-0.02,102000000.0,71000000.0,47727000000.0,,1.7484,22.8545,-0.02,,-0.000772499034376207,-3.925417075564279e-05,,,,18.434530706836618,345000000.0,,3.0800000000000005,3.0800000000000005,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2025-06-30,50222000000.0,47658000000.0,2564000000.0,42345000000.0,4752000000.0,712000000.0,,,11000000.0,,1000000.0,0.11,102000000.0,197000000.0,47097000000.0,,2.1726,41.4706,0.11,,0.004290171606864275,0.00021902751782087532,,,,18.368564742589705,247000000.0,,2.22,2.22,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2025-09-30,49306000000.0,46867000000.0,2439000000.0,41414000000.0,4920000000.0,571000000.0,,,-75000000.0,,-29000000.0,-0.75,100000000.0,267000000.0,46334000000.0,,2.1335,,-0.75,,-0.03075030750307503,-0.0015211130491218107,,,,18.997129971299714,65000000.0,,0.5200000000000004,0.5200000000000004,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2025-12-31,48681000000.0,46282000000.0,2399000000.0,40633000000.0,5073000000.0,637000000.0,,,-14000000.0,,0.0,-0.15000000000000002,-205000000.0,-94000000.0,45706000000.0,0.2623,2.343,,-0.15000000000000002,,-0.005835764902042517,-0.00028758653273350997,,,,19.052105043768236,-80000000.0,,-0.8099999999999996,-0.8099999999999996,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
