report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2013-03-30,4570420000.0,2313955000.0,605101000.0,,3618325000.0,1093440000.0,531957000.0,276133000.0,79926000.0,88666000.0,,-7032000.0,0.0,196457.0,59363000.0,11616000.0,47747000.0,0.0,,11.7168,2.3694,0.0,79926000.0,0.024504708670448343,0.01939996761785569,0.16667888569940803,0.5190889489188036,0.15024898629024527,0.017487670717352015,0.02208922636855451,0.08975725481570879,0.15024898629024527,0.0,3.8240806080307252,2691035000.0,544211000.0,593753000.0,1430854000.0,554337000.0,593753000.0,2.3200000000000003,2.3200000000000003,0.0,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2013-06-29,4599181000.0,2346259000.0,889735000.0,,3366357000.0,1083490000.0,,,,,,,,,,,,0.0,,13.3572,2.6559,,,,,,,,,,,,0.0,2.63703125087807,,,,,,,,,,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2013-09-28,4823226000.0,2444638000.0,974033000.0,,3557504000.0,1068700000.0,1872156000.0,1012662000.0,401561000.0,448827000.0,,192000.0,2.0,196312.0,480271000.0,41325000.0,438946000.0,0.0,,15.2578,3.3408,2.0,401561000.0,0.12616345617601554,0.09305535340869368,0.23973803465095858,0.5409068475062976,0.2144912069293371,0.08325568820536297,0.11287717455834202,0.2344601625078252,0.2144912069293371,0.0,2.5098102425687836,,,,,,,,,,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2013-12-28,4879603000.0,2595636000.0,905304000.0,,3659706000.0,1179149000.0,227738000.0,118505000.0,92545000.0,74919000.0,,47986000.0,1.0,,,3142000.0,,0.0,2.8671,14.8719,3.461,1.0,92545000.0,0.020471316548378478,0.015353503143595904,0.32897013234506317,0.5203567257111242,0.4063660873459853,0.018965682249150188,0.025287550420716856,,0.4063660873459853,0.0,2.8671429707589935,,,,,,,,,,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2014-03-29,4738914000.0,2387495000.0,697108000.0,,3752370000.0,1136691000.0,583221000.0,330834000.0,120369000.0,118818000.0,,23649000.0,0.0,195860.0,71173000.0,15537000.0,55636000.0,0.0,,16.8562,4.037,0.0,120369000.0,0.031664787854076226,0.025072833142783347,0.20372723204411364,0.5672532367661658,0.20638660130550854,0.025400123319393432,0.03207812662397365,0.09539437023015289,0.20638660130550854,0.0,3.424856693654355,,,,,,,,,,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2014-06-28,4741802000.0,2496569000.0,969250000.0,,3480616000.0,1234886000.0,1361069000.0,775319000.0,339123000.0,300800000.0,,50387000.0,1.0,195464.0,235352000.0,36761000.0,198591000.0,0.0,,17.9885,4.2435,1.0,339123000.0,0.08642148401317468,0.06343579930161572,0.22100275592199956,0.5696397464052153,0.24915930052039978,0.071517747894155,0.09743189136635584,0.14590810605487303,0.24915930052039978,0.0,2.575774052102141,4044184000.0,943364000.0,953598000.0,2237320000.0,,953598000.0,4.0,4.0,0.0,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2014-09-27,4669364000.0,2421485000.0,1123483000.0,,3236413000.0,1154558000.0,2067352000.0,1173564000.0,514626000.0,153966000.0,,369882000.0,0.0,194763000.0,377694000.0,54829000.0,322865000.0,0.0,,31.2309,3.5086,0.0,514626000.0,0.04757303842247575,0.03297365551282787,0.07447498055483537,0.5676653032478262,0.2489300322344719,0.11021329671449902,0.15901122631753117,0.1561732109481114,0.2489300322344719,0.0,2.1553374639402643,4239380000.0,648503000.0,1066663000.0,2398222000.0,,1066663000.0,2.0,2.0,0.0,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2014-12-27,4693303000.0,2510976000.0,1033261000.0,,3403367000.0,1196268000.0,-1140984000.0,-675305000.0,-283492000.0,-209373000.0,,-84384000.0,0.0,,,-33788000.0,,0.0,2.4301,28.3141,3.5923,0.0,-283492000.0,-0.061519371845587034,-0.04461101275583528,0.1835021349992638,0.5918619367142747,0.24846273041515043,-0.0604035153920384,-0.08329751096487684,,0.24846273041515043,0.0,2.4301468844754615,2870658000.0,364211000.0,690626000.0,1604412000.0,,690626000.0,1.0000000000000002,1.0000000000000002,0.0,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2015-03-28,4543279000.0,2500307000.0,824261000.0,,3477630000.0,1171388000.0,,,,,,,,,,,,0.0,,29.4803,3.2038,,,,,,,,,,,,0.0,3.033392335680082,,,,,,,,,,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2015-06-27,4423409000.0,2283296000.0,961681000.0,,3208505000.0,938183000.0,1359224000.0,763372000.0,278362000.0,204545000.0,,45208000.0,1.0,191939.0,,39732000.0,,0.0,,31.3335,2.9271,1.0,278362000.0,0.06375087462852637,0.046241484791480957,0.15048660117831938,0.5616233968793959,0.20479479467696274,0.06292929276944546,0.0867575397264458,,0.20479479467696274,0.0,2.3742758773439427,,,,,,,,,,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
