report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2013-09-30,20311600000.0,5188900000.0,2668700000.0,13830700000.0,6480900000.0,,1710400000.0,12524900000.0,,837100000.0,116200000.0,373000000.0,2.0,355000000.0,1700300000.0,377800000.0,,1322500000.0,0.0,,18.0719,1.1929,2.0,,0.12916415929886282,0.0412129029717009,0.06683486494902155,,,,0.10558966538654999,,0.0,1.9443549293663582,,2459000000.0,3033000000.0,,6.08,6.08,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2013-12-31,20725500000.0,,,20725500000.0,6634300000.0,,1750100000.0,-7550200000.0,,-429600000.0,,-192800000.0,-0.3700000000000001,-709400000.0,-861200000.0,-275300000.0,,-1136500000.0,0.0,1.1887,17.898,1.2243,-0.3700000000000001,,-0.0647543825271694,-0.02072808858652385,0.05689915498927181,,,,0.1505258138857249,,0.0,,17123800000.0,1171300000.0,1314500000.0,,3.2999999999999994,3.2999999999999994,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2014-03-31,20597600000.0,4918900000.0,2411400000.0,13734100000.0,6863500000.0,,1289900000.0,4379900000.0,,273900000.0,,132600000.0,0.0,356000000.0,,80300000.0,,,0.0,,19.7841,1.3607,0.0,,0.03990675311430028,0.013297665747465725,0.06253567433046417,,,,,,0.0,2.039852367919051,17579400000.0,1209100000.0,,,2.6299999999999994,2.6299999999999994,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2014-06-30,20907400000.0,5142400000.0,2340500000.0,13748100000.0,7159300000.0,,1380300000.0,8949500000.0,,593100000.0,,294400000.0,1.0,356200000.0,,158000000.0,,,0.0,,18.0204,1.2486,1.0,,0.08284329473551884,0.028367946277394605,0.06627185876305938,,,,,,0.0,2.1971373638111515,18304100000.0,1274500000.0,,,2.6299999999999994,2.6299999999999994,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2014-09-30,21026100000.0,5470400000.0,2598100000.0,13863400000.0,7162700000.0,,1648400000.0,13877900000.0,,964500000.0,,475400000.0,2.0,356200000.0,,228400000.0,,,0.0,,15.538,1.0921,2.0,,0.13465592583802197,0.045871559633027525,0.06949898759898832,,,,,,0.0,2.10553866286902,19657100000.0,1401900000.0,,,2.6299999999999994,2.6299999999999994,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2014-12-31,20618800000.0,5200400000.0,2651600000.0,13865600000.0,6753200000.0,,1737600000.0,-9414500000.0,,-472700000.0,,-243600000.0,0.0,-712300000.0,,-168500000.0,,,0.0,1.2219,17.7783,1.2716,0.0,,-0.06999644612924244,-0.02292567947698217,0.050209782781879014,,,,,,0.0,1.9612309548951576,17792800000.0,1358800000.0,,,2.9999999999999996,2.9999999999999996,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2015-03-31,20326800000.0,5225500000.0,2501000000.0,13595200000.0,6731600000.0,,1564700000.0,4548000000.0,,378400000.0,,183300000.0,1.0,356100000.0,,54800000.0,,,0.0,,15.3035,1.1514,1.0,,0.05621249034404896,0.01861581754137395,0.0832014072119613,,,,,,0.0,2.089364254298281,17960900000.0,1463300000.0,,,3.9999999999999996,3.9999999999999996,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2015-06-30,21415300000.0,5754700000.0,2647200000.0,14196700000.0,7218600000.0,,1963100000.0,9334100000.0,,825600000.0,,388300000.0,2.0,356200000.0,,99400000.0,,,0.0,,14.2271,1.1342,2.0,,0.11437120771340703,0.03855187646215556,0.08844987733150492,,,,,,0.0,2.173881837413116,18345500000.0,1695800000.0,,,5.0,5.0,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2015-09-30,21519800000.0,5817400000.0,2520500000.0,14176000000.0,7343800000.0,,2126100000.0,75900000.0,,1256800000.0,,581600000.0,3.0,356100000.0,,187500000.0,221400000.0,,0.0,,11.216,0.9316,3.0,,0.17113755821236962,0.05840202975864088,16.558629776021082,,,,,,0.0,2.308034120214243,4543500000.0,1988100000.0,,,6.0,6.0,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2015-12-31,21109800000.0,5299200000.0,2564300000.0,14169400000.0,6940400000.0,,2016400000.0,-13857800000.0,,-856800000.0,,-420100000.0,-2.0,-712800000.0,,-55000000.0,70800000.0,,0.0,1.264,10.445,0.8765,-2.0,,-0.12345109791942828,-0.040587783872893156,0.06182799578576686,,,,,,0.0,2.0665288772764496,100200000.0,1604000000.0,,,3.9999999999999996,3.9999999999999996,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
