report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-12-31,,,,,,,,-9897000000.0,,-1812000000.0,,-423000000.0,-5.12,,,,0.0,0.1528,10.021,1.5087,-5.12,,,,0.18308578357077904,,,,,,,13595000000.0,1545000000.0,,5.689999999999999,5.689999999999999,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2013-03-31,93461000000.0,65519000000.0,27942000000.0,4307000000.0,1402000000.0,855000000.0,,4310000000.0,,953000000.0,60000000.0,122000000.0,2.77,913000000.0,,,5709000000.0,,11.2298,1.6672,2.77,,0.03410636318087467,0.0101967665657333,0.2211136890951276,,,,,,0.20431608331543913,14495000000.0,1992000000.0,,6.629999999999999,6.629999999999999,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2013-06-30,93688000000.0,66393000000.0,27295000000.0,3807000000.0,1901000000.0,679000000.0,,9015000000.0,,1844000000.0,133000000.0,237000000.0,5.0,1808000000.0,,,5708000000.0,,9.399,1.6185,5.0,,0.06755816083531782,0.019682349927418668,0.2045479755962285,,,,,,0.20912254991756732,16677000000.0,2926000000.0,,8.319999999999999,8.319999999999999,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2013-09-30,94584000000.0,66366000000.0,28218000000.0,3807000000.0,1902000000.0,768000000.0,,14187000000.0,,2760000000.0,205000000.0,392000000.0,8.0,2736000000.0,,,5709000000.0,,9.0274,1.684,8.0,,0.09780990856899852,0.029180411063181935,0.19454430112074433,,,,,,0.2023176695726132,17615000000.0,3745000000.0,,10.649999999999999,10.649999999999999,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2013-12-31,94510000000.0,65685000000.0,28825000000.0,3807000000.0,1901000000.0,579000000.0,,-8251000000.0,,-1799000000.0,-123000000.0,-271000000.0,-4.85,-1435000000.0,,,5708000000.0,,9.3732,1.8267,-4.85,,-0.062411101474414574,-0.01903502274891546,0.2180341776754333,,,,,,0.19802254986990458,19261000000.0,3758000000.0,275000000.0,10.92,10.92,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2014-03-31,95179000000.0,65810000000.0,29369000000.0,3808000000.0,1901000000.0,847000000.0,,4419000000.0,,734000000.0,,93000000.0,2.0,1250000000.0,,,5709000000.0,,9.4602,1.7258,2.0,,0.024992338860703463,0.007711785162693451,0.16610092781172212,,,,,,0.19438864108413634,19370000000.0,3539000000.0,,10.149999999999999,10.149999999999999,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2014-06-30,97447000000.0,67122000000.0,30325000000.0,4057000000.0,1851000000.0,594000000.0,,9234000000.0,,1513000000.0,,226000000.0,4.0,2096000000.0,,,5908000000.0,,10.2187,1.7945,4.0,,0.04989282769991756,0.015526388703602984,0.1638509854884124,,,,,,0.1948227535037098,19589000000.0,3208000000.0,,9.149999999999999,9.149999999999999,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2014-09-30,97557000000.0,67540000000.0,30017000000.0,4057000000.0,1851000000.0,806000000.0,,14434000000.0,,2298000000.0,,402000000.0,6.0,3222000000.0,,,5908000000.0,,10.6811,1.8014,6.0,,0.07655661791651397,0.023555459884990314,0.15920742690868783,,,,,,0.196821800979445,19836000000.0,2746000000.0,,7.149999999999999,7.149999999999999,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2014-12-31,98248000000.0,68661000000.0,29587000000.0,3357000000.0,2552000000.0,655000000.0,,-8916000000.0,,-1692000000.0,280000000.0,-87000000.0,-4.0,-2072000000.0,,,5909000000.0,,13.3579,1.9809,-4.0,,-0.05718727819650522,-0.017221724615259344,0.18977119784656796,,,,,,0.19971609152668401,19171000000.0,2853000000.0,,7.999999999999998,7.999999999999998,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2015-03-31,98398000000.0,68696000000.0,29702000000.0,4157000000.0,2552000000.0,948000000.0,,4389000000.0,,681000000.0,,120000000.0,2.0,1075000000.0,,,6709000000.0,,13.0238,1.8982,2.0,,0.022927748973133124,0.006920872375454786,0.15516062884483936,,,,,,0.22587704531681368,19141000000.0,2800000000.0,,7.999999999999998,7.999999999999998,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2015-06-30,99840000000.0,70285000000.0,29555000000.0,4157000000.0,2102000000.0,790000000.0,,9437000000.0,,1623000000.0,,263000000.0,4.0,1891000000.0,,,6259000000.0,,11.2075,1.7082,4.0,,0.054914566063271865,0.016256009615384617,0.17198262159584612,,,,,,0.21177465741837254,19344000000.0,2910000000.0,,7.999999999999998,7.999999999999998,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2015-09-30,97760000000.0,68633000000.0,29127000000.0,4157000000.0,2103000000.0,1038000000.0,,14308000000.0,,2151000000.0,,395000000.0,6.0,2699000000.0,,,6260000000.0,,12.3777,1.7502,6.0,,0.07384900607683592,0.022002864157119478,0.150335476656416,,,,,,0.21492086380334396,19218000000.0,2763000000.0,,7.999999999999998,7.999999999999998,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2015-12-31,102366000000.0,73231000000.0,29135000000.0,9447000000.0,,1775000000.0,,-9147000000.0,,-1621000000.0,300000000.0,-316000000.0,-4.0,-1801000000.0,,,9447000000.0,,13.3665,1.9834,-4.0,,-0.05563754933928265,-0.01583533595139011,0.17721657374002406,,,,,,0.3242491848292432,18987000000.0,2834000000.0,,7.999999999999998,7.999999999999998,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2016-03-31,156644000000.0,110747000000.0,45897000000.0,12636000000.0,500000000.0,1091000000.0,,6877000000.0,,439000000.0,,124000000.0,0.0,1020000000.0,,,13136000000.0,,21.3205,2.5541,0.0,,0.009564895309061594,0.002802533132453206,0.06383597498909409,,,,,,0.28620607011351507,21475000000.0,2592000000.0,,5.999999999999998,5.999999999999998,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2016-06-30,160203000000.0,112977000000.0,47226000000.0,12631000000.0,500000000.0,1011000000.0,,14774000000.0,,1165000000.0,,279000000.0,2.0,,,,13131000000.0,,25.5522,2.4786,2.0,,0.02466861474611443,0.0072720236200320846,0.07885474482198457,,,,,,0.2780459916147885,26812000000.0,2134000000.0,,3.9999999999999982,3.9999999999999982,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2016-09-30,161810000000.0,113438000000.0,48372000000.0,12621000000.0,500000000.0,870000000.0,,23301000000.0,,2525000000.0,,556000000.0,5.0,,,,13121000000.0,,18.2161,2.0773,5.0,,0.0521996196146531,0.015604721587046537,0.10836444787777348,,,,,,0.27125196394608453,35805000000.0,2508000000.0,,2.9999999999999982,2.9999999999999982,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2016-12-31,159786000000.0,111511000000.0,48275000000.0,12610000000.0,500000000.0,985000000.0,,-13483000000.0,,6000000.0,605000000.0,-144000000.0,1.0,,,,13110000000.0,,14.8222,1.9413,1.0,,0.00012428793371310203,3.755022342382937e-05,-0.0004450048208855596,,,,,,0.2715691351631279,31469000000.0,4135000000.0,,7.999999999999998,7.999999999999998,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2017-03-31,160967000000.0,111743000000.0,49224000000.0,12300000000.0,300000000.0,1063000000.0,,7510000000.0,,1093000000.0,,128000000.0,2.0,,,,12600000000.0,,13.2952,1.9797,2.0,,0.022204615634649764,0.006790211658290209,0.1455392809587217,,,,,,0.25597269624573377,32102000000.0,4789000000.0,,9.999999999999998,9.999999999999998,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2017-06-30,162988000000.0,112639000000.0,50349000000.0,11667000000.0,922000000.0,1297000000.0,,15618000000.0,,2398000000.0,,328000000.0,5.0,,,,12589000000.0,,12.6456,2.0974,5.0,,0.04762755963375638,0.014712739588190542,0.15354078627224996,,,,,,0.2500347573933941,32946000000.0,6022000000.0,,12.999999999999998,12.999999999999998,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2017-09-30,167578000000.0,117107000000.0,50471000000.0,11559000000.0,1020000000.0,1088000000.0,,24228000000.0,,2328000000.0,,243000000.0,4.0,,,,12579000000.0,,17.1949,2.0871,4.0,,0.046125497810623924,0.013892038334387569,0.09608717186726103,,,,,,0.24923223237106457,33873000000.0,5825000000.0,,11.999999999999998,11.999999999999998,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2017-12-31,167022000000.0,115850000000.0,51172000000.0,11556000000.0,1013000000.0,728000000.0,,-15113000000.0,,-1958000000.0,607000000.0,-838000000.0,-3.0,,,,12569000000.0,,17.1092,2.0459,-3.0,,-0.03826311263972485,-0.011723006550035324,0.1295573347449216,,,,,,0.24562260611271788,32243000000.0,3861000000.0,,7.999999999999998,7.999999999999998,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2018-03-31,168781000000.0,117494000000.0,51287000000.0,12786000000.0,1669000000.0,1988000000.0,,7831000000.0,,1082000000.0,,135000000.0,2.0,,,,14455000000.0,,16.1284,1.9053,2.0,,0.021096964142960205,0.0064106741872604145,0.13816881624313626,,,,,,0.28184530192836393,32564000000.0,3850000000.0,,7.999999999999998,7.999999999999998,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2018-06-30,167534000000.0,116563000000.0,50971000000.0,12184000000.0,600000000.0,1000000000.0,,16341000000.0,,2376000000.0,,353000000.0,5.0,,,,12784000000.0,,15.3864,1.7905,5.0,,0.04661474171587766,0.014182195852782123,0.1454011382412337,,,,,,0.2508092837103451,33287000000.0,3828000000.0,,7.999999999999998,7.999999999999998,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2018-09-30,167684000000.0,116750000000.0,50934000000.0,12149000000.0,500000000.0,1053000000.0,,25091000000.0,,3607000000.0,,536000000.0,7.0,,,,12649000000.0,,11.9458,1.8532,7.0,,0.07081713590136254,0.021510698695164716,0.14375672551911045,,,,,,0.24834099030117407,34150000000.0,5107000000.0,,10.999999999999998,10.999999999999998,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2018-12-31,167771000000.0,117459000000.0,50312000000.0,12087000000.0,509000000.0,1247000000.0,,-16546000000.0,,-3103000000.0,641000000.0,-329000000.0,-6.0,,,,12596000000.0,,15.0244,1.8167,-6.0,,-0.061675147082207026,-0.018495449153906218,0.18753777347999517,,,,,,0.250357767530609,32717000000.0,3962000000.0,,7.999999999999998,7.999999999999998,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2019-03-31,171347000000.0,118992000000.0,52355000000.0,12071000000.0,509000000.0,1271000000.0,,7876000000.0,1228000000.0,1040000000.0,,188000000.0,2.25,1322000000.0,,,12580000000.0,,16.5342,1.9747,2.25,1228000000.0,0.019864387355553435,0.006069554763141461,0.13204672422549518,0.15591670898933468,0.007166743508786264,0.01891121891121891,,0.15591670898933468,0.24028268551236748,32762000000.0,3920000000.0,,8.249999999999998,8.249999999999998,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2019-06-30,174516000000.0,120714000000.0,53802000000.0,13371000000.0,9000000.0,1270000000.0,,16403000000.0,,2190000000.0,,396000000.0,4.75,,,,13380000000.0,,17.9268,2.0607,4.75,,0.04070480651276904,0.012548992642508423,0.13351216240931538,,,,,,0.24868963979034236,32824000000.0,3734000000.0,,7.999999999999998,7.999999999999998,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2019-09-30,175148000000.0,120576000000.0,54572000000.0,13285000000.0,10000000.0,1478000000.0,,25448000000.0,,3281000000.0,,626000000.0,7.13,4913000000.0,,,13295000000.0,,20.2355,2.219,7.13,,0.060122407095213666,0.018732728892136934,0.12892958189248663,,,,,,0.2436231034230008,33181000000.0,3408000000.0,,8.129999999999999,8.129999999999999,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2019-12-31,176943000000.0,121612000000.0,55331000000.0,13559000000.0,1299000000.0,1537000000.0,,-15541000000.0,,-2057000000.0,552000000.0,-415000000.0,-4.419999999999998,107000000.0,,,14858000000.0,,15.8387,2.0601,-4.419999999999998,,-0.03717626646906797,-0.011625212639098466,0.13235956502155588,,,,,,0.2685293958178959,34186000000.0,4454000000.0,,9.71,9.71,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2020-03-31,173127000000.0,120930000000.0,52197000000.0,13510000000.0,1300000000.0,1512000000.0,,7697000000.0,467000000.0,252000000.0,,215000000.0,0.55,1712000000.0,,,14810000000.0,,13.7516,1.4805,0.55,467000000.0,0.004827863670325881,0.0014555788525186712,0.03274002858256463,0.06067298947641939,0.002697441762405633,0.006969421105257659,,0.06067298947641939,0.28373278157748527,34007000000.0,3666000000.0,,8.01,8.01,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2020-06-30,181474000000.0,126714000000.0,54760000000.0,13656000000.0,1300000000.0,1557000000.0,451360023.0,16682000000.0,,-79000000.0,,153000000.0,-0.17,3697000000.0,,,14956000000.0,,26.1562,1.6567,-0.17,,-0.0014426588750913075,-0.0004353240684615978,-0.004735643208248412,,,,,,0.2731190650109569,34286000000.0,1397000000.0,,3.09,3.09,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2020-09-30,187786000000.0,131373000000.0,56413000000.0,14830000000.0,1300000000.0,1707000000.0,451376194.0,26146000000.0,,1115000000.0,,295000000.0,2.46,7241000000.0,,,16130000000.0,,22.9076,1.5021,2.46,,0.019764947795720845,0.005937609832468874,0.04264514648512201,,,,,,0.28592700264123516,34984000000.0,-769000000.0,,-1.58,-1.58,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2020-12-31,190774000000.0,131333000000.0,59441000000.0,14948000000.0,0.0,1747000000.0,450732625.0,-14531000000.0,,2245000000.0,516000000.0,-34000000.0,4.95,-2865000000.0,,,14948000000.0,,19.6646,1.9302,4.95,,0.03776854359785333,0.011767850965016197,-0.1544972816736632,,,,,,0.2514762537642368,35994000000.0,3533000000.0,,7.789999999999998,7.789999999999998,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2021-03-31,191977000000.0,132901000000.0,59076000000.0,14879000000.0,,1684000000.0,,9971000000.0,2638000000.0,2300000000.0,,338000000.0,5.07,2105000000.0,,,14879000000.0,,12.7281,1.8563,5.07,2638000000.0,0.03893289999322906,0.0119806018429291,0.23066893992578477,0.2645672450105305,0.013741229418107377,0.0356703400716652,,0.2645672450105305,0.2518620082605457,38268000000.0,5581000000.0,,12.309999999999999,12.309999999999999,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2021-06-30,197174000000.0,137112000000.0,60062000000.0,14954000000.0,,1843000000.0,,19635000000.0,,4565000000.0,,655000000.0,10.13,5227000000.0,,,14954000000.0,,8.7408,1.8352,10.13,,0.07600479504512005,0.023152139734447748,0.23249299719887956,,,,,,0.24897605807332424,41221000000.0,10225000000.0,,22.61,22.61,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2021-09-30,199054000000.0,139736000000.0,59318000000.0,14823000000.0,,1620000000.0,,30480000000.0,,6398000000.0,,873000000.0,14.33,8549000000.0,,,14823000000.0,,8.4924,1.8565,14.33,,0.10785933443474156,0.03214203181046349,0.20990813648293963,,,,,,0.24989042112006474,45555000000.0,15508000000.0,,34.48,34.48,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2021-12-31,200054000000.0,140340000000.0,59714000000.0,15169000000.0,999000000.0,1659000000.0,,-19123000000.0,,-4724000000.0,492000000.0,-589000000.0,-10.260000000000002,-4732000000.0,,,16168000000.0,,9.7673,2.0374,-10.260000000000002,,-0.07911042636567639,-0.023613624321433213,0.247032369398107,,,,,,0.27075727635060454,40963000000.0,8539000000.0,,19.269999999999996,19.269999999999996,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2022-03-31,197990000000.0,141292000000.0,56698000000.0,14585000000.0,1474000000.0,1734000000.0,,9669000000.0,,1974000000.0,,355000000.0,4.59,2440000000.0,,,16059000000.0,,11.1483,2.2495,4.59,,0.03481604289392924,0.009970200515177535,0.2041576171269004,,,,,,0.2832375039683939,40661000000.0,8213000000.0,,18.79,18.79,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2022-06-30,195651000000.0,143984000000.0,51667000000.0,14311000000.0,1474000000.0,7122000000.0,,19610000000.0,,3189000000.0,,648000000.0,7.46,5160000000.0,,,15785000000.0,,11.5815,2.0179,7.46,,0.06172218243753266,0.016299431129920113,0.16262111167771545,,,,,,0.3055141579731744,40636000000.0,6837000000.0,,16.119999999999997,16.119999999999997,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2022-09-30,198111000000.0,150472000000.0,47639000000.0,14044000000.0,1475000000.0,2128000000.0,,31740000000.0,,4001000000.0,,913000000.0,9.41,8592000000.0,,,15519000000.0,,12.5306,1.8067,9.41,,0.08398580994563278,0.020195748847868115,0.12605545053560177,,,,,,0.3257625055101912,41896000000.0,4440000000.0,,11.199999999999998,11.199999999999998,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2022-12-31,199144000000.0,148604000000.0,50540000000.0,14402000000.0,475000000.0,2012000000.0,,-17853000000.0,,-3851000000.0,570000000.0,-661000000.0,-8.91,-4949000000.0,,,14877000000.0,,17.4533,2.1245,-8.91,,-0.0761970716264345,-0.019337765636926043,0.2157060438021621,,,,,,0.2943609022556391,43166000000.0,5313000000.0,,12.55,12.55,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2023-03-31,201415000000.0,148428000000.0,52987000000.0,14375000000.0,0.0,2288000000.0,,11057000000.0,,1892000000.0,160000000.0,384000000.0,4.53,2251000000.0,,,14375000000.0,,15.5104,1.8063,4.53,,0.03570687149678223,0.009393540699550678,0.17111332187754363,,,,,,0.27129295865023495,44554000000.0,5231000000.0,,12.489999999999998,12.489999999999998,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2023-06-30,205448000000.0,152573000000.0,52875000000.0,13782000000.0,699000000.0,2285000000.0,,22890000000.0,,3685000000.0,325000000.0,776000000.0,8.84,4766000000.0,,,14481000000.0,,13.6632,1.7024,8.84,,0.06969267139479905,0.0179364121334839,0.16098733071210136,,,,,,0.27387234042553193,47834000000.0,5727000000.0,,13.869999999999997,13.869999999999997,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2023-09-30,222748000000.0,165244000000.0,52373000000.0,13736000000.0,700000000.0,,,36743000000.0,,5728000000.0,499000000.0,1189000000.0,13.79,9446000000.0,,,14436000000.0,,11.9631,1.7476,13.79,,0.10936933152578619,0.02571515793632266,0.1558936396048227,,,,,,0.27563821052832566,52837000000.0,7454000000.0,1554000000.0,18.249999999999996,18.249999999999996,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2023-12-31,230682000000.0,166991000000.0,59507000000.0,13035000000.0,1460000000.0,,,-20955000000.0,,-2277000000.0,-312000000.0,-1838000000.0,-5.359999999999999,-3831000000.0,,,14495000000.0,,10.2133,1.8539,-5.359999999999999,,-0.03826440586821719,-0.009870731136369548,0.10866141732283464,,,,,,0.24358478834422842,49735000000.0,9028000000.0,672000000.0,21.799999999999997,21.799999999999997,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2024-03-31,234867000000.0,170436000000.0,60535000000.0,13248000000.0,2265000000.0,,,12894000000.0,,2143000000.0,178000000.0,342000000.0,5.23,3220000000.0,,,15513000000.0,,11.2634,2.0265,5.23,,0.035401007681506565,0.009124312909008076,0.16620133395377695,,,,,,0.2562649706781201,51572000000.0,9279000000.0,690000000.0,22.499999999999996,22.499999999999996,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2024-06-30,238551000000.0,173976000000.0,61038000000.0,13178000000.0,1553000000.0,,,26729000000.0,,4373000000.0,360000000.0,832000000.0,10.68,7299000000.0,,,14731000000.0,,10.5976,1.9219,10.68,,0.07164389396769226,0.0183315098238951,0.16360507314153167,,,,,,0.24134145941872276,55411000000.0,9967000000.0,725000000.0,24.339999999999996,24.339999999999996,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2024-09-30,250557000000.0,180437000000.0,65757000000.0,14560000000.0,1571000000.0,,,41578000000.0,,6697000000.0,552000000.0,1336000000.0,16.38,11617000000.0,,,16131000000.0,,11.6266,2.1299,16.38,,0.1018446705293733,0.026728449015593257,0.161070758574246,,,,,,0.2453122861444409,60246000000.0,10936000000.0,778000000.0,26.929999999999996,26.929999999999996,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2024-12-31,246548000000.0,178154000000.0,64021000000.0,14379000000.0,800000000.0,,,-25448000000.0,,-3941000000.0,-349000000.0,-695000000.0,-9.59,-5954000000.0,,,15179000000.0,,12.0121,1.9977,-9.59,,-0.061557926305431034,-0.015984716971948667,0.15486482238289845,,,,,,0.23709407850549039,55753000000.0,9272000000.0,741000000.0,22.699999999999992,22.699999999999992,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2025-03-31,251752000000.0,180997000000.0,65726000000.0,14508000000.0,0.0,,,13353000000.0,,1331000000.0,181000000.0,321000000.0,3.29,1566000000.0,,,14508000000.0,,14.3052,2.153,3.29,,0.020250737911937437,0.005286949060980648,0.09967797498689433,,,,,,0.2207345647080303,56212000000.0,8460000000.0,744000000.0,20.759999999999994,20.759999999999994,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2025-06-30,261563000000.0,187116000000.0,69395000000.0,13477000000.0,1499000000.0,,,28189000000.0,,4299000000.0,362000000.0,1038000000.0,10.63,5117000000.0,,,14976000000.0,,12.5571,2.0188,10.63,,0.06194970819223287,0.016435810875391397,0.15250629678243285,,,,,,0.2158080553353988,57672000000.0,8386000000.0,746000000.0,20.709999999999997,20.709999999999997,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
