report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2015-10-03,15518000000.0,3353000000.0,5072000000.0,,2663000000.0,,1363000000.0,299000000.0,,1130000000.0,655000000.0,168000000.0,227000000.0,1.0,356000000.0,942000000.0,362000000.0,387000000.0,580000000.0,1363000000.0,,66.4771,1.7316,1.0,1517000000.0,0.24596319939917385,0.04220904755767496,,,0.07281866219873695,0.280675608544461,,,0.511828764551258,0.6610804416403786,,-68000000.0,193000000.0,513000000.0,757000000.0,233000000.0,-1.0000000000000009,-1.0000000000000009,1.8005284015852048,0.8283261802575107,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2016-01-02,15265000000.0,3236000000.0,5739000000.0,,2128000000.0,,,251000000.0,,-1219000000.0,-718000000.0,-107000000.0,-305000000.0,-1.0,,113000000.0,-110000000.0,-253000000.0,3000000.0,0.0,0.5639,41.3329,1.8764,-1.0,-1472000000.0,-0.337406015037594,-0.04703570258761874,,,-0.07985587946282345,-0.5728383458646616,,,0.0,0.5638612998780276,,614000000.0,1091000000.0,918000000.0,1625000000.0,227000000.0,0.9999999999999991,0.9999999999999991,0.0,4.8061674008810575,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2016-04-02,15297000000.0,3219000000.0,5162000000.0,,2031000000.0,,718000000.0,310000000.0,,438000000.0,175000000.0,217000000.0,47000000.0,0.0,355000000.0,5000000.0,144000000.0,115000000.0,-139000000.0,718000000.0,,48.9308,2.0577,0.0,553000000.0,0.08616445100935499,0.011440151663724913,,,0.028633065306922927,0.15933066569661694,,,0.3535204332840965,0.6235955056179775,,562000000.0,1145000000.0,767000000.0,1663000000.0,390000000.0,0.9999999999999991,0.9999999999999991,0.4317498496692724,2.9358974358974357,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2016-07-02,15387000000.0,3421000000.0,5271000000.0,,1990000000.0,,780000000.0,531000000.0,,887000000.0,455000000.0,285000000.0,153000000.0,1.0,354000000.0,648000000.0,249000000.0,251000000.0,399000000.0,780000000.0,,46.5186,2.1924,1.0,1138000000.0,0.228643216080402,0.02957041658542926,,,0.05764606485994671,0.32021660649819494,,,0.39195979899497485,0.6490229557958641,,567000000.0,1236000000.0,843000000.0,1736000000.0,563000000.0,0.9999999999999991,0.9999999999999991,0.44930875576036866,2.1953818827708704,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2016-10-01,15319000000.0,3296000000.0,5001000000.0,,2185000000.0,,454000000.0,346000000.0,,1297000000.0,747000000.0,343000000.0,215000000.0,2.0,354000000.0,1021000000.0,376000000.0,357000000.0,645000000.0,454000000.0,,38.3251,2.0719,2.0,1654000000.0,0.34187643020594966,0.048762974084470265,,,0.08466610092042562,0.4914740431981811,,,0.20778032036613273,0.6590681863627275,,659000000.0,1403000000.0,908000000.0,1873000000.0,738000000.0,1.9999999999999991,1.9999999999999991,0.2423918846769888,1.9010840108401084,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2016-12-31,15111000000.0,2940000000.0,4474000000.0,,1910000000.0,,,280000000.0,,-1227000000.0,-683000000.0,-439000000.0,-182000000.0,-2.0,,-46000000.0,-262000000.0,-206000000.0,-308000000.0,0.0,0.6571,37.0978,1.9783,-2.0,-1433000000.0,-0.3575916230366492,-0.045198861756336445,,,-0.08119912646416517,-0.6424083769633507,,,0.0,0.657130084935181,,694000000.0,1395000000.0,597000000.0,1912000000.0,406000000.0,0.9999999999999991,0.9999999999999991,0.0,3.435960591133005,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2017-04-01,15427000000.0,3146000000.0,4732000000.0,,2006000000.0,,629000000.0,298000000.0,,360000000.0,262000000.0,61000000.0,42000000.0,0.0,354000000.0,211000000.0,130000000.0,121000000.0,81000000.0,629000000.0,,32.2716,1.9689,0.0,481000000.0,0.13060817547357925,0.016983211252997992,,,0.023335710118623194,0.1366223908918406,,,0.3135593220338983,0.6648351648351648,,781000000.0,1317000000.0,817000000.0,1840000000.0,250000000.0,0.9999999999999991,0.9999999999999991,0.3418478260869565,5.268,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2017-07-01,15535000000.0,3167000000.0,4688000000.0,,1834000000.0,,724000000.0,334000000.0,,813000000.0,544000000.0,124000000.0,144000000.0,1.0,353000000.0,654000000.0,268000000.0,240000000.0,386000000.0,724000000.0,,30.5648,1.8855,1.0,1053000000.0,0.2966194111232279,0.03501770196330866,,,0.05233344061795945,0.31782642689601254,,,0.39476553980370777,0.6755546075085325,,870000000.0,1243000000.0,804000000.0,1755000000.0,89000000.0,0.9999999999999991,0.9999999999999991,0.41253561253561255,13.96629213483146,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2017-09-30,15641000000.0,3172000000.0,4647000000.0,,1927000000.0,,572000000.0,267000000.0,,1277000000.0,841000000.0,188000000.0,248000000.0,2.0,351000000.0,1121000000.0,374000000.0,366000000.0,747000000.0,572000000.0,,27.6107,1.6957,2.0,1643000000.0,0.43642968344577066,0.05376894060482067,,,0.08164439613835432,0.5110044017607043,,,0.2968344577062792,0.6825909188723908,,964000000.0,1223000000.0,906000000.0,1744000000.0,-66000000.0,0.9999999999999991,0.9999999999999991,0.32798165137614677,18.53030303030303,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2017-12-30,16350000000.0,3036000000.0,4479000000.0,,2212000000.0,,,281000000.0,,-504000000.0,-378000000.0,-117000000.0,-22000000.0,0.0,,-340000000.0,-271000000.0,-246000000.0,-611000000.0,0.0,0.6714,18.7255,1.8268,0.0,-750000000.0,-0.17088607594936708,-0.02311926605504587,,,-0.030825688073394496,-0.22784810126582278,,,0.0,0.6778298727394507,,1269000000.0,1946000000.0,603000000.0,2427000000.0,256000000.0,2.999999999999999,2.999999999999999,0.0,7.6015625,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2018-03-31,16702000000.0,3320000000.0,4515000000.0,,2538000000.0,,469000000.0,370000000.0,,510000000.0,444000000.0,69000000.0,67000000.0,1.0,348000000.0,228000000.0,132000000.0,122000000.0,96000000.0,469000000.0,,15.24,1.6778,1.0,632000000.0,0.17494089834515367,0.02658364267752365,,,0.030535265237696084,0.16960425673428667,,,0.18479117415287627,0.7353266888150609,,1451000000.0,2096000000.0,618000000.0,2578000000.0,264000000.0,3.999999999999999,3.999999999999999,0.18192397207137315,7.9393939393939394,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2018-06-30,17901000000.0,3267000000.0,3966000000.0,,2838000000.0,,324000000.0,257000000.0,,984000000.0,1040000000.0,141000000.0,137000000.0,2.0,348000000.0,447000000.0,270000000.0,234000000.0,177000000.0,324000000.0,,13.8362,1.8302,2.0,1218000000.0,0.3664552501761804,0.05809731299927379,,,0.054968996145466735,0.3111954459203036,,,0.11416490486257928,0.8237518910741302,,1947000000.0,2267000000.0,409000000.0,2743000000.0,281000000.0,4.999999999999999,4.999999999999999,0.11811884797666788,8.067615658362989,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2018-09-29,18114000000.0,3403000000.0,4030000000.0,,3048000000.0,,202000000.0,309000000.0,,1380000000.0,1420000000.0,213000000.0,206000000.0,4.0,349000000.0,926000000.0,389000000.0,374000000.0,537000000.0,202000000.0,,13.1894,1.8061,4.0,1754000000.0,0.4658792650918635,0.07839240366567296,,,0.07618416694269625,0.4246153846153846,,,0.0662729658792651,0.8444168734491315,,2526000000.0,2370000000.0,199000000.0,2854000000.0,306000000.0,6.999999999999999,6.999999999999999,0.07077785564120533,7.745098039215686,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2018-12-29,17780000000.0,3157000000.0,4529000000.0,,2601000000.0,,,321000000.0,13547000000.0,-1168000000.0,-1568000000.0,-136000000.0,-229000000.0,-4.0,,-65000000.0,-213000000.0,-214000000.0,-278000000.0,0.0,0.6971,14.8082,1.4604,-4.0,-1382000000.0,-0.6028450595924645,-0.08818897637795275,-0.11574518343544696,-0.08621835092640437,-0.06569178852643419,-0.4490580545943868,-0.0205211485937846,-0.10201520631874215,0.0,0.6970633693972179,,1336000000.0,1706000000.0,532000000.0,2222000000.0,287000000.0,2.999999999999999,2.999999999999999,0.0,5.944250871080139,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2019-03-30,18465000000.0,3373000000.0,4978000000.0,18465000000.0,2533000000.0,8183000000.0,605000000.0,272000000.0,3522000000.0,381000000.0,282000000.0,74000000.0,72000000.0,0.82,343000000.0,70000000.0,148000000.0,124000000.0,-78000000.0,8788000000.0,,16.4013,1.4088,0.82,505000000.0,0.11133043821555468,0.015272136474411047,0.08006814310051108,0.10817717206132879,0.020633631194151097,0.033654270824132144,-0.022146507666098807,0.14338444065871664,3.4694038689301223,0.6775813579750904,,1174000000.0,1577000000.0,358000000.0,2095000000.0,292000000.0,2.819999999999999,2.819999999999999,4.194749403341289,5.4006849315068495,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2019-06-29,18669000000.0,3504000000.0,4989000000.0,,2650000000.0,,568000000.0,340000000.0,6983000000.0,778000000.0,568000000.0,149000000.0,146000000.0,1.0,342000000.0,520000000.0,294000000.0,243000000.0,226000000.0,568000000.0,,21.0367,1.32,1.0,1021000000.0,0.21433962264150944,0.030424768332529863,0.08134039810969497,0.1114134326220822,0.041673362258289146,0.24176507147296458,0.03236431333237864,0.14621222970070172,0.21433962264150944,0.7023451593505713,,702000000.0,1371000000.0,407000000.0,1898000000.0,300000000.0,1.819999999999999,1.819999999999999,0.2992623814541623,4.57,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2019-09-28,17499000000.0,3492000000.0,4389000000.0,,2727000000.0,,185000000.0,453000000.0,10355000000.0,1041000000.0,815000000.0,221000000.0,237000000.0,2.0,342000000.0,925000000.0,436000000.0,360000000.0,489000000.0,185000000.0,,30.0265,1.6054,2.0,1401000000.0,0.2988632196552989,0.04657408994799703,0.07870593915982617,0.10053114437469822,0.059489113663637926,0.35748626373626374,0.0472235634958957,0.13529695799130856,0.06784011734506784,0.7956254272043746,34407000000.0,97000000.0,1032000000.0,359000000.0,1545000000.0,308000000.0,-0.18000000000000105,-0.18000000000000105,0.11974110032362459,3.3506493506493507,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2019-12-28,17564000000.0,3431000000.0,4778000000.0,,2747000000.0,,,397000000.0,-7282000000.0,-799000000.0,-705000000.0,-160000000.0,-134000000.0,-1.8199999999999998,,-339000000.0,-292000000.0,-243000000.0,-631000000.0,0.0,0.7181,24.438,1.7278,-1.8199999999999998,-1042000000.0,-0.2566436112122315,-0.040138920519243906,0.09681406207085966,0.1097226036803076,-0.04549077658847643,-0.2908627593738624,0.08665201867618787,0.14309255698983794,0.0,0.7180828798660528,13578000000.0,960000000.0,1401000000.0,6000000.0,1885000000.0,284000000.0,1.9999999999999991,1.9999999999999991,0.0,4.933098591549296,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2020-03-28,18240000000.0,4290000000.0,5595000000.0,,2674000000.0,,657000000.0,1016000000.0,3412000000.0,459000000.0,347000000.0,64000000.0,94000000.0,1.0,344000000.0,391000000.0,112000000.0,117000000.0,279000000.0,657000000.0,,20.3629,1.5497,1.0,576000000.0,0.12976813762154077,0.019024122807017544,0.10169988276670575,0.13452520515826494,0.025164473684210525,0.13779645752026418,0.08177022274325908,0.16881594372801875,0.2456993268511593,0.7667560321715817,13468000000.0,1025000000.0,1479000000.0,363000000.0,1956000000.0,274000000.0,2.1799999999999993,2.1799999999999993,0.33588957055214724,5.397810218978102,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2020-06-27,18551000000.0,4492000000.0,5856000000.0,,2870000000.0,,121000000.0,1047000000.0,6877000000.0,966000000.0,698000000.0,133000000.0,203000000.0,2.0,345000000.0,971000000.0,218000000.0,234000000.0,753000000.0,121000000.0,,20.4745,1.6566,2.0,1200000000.0,0.243205574912892,0.03762600398900329,0.10149774611022248,0.14046822742474915,0.05207266454638564,0.3229689067201605,0.10949541951432311,0.17449469245310456,0.0421602787456446,0.7670765027322405,13362000000.0,1155000000.0,1667000000.0,890000000.0,2135000000.0,258000000.0,3.1799999999999993,3.1799999999999993,0.05667447306791569,6.461240310077519,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2020-09-26,18922000000.0,4753000000.0,6034000000.0,,3044000000.0,,116000000.0,1329000000.0,10306000000.0,1376000000.0,1046000000.0,196000000.0,268000000.0,3.0,345000000.0,1593000000.0,326000000.0,355000000.0,1267000000.0,116000000.0,,18.2909,1.6102,3.0,1731000000.0,0.3436268068331143,0.05527956875594546,0.10149427517950708,0.133514457597516,0.07271958566747701,0.43544303797468353,0.12293809431399184,0.16796041141082865,0.03810775295663601,0.7877030162412993,13313000000.0,1386000000.0,2002000000.0,1668000000.0,2465000000.0,233000000.0,4.18,4.18,0.047058823529411764,8.592274678111588,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2021-01-02,17996000000.0,3482000000.0,5238000000.0,,3112000000.0,,627000000.0,435000000.0,-6825000000.0,-1040000000.0,-840000000.0,-112000000.0,-242000000.0,-2.37,,-969000000.0,-151000000.0,-227000000.0,-1120000000.0,627000000.0,0.6648,16.8835,1.5339,-2.37,-1267000000.0,-0.2699228791773779,-0.04667703934207602,0.12307692307692308,0.1523809523809524,-0.057790620137808404,-0.27814923776410805,0.1641025641025641,0.18564102564102564,0.20147814910025708,0.6647575410462009,13770000000.0,1251000000.0,1761000000.0,1179000000.0,2240000000.0,281000000.0,3.6299999999999994,3.6299999999999994,0.2799107142857143,6.266903914590747,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2021-04-03,18064000000.0,3639000000.0,5385000000.0,18064000000.0,3138000000.0,6655000000.0,428000000.0,391000000.0,3584000000.0,472000000.0,368000000.0,59000000.0,109000000.0,1.07,344000000.0,235000000.0,173000000.0,112000000.0,62000000.0,7083000000.0,,17.0355,1.5542,1.07,584000000.0,0.11727214786488209,0.02037201062887511,0.10267857142857142,0.13169642857142858,0.02612931798051373,0.04617943449760297,0.017299107142857144,0.16294642857142858,2.25717017208413,0.6757660167130919,13942000000.0,1272000000.0,1774000000.0,962000000.0,2248000000.0,276000000.0,3.6999999999999993,3.6999999999999993,3.150800711743772,6.427536231884058,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2021-07-03,18213000000.0,3747000000.0,4946000000.0,,3362000000.0,,551000000.0,395000000.0,7139000000.0,976000000.0,748000000.0,117000000.0,253000000.0,2.18,343000000.0,687000000.0,301000000.0,232000000.0,386000000.0,551000000.0,,16.6981,1.5482,2.18,1208000000.0,0.22248661511005355,0.04106956569483336,0.10477657935285054,0.1367138254657515,0.05358809641464888,0.24942499361104012,0.054069197366577955,0.1692113741420367,0.16389054134443784,0.7575818843509907,14204000000.0,1322000000.0,1784000000.0,595000000.0,2256000000.0,260000000.0,3.879999999999999,3.879999999999999,0.24423758865248227,6.861538461538461,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2021-10-02,18407000000.0,3799000000.0,5029000000.0,,3484000000.0,,497000000.0,440000000.0,10761000000.0,1423000000.0,1055000000.0,172000000.0,345000000.0,3.07,343000000.0,1145000000.0,408000000.0,346000000.0,737000000.0,497000000.0,,17.4704,1.5475,3.07,1769000000.0,0.302812858783008,0.05731515184440702,0.09803921568627451,0.13223678096831148,0.07730754604226653,0.35744787741773426,0.06848805873060125,0.16438992658674845,0.14265212399540758,0.7554185722807715,14659000000.0,1331000000.0,1831000000.0,65000000.0,2294000000.0,236000000.0,3.949999999999999,3.949999999999999,0.21665213600697472,7.758474576271187,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2022-01-01,18178000000.0,3394000000.0,5315000000.0,,3720000000.0,,712000000.0,286000000.0,-7303000000.0,-1119000000.0,-683000000.0,-125000000.0,-233000000.0,-1.9900000000000002,,-366000000.0,-329000000.0,-223000000.0,-695000000.0,712000000.0,0.6386,14.8278,1.5559,-1.9900000000000002,-1342000000.0,-0.1836021505376344,-0.037572890306964465,0.09352320963987402,0.15322470217718745,-0.06155792716470459,-0.25248194945848373,0.0951663699849377,0.1837600985896207,0.1913978494623656,0.6385700846660395,14181000000.0,1488000000.0,1752000000.0,490000000.0,2219000000.0,223000000.0,4.329999999999998,4.329999999999998,0.32086525461919785,7.856502242152466,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2022-04-02,18612000000.0,3816000000.0,5848000000.0,,3795000000.0,5953000000.0,450000000.0,313000000.0,3672000000.0,517000000.0,422000000.0,56000000.0,112000000.0,1.23,342000000.0,327000000.0,138000000.0,119000000.0,189000000.0,6403000000.0,,14.3103,1.5465,1.23,636000000.0,0.11119894598155468,0.022673543950139693,0.11492374727668846,0.14079520697167755,0.027777777777777776,0.050696214944106685,0.051470588235294115,0.17320261437908496,1.687220026350461,0.652530779753762,14269000000.0,1542000000.0,1797000000.0,617000000.0,2271000000.0,220000000.0,4.489999999999998,4.489999999999998,2.8194627917217083,8.168181818181818,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2022-07-02,18937000000.0,4261000000.0,6051000000.0,,4082000000.0,5838000000.0,320000000.0,323000000.0,7536000000.0,932000000.0,748000000.0,110000000.0,209000000.0,2.19,342000000.0,805000000.0,267000000.0,238000000.0,538000000.0,6158000000.0,,16.2987,1.6636,2.19,1170000000.0,0.18324350808427242,0.03949939272324022,0.09925690021231423,0.12367303609341826,0.0492158208797592,0.091015625,0.07139065817409766,0.1552547770700637,1.5085742283194512,0.704181127086432,14666000000.0,1542000000.0,1753000000.0,769000000.0,2233000000.0,213000000.0,4.499999999999998,4.499999999999998,2.7577250335871026,8.230046948356808,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2022-10-01,19016000000.0,4444000000.0,6033000000.0,,4283000000.0,5697000000.0,174000000.0,373000000.0,11482000000.0,1300000000.0,1058000000.0,149000000.0,283000000.0,3.0,343000000.0,1180000000.0,350000000.0,351000000.0,830000000.0,5871000000.0,,16.2675,1.6276,3.0,1651000000.0,0.24702311463927154,0.055637358014303744,0.09214422574464379,0.11322069325901411,0.06836348338241481,0.1280283632066181,0.07228705800383209,0.14379028043894793,1.3707681531636704,0.736615282612299,15387000000.0,1545000000.0,1630000000.0,862000000.0,2115000000.0,190000000.0,4.429999999999998,4.429999999999998,2.775886524822695,8.578947368421053,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2022-12-31,18496000000.0,4186000000.0,6349000000.0,,3941000000.0,,780000000.0,299000000.0,-7375000000.0,-1114000000.0,-1268000000.0,-97000000.0,-360000000.0,-4.42,,-661000000.0,-267000000.0,-230000000.0,-928000000.0,780000000.0,0.6593,25.3259,1.5875,-4.42,-1344000000.0,-0.32174574980969295,-0.0685553633217993,0.1719322033898305,0.15105084745762712,-0.06022923875432526,-0.23596695615335733,0.12583050847457627,0.18223728813559323,0.19791930981984268,0.659316427783903,15315000000.0,960000000.0,1635000000.0,629000000.0,2113000000.0,218000000.0,1.9999999999999982,1.9999999999999982,0.3691433980123048,7.5,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
2023-04-01,18630000000.0,4324000000.0,6001000000.0,,4052000000.0,5759000000.0,471000000.0,347000000.0,4053000000.0,440000000.0,298000000.0,80000000.0,86000000.0,0.0,345000000.0,276000000.0,203000000.0,116000000.0,73000000.0,6230000000.0,,27.515,1.4655,0.0,556000000.0,0.07354392892398816,0.015995705850778315,0.07352578337034296,0.10856155933876141,0.023617820719269995,0.04279323088893212,0.018011349617567233,0.13718233407352579,1.53751233958539,0.7205465755707382,15696000000.0,836000000.0,1558000000.0,513000000.0,2033000000.0,242000000.0,0.7699999999999982,0.7699999999999982,3.0644367929168714,6.43801652892562,-0.34519288,83.65,76.48,6.89591,29031.498,22.7341,7.3797,2.2963
