report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2013-07-31,1854680000.0,608884000.0,222402000.0,,789642000.0,548232000.0,75368000.0,1132103000.0,236982000.0,162040000.0,11045000.0,65135000.0,2.0,64923000.0,194584000.0,34569000.0,39555000.0,160015000.0,548232000.0,,20.1759,2.9503,2.0,276537000.0,0.20520691655205778,0.08736817132874673,0.14313185284377836,0.20932900981624464,0.1277751418034378,0.1771332726400244,0.14134314633915818,0.24426841020649182,0.6942791796788924,2.737763149611964,1780101000.0,239566000.0,356079000.0,211100000.0,434872000.0,20948000.0,3.2199999999999998,3.2199999999999998,1.2606744053422616,16.998233721596335,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
2013-10-31,2042289000.0,600570000.0,235471000.0,,887863000.0,638158000.0,42375000.0,-665368000.0,-118463000.0,-78850000.0,-7976000.0,-28085000.0,-1.1400000000000006,-129923000.0,-68592000.0,-18588000.0,,-87180000.0,638158000.0,2.5427,20.8723,3.0005,-1.1400000000000006,-118463000.0,-0.08880874639443248,-0.03860863961956413,0.11850584939462072,0.17804132450012625,-0.05800501300256722,-0.0776286826983377,0.13102523716199155,0.17804132450012625,0.718757285752419,2.550505157747663,1542921000.0,221817000.0,323849000.0,183981000.0,402642000.0,14841000.0,2.999999999999999,2.999999999999999,1.5849265600707327,21.821238461020148,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
2014-01-31,2018322000.0,583261000.0,213628000.0,2018322000.0,911675000.0,613401000.0,46858000.0,359420000.0,53859000.0,34880000.0,3575000.0,15307000.0,0.54,64860000.0,47687000.0,7891000.0,14488000.0,39796000.0,613401000.0,,20.7769,2.8681,0.54,68347000.0,0.03825924808731181,0.017281682506557428,0.09704523955261254,0.14984975794335317,0.026685038363551506,0.035315617057772856,0.1107228312280897,0.1901591452896333,0.6728285847478542,2.7302647593012153,1555298000.0,214686000.0,316144000.0,191546000.0,396376000.0,14336000.0,2.8899999999999992,2.8899999999999992,1.5475230589137587,22.052455357142858,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
2014-04-30,2079058000.0,638752000.0,236553000.0,,923223000.0,636587000.0,49732000.0,776881000.0,146693000.0,96814000.0,7107000.0,42486000.0,1.0,64711000.0,,16494000.0,29231000.0,,636587000.0,,21.3218,2.9757,1.0,175924000.0,0.10486523840935505,0.046566281460161285,0.12461882836624914,0.18882299863170807,0.07055743514610945,0.0940454286098948,,0.226449095807466,0.6895267990507169,2.700248992826132,1603036000.0,214884000.0,319071000.0,,402345000.0,13751000.0,2.399999999999999,2.399999999999999,1.58219189998633,23.203476110828305,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
2014-07-31,2109445000.0,679791000.0,260057000.0,,958775000.0,612358000.0,53223000.0,1235431000.0,261148000.0,174693000.0,10917000.0,75153000.0,2.0,64519000.0,,27936000.0,43839000.0,,612358000.0,,20.3001,2.8916,2.0,304987000.0,0.18220437537482725,0.08281467400192942,0.14140247411632054,0.21138210065960786,0.12379938799068001,0.16621635469435114,,0.2468668828935003,0.6386879090506115,2.6140076983122933,1706364000.0,227537000.0,343237000.0,,430795000.0,13623000.0,2.399999999999999,2.399999999999999,1.4214603233556564,25.1954048300668,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
2014-10-31,2280130000.0,672683000.0,370868000.0,,904797000.0,682868000.0,42314000.0,-667711000.0,-94595000.0,-59614000.0,-6564000.0,-27206000.0,-0.54,-129809000.0,,-8747000.0,,,682868000.0,1.8137,19.3655,2.8046,-0.54,-94595000.0,-0.06588660218811512,-0.026145000504357207,0.08928114109247863,0.14167057304732136,-0.041486669619714665,-0.059581208882226414,,0.14167057304732136,0.7547195669304827,1.8138070688223302,1704021000.0,246773000.0,367105000.0,,454663000.0,15035000.0,2.9999999999999996,2.9999999999999996,1.5019212031768585,24.416694379780512,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
2015-01-31,2241701000.0,657646000.0,388180000.0,,837901000.0,699132000.0,40926000.0,97817000.0,-11091000.0,42885000.0,4089000.0,15828000.0,0.0,62536000.0,,16821000.0,15984000.0,,699132000.0,,17.7551,2.6246,0.0,4893000.0,0.051181464158653586,0.019130562015184007,0.4384207244139567,-0.11338519889180818,-0.004947582215469414,-0.007215850277775429,,0.05002197981945879,0.834384969107329,1.6941779586789634,1442418000.0,254778000.0,302155000.0,,391209000.0,15549000.0,2.4599999999999995,2.4599999999999995,1.7871061248590907,19.432439385169463,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
2015-04-30,2250237000.0,662143000.0,298274000.0,,818230000.0,819203000.0,51454000.0,193890000.0,-21743000.0,92099000.0,8402000.0,38179000.0,1.0,62094000.0,,36183000.0,32222000.0,,819203000.0,,20.0138,2.8387,1.0,10479000.0,0.11255881598083668,0.040928577745366373,0.4750064469544587,-0.11214090463664965,-0.009662537768243967,-0.013278711251086303,,0.05404610861828872,1.0011891521943708,2.219915245713673,859427000.0,250063000.0,133719000.0,,225764000.0,16844000.0,2.4599999999999995,2.4599999999999995,3.628581173260573,7.938672524341012,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
2015-07-31,2316357000.0,721357000.0,260615000.0,,820425000.0,922732000.0,61000000.0,345174000.0,-30706000.0,161487000.0,12907000.0,67250000.0,2.0,61759000.0,,48898000.0,49071000.0,,922732000.0,,19.1185,2.6102,2.0,18365000.0,0.19683334856933907,0.0697159375692089,0.46784230561977436,-0.08895803276028902,-0.013256160427775165,-0.017615166046431846,,0.053205050206562486,1.1247000030472012,2.767902845193101,-30830000.0,236857000.0,-158135000.0,,-60858000.0,18834000.0,2.4599999999999995,2.4599999999999995,-15.162049360807124,-8.396251460125304,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
2015-10-31,-35079000.0,711591000.0,290776000.0,,660016000.0,1092643000.0,50268000.0,-177795000.0,381270000.0,-85360000.0,-7294000.0,-31506000.0,0.0,-125238000.0,,-39815000.0,,,1092643000.0,2.447,20.5567,2.5699,0.0,381270000.0,-0.1293301980558047,2.4333646911257447,0.4801034899744087,-2.144436007761748,-10.868895920636279,0.21753803791838572,,-2.144436007761748,1.6554795641317785,2.4472136627507086,459086000.0,211111000.0,317730000.0,,415007000.0,18104000.0,2.9999999999999996,2.9999999999999996,2.632830289609573,17.550265134776843,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
2016-01-31,2317240000.0,680873000.0,236821000.0,,650110000.0,1116179000.0,60736000.0,88901000.0,51978000.0,41161000.0,5844000.0,5913000.0,0.0,57305000.0,,11093000.0,17210000.0,,1116179000.0,,16.2098,2.0183,0.0,69188000.0,0.06331390072449278,0.01776294212079888,0.4629981664998144,0.5846728383257781,0.022430995494640175,0.02942780032033263,,0.778258962216398,1.7169079078925105,2.8750533103060962,450170000.0,209387000.0,380799000.0,,479302000.0,19859000.0,2.9999999999999996,2.9999999999999996,2.32875932084573,19.17513469963241,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
2016-04-30,2372184000.0,723466000.0,270801000.0,,736698000.0,1054981000.0,47919000.0,206350000.0,153882000.0,111762000.0,10844000.0,34131000.0,1.0,57320000.0,,25521000.0,35162000.0,,1054981000.0,,19.2238,2.5815,1.0,189044000.0,0.151706669490076,0.04711354599811819,0.5416137630239883,0.7457329779500848,0.06486933559959936,0.08588703668458468,,0.9161327841046765,1.4320399946789593,2.671578022237732,462630000.0,229050000.0,556424000.0,,657867000.0,22301000.0,2.9999999999999996,2.9999999999999996,1.603638729408832,24.950630016591184,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
2016-07-31,2409525000.0,769650000.0,278420000.0,,811807000.0,1026553000.0,60294000.0,367356000.0,277568000.0,195976000.0,15490000.0,67154000.0,3.0,57419000.0,,45452000.0,52824000.0,,1026553000.0,,20.5621,2.8925,3.0,330392000.0,0.24140713248345974,0.08133387285875847,0.5334770631213319,0.755583140060323,0.11519614861850365,0.15098674905894385,,0.8993782597807032,1.2645283916004666,2.7643488255154085,484812000.0,263539000.0,864698000.0,,969894000.0,24884000.0,3.9999999999999996,3.9999999999999996,1.058417723998705,34.74915608423083,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
2016-10-31,2422365000.0,745575000.0,331543000.0,,851603000.0,944553000.0,67239000.0,1146387000.0,-94997000.0,-77056000.0,-10856000.0,-10547000.0,0.0,-114514000.0,,-21215000.0,,,944553000.0,2.2492,21.0616,3.1656,0.0,-94997000.0,-0.09048347645557848,-0.03181023503889794,-0.06721639376580509,-0.082866431667491,-0.039216633331475646,-0.05288905863410528,,-0.082866431667491,1.109147102581837,2.2488033226459314,1808994000.0,271843000.0,388431000.0,,493627000.0,21322000.0,3.9999999999999996,3.9999999999999996,1.913495412528083,18.217381108714005,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
2017-01-31,2393022000.0,719952000.0,290216000.0,,893844000.0,912403000.0,87658000.0,407470000.0,75918000.0,49988000.0,5641000.0,20405000.0,0.0,58023000.0,,10079000.0,18497000.0,,912403000.0,,23.2744,3.5423,0.0,94415000.0,0.05592474749508863,0.02088906829941388,0.12267897023093725,0.18631555697351954,0.03172473968062141,0.0420307964525339,,0.23171030996146955,1.0207631309266494,2.480745375857982,2127563000.0,280670000.0,412371000.0,,518854000.0,21119000.0,3.9999999999999996,3.9999999999999996,1.758496609836293,19.526066575121927,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
2017-04-30,3379245000.0,828845000.0,456493000.0,,962269000.0,1574191000.0,88406000.0,903607000.0,179449000.0,114511000.0,13548000.0,50455000.0,1.0,58126000.0,,27029000.0,39412000.0,,1574191000.0,,26.4062,3.8108,1.0,218861000.0,0.11900102777913453,0.03388656341875182,0.12672655258314733,0.19859186571153167,0.05310328194611518,0.07074781388233996,,0.24220817235811587,1.6359157366599153,1.8156795394452927,2824820000.0,283419000.0,437938000.0,,548671000.0,23823000.0,3.9999999999999996,3.9999999999999996,2.869098239199812,18.382991226965537,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
2017-07-31,3460516000.0,920159000.0,437386000.0,,1084431000.0,1569680000.0,110705000.0,1493044000.0,332914000.0,215967000.0,24854000.0,91454000.0,3.0,58171000.0,,49324000.0,65366000.0,,1569680000.0,,25.1008,3.6593,3.0,398280000.0,0.19915236654060978,0.06240890086911894,0.1446487846305936,0.222976683875358,0.09620357195285327,0.1254333371889872,,0.2667570413196128,1.4474687647254643,2.103768753458044,3950508000.0,303410000.0,493284000.0,,616559000.0,33187000.0,3.9999999999999996,3.9999999999999996,2.545871522433376,14.86377195889957,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
2017-10-31,3414539000.0,888372000.0,647746000.0,,1155493000.0,1256397000.0,90383000.0,-737139000.0,-130579000.0,-84664000.0,-7442000.0,-37825000.0,1.0,-116116000.0,,-14874000.0,,,1256397000.0,1.3716,24.7094,3.5362,1.0,-130579000.0,-0.07327088956834875,-0.02479514804194651,0.11485486455064785,0.1771429811745139,-0.03824205844478566,-0.054139699571705176,,0.1771429811745139,1.0873254965629389,1.371482031537053,2066982000.0,295802000.0,457702000.0,,580977000.0,36601000.0,5.0,5.0,2.1625589309043214,12.505177454167919,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
