report_date,total_assets,total_liabilities,total_equity,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-09-30,15141943000.0,9345416000.0,5119356000.0,1223215000.0,,1389028000.0,480552000.0,241473000.0,308168000.0,1.6,150478000.0,463686000.0,332983000.0,0.0,,50.6743,9.0365,1.6,813535000.0,0.047168628241521,0.01594729289365308,0.1738431478703093,0.34596278836711714,0.03173648190328018,0.09386961953808252,0.5856865376363903,0.0,,,,,,,,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2012-12-31,15462321000.0,9619033000.0,5097065000.0,1041978000.0,,-871496000.0,-289324000.0,-167248000.0,-200979000.0,-0.6800000000000002,-298233000.0,-321078000.0,-210744000.0,0.0,5.0026,55.3898,8.6839,-0.6800000000000002,-500068000.0,-0.03281260882488256,-0.010816487382457007,0.19190908506751608,0.3319854594857578,-0.018711550484561794,-0.05676286254932986,0.5738041253201391,0.0,1876267000.0,289650000.0,651681000.0,1105725000.0,413564000.0,1.92,1.92,0.0,1.5757682003269142,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2013-12-31,20162251000.0,12967712000.0,5741153000.0,2365137000.0,,2135539000.0,678120000.0,749811000.0,446880000.0,4.0,152521000.0,777926000.0,565397000.0,0.0,3.7601,20.4787,7.1903,4.0,1243517000.0,0.13060285973914995,0.03718885356600312,0.3511108905058629,0.31754044295140477,0.03363314939388464,0.11811564680474462,0.5822965537037722,0.0,3568113000.0,991007000.0,1186234000.0,2095810000.0,757207000.0,5.92,5.92,0.0,1.5665914340464364,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2014-03-31,18979568000.0,11825385000.0,5702070000.0,1179573000.0,,574694000.0,176897000.0,56623000.0,113554000.0,0.0,153169000.0,124209000.0,154270000.0,0.0,,23.0989,7.8503,0.0,331167000.0,0.009930253399204149,0.0029833661124426016,0.09852721622289427,0.307810765381229,0.009320391275502162,0.03102329504899098,0.5762492735264332,0.0,3227765000.0,880659000.0,1046245000.0,1888151000.0,667623000.0,4.92,4.92,0.0,1.56711946712441,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2014-06-30,18898533000.0,11762849000.0,5691029000.0,1036576000.0,,1164488000.0,378170000.0,135801000.0,224531000.0,0.0,153203000.0,308993000.0,308898000.0,0.0,,47.2759,7.8248,0.0,687068000.0,0.023862292741787118,0.007185795849868347,0.11661863411215917,0.3247521657586854,0.020010547908665716,0.06645019731932485,0.5900172436298184,0.0,3003225000.0,774987000.0,943863000.0,1761684000.0,583986000.0,3.32,3.32,0.0,1.6162425126629747,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2014-09-30,18875160000.0,11721440000.0,5725026000.0,846664000.0,,1783291000.0,592973000.0,266326000.0,337839000.0,1.0,153228000.0,469677000.0,466143000.0,0.0,,49.5598,7.5112,1.0,1059116000.0,0.046519614059394664,0.014109867148146028,0.1493452274474553,0.33251611767232603,0.03141552177570945,0.10357559948199362,0.5939109208760657,0.0,5658012000.0,1208561000.0,1826160000.0,3320868000.0,1122804000.0,5.0,5.0,0.0,1.6264281210255753,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2014-12-31,19886767000.0,11878506000.0,5697298000.0,1763079000.0,,-1125475000.0,-346218000.0,-15139000.0,-220181000.0,1.0,-306292000.0,-207326000.0,-300738000.0,0.0,2.0683,44.4289,8.2204,1.0,-646956000.0,-0.0026572245299438437,-0.0007612599876088456,0.013451209489326729,0.3076194495657389,-0.017409466304905166,-0.06076880654654189,0.574829294297963,0.0,2396998000.0,443611000.0,801822000.0,1430395000.0,455743000.0,2.0,2.0,0.0,1.7593731554845604,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2015-03-31,19179071000.0,11073970000.0,5782172000.0,1064396000.0,,618476000.0,206209000.0,173771000.0,108757000.0,1.0,153873000.0,201446000.0,154223000.0,0.0,,38.4408,8.829,1.0,360432000.0,0.03005289361852259,0.00906044927827839,0.28096644008821686,0.3334147161733034,0.010751772074883086,0.03566289622653909,0.5827744326376448,0.0,2440780000.0,560759000.0,831134000.0,1459660000.0,450946000.0,3.0,3.0,0.0,1.8430898599832353,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2015-06-30,19113959000.0,11019279000.0,5782978000.0,1342751000.0,,1236697000.0,411135000.0,255901000.0,217291000.0,1.0,153845000.0,443076000.0,322067000.0,0.0,,32.9551,7.5207,1.0,733202000.0,0.04425073033305677,0.01338817353328005,0.20692295687625992,0.33244602356114716,0.021509672590592038,0.07109399344074974,0.5928711721626235,0.0,2512989000.0,680859000.0,864099000.0,1505794000.0,443706000.0,4.0,4.0,0.0,1.947458452218361,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2015-09-30,18980263000.0,10917504000.0,5851915000.0,1387007000.0,,1866581000.0,638885000.0,442556000.0,326018000.0,2.0,153825000.0,608878000.0,475082000.0,0.0,,29.3372,7.331,2.0,1113967000.0,0.0756258421388554,0.023316642135043125,0.23709445237040344,0.34227552943054707,0.033660492481057826,0.10917537250626504,0.5967954243614394,0.0,2596279000.0,857089000.0,910011000.0,1560645000.0,431885000.0,5.0,5.0,0.0,2.107067853711057,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2015-12-31,18379456000.0,10492529000.0,5709435000.0,723718000.0,,-1230933000.0,-406864000.0,-289122000.0,-219870000.0,-0.2799999999999998,-307699000.0,-453989000.0,-311830000.0,0.0,2.2247,33.5922,7.864,-0.2799999999999998,-718694000.0,-0.05063933646674321,-0.015730715860142977,0.23488037123060312,0.3305330184502325,-0.0221368902322245,-0.07126169226902487,0.5838611849710748,0.0,2490821000.0,583106000.0,849365000.0,1488907000.0,432196000.0,3.72,3.72,0.0,1.965231052577997,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2016-03-31,19175830000.0,11246040000.0,5749783000.0,1605678000.0,,665985000.0,250353000.0,184365000.0,105309000.0,1.18,153917000.0,348980000.0,159448000.0,0.0,,32.8843,7.6902,1.18,409801000.0,0.03206468835432572,0.009614446936586318,0.27683055924682987,0.37591387193405257,0.01305565391432861,0.04354129538453886,0.6153306756158172,0.0,2538330000.0,593700000.0,893509000.0,1538276000.0,428748000.0,3.9000000000000004,3.9000000000000004,0.0,2.083995727093771,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2016-06-30,18963965000.0,11065746000.0,5732897000.0,1180044000.0,,1289531000.0,468477000.0,283530000.0,210312000.0,1.0,153889000.0,584151000.0,312623000.0,0.0,,33.1717,7.9656,1.0,781100000.0,0.049456670859427614,0.014950987306715657,0.2198706351378912,0.3632925458945927,0.024703536417621526,0.08171732371957843,0.6057240965901557,0.0,2591164000.0,621329000.0,950851000.0,1586174000.0,421769000.0,3.9000000000000004,3.9000000000000004,0.0,2.2544354848270025,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2016-09-30,18789899000.0,10930646000.0,5725931000.0,419323000.0,,1914759000.0,626082000.0,362910000.0,314953000.0,2.0,153971000.0,743785000.0,516371000.0,0.0,,41.6323,8.2546,2.0,1142453000.0,0.0633800861379573,0.019314100623957584,0.18953299083592243,0.326976919810796,0.03332013652654546,0.10934152018248211,0.596656289381588,0.0,2639342000.0,541683000.0,938048000.0,1614660000.0,410704000.0,3.9000000000000004,3.9000000000000004,0.0,2.2840001558299896,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2016-12-31,18851643000.0,10919719000.0,5786295000.0,356914000.0,,-1319455000.0,-519128000.0,-318020000.0,-217725000.0,-1.1799999999999997,-307800000.0,-640042000.0,-294039000.0,0.0,2.049,38.1449,7.667,-1.1799999999999997,-813167000.0,-0.05496090330686562,-0.016869617146898018,0.24102375602047815,0.3934412314175171,-0.02753754672735952,-0.08971682224981616,0.616290059153211,0.0,2550820000.0,512785000.0,825784000.0,1520187000.0,412849000.0,3.0,3.0,0.0,2.0002083086067786,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2017-03-31,18966627000.0,11044189000.0,5775533000.0,302939000.0,,632228000.0,206225000.0,99708000.0,95534000.0,0.0,154214000.0,246530000.0,159205000.0,0.0,,47.5851,8.0934,0.0,365430000.0,0.0172638611882228,0.005257023296762255,0.15770892779187254,0.3261877044357415,0.010873045586861597,0.035706661186075815,0.5780035050646286,0.0,2517063000.0,428128000.0,781656000.0,1475816000.0,403074000.0,1.8200000000000003,1.8200000000000003,0.0,1.9392369639321811,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2017-06-30,19281762000.0,11208410000.0,5814374000.0,492435000.0,,1289135000.0,444915000.0,236014000.0,190677000.0,1.0,154273000.0,372278000.0,311124000.0,0.0,,40.8059,7.4431,1.0,756039000.0,0.04059147210000595,0.012240271402582398,0.18307935165828249,0.3451267710519069,0.023074395379426425,0.07651984547261666,0.5864699973237869,0.0,2516667000.0,380612000.0,758094000.0,1450755000.0,383439000.0,1.8200000000000003,1.8200000000000003,0.0,1.9770915321602653,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2017-09-30,19308518000.0,11208823000.0,5825218000.0,493055000.0,,1946847000.0,678644000.0,355961000.0,282709000.0,2.0,154344000.0,592712000.0,463288000.0,0.0,,37.1931,7.2848,2.0,1141932000.0,0.06110689763026894,0.01843543870119913,0.18283974035966874,0.3485862011755418,0.03514738935427359,0.11650104768611234,0.5865545674621581,0.0,2548755000.0,373663000.0,810656000.0,1450234000.0,351195000.0,1.8200000000000003,1.8200000000000003,0.0,2.3082788764076936,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2017-12-31,19372233000.0,11269777000.0,5813957000.0,434767000.0,,-1266134000.0,-421674000.0,-229244000.0,-194439000.0,-0.06999999999999984,-308441000.0,-304075000.0,-316070000.0,0.0,2.6432,43.1369,7.6675,-0.06999999999999984,-737744000.0,-0.03942994418431371,-0.011833638383350024,0.1810582450198794,0.33304057864333475,-0.021766927953013986,-0.07252788419315795,0.5826745036465335,0.0,2602076000.0,462439000.0,908110000.0,1525657000.0,374481000.0,2.93,2.93,0.0,2.4249828429212696,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2018-03-31,19583939000.0,11399849000.0,5879028000.0,294571000.0,,661151000.0,208152000.0,178646000.0,90220000.0,1.0,154705000.0,225778000.0,165797000.0,0.0,,34.6252,7.1251,1.0,373949000.0,0.030386995945588285,0.009122066811993236,0.2702045372388456,0.31483276891360673,0.010628709576760834,0.035405852804239066,0.5656030165574883,0.0,2630999000.0,541377000.0,910037000.0,1534176000.0,369167000.0,3.93,3.93,0.0,2.465109286583037,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2018-06-30,19961163000.0,11747921000.0,5892840000.0,472555000.0,,1325635000.0,438776000.0,309932000.0,182424000.0,1.0,154638000.0,560846000.0,322214000.0,0.0,,35.8829,7.2946,1.0,760990000.0,0.05259467421480984,0.015526750620692793,0.23379889637796225,0.3309930712451014,0.02198148474615432,0.07445917418426429,0.5740569613807722,0.0,2667499000.0,615295000.0,903898000.0,1539127000.0,360914000.0,3.93,3.93,0.0,2.504469208731166,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2018-09-30,20137498000.0,11931524000.0,5876566000.0,322502000.0,,2011919000.0,677140000.0,431710000.0,277790000.0,2.0,154652000.0,770627000.0,480210000.0,0.0,,34.7168,7.004,2.0,1157350000.0,0.07346297140200586,0.021438115102481947,0.2145762329397953,0.3365642453796599,0.033625825810137885,0.11522715817366809,0.5752468165964932,0.0,2732571000.0,691044000.0,902394000.0,1554545000.0,355995000.0,3.93,3.93,0.0,2.534850208570345,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2018-12-31,20256477000.0,12042509000.0,5883171000.0,543359000.0,,-1281629000.0,,-337441000.0,-172266000.0,-0.2999999999999998,-309313000.0,-407006000.0,-322572000.0,0.0,3.0998,29.8493,6.4011,-0.2999999999999998,,-0.05735699336293302,-0.016658424858379865,0.26329070269165256,,,,,0.0,2717076000.0,582847000.0,,,378168000.0,3.7,3.7,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2019-03-31,20501604000.0,12331317000.0,5836618000.0,360091000.0,,725767000.0,,100730000.0,101009000.0,0.0,154844000.0,207234000.0,164594000.0,0.0,,41.4634,7.5242,0.0,,0.017258282107891935,0.004913274102845807,0.13879109962288172,,,,,0.0,2781692000.0,504931000.0,,,388957000.0,2.7,2.7,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2019-06-30,21268275000.0,13247608000.0,5715853000.0,1087001000.0,,1459508000.0,,267681000.0,203366000.0,1.69,154859000.0,565604000.0,342005000.0,0.0,,36.9247,6.999,1.69,,0.046831330336871854,0.012585929042200178,0.1834049556425864,,,,,0.0,2915565000.0,462680000.0,,,409899000.0,3.39,3.39,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2019-09-30,21288575000.0,13285727000.0,5671954000.0,751210000.0,,2203061000.0,,378075000.0,309837000.0,2.39,154847000.0,819792000.0,507867000.0,0.0,,37.879,6.8912,2.39,,0.06665692281707503,0.017759525942905995,0.17161349594949935,,,,,0.0,3106707000.0,409045000.0,,,441946000.0,3.7800000000000002,3.7800000000000002,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2019-12-31,21284905000.0,13262304000.0,5684687000.0,644950000.0,,-1427774000.0,,-224952000.0,-201495000.0,-0.7800000000000002,-309667000.0,-411465000.0,-336702000.0,0.0,2.1919,40.9193,7.2078,-0.7800000000000002,,-0.03957157183851987,-0.010568616585321851,0.15755434683640407,,,,,0.0,2960562000.0,521534000.0,,,412717000.0,3.3,3.3,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2020-03-31,21829698000.0,13402961000.0,6047866000.0,660733000.0,,752556000.0,,500121000.0,101591000.0,3.2,155258000.0,175197000.0,171094000.0,0.0,,15.5511,4.7948,3.2,,0.08269379645646911,0.022910119965928982,0.6645631687209989,,,,,0.0,2987351000.0,920925000.0,,,413299000.0,6.5,6.5,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2020-06-30,23000777000.0,14447628000.0,6182067000.0,1691047000.0,155622286.0,1407329000.0,,769482000.0,208733000.0,4.91,155333000.0,554272000.0,349282000.0,0.0,,13.7381,4.8359,4.91,,0.12447001949348009,0.033454608946471676,0.5467676712410531,,,,,0.0,2935172000.0,1422726000.0,,,418666000.0,9.72,9.72,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2020-09-30,22959215000.0,14458573000.0,6129568000.0,1714783000.0,,2100597000.0,,862416000.0,319726000.0,5.49,155447000.0,782423000.0,515738000.0,0.0,,12.4243,4.3725,5.49,,0.14069768048906547,0.03756295674743235,0.41055757006222515,,,,,0.0,2832708000.0,1907067000.0,,,428555000.0,12.82,12.82,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2020-12-31,22858190000.0,14511681000.0,5996083000.0,1668742000.0,,-1494796000.0,,-1141540000.0,-198333000.0,-7.93,-293310000.0,-355052000.0,-359448000.0,0.0,3.562,16.8609,5.3202,-7.93,,-0.19038095369927335,-0.04994008711975883,0.7636761136636705,,,,,0.0,2765686000.0,990479000.0,,,431717000.0,5.670000000000002,5.670000000000002,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2021-03-31,22213552000.0,14084526000.0,5775641000.0,697369000.0,,713695000.0,,100596000.0,107902000.0,0.59,156099000.0,152063000.0,176565000.0,0.0,,33.4125,5.7956,0.59,,0.01741728753570383,0.004528586873454547,0.14095096644925353,,,,,0.0,2726825000.0,590954000.0,,,438028000.0,3.0600000000000005,3.0600000000000005,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2021-06-30,22059076000.0,13960103000.0,5749342000.0,557307000.0,,1427502000.0,,212344000.0,214221000.0,1.3,156307000.0,560476000.0,360403000.0,0.0,,56.7582,6.4196,1.3,,0.036933617794871136,0.009626151158824604,0.1487521558638797,,,,,0.0,2746998000.0,33816000.0,,,443516000.0,-0.5499999999999994,-0.5499999999999994,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2021-09-30,22848810000.0,14785286000.0,5716818000.0,1002728000.0,,2157558000.0,,320652000.0,320015000.0,1.99,156394000.0,786859000.0,539815000.0,0.0,,51.1484,5.996,1.99,,0.05608924405149858,0.014033641139297845,0.1486180209292172,,,,,0.0,2803959000.0,-507948000.0,,,443805000.0,-4.049999999999999,-4.049999999999999,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2021-12-31,22365258000.0,14322462000.0,5834020000.0,452692000.0,,-1410134000.0,,-128397000.0,-218792000.0,-0.71,-312424000.0,-366171000.0,-359447000.0,0.0,2.2886,35.6205,6.2284,-0.71,,-0.022008323591622928,-0.005740912982090347,0.09105304885918643,,,,,0.0,2888621000.0,505195000.0,,,423346000.0,3.170000000000001,3.170000000000001,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2022-03-31,22475634000.0,14422944000.0,5843602000.0,436271000.0,,754307000.0,,161829000.0,101228000.0,0.93,174630000.0,219490000.0,175886000.0,0.0,,36.8666,6.8905,0.93,,0.02769336446938036,0.00720019733369924,0.21453996847437448,,,,,0.0,2929233000.0,566428000.0,,,416672000.0,3.5100000000000007,3.5100000000000007,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2022-06-30,23266433000.0,15115833000.0,5929749000.0,456491000.0,,1528234000.0,,366044000.0,205370000.0,2.33,157098000.0,616639000.0,360770000.0,0.0,,23.6326,5.2089,2.33,,0.06173010021166157,0.015732708146538835,0.2395209110646668,,,,,0.0,3029965000.0,720128000.0,,,407821000.0,4.540000000000001,4.540000000000001,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2022-09-30,23726691000.0,15326635000.0,6155618000.0,375774000.0,,2318757000.0,,727144000.0,317216000.0,4.62,157144000.0,912403000.0,551445000.0,0.0,,12.8915,3.8533,4.62,,0.1181268883156817,0.030646667080546544,0.31359215303716603,,,,,0.0,3191164000.0,1126620000.0,,,405022000.0,7.17,7.17,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2022-12-31,24207669000.0,15837237000.0,6132919000.0,690333000.0,,-1492717000.0,,-406070000.0,-186675000.0,-2.4800000000000004,-331735000.0,-466133000.0,-338326000.0,0.0,2.3467,12.4791,3.4079,-2.4800000000000004,,-0.06621153809466584,-0.016774436233410163,0.27203414980870455,,,,,0.0,3108581000.0,848947000.0,,,437139000.0,5.3999999999999995,5.3999999999999995,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2023-03-31,24625422000.0,16313339000.0,6062787000.0,918952000.0,,803200000.0,,77890000.0,134207000.0,0.5,157043000.0,,,0.0,,10.8288,2.6882,0.5,,0.01284722686117787,0.0031629914809175657,0.0969746015936255,,,,,0.0,3157474000.0,765008000.0,,,470118000.0,4.97,4.97,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2023-06-30,25341680000.0,17048845000.0,6040052000.0,1581575000.0,,1620353000.0,,182215000.0,276680000.0,1.16,157131000.0,613183000.0,411311000.0,0.0,,13.5858,2.8223,1.16,,0.0301677866349495,0.007190328344450723,0.11245389121999959,,,,,0.0,3249593000.0,581179000.0,,,541428000.0,3.8,3.8,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2023-09-30,24739148000.0,16698784000.0,5788083000.0,882647000.0,,2444636000.0,,70290000.0,424492000.0,0.45,157177000.0,914372000.0,618746000.0,0.0,,46.9429,2.788,0.45,,0.01214391707928169,0.0028412457858290026,0.028752746830202944,,,,,0.0,3375472000.0,-75675000.0,,,648704000.0,-0.3700000000000005,-0.3700000000000005,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2024-03-31,25525978000.0,17240265000.0,5857699000.0,701695000.0,,839439000.0,,79883000.0,161891000.0,0.51,157132000.0,,,0.0,,51.7004,3.0023,0.51,,0.013637266100562696,0.0031294785257591305,0.09516236438859763,,,,,0.0,5707628000.0,410278000.0,,,997270000.0,2.62,2.62,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2024-06-30,25474448000.0,17184205000.0,5802862000.0,685376000.0,,1689921000.0,,159498000.0,311533000.0,1.01,157210000.0,564659000.0,438258000.0,0.0,,56.8792,2.8519,1.01,,0.027486092207603764,0.0062610973945343195,0.09438192672911928,,,,,0.0,6594349000.0,491886000.0,,,1174596000.0,3.13,3.13,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2024-09-30,26405536000.0,18123230000.0,5759209000.0,1420475000.0,,2549148000.0,,243126000.0,474727000.0,1.54,157547000.0,850755000.0,661148000.0,0.0,,35.0118,3.7628,1.54,,0.0422151722571624,0.009207387420577261,0.09537539601466843,,,,,0.0,7523144000.0,552797000.0,,,1372643000.0,3.51,3.51,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2024-12-31,26084980000.0,18137324000.0,5413306000.0,1254882000.0,,-1670789000.0,,-468235000.0,-303034000.0,-2.97,-314096000.0,-180913000.0,-212215000.0,0.0,1.8268,823.7886,3.4501,-2.97,,-0.08649705004668128,-0.017950368372910388,0.28024783500489886,,,,,0.0,3407719000.0,14272000.0,,,645117000.0,0.08999999999999986,0.08999999999999986,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2025-03-31,25436521000.0,17577740000.0,5319942000.0,398126000.0,,865215000.0,,61177000.0,163444000.0,0.39,158632000.0,210036000.0,220107000.0,0.0,,,3.0982,0.39,,0.011499561461384353,0.00240508519227138,0.07070728084926868,,,,,0.0,3433495000.0,-4434000.0,,,646670000.0,-0.029999999999999916,-0.029999999999999916,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2025-06-30,25621190000.0,17766779000.0,5258786000.0,446953000.0,,1733672000.0,,150161000.0,326227000.0,0.95,158713000.0,563181000.0,443926000.0,0.0,,2168.2169,3.0958,0.95,,0.028554308922249357,0.0058608128662251836,0.08661442302811605,,,,,0.0,3477246000.0,-13771000.0,,,661364000.0,-0.09000000000000008,-0.09000000000000008,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
