report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_pe,eps,roe,roa,debt_equity,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2018-06-30,155431000000.0,134964000000.0,20467000000.0,13641000000.0,,813000000.0,527000000.0,237000000.0,1.0,487683216.0,1415000000.0,,,13641000000.0,10.448,1.0,0.039722480089900813,0.005230616801024249,0.6664875164899594,1895000000.0,1022000000.0,3.0,3.0,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2018-09-30,158598000000.0,138322000000.0,20276000000.0,15639000000.0,,1256000000.0,856000000.0,370000000.0,2.0,484250843.0,1207000000.0,,,15639000000.0,9.4627,2.0,0.061945156835667786,0.007919393687183949,0.7713059775103571,2165000000.0,1342000000.0,4.0,4.0,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2018-12-31,160518000000.0,139701000000.0,20817000000.0,14433000000.0,,-736000000.0,-394000000.0,-258000000.0,0.0,-980770144.0,-1559000000.0,,,14433000000.0,8.0502,0.0,-0.035355718883604746,-0.004585155558878132,0.6933275688139502,1721000000.0,1226000000.0,3.0,3.0,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2019-03-31,161342000000.0,139811000000.0,21531000000.0,11725000000.0,,439000000.0,410000000.0,127000000.0,0.92,462520680.0,472000000.0,,,11725000000.0,8.7826,0.92,0.02038920626074033,0.0027209282146000422,0.5445636524081556,1772000000.0,1399000000.0,3.92,3.92,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2019-06-30,162749000000.0,140732000000.0,22017000000.0,11538000000.0,,892000000.0,824000000.0,254000000.0,1.86,460857535.0,577000000.0,,,11538000000.0,9.0653,1.86,0.04051414815824136,0.005480832447511198,0.5240495980378799,1851000000.0,1696000000.0,4.78,4.78,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2019-09-30,164362000000.0,142511000000.0,21851000000.0,12806000000.0,,1341000000.0,1217000000.0,369000000.0,2.83,456218755.0,970000000.0,,,12806000000.0,8.6939,2.83,0.061370189007368084,0.008158820165245008,0.586060134547618,1936000000.0,2057000000.0,5.61,5.61,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2019-12-31,165733000000.0,143532000000.0,22201000000.0,14047000000.0,,-881000000.0,-876000000.0,-290000000.0,-1.8000000000000003,-928383269.0,-322000000.0,126000000.0,-448000000.0,14047000000.0,9.857,-1.8000000000000003,-0.03968289716679429,-0.005315778993923962,0.6327192468807712,1791000000.0,1575000000.0,3.81,3.81,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2020-03-31,176719000000.0,154769000000.0,21950000000.0,16437000000.0,1100000000.0,34000000.0,318000000.0,11000000.0,0.03,429388855.0,-1327000000.0,,,17537000000.0,5.7894,0.03,0.0015489749430523919,0.00019239583745946955,0.7989521640091116,1386000000.0,1483000000.0,2.92,2.92,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2020-06-30,179874000000.0,157456000000.0,22418000000.0,9202000000.0,255000000.0,287000000.0,508000000.0,65000000.0,0.55,428292580.0,-1413000000.0,,,9457000000.0,9.0836,0.55,0.012802212507806228,0.001595561337380611,0.421848514586493,781000000.0,1167000000.0,1.6099999999999999,1.6099999999999999,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2020-09-30,179228000000.0,156759000000.0,22469000000.0,9109000000.0,252000000.0,601000000.0,651000000.0,126000000.0,1.23,428142358.0,-755000000.0,,,9361000000.0,10.2725,1.23,0.026747963861320043,0.003353270694311157,0.4166184520895456,41000000.0,601000000.0,0.009999999999999787,0.009999999999999787,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2020-12-31,183349000000.0,160676000000.0,22673000000.0,8346000000.0,243000000.0,135000000.0,-706000000.0,39000000.0,0.41000000000000014,-857666013.0,3606000000.0,,,8589000000.0,14.4485,0.41000000000000014,0.005954218674193975,0.0007363007161206224,0.3788206236492745,1057000000.0,771000000.0,2.22,2.22,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2021-03-31,187217000000.0,164564000000.0,22653000000.0,8316000000.0,70000000.0,611000000.0,99000000.0,170000000.0,1.37,427880530.0,-690000000.0,,,8386000000.0,11.4862,1.37,0.02697214496976118,0.0032635925156369347,0.3701937933165585,1634000000.0,552000000.0,3.5600000000000005,3.5600000000000005,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2021-06-30,185104000000.0,161905000000.0,23199000000.0,6957000000.0,62000000.0,1259000000.0,186000000.0,353000000.0,2.81,427668242.0,-110000000.0,,,7019000000.0,9.6291,2.81,0.054269580585370056,0.006801581813467024,0.30255614466140784,2606000000.0,230000000.0,5.82,5.82,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2021-09-30,187007000000.0,163584000000.0,23423000000.0,6947000000.0,8000000.0,1789000000.0,263000000.0,504000000.0,3.99,427679885.0,1170000000.0,,,6955000000.0,8.9189,3.99,0.07637791913930751,0.00956648681600154,0.2969303675874141,3794000000.0,-158000000.0,8.58,8.58,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2021-12-31,188409000000.0,164989000000.0,23420000000.0,6932000000.0,74000000.0,-1340000000.0,-209000000.0,-369000000.0,-3.01,-855792839.0,1905000000.0,,,7006000000.0,8.6839,-3.01,-0.05721605465414176,-0.007112186785132345,0.2991460290350128,2319000000.0,339000000.0,5.16,5.16,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2022-03-31,192097000000.0,170023000000.0,22074000000.0,5894000000.0,25000000.0,420000000.0,66000000.0,116000000.0,0.93,424670871.0,1554000000.0,,,5919000000.0,8.9924,0.93,0.019026909486273443,0.002186395414816473,0.26814351726012503,2128000000.0,306000000.0,4.720000000000001,4.720000000000001,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2022-06-30,226712000000.0,202384000000.0,24328000000.0,14440000000.0,3763000000.0,784000000.0,187000000.0,230000000.0,1.58,459167747.0,-322000000.0,,,18203000000.0,9.5931,1.58,0.03222624136797106,0.0034581319030311587,0.7482324893127261,1653000000.0,307000000.0,3.4900000000000007,3.4900000000000007,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2022-09-30,224684000000.0,201538000000.0,23146000000.0,16286000000.0,263000000.0,1420000000.0,491000000.0,407000000.0,2.84,471958310.0,2678000000.0,,,16549000000.0,8.7336,2.84,0.06134969325153374,0.006319987181997828,0.7149831504363605,1284000000.0,535000000.0,2.3400000000000003,2.3400000000000003,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2022-12-31,226733000000.0,203043000000.0,23690000000.0,15887000000.0,3000000.0,-551000000.0,304000000.0,-171000000.0,-1.25,-877993786.0,209000000.0,,,15890000000.0,9.3533,-1.25,-0.023258758970029547,-0.002430171170495693,0.6707471506964964,2073000000.0,1048000000.0,4.1,4.1,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2023-06-30,223066000000.0,199481000000.0,23585000000.0,14100000000.0,1099000000.0,989000000.0,1702000000.0,287000000.0,1.92,484252103.0,1283000000.0,,,15199000000.0,5.4345,1.92,0.041933432266270936,0.004433665372580313,0.644435022259911,2642000000.0,2684000000.0,5.09,5.09,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2023-09-30,225270000000.0,202392000000.0,22878000000.0,17354000000.0,232000000.0,1419000000.0,2775000000.0,406000000.0,2.78,479733008.0,2291000000.0,,,17586000000.0,5.906,2.78,0.062024652504589564,0.006299107737381808,0.7686860739575138,3277000000.0,5272000000.0,6.289999999999999,6.289999999999999,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2023-12-31,221964000000.0,197622000000.0,24342000000.0,13467000000.0,505000000.0,1608000000.0,3963000000.0,422000000.0,3.13,476693148.0,2961000000.0,,,13972000000.0,9.6086,3.13,0.0660586640374661,0.007244418013731956,0.5739873469723112,3465000000.0,8744000000.0,6.58,6.58,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2024-03-31,220448000000.0,196687000000.0,23761000000.0,13804000000.0,9000000.0,334000000.0,1168000000.0,96000000.0,0.65,463797964.0,554000000.0,,,13813000000.0,11.4189,0.65,0.014056647447498,0.0015150965307011177,0.5813307520727242,4350000000.0,9608000000.0,8.48,8.48,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2024-06-30,219938000000.0,196069000000.0,23869000000.0,13082000000.0,2000000.0,726000000.0,,184000000.0,1.44,460009546.0,1388000000.0,,,13084000000.0,12.1215,1.44,0.03041602078009133,0.0033009302621647917,0.548158699568478,4087000000.0,,8.0,8.0,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2024-09-30,219706000000.0,194774000000.0,24932000000.0,13944000000.0,15000000.0,1108000000.0,,272000000.0,2.2,456461330.0,1518000000.0,,,13959000000.0,14.1956,2.2,0.044440879191400606,0.0050431030559019785,0.5598828814375101,3776000000.0,,7.42,7.42,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2024-12-31,217521000000.0,193267000000.0,24254000000.0,12401000000.0,0.0,-659000000.0,,-173000000.0,-1.2600000000000002,-926758595.0,-1459000000.0,,,12401000000.0,12.78,-1.2600000000000002,-0.027170775954481734,-0.0030295925450876007,0.5112971056320607,1509000000.0,,3.0299999999999994,3.0299999999999994,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2025-03-31,220148000000.0,195282000000.0,24866000000.0,12267000000.0,47000000.0,373000000.0,,95000000.0,0.77,442200180.0,-213000000.0,,,12314000000.0,11.5835,0.77,0.015000402155553769,0.0016943147337245854,0.4952143489101585,1548000000.0,,3.15,3.15,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2025-06-30,218310000000.0,193076000000.0,25234000000.0,12526000000.0,249000000.0,809000000.0,,213000000.0,1.69,439342703.0,673000000.0,,,12775000000.0,12.1648,1.69,0.03205991915669335,0.0037057395446841645,0.5062613933581676,1631000000.0,,3.4,3.4,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2025-09-30,222747000000.0,196918000000.0,25829000000.0,10441000000.0,214000000.0,1303000000.0,,348000000.0,2.74,437915596.0,2369000000.0,,,10655000000.0,13.6972,2.74,0.05044717178365403,0.005849685966589898,0.4125208099423129,1826000000.0,,3.94,3.94,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2025-12-31,226351000000.0,200034000000.0,26317000000.0,11224000000.0,58000000.0,-654000000.0,,-159000000.0,-1.3400000000000003,-882567748.0,-618000000.0,,,11282000000.0,13.7009,-1.3400000000000003,-0.024850856860584414,-0.0028893179177472156,0.4286962799711213,1831000000.0,,3.86,3.86,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
