report_date,total_assets,total_liabilities,total_equity,cash,shares_outstanding,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,debt_equity,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-09-30,3226250000000.0,3223838000000.0,2359000000.0,20674000000.0,,9654000000.0,82682000000.0,,0.17,5893000000.0,32279000000.0,0.0,,0.044,0.0025,0.17,4.092412038999576,0.0029923285548237115,0.0,33635000000.0,100584000000.0,3.58,3.58,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2012-12-31,3222422000000.0,3215198000000.0,7183000000.0,21117000000.0,,-2982000000.0,-59910000000.0,,-0.5,-11654000000.0,-19299000000.0,0.0,2.6801,0.0171,0.0067,-0.5,-0.41514687456494503,-0.0009253909016261682,0.0,17224000000.0,107689000000.0,1.1102230246251565e-16,1.1102230246251565e-16,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2013-03-31,3320675000000.0,3258307000000.0,62327000000.0,23413000000.0,,58685000000.0,23876000000.0,,0.0,5762000000.0,-6420000000.0,0.0,,0.0126,0.0243,0.0,0.9415662553949332,0.0176726117430944,0.0,73190000000.0,102978000000.0,0.02000000000000011,0.02000000000000011,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2013-06-30,3280665000000.0,3267422000000.0,13208000000.0,24718000000.0,,68769000000.0,47187000000.0,,0.0,5762000000.0,4802000000.0,0.0,,0.0224,0.0517,0.0,5.206617201695942,0.020961908637425645,0.0,134126000000.0,93835000000.0,-0.32999999999999985,-0.32999999999999985,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2013-09-30,3281222000000.0,3269605000000.0,11568000000.0,30784000000.0,,77506000000.0,70672000000.0,-47231000000.0,0.0,5762000000.0,11518000000.0,0.0,,0.0178,0.048,0.0,6.700034578146611,0.023621077757006382,0.0,201978000000.0,81825000000.0,-0.4999999999999999,-0.4999999999999999,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2013-12-31,3270108000000.0,3260517000000.0,9541000000.0,19228000000.0,,-120997000000.0,-46590000000.0,1816000000.0,-0.25,-11524000000.0,3003000000.0,0.0,2.6103,0.0415,0.0835,-0.25,-12.681794361178074,-0.037000918624094374,0.0,83963000000.0,95145000000.0,-0.2499999999999999,-0.2499999999999999,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2014-03-31,3226505000000.0,3218413000000.0,8042000000.0,14056000000.0,,5325000000.0,24441000000.0,2584000000.0,,,-1321000000.0,0.0,,0.1476,0.0957,,0.6621487192240736,0.00165039260748085,0.0,30603000000.0,95710000000.0,,,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2014-06-30,3218817000000.0,3212705000000.0,6062000000.0,20847000000.0,,8991000000.0,48283000000.0,4336000000.0,,,3420000000.0,0.0,,0.1872,0.0966,,1.4831738700098978,0.0027932622451043347,0.0,-29175000000.0,96806000000.0,,,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2014-09-30,3230316000000.0,3223917000000.0,6349000000.0,16329000000.0,,12896000000.0,71453000000.0,6123000000.0,,5762000000.0,960000000.0,0.0,,0.161,0.0674,,2.0311860135454403,0.0039921790933147095,0.0,-93785000000.0,97587000000.0,,,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2014-12-31,3248176000000.0,3244456000000.0,3680000000.0,22023000000.0,,-13004000000.0,-49740000000.0,-6102000000.0,0.0,0.0,-4397000000.0,0.0,2.1419,0.1675,0.0198,0.0,-3.533695652173913,-0.004003477644068548,0.0,14208000000.0,94437000000.0,,,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2015-03-31,3238113000000.0,3234517000000.0,3555000000.0,23860000000.0,,1888000000.0,22501000000.0,870000000.0,0.0,5893000000.0,-1249000000.0,0.0,,0.2527,0.0238,0.0,0.5310829817158931,0.0005830556252978201,0.0,10771000000.0,92497000000.0,,,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2015-06-30,3225400000000.0,3219241000000.0,6118000000.0,19313000000.0,,6528000000.0,43950000000.0,3080000000.0,0.0,5893000000.0,-1506000000.0,0.0,,0.2292,0.0238,0.0,1.0670153644982021,0.0020239350158119925,0.0,8308000000.0,88164000000.0,,,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2015-09-30,3230782000000.0,3226779000000.0,3972000000.0,19915000000.0,,8488000000.0,65739000000.0,4150000000.0,0.0,5893000000.0,-6375000000.0,0.0,,0.2659,0.0234,0.0,2.1369587109768378,0.002627227711433331,0.0,3900000000.0,82450000000.0,0.0,0.0,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2015-12-31,3221917000000.0,3217858000000.0,4030000000.0,14674000000.0,,-5950000000.0,-44157000000.0,-2847000000.0,,,2457000000.0,0.0,1.4983,0.1734,0.0172,,-1.4764267990074442,-0.0018467266537281998,0.0,10954000000.0,88033000000.0,,,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2016-03-31,3221701000000.0,3219582000000.0,2107000000.0,18916000000.0,,1136000000.0,22563000000.0,550000000.0,0.0,5893000000.0,-3111000000.0,0.0,,0.1589,0.0147,0.0,0.5391551969625059,0.0003526087616448578,0.0,10202000000.0,88095000000.0,,,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2016-06-30,3234893000000.0,3230824000000.0,4057000000.0,23619000000.0,,4082000000.0,43877000000.0,1948000000.0,0.0,5893000000.0,-3982000000.0,0.0,,0.2722,0.0212,0.0,1.0061621888094652,0.0012618655392929534,0.0,7756000000.0,88022000000.0,,,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2016-09-30,3255942000000.0,3251766000000.0,4176000000.0,26559000000.0,,7278000000.0,64393000000.0,3475000000.0,0.0,5893000000.0,-4749000000.0,0.0,,0.2009,0.0182,0.0,1.742816091954023,0.0022352978032163964,0.0,6546000000.0,86676000000.0,,,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2016-12-31,3287968000000.0,3281897000000.0,6071000000.0,25224000000.0,,-183000000.0,-46107000000.0,47000000.0,0.0,-11786000000.0,11109000000.0,0.0,2.6746,0.38,0.0438,0.0,-0.030143304233239993,-5.5657475985167736e-05,0.0,12313000000.0,84726000000.0,0.0,0.0,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2017-03-31,3303754000000.0,3300375000000.0,3379000000.0,24988000000.0,,2773000000.0,22038000000.0,1383000000.0,0.0,5762000000.0,2673000000.0,0.0,,0.2158,0.0282,0.0,0.8206569991121634,0.0008393482081292977,0.0,13950000000.0,84201000000.0,0.0,0.0,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2017-06-30,3309230000000.0,3305513000000.0,3717000000.0,16904000000.0,,5973000000.0,44429000000.0,2970000000.0,0.0,5893000000.0,262000000.0,0.0,,0.19,0.025,0.0,1.6069410815173526,0.0018049516050561612,0.0,15841000000.0,84753000000.0,0.0,0.0,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2017-09-30,3330759000000.0,3327111000000.0,3648000000.0,23914000000.0,,8996000000.0,66616000000.0,4495000000.0,0.0,5893000000.0,4123000000.0,0.0,,0.26,0.0331,0.0,2.4660087719298245,0.0027008858941760723,0.0,17559000000.0,86976000000.0,0.0,0.0,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2017-12-31,3345529000000.0,3349215000000.0,-3686000000.0,32110000000.0,,-15279000000.0,-43960000000.0,7136000000.0,-1.0,-11786000000.0,1198000000.0,0.0,3.3165,1.2037,0.0265,-1.0,4.14514378730331,-0.004566990750939538,-0.0,2463000000.0,89123000000.0,-0.9999999999999999,-0.9999999999999999,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2018-03-31,3364402000000.0,3360464000000.0,3938000000.0,10248000000.0,,4261000000.0,23282000000.0,1131000000.0,0.0,5893000000.0,-1409000000.0,0.0,,0.4631,0.0162,0.0,1.0820213306246826,0.0012664955020238366,0.0,3951000000.0,90367000000.0,-0.9999999999999999,-0.9999999999999999,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2018-06-30,3363364000000.0,3355905000000.0,7500000000.0,20853000000.0,,8718000000.0,46762000000.0,2267000000.0,0.0,5893000000.0,-1675000000.0,0.0,,0.3158,0.0144,0.0,1.1624,0.0025920477236481094,0.0,6696000000.0,92700000000.0,-0.9999999999999999,-0.9999999999999999,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2018-09-30,3401105000000.0,3394130000000.0,7000000000.0,27789000000.0,,12729000000.0,70737000000.0,3312000000.0,0.0,5893000000.0,-1796000000.0,0.0,,0.2654,0.0143,0.0,1.8184285714285715,0.0037426071820775893,0.0,10429000000.0,96821000000.0,-0.9999999999999999,-0.9999999999999999,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2018-12-31,3418318000000.0,3412078000000.0,6200000000.0,25557000000.0,,-9749000000.0,-44683000000.0,-2570000000.0,0.0,-11786000000.0,7128000000.0,0.0,2.5029,0.0769,0.0104,0.0,-1.5724193548387098,-0.0028519874394365885,0.0,15959000000.0,96098000000.0,0.0,0.0,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2019-03-31,3421034000000.0,3415673000000.0,5361000000.0,27496000000.0,,2400000000.0,25810000000.0,627000000.0,0.01,5893000000.0,1816000000.0,0.0,,0.2234,0.0264,0.01,0.4476776720761052,0.0007015422822456602,0.0,14098000000.0,98626000000.0,0.010000000000000111,0.010000000000000111,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2019-06-30,3443287000000.0,3436922000000.0,6400000000.0,30791000000.0,,5832000000.0,50814000000.0,1516000000.0,0.0,5893000000.0,2180000000.0,0.0,,0.2485,0.0269,0.0,0.91125,0.0016937304383863442,0.0,11212000000.0,102678000000.0,0.010000000000000111,0.010000000000000111,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2019-09-30,3494436000000.0,3484094000000.0,10300000000.0,22592000000.0,,9795000000.0,75126000000.0,2552000000.0,0.0,,3176000000.0,0.0,,0.3379,0.0363,0.0,0.9509708737864078,0.002803027441338173,0.0,8278000000.0,107067000000.0,0.010000000000000111,0.010000000000000111,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2019-12-31,3503319000000.0,3488711000000.0,14600000000.0,21184000000.0,,-3867000000.0,-53140000000.0,-1278000000.0,-0.01,-5893000000.0,-11926000000.0,0.0,2.0712,0.2552,0.03,-0.01,-0.26486301369863013,-0.0011038104152091203,0.0,14160000000.0,98610000000.0,1.1102230246251565e-16,1.1102230246251565e-16,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2020-03-31,3601356000000.0,3587411000000.0,13900000000.0,80463000000.0,,461000000.0,24079000000.0,117000000.0,0.0,5867000000.0,2174000000.0,0.0,,0.1507,0.0155,0.0,0.03316546762589928,0.00012800733945769315,0.0,12221000000.0,96879000000.0,-0.00999999999999989,-0.00999999999999989,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2020-06-30,3760676000000.0,3744199000000.0,16500000000.0,54510000000.0,,3006000000.0,45593000000.0,786000000.0,0.0,5867000000.0,-39322000000.0,0.0,,0.2217,0.0216,0.0,0.1821818181818182,0.0007993243767875775,0.0,9395000000.0,91658000000.0,-0.00999999999999989,-0.00999999999999989,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2020-09-30,3864603000000.0,3843910000000.0,20700000000.0,37472000000.0,,7235000000.0,64990000000.0,1935000000.0,0.0,5893000000.0,-76994000000.0,0.0,,0.2017,0.0208,0.0,0.3495169082125604,0.0018721198529318536,0.0,6835000000.0,81522000000.0,-0.00999999999999989,-0.00999999999999989,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2020-12-31,3985749000000.0,3960490000000.0,25259000000.0,38337000000.0,,1103000000.0,-51959000000.0,236000000.0,0.0,-11734000000.0,41208000000.0,0.0,3.9445,0.2345,0.0257,0.0,0.043667603626430185,0.0002767359409737041,0.0,11805000000.0,82703000000.0,0.0,0.0,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2021-03-31,4070103000000.0,4039878000000.0,30225000000.0,26538000000.0,,4993000000.0,16820000000.0,1322000000.0,0.0,5893000000.0,24883000000.0,0.0,,0.1467,0.0235,0.0,0.16519437551695615,0.0012267502812582385,0.0,16337000000.0,75444000000.0,0.0,0.0,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2021-06-30,4158038000000.0,4120693000000.0,37345000000.0,48879000000.0,,12145000000.0,33641000000.0,3204000000.0,0.01,5893000000.0,40039000000.0,0.0,,0.0863,0.0181,0.01,0.3252108716026242,0.002920848727212209,0.0,25476000000.0,63492000000.0,0.010000000000000111,0.010000000000000111,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2021-09-30,4209209000000.0,4167036000000.0,42173000000.0,67377000000.0,,16987000000.0,51650000000.0,4470000000.0,0.01,5893000000.0,37055000000.0,0.0,,0.0451,0.0098,0.01,0.40279325634884877,0.004035675111404542,0.0,35228000000.0,50152000000.0,0.02000000000000011,0.02000000000000011,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2021-12-31,4229166000000.0,4181809000000.0,47357000000.0,42448000000.0,,-11949000000.0,-32023000000.0,-3223000000.0,-0.01,-11786000000.0,-54766000000.0,0.0,4.6209,0.0428,0.0095,-0.01,-0.2523175032202209,-0.0028253797557248874,0.0,22176000000.0,70088000000.0,0.010000000000000111,0.010000000000000111,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2022-06-30,4288967000000.0,4232560000000.0,56407000000.0,41639000000.0,,9061000000.0,41588000000.0,2387000000.0,0.0,5893000000.0,24163000000.0,0.0,,0.0263,0.0046,0.0,0.16063609126526848,0.0021126299176468365,0.0,26244000000.0,94856000000.0,0.010000000000000111,0.010000000000000111,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2022-09-30,4289453000000.0,4230613000000.0,58840000000.0,35640000000.0,,11497000000.0,65314000000.0,2816000000.0,0.0,5893000000.0,33411000000.0,0.0,,0.0361,0.0053,0.0,0.1953942895989123,0.0026802951332022987,0.0,25596000000.0,126529000000.0,1.1102230246251565e-16,1.1102230246251565e-16,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2022-12-31,4305288000000.0,4245011000000.0,60277000000.0,57987000000.0,,12923000000.0,90874000000.0,3310000000.0,0.0,5893000000.0,43826000000.0,0.0,5.8472,0.0317,0.0034,0.0,0.21439354977852249,0.003001657496548431,0.0,21532000000.0,165753000000.0,-0.00999999999999989,-0.00999999999999989,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2023-03-31,4317460000000.0,4253411000000.0,64049000000.0,60330000000.0,,3772000000.0,26784000000.0,1008000000.0,0.0,5867000000.0,4015000000.0,0.0,,0.0386,0.0037,0.0,0.058892410498212304,0.0008736618289457227,0.0,37253000000.0,224560000000.0,0.0,0.0,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2023-06-30,4323710000000.0,4254666000000.0,69044000000.0,52229000000.0,,8766000000.0,54089000000.0,2293000000.0,0.0,5867000000.0,6245000000.0,0.0,,0.0404,0.0039,0.0,0.1269625166560454,0.002027425521138097,0.0,36958000000.0,237061000000.0,0.0,0.0,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2023-09-30,4329380000000.0,4255655000000.0,73725000000.0,48604000000.0,,13465000000.0,82284000000.0,3535000000.0,0.0,5893000000.0,9848000000.0,0.0,,0.0475,0.0052,0.0,0.18263818243472363,0.0031101451016080825,0.0,38926000000.0,254031000000.0,0.0,0.0,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2023-12-31,4325437000000.0,4247755000000.0,77682000000.0,35817000000.0,,-8595000000.0,-52216000000.0,-2288000000.0,0.0,-11734000000.0,-8225000000.0,0.0,3.2766,0.0712,0.0089,0.0,-0.11064339229165057,-0.0019870824612634517,0.0,17408000000.0,110941000000.0,0.0,0.0,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2024-03-31,4323819000000.0,4241813000000.0,82006000000.0,12524000000.0,,4320000000.0,29775000000.0,1113000000.0,0.0,5867000000.0,7135000000.0,0.0,,0.1084,0.0137,0.0,0.052679072263005146,0.0009991167530370721,0.0,17956000000.0,113932000000.0,0.0,0.0,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2024-06-30,4323893000000.0,4237410000000.0,86483000000.0,41911000000.0,,8804000000.0,,2233000000.0,0.0,5893000000.0,8622000000.0,0.0,,0.0969,0.0116,0.0,0.10180035382676364,0.002036128091051282,0.0,17994000000.0,,0.0,0.0,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2024-09-30,4334556000000.0,4244026000000.0,90530000000.0,38146000000.0,,12848000000.0,,3242000000.0,0.0,5893000000.0,1864000000.0,0.0,,0.0814,0.0092,0.0,0.14191980558930742,0.002964086748446669,0.0,17377000000.0,,0.0,0.0,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2024-12-31,4349731000000.0,4255074000000.0,94657000000.0,38853000000.0,,-8994000000.0,,-2297000000.0,0.0,-11760000000.0,-28141000000.0,0.0,3.3537,0.2237,0.0253,0.0,-0.09501674466758929,-0.0020677140724334447,0.0,16978000000.0,,0.0,0.0,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2025-03-31,4353709000000.0,4255397000000.0,98312000000.0,39352000000.0,,3661000000.0,,923000000.0,0.0,5893000000.0,3505000000.0,0.0,,0.4485,0.048,0.0,0.03723858735454472,0.0008408922139720408,0.0,16319000000.0,,0.0,0.0,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2025-06-30,4338227000000.0,4236591000000.0,101636000000.0,38229000000.0,,6978000000.0,,1760000000.0,0.0,5867000000.0,8413000000.0,0.0,,0.7292,0.0714,0.0,0.06865677515840844,0.0016084912108103148,0.0,14493000000.0,,0.0,0.0,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2025-09-30,4335856000000.0,4230371000000.0,105485000000.0,,,10837000000.0,,2736000000.0,0.0,5893000000.0,17998000000.0,0.0,,0.9324,0.089,0.0,0.10273498601696923,0.0024993911236904547,0.0,12482000000.0,,0.0,0.0,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2025-12-31,4317538000000.0,4208526000000.0,109012000000.0,,,-7112000000.0,,-1800000000.0,0.0,-11760000000.0,-5927000000.0,0.0,0.9516,0.8651,0.0785,0.0,-0.06524052397901149,-0.0016472350677631557,0.0,14364000000.0,,0.0,0.0,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2026-03-31,4314635000000.0,4201968000000.0,112667000000.0,,,3720000000.0,,944000000.0,0.0,5893000000.0,16484000000.0,0.0,,0.5829,0.0527,0.0,0.033017653793923685,0.0008621818531579148,0.0,14423000000.0,,0.0,0.0,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
