report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2021-03-31,28971900000.0,5384600000.0,3552700000.0,,11051900000.0,,549500000.0,334000000.0,8839300000.0,1502500000.0,430100000.0,264500000.0,80800000.0,0.99,265900000.0,851600000.0,725900000.0,549500000.0,,0.7817,,0.99,1156000000.0,0.023932536486938896,0.009129535860609763,0.02992318396253097,0.16997952326541693,0.0486576991390721,0.014845419182035007,0.0370731118658093,0.13077958661884992,0.04971995765433998,1.5156359951586118,17524900000.0,-699500000.0,-372900000.0,3838800000.0,1067600000.0,-2.7399999999999993,-2.7399999999999993,0.5147058823529411,0.5515093,39.3,26.84,2.38042,13297.207,43.6117,0.9057,0.6835
2021-06-30,29414100000.0,5723700000.0,3844000000.0,,11451100000.0,,565700000.0,549800000.0,13655600000.0,2432400000.0,812400000.0,514600000.0,158200000.0,1.93,267000000.0,1602400000.0,1094900000.0,565700000.0,,0.7813,,1.93,1907300000.0,0.04493891416545136,0.017495010896134845,0.037684173525879494,0.17812472538738686,0.05949207651073552,0.027619407019082685,0.06760535250649091,0.13967163654471426,0.049401367554208764,1.4889958376690946,18073200000.0,-650000000.0,-359200000.0,3887400000.0,1054800000.0,-2.5999999999999996,-2.5999999999999996,0.5363102009859689,0.5515093,39.3,26.84,2.38042,13297.207,43.6117,0.9057,0.6835
2021-09-30,29254300000.0,5659600000.0,3644100000.0,,11670300000.0,,168800000.0,290900000.0,-8150300000.0,-1257500000.0,-194300000.0,-92800000.0,-45900000.0,-0.3600000000000003,,-893500000.0,-725300000.0,168800000.0,1.5532,0.7097,15.8713,-0.3600000000000003,-919600000.0,-0.007951809293677113,-0.003172183234601409,0.01138608394783014,0.15428879918530605,0.023839613265769357,-0.0066417586474467,-0.01641172048550988,0.11283020256923058,0.014464066904878194,1.553085809939354,18746100000.0,838300000.0,1281200000.0,3430300000.0,2741200000.0,3.13,3.13,0.061578870567634614,0.5515093,39.3,26.84,2.38042,13297.207,43.6117,0.9057,0.6835
2021-12-31,29082500000.0,5567900000.0,3555500000.0,,11697200000.0,,236800000.0,291300000.0,4952200000.0,796600000.0,270600000.0,182300000.0,58600000.0,0.68,266900000.0,252800000.0,366500000.0,236800000.0,,0.6057,13.4553,0.68,637100000.0,0.015584926307150429,0.006268374451990028,0.03681192197407213,0.16085780057348248,0.054642381163927146,0.009304564600704892,0.022674710910005027,0.12864989297685878,0.020244160995793865,1.56599634369287,19296800000.0,868600000.0,1318800000.0,3474000000.0,2780800000.0,3.24,3.24,0.08515535097813579,0.5515093,39.3,26.84,2.38042,13297.207,43.6117,0.9057,0.6835
2022-03-31,29205600000.0,5985900000.0,3911800000.0,,11578400000.0,,419600000.0,360200000.0,10334300000.0,1800300000.0,327200000.0,222200000.0,60400000.0,0.83,266100000.0,642700000.0,740100000.0,419600000.0,,0.6116,15.5515,0.83,1067300000.0,0.01919090720652249,0.007608129947681267,0.021501214402523634,0.17420628392827767,0.03166155424169997,0.011203330868052702,0.027271211868644774,0.10327743533669431,0.036239894976853454,1.530216268725395,20791800000.0,826300000.0,1215900000.0,3771800000.0,2692100000.0,3.08,3.08,0.15586345232346496,0.5515093,39.3,26.84,2.38042,13297.207,43.6117,0.9057,0.6835
2022-06-30,28885700000.0,6004700000.0,4111400000.0,,11457900000.0,,387800000.0,305400000.0,15854000000.0,2959700000.0,868400000.0,600100000.0,193100000.0,2.28,263200000.0,1480100000.0,1117400000.0,387800000.0,,0.4848,10.9908,2.28,1985800000.0,0.05237434433884045,0.020774985546481477,0.037851646272234134,0.18668474832849755,0.0547748202346411,0.03006331852785288,0.07330930210962627,0.12525545603633154,0.0338456436170677,1.4605000729678455,22990200000.0,911800000.0,1271900000.0,4299100000.0,2770600000.0,3.4299999999999997,3.4299999999999997,0.13996968165740273,0.5515093,39.3,26.84,2.38042,13297.207,43.6117,0.9057,0.6835
2022-09-30,28405500000.0,5985400000.0,3902800000.0,,11402000000.0,,212200000.0,260200000.0,-9884000000.0,-1535900000.0,-139400000.0,-60000000.0,-42500000.0,-0.18000000000000016,,-355200000.0,-735400000.0,212200000.0,1.5334,0.3695,8.316,-0.18000000000000016,-874800000.0,-0.005262234695667427,-0.002112266990547605,0.006070416835289356,0.15539255362201537,0.014103601780655605,-0.004907500308038936,-0.012002548604294743,0.08850667745851881,0.0186107700403438,1.5336168904376346,21256500000.0,944600000.0,1326800000.0,4020700000.0,2815400000.0,3.61,3.61,0.07537117283512113,0.5515093,39.3,26.84,2.38042,13297.207,43.6117,0.9057,0.6835
2022-12-31,30341700000.0,7580100000.0,5012000000.0,,11534500000.0,,497000000.0,415200000.0,4923100000.0,765200000.0,168200000.0,45300000.0,8300000.0,0.18,256700000.0,265900000.0,373200000.0,497000000.0,,0.4215,11.0784,0.18,541400000.0,0.003927348389613767,0.0014929947893493113,0.009201519367877962,0.15543052141943084,0.03416546484938352,0.0055435259065906,0.013979969247392261,0.1099713595092523,0.043088126923577094,1.512390263367917,21227400000.0,807600000.0,1224400000.0,3989300000.0,2719700000.0,3.11,3.11,0.18274074346435268,0.5515093,39.3,26.84,2.38042,13297.207,43.6117,0.9057,0.6835
2023-03-31,28210400000.0,7598300000.0,4967500000.0,,9643400000.0,,501600000.0,363400000.0,10200700000.0,1685500000.0,-1825700000.0,-1960800000.0,-108500000.0,-7.68,255200000.0,550000000.0,769000000.0,501600000.0,,0.3673,,-7.68,-1056700000.0,-0.2033307754526412,-0.06950628137140913,-0.19222210240473692,0.16523375846755614,-0.17897791328046114,-0.06471726739074951,-0.17996057171020208,-0.10359093003421334,0.052014849534396584,1.5296024157020633,21093800000.0,-1375400000.0,-928500000.0,3874500000.0,595700000.0,-5.3999999999999995,-5.3999999999999995,0.842034581165016,0.5515093,39.3,26.84,2.38042,13297.207,43.6117,0.9057,0.6835
2023-06-30,28148900000.0,7448000000.0,5003700000.0,,10007800000.0,,419400000.0,314800000.0,15321800000.0,2707000000.0,-1467000000.0,-1758800000.0,-41200000.0,-6.88,255500000.0,1243600000.0,1151500000.0,419400000.0,,0.3593,,-6.88,-315500000.0,-0.17574292052199283,-0.06248201528301284,-0.11479069038885771,0.1766763696171468,-0.09574593063478182,-0.05211571322502833,-0.1406897345404327,-0.02059157540236787,0.0419073122964088,1.4884985111017848,20561600000.0,-3734300000.0,-3263900000.0,3621800000.0,-1705600000.0,-14.559999999999999,-14.559999999999999,-0.24589587242026267,0.5515093,39.3,26.84,2.38042,13297.207,43.6117,0.9057,0.6835
2023-09-30,27443700000.0,6993100000.0,4919400000.0,,10080700000.0,,533000000.0,393400000.0,-10135600000.0,-1573200000.0,1613000000.0,2025300000.0,81000000.0,7.939999999999999,,-231600000.0,-757900000.0,533000000.0,1.4216,0.4496,,7.939999999999999,855100000.0,0.2009086670568512,0.07379835809311426,-0.19982043490271914,0.1552152807924543,-0.15914203401870633,0.058774873650418856,0.15197339287901485,-0.08436599707960062,0.05287331236918071,1.421535146562589,20310000000.0,-1649000000.0,-1511500000.0,3584500000.0,24300000.0,-6.440000000000001,-6.440000000000001,21.93415637860082,0.5515093,39.3,26.84,2.38042,13297.207,43.6117,0.9057,0.6835
