report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2016-09-30,12943340000.0,436699000.0,2348989000.0,8406613000.0,4536727000.0,,155431000.0,3749203000.0,771914000.0,,,8944000.0,2.0,227859617.0,,915936000.0,327366000.0,,0.0,,14.2918,1.7892,2.0,1099280000.0,,,,0.20588749128814843,0.05963792962249311,0.1701477739348213,,0.29320364888217576,0.0,0.18590934227448488,5166028000.0,,1041337000.0,,1488881000.0,2.0,2.0,0.0,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2016-12-31,12973911000.0,411093000.0,2312818000.0,8436185000.0,4537726000.0,,128347000.0,-2216962000.0,-336032000.0,633085000.0,,-6533000.0,0.0,-456119336.0,,-720771000.0,-198685000.0,,0.0,0.1777,15.3571,1.9944,0.0,-534717000.0,0.13951591612186368,0.04879677377160981,-0.28556420903921675,0.1515731888954344,-0.025900593891849573,-0.07405295075110309,,0.2411935793216122,0.0,0.1777455035372433,4874340000.0,,925464000.0,,1371099000.0,2.0,2.0,0.0,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2017-03-31,13076251000.0,488351000.0,2506759000.0,8450969000.0,4625282000.0,,219789000.0,1150781000.0,119734000.0,,,2049000.0,0.0,228555952.0,,117777000.0,121593000.0,,0.0,,18.5945,2.3366,0.0,241327000.0,,,,0.10404586102829295,0.00915660000714272,0.025886854033981062,,0.20970714671166799,0.0,0.19481370167614837,4947489000.0,,913916000.0,,1376458000.0,2.0,2.0,0.0,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2017-06-30,13946176000.0,513916000.0,2654127000.0,8954427000.0,4991749000.0,,219315000.0,2494884000.0,394805000.0,,,8842000.0,1.0,228824296.0,,1065265000.0,248618000.0,,0.0,,18.3434,2.4256,1.0,643423000.0,,,,0.1582458342752609,0.028309193860740035,0.07909151682105811,,0.25789696033963905,0.0,0.19362901624526632,5177906000.0,,950421000.0,,1449313000.0,3.0,3.0,0.0,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2017-09-30,14265117000.0,864834000.0,2528662000.0,8727513000.0,5537604000.0,,522904000.0,4146622000.0,871625000.0,,,15369000.0,2.0,229157257.0,,1129514000.0,385957000.0,,0.0,,16.9325,2.3553,2.0,1257582000.0,,,,0.21020121920927445,0.06110184725438985,0.1574011070491859,,0.3032786687573644,0.0,0.3420124951456541,5575325000.0,,1050132000.0,,1607615000.0,3.0,3.0,0.0,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2017-12-31,14094869000.0,518337000.0,2490021000.0,8345103000.0,5749766000.0,,176190000.0,-2396112000.0,-337345000.0,,,-15518000.0,0.0,-457119179.0,,-940342000.0,-234684000.0,,0.0,0.208,16.5284,2.3275,0.0,-572029000.0,,,,0.1407884940269904,-0.023933886863368507,-0.05867108331017297,,0.23873216277035464,0.0,0.20816571426506042,5396175000.0,,1048819000.0,,1570303000.0,3.0,3.0,0.0,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2018-03-31,14484985000.0,760775000.0,3093543000.0,8845912000.0,5639073000.0,,301748000.0,1293403000.0,167053000.0,,,2534000.0,0.0,229187628.0,,143874000.0,134546000.0,,0.0,,14.5736,2.1081,0.0,301599000.0,,,,0.12915773351383908,0.011532839005356236,0.029624195324302417,,0.2331825424867578,0.0,0.2459235252265768,5538797000.0,,1096138000.0,,1630575000.0,3.0,3.0,0.0,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2018-06-30,15329646000.0,671490000.0,3306165000.0,9642853000.0,5686793000.0,,205007000.0,,459205000.0,,,7944000.0,1.0,226778106.0,1253801000.0,1251434000.0,274842000.0,2367000.0,0.0,,12.7489,1.8496,1.0,734047000.0,,,,,0.029955355785776135,0.08074937842822835,,,0.0,0.20310238599706912,,,1160538000.0,,1721199000.0,3.0,3.0,0.0,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2018-09-30,15316122000.0,727408000.0,3052179000.0,9118032000.0,6198090000.0,,286461000.0,,1009481000.0,,,18400000.0,3.0,225422385.0,1720101000.0,1361678000.0,420154000.0,358423000.0,0.0,,13.991,2.1236,3.0,1429635000.0,,,,,0.06590969959628162,0.16286969050142866,,,0.0,0.23832416119762306,,,1298394000.0,,1893252000.0,4.0,4.0,0.0,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2018-12-31,15205970000.0,550313000.0,3150500000.0,9242969000.0,5963001000.0,,163851000.0,,-416678000.0,,,-14411000.0,0.0,-456968914.0,-898731000.0,-1190190000.0,-262570000.0,-2088921000.0,0.0,0.1745,9.662,1.5237,0.0,-679248000.0,,,,,-0.02740226371615885,-0.06987723128002159,,,0.0,0.17467481352166322,,,1219061000.0,,1786033000.0,4.0,4.0,0.0,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2019-03-31,15761093000.0,768395000.0,3429420000.0,9855791000.0,5905302000.0,5934185000.0,304708000.0,1403630000.0,158296000.0,,,-33798000.0,0.54,218873272.0,535377000.0,214559000.0,169714000.0,320818000.0,5934185000.0,,12.4605,1.9602,0.54,328010000.0,,,,0.11277615895926989,0.010043465894148331,0.013370173893514137,0.22856308286371765,0.2336869402905324,1.004891028435125,0.2240597535443311,,,1210304000.0,-1407313000.0,1812444000.0,4.54,4.54,3.2741342629068817,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2019-06-30,15965977000.0,903564000.0,3582551000.0,9815634000.0,6150343000.0,,419925000.0,,466977000.0,358347000.0,,-27700000.0,1.65,217837005.0,1059774000.0,413888000.0,326471000.0,645886000.0,0.0,,11.5692,1.8038,1.65,793448000.0,0.058264555326426506,0.022444414143901123,,,0.029248257090687277,0.07592698488523324,,,0.0,0.252212459780754,,,1218076000.0,-763794000.0,1871845000.0,5.1899999999999995,5.1899999999999995,0.0,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2019-09-30,15938896000.0,842716000.0,3399591000.0,9665472000.0,6273424000.0,,407258000.0,,978701000.0,808931000.0,,-16500000.0,3.73,217050055.0,1480754000.0,615985000.0,482497000.0,864769000.0,0.0,,11.4306,1.731,3.73,1461198000.0,0.12894569217703122,0.05075200942399022,,,0.06140331174756394,0.15600746896750484,,,0.0,0.24788746646287746,,,1187296000.0,-257448000.0,1903408000.0,5.92,5.92,0.0,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2019-12-31,16684599000.0,730145000.0,3584390000.0,10169020000.0,6515579000.0,,252876000.0,,-425897000.0,-237050000.0,,59135000.0,-1.62,-437285256.0,-1253300000.0,392738000.0,-331580000.0,-1646038000.0,0.0,0.2037,13.3786,1.9259,-1.62,-757477000.0,-0.03638203143573272,-0.014207713352895087,,,-0.025526355173414717,-0.06536594829101143,,,0.0,0.2037013271435307,,,1178077000.0,185435000.0,1825179000.0,4.3,4.3,0.0,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2020-03-31,16462509000.0,1696335000.0,2959793000.0,12087855000.0,4374654000.0,,1360261000.0,,-1824061000.0,-1880972000.0,,-6200000.0,-8.8,213630798.0,-52701000.0,610155000.0,195195000.0,-662856000.0,0.0,,,0.3706,-8.8,-1628866000.0,-0.4299704616639396,-0.11425791779369718,,,-0.1108009113313165,-0.4169612042460958,,,0.0,0.5731262287599167,,-950744000.0,-804280000.0,-798239000.0,-131697000.0,-5.040000000000001,-5.040000000000001,-0.0,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2020-06-30,17528059000.0,2750668000.0,2583855000.0,13191034000.0,4337025000.0,,2259949000.0,,-2419472000.0,-2596215000.0,,-15300000.0,-11.46,226486772.0,-1328380000.0,725477000.0,379375000.0,-2053857000.0,0.0,,,0.9041,-11.46,-2040097000.0,-0.5986165631971224,-0.14811765524066298,,,-0.1380342227282553,-0.557864434721958,,,0.0,1.06455973729176,,-3905306000.0,-3690729000.0,-3497982000.0,-2965242000.0,-18.150000000000002,-18.150000000000002,-0.0,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
