report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-12-31,1103602000.0,569537000.0,406333000.0,467345000.0,636223000.0,,223986000.0,-661463000.0,-365187000.0,-133204000.0,-89449000.0,-2456000.0,-42159000.0,-1.58,-112899000.0,-17190000.0,-11485000.0,-24478000.0,-28675000.0,0.0,1.4017,28.4608,3.9229,-1.58,-157682000.0,-0.1405937855123125,-0.0810518647120973,0.13522903019518853,0.5520898372244555,0.20137785484600046,-0.12069931007736484,-0.20936684150054305,0.043350875256817085,0.23838370400158437,0.0,1.4016508627160482,1293338000.0,178267000.0,262563000.0,699148000.0,141820000.0,314971000.0,3848000.0,3.17,3.17,0.0,68.23362785862786,1.7082675,769.98,356.14,0.5231,45952.62,43.3735,33.6504,10.6775
2013-03-31,1132638000.0,594395000.0,439577000.0,501343000.0,631254000.0,,228364000.0,332106000.0,183974000.0,61188000.0,44860000.0,835000.0,15930000.0,0.81,55490000.0,20684000.0,19761000.0,13513000.0,923000.0,0.0,,27.1129,3.7957,0.81,74701000.0,0.07106489622243978,0.039606652787563194,0.13507735482044889,0.553961686931281,0.18424238044479774,0.05402255619182828,0.09693087093309508,0.0027792331364082552,0.22493119666612468,0.0,1.3521976809523701,1302768000.0,182384000.0,263344000.0,708348000.0,137005000.0,316560000.0,3490000.0,3.2600000000000002,3.2600000000000002,0.0,75.4567335243553,1.7082675,769.98,356.14,0.5231,45952.62,43.3735,33.6504,10.6775
2013-06-30,1164071000.0,614902000.0,551671000.0,614480000.0,549546000.0,,251013000.0,684688000.0,381670000.0,139949000.0,98854000.0,2014000.0,39959000.0,1.0,54955000.0,100002000.0,43699000.0,27357000.0,56303000.0,0.0,,26.5249,3.7196,1.0,167306000.0,0.17988303071990333,0.08492093695315836,0.14437816932675904,0.55743637978174,0.204398207650784,0.12022376641974587,0.2546629399540712,0.08223161498375903,0.24435363260346318,0.0,1.114617226571634,1329131000.0,189178000.0,267069000.0,730555000.0,138809000.0,321951000.0,3385000.0,2.63,2.63,0.0,78.89778434268833,1.7082675,769.98,356.14,0.5231,45952.62,43.3735,33.6504,10.6775
2013-09-30,1195238000.0,625223000.0,592952000.0,660343000.0,534846000.0,,264811000.0,1022985000.0,567453000.0,205434000.0,144542000.0,3477000.0,58745000.0,2.0,54391000.0,179729000.0,60607000.0,41130000.0,119122000.0,0.0,,27.8659,3.9001,2.0,246564000.0,0.2702497541348351,0.1209315634208417,0.1412943493795119,0.5547031481400021,0.20081819381515859,0.17187706548821238,0.3840993482236008,0.11644550017839948,0.24102406193639203,0.0,1.0544243041595271,1378316000.0,198807000.0,273367000.0,767910000.0,147673000.0,330889000.0,3870000.0,2.23,2.23,0.0,70.6374677002584,1.7082675,769.98,356.14,0.5231,45952.62,43.3735,33.6504,10.6775
2013-12-31,1230516000.0,652706000.0,478353000.0,712302000.0,518186000.0,,279058000.0,-662721000.0,-376979000.0,-139809000.0,-100456000.0,-940000.0,-39167000.0,-0.33000000000000007,-110851000.0,-54419000.0,-46455000.0,-27404000.0,-100874000.0,0.0,1.3645,29.3928,4.0085,-0.33000000000000007,-167213000.0,-0.1938608916489446,-0.0816372968738318,0.15158113293527745,0.568835150840248,0.21096207906494588,-0.11361818944247778,-0.2698046647342846,0.1522118659284978,0.2523128133860252,0.0,1.3644860594581825,1377058000.0,187800000.0,266762000.0,756118000.0,75474000.0,321358000.0,5386000.0,3.48,3.48,0.0,49.52877831414779,1.7082675,769.98,356.14,0.5231,45952.62,43.3735,33.6504,10.6775
2014-03-31,1262324000.0,683166000.0,517173000.0,750072000.0,512216000.0,,286203000.0,360203000.0,202097000.0,70046000.0,46585000.0,2774000.0,21150000.0,0.0,52338000.0,33518000.0,11298000.0,13394000.0,22220000.0,0.0,,32.9908,4.4498,0.0,83440000.0,0.09094795945460508,0.036904154559368275,0.12932985011229778,0.5610641776997971,0.19446256694141914,0.05548971579404337,0.13675090196323425,0.061687437361709924,0.23164715452120055,0.0,1.3209622312069655,1405155000.0,189525000.0,275620000.0,774241000.0,96771000.0,330097000.0,7325000.0,2.67,2.67,0.0,37.62730375426621,1.7082675,769.98,356.14,0.5231,45952.62,43.3735,33.6504,10.6775
2014-06-30,1283193000.0,701707000.0,600352000.0,830263000.0,452868000.0,,305048000.0,750325000.0,420615000.0,153265000.0,103803000.0,5739000.0,44648000.0,1.0,52080000.0,115280000.0,25410000.0,28089000.0,89870000.0,0.0,,35.5529,4.75,1.0,181354000.0,0.22921248575743924,0.08089430038973093,0.13834405091127178,0.560577083263919,0.20426481857861592,0.11944033360531113,0.33843194926556963,0.11977476426881685,0.2417005964082231,0.0,1.1688259554394755,1470792000.0,194474000.0,288936000.0,813186000.0,130338000.0,344145000.0,11050000.0,2.67,2.67,0.0,26.148054298642535,1.7082675,769.98,356.14,0.5231,45952.62,43.3735,33.6504,10.6775
2014-09-30,1290632000.0,702621000.0,630264000.0,1061161000.0,229388000.0,,292735000.0,1133848000.0,633951000.0,225454000.0,155945000.0,10033000.0,60693000.0,3.0,51522000.0,208543000.0,42504000.0,43610000.0,166039000.0,0.0,,29.7351,3.9809,3.0,269064000.0,0.6798306798960713,0.12082840034959616,0.13753607185442845,0.559114625593554,0.1988397033817584,0.17468496054646096,0.982850018309589,0.14643849969308056,0.23730164889826502,0.0,1.1148042724953353,1581655000.0,205877000.0,308956000.0,879684000.0,177255000.0,366645000.0,17606000.0,3.67,3.67,0.0,17.548335794615472,1.7082675,769.98,356.14,0.5231,45952.62,43.3735,33.6504,10.6775
2014-12-31,1384211000.0,759398000.0,820906000.0,1266622000.0,117516000.0,,322536000.0,-758569000.0,-440547000.0,-188510000.0,-124427000.0,-3117000.0,-61887000.0,-1.0,-105189000.0,-121495000.0,-18689000.0,-26205000.0,-140184000.0,0.0,0.9251,38.8655,4.7583,-1.0,-214715000.0,-1.0588090132407502,-0.08989019737597809,0.16402858540225082,0.5807606163710882,0.24850738693513708,-0.1361858849554006,-1.6041219918989755,0.1848005916403122,0.28305269527228244,0.0,0.9250730290678836,1485807000.0,181906000.0,260255000.0,816116000.0,137945000.0,319143000.0,15429000.0,3.0,3.0,0.0,16.86791107654417,1.7082675,769.98,356.14,0.5231,45952.62,43.3735,33.6504,10.6775
2015-03-31,1431014000.0,808909000.0,803445000.0,1396935000.0,34022000.0,,182160000.0,382477000.0,215544000.0,72803000.0,46594000.0,6304000.0,20346000.0,0.0,47761000.0,-14644000.0,23017000.0,16154000.0,-37661000.0,0.0,,39.7782,4.7983,0.0,88957000.0,1.369525601081653,0.03256012869196248,0.1218217043116318,0.5635476120132714,0.19034608616988735,0.050875113730543514,2.139880077596849,-0.09846605155342675,0.2325813055425555,0.0,1.0068007144235138,1508081000.0,181915000.0,263012000.0,829563000.0,78064000.0,324660000.0,18959000.0,3.0,3.0,0.0,13.872672609314836,1.7082675,769.98,356.14,0.5231,45952.62,43.3735,33.6504,10.6775
