report_date,total_assets,total_liabilities,total_equity,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2022-03-31,19869627000.0,8888999000.0,10976736000.0,343457000.0,,613927000.0,,262044000.0,56526000.0,2471000.0,1.87,343680000.0,0.0,,30.8928,14.7296,1.87,,0.023872670345720257,0.01318816905823144,0.4268325061448674,,,,,0.0,2357642000.0,1124120000.0,224328000.0,8.040000000000003,8.040000000000003,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2022-06-30,19768777000.0,8847836000.0,10917461000.0,152522000.0,,1258486000.0,,400735000.0,115323000.0,2312000.0,2.86,640048000.0,0.0,,33.3375,11.1303,2.86,,0.036705878775294,0.020271107312303638,0.3184262677534752,,,,,0.0,2503249000.0,934679000.0,230934000.0,6.670000000000002,6.670000000000002,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2022-09-30,20164770000.0,8951327000.0,11210037000.0,200999000.0,,1923775000.0,,895482000.0,172613000.0,7963000.0,6.4,1080440000.0,0.0,,20.9299,10.2005,6.4,,0.07988216274397666,0.044408242692577204,0.4654816701537342,,,,,0.0,2733371000.0,1161071000.0,238843000.0,8.280000000000001,8.280000000000001,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2022-12-31,20457764000.0,9201526000.0,11253476000.0,613189000.0,,-1202742000.0,,-421486000.0,-114388000.0,1900000.0,-3.0100000000000016,-642236000.0,0.0,0.9931,19.8788,8.7126,-3.0100000000000016,,-0.03745384981493718,-0.020602740358134936,0.35043758345513837,,,,,0.0,2593446000.0,1136775000.0,230074000.0,8.119999999999997,8.119999999999997,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2023-03-31,20174895000.0,9002905000.0,11169179000.0,254466000.0,,674708000.0,,146902000.0,56821000.0,3560000.0,1.05,396118000.0,0.0,,23.0326,8.8649,1.05,,0.01315244388150642,0.0072814257521538524,0.21772677958464995,,,,,0.0,2654227000.0,1021633000.0,230369000.0,7.299999999999999,7.299999999999999,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2023-06-30,20806197000.0,8989119000.0,11815488000.0,769622000.0,,1365569000.0,,514825000.0,108406000.0,3343000.0,3.65,742579000.0,0.0,,21.4896,9.953,3.65,,0.04357204713000428,0.024743829927208708,0.37700401810527334,,,,,0.0,2761310000.0,1135723000.0,223452000.0,8.09,8.09,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2023-09-30,20702838000.0,8923508000.0,11777524000.0,508571000.0,,2063204000.0,,686856000.0,156521000.0,7715000.0,4.86,1213842000.0,0.0,,25.7204,8.7347,4.86,,0.05831921887826338,0.03317690067419742,0.33290745849659076,,,,,0.0,2900739000.0,927097000.0,207360000.0,6.55,6.55,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2023-12-31,20678214000.0,8893423000.0,11783241000.0,397890000.0,,-1335572000.0,,-419758000.0,-115756000.0,-4465000.0,-3.000000000000001,-792510000.0,0.0,0.8573,28.6287,9.6064,-3.000000000000001,,-0.03562330601572182,-0.020299528769747718,0.3142908057371673,,,,,0.0,2767909000.0,928825000.0,205992000.0,6.560000000000001,6.560000000000001,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2024-03-31,20640897000.0,8925190000.0,11714234000.0,287892000.0,,712859000.0,,173449000.0,54766000.0,-22000.0,1.22,412905000.0,0.0,,26.9866,9.1875,1.22,,0.014806687317326938,0.00840317162572925,0.2433145965751993,,,,,0.0,2806060000.0,955372000.0,203937000.0,6.73,6.73,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2024-09-30,21308411000.0,9423527000.0,11884884000.0,552356000.0,,2173208000.0,,799902000.0,167613000.0,698000.0,5.62,1279065000.0,0.0,,30.8508,11.1687,5.62,,0.06730414869846436,0.037539260905001315,0.368074293854983,,,,,0.0,3613699000.0,1240449000.0,263144000.0,8.7,8.7,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2024-12-31,21000737000.0,9059645000.0,11941092000.0,108576000.0,,2913757000.0,,1081994000.0,226589000.0,445000.0,7.6,1607878000.0,0.0,0.1128,28.9169,10.738,7.6,,0.0906109759475934,0.05152171564264626,0.3713398200330364,,,,,0.0,4464252000.0,1635587000.0,333212000.0,11.44,11.44,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2025-03-31,21215714000.0,9299431000.0,11916283000.0,53255000.0,,745880000.0,,236597000.0,59864000.0,-116000.0,1.66,415903000.0,0.0,,26.6824,10.369,1.66,,0.019854932951827345,0.011151969714523867,0.3172051804579825,,,,,0.0,6545704000.0,2291942000.0,508832000.0,16.1,16.1,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2025-06-30,21837945000.0,9667647000.0,11947719000.0,102825000.0,,1506075000.0,,505262000.0,124665000.0,-647000.0,3.54,793715000.0,0.0,,24.9785,9.7191,3.54,,0.042289411058294896,0.023136883987939342,0.3354826286871504,,,,,0.0,7338920000.0,2623755000.0,578731000.0,18.42,18.42,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2025-09-30,21949232000.0,9787737000.0,11937915000.0,123313000.0,,2272869000.0,,886568000.0,190075000.0,-840000.0,6.22,1270674000.0,0.0,,23.5348,9.1272,6.22,,0.07426489466544199,0.040391754937029234,0.390065595509464,,,,,0.0,7438581000.0,2710421000.0,601193000.0,19.02,19.02,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2025-12-31,22192137000.0,10357820000.0,11611340000.0,187234000.0,,-1484099000.0,,-577126000.0,-115423000.0,468000.0,-4.02,-809187000.0,0.0,0.1855,24.9168,8.6147,-4.02,,-0.04970365177490281,-0.026005877667391833,0.38887297949799843,,,,,0.0,3040725000.0,1051301000.0,259181000.0,7.400000000000002,7.400000000000002,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
