report_date,total_assets,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,net_income,interest_expense,income_tax,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,roe,roa,net_margin,fcf_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2017-03-31,5718103000.0,4540485000.0,230474000.0,3543308000.0,450301000.0,,241657000.0,-41134000.0,,-34264000.0,-291816000.0,10252000.0,,-302068000.0,3543308000.0,,54.6215,3.0817,-0.17847566319845187,-0.007193644465655831,-0.17021646383096703,-1.2499865511861854,15.37400314135217,,73764000.0,,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2017-06-30,6244449000.0,4995976000.0,270609000.0,3682164000.0,561908000.0,,775547000.0,8744000.0,,-33011000.0,-304160000.0,21194000.0,,-325354000.0,3682164000.0,,44.2807,2.5237,0.032312302990661804,0.0014002836759496313,0.01127462294354823,-0.4195155161453787,13.606953205547487,,48024000.0,,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2017-09-30,8019437000.0,6641516000.0,270924000.0,5058357000.0,986046000.0,,1059218000.0,36582000.0,,-28459000.0,-1192250000.0,27926000.0,,-1220176000.0,5058357000.0,,56.4513,2.724,0.13502679718297383,0.004561666860154896,0.03453679979003378,-1.1519592756165398,18.670760065553438,3275627000.0,6813000.0,-2477579000.0,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2017-12-31,8563522000.0,7103230000.0,274857000.0,5693927000.0,675429000.0,,-660923000.0,71986000.0,21219000.0,72682000.0,-74869000.0,-26212000.0,32809000.0,-101081000.0,5693927000.0,0.5594,56.3228,2.8991,0.2619034625277872,0.00840612075265294,-0.10891737766729256,0.1529391472228989,20.715961390832323,1415499000.0,76178000.0,-1948679000.0,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2018-03-31,8560082000.0,6994887000.0,373234000.0,5633465000.0,648010000.0,,266089000.0,40948000.0,51587000.0,-12375000.0,80507000.0,2857000.0,,77650000.0,5633465000.0,,29.196,3.0767,0.10971133390848636,0.004783599035616715,0.1538883606612825,0.2918196543261841,15.093654383041201,1439931000.0,158260000.0,-1568961000.0,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2018-06-30,10144735000.0,8609486000.0,343223000.0,6879714000.0,836274000.0,,44465000.0,29173000.0,114922000.0,24528000.0,-1287645000.0,7126000.0,,-1294771000.0,6879714000.0,,49.5456,4.2218,0.08499721755243675,0.002875678861990974,0.6560890588103002,-29.11888001799168,20.044443408512834,708849000.0,178689000.0,-2538378000.0,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2018-09-30,10421600000.0,8930281000.0,294318000.0,7388284000.0,760581000.0,,140305000.0,45083000.0,182168000.0,29659000.0,-1723258000.0,14437000.0,,-1737695000.0,7388284000.0,,58.6857,4.5754,0.1531778552450071,0.004325919244645736,0.32132140693489186,-12.385125262820285,25.10306539185507,-210064000.0,187190000.0,-3055897000.0,369896000.0,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2018-12-31,10154692000.0,8760351000.0,587924000.0,7578901000.0,384644000.0,,-395620000.0,-58184000.0,-102976000.0,-9610000.0,1513294000.0,-6001000.0,28517000.0,1507293000.0,7578901000.0,0.4437,69.011,4.1056,-0.09896517236921779,-0.005729765117445216,0.14707042111116728,-3.8099514685809615,12.890953592641226,55239000.0,57020000.0,-1447523000.0,245701000.0,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2019-03-31,10489314000.0,9009490000.0,599678000.0,,,,,44949000.0,,14384000.0,-349846000.0,,,,0.0,,85.2067,4.4456,0.07495522597127124,0.004285218270708647,,,0.0,,61021000.0,,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2019-06-30,10979749000.0,9377425000.0,635499000.0,566277000.0,623548000.0,,1179024000.0,77088000.0,144299000.0,23889000.0,-1291312000.0,,,,566277000.0,,56.3131,4.3765,0.1213031019718363,0.00702092552388948,0.06538289296909987,,0.891074572894686,,108936000.0,,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2019-09-30,11596756000.0,9753974000.0,752121000.0,246442000.0,152203000.0,,1832317000.0,110419000.0,220124000.0,35590000.0,-1680084000.0,,,,246442000.0,,50.6845,3.9351,0.14681015421720708,0.009521542058830936,0.060261952489662,,0.32766270320865926,,174272000.0,,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2019-12-31,12014196000.0,10155598000.0,768290000.0,316609000.0,744705000.0,,-624031000.0,-83572000.0,-67007000.0,-21487000.0,1238221000.0,,39459000.0,,316609000.0,0.5158,55.4833,4.679,-0.10877663382316573,-0.006956104261991398,0.13392283396177435,,0.41209569303257887,,148884000.0,,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2020-03-31,13216929000.0,11241333000.0,898612000.0,1046775000.0,1682074000.0,247574364.0,13409000.0,-31036000.0,85547000.0,-20616000.0,-363237000.0,,,,1046775000.0,,99.8141,5.5762,-0.034537709267180944,-0.002348200554001614,-2.3145648445074203,,1.1648798369040254,2400719000.0,72899000.0,,382963000.0,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2020-06-30,13719957000.0,11716209000.0,945057000.0,642474000.0,1148440000.0,,616167000.0,25335000.0,167926000.0,3805000.0,-150839000.0,,,,642474000.0,,101.2251,6.4564,0.02680790682466772,0.0018465801314100328,0.04111709974730877,,0.6798256613093179,1837862000.0,21146000.0,,406590000.0,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2020-09-30,14928993000.0,12458673000.0,1142171000.0,642665000.0,1233937000.0,,1106033000.0,72880000.0,241063000.0,22119000.0,12462000.0,,,,642665000.0,,93.6611,6.7447,0.06380830891346392,0.004881776017980583,0.06589315147016409,,0.5626696878138212,1111578000.0,-16393000.0,,427529000.0,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2020-12-31,15168992000.0,12596852000.0,1193685000.0,642998000.0,1062189000.0,,28437000.0,84963000.0,,49685000.0,75955000.0,,,,642998000.0,0.6725,79.926,6.8806,0.0711770693273351,0.005601097291105434,2.9877624221964343,,0.5386663985892426,1764046000.0,152142000.0,,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2021-03-31,16535929000.0,13084629000.0,1161499000.0,811279000.0,1167143000.0,,658388000.0,58378000.0,77720000.0,25754000.0,-741118000.0,,,,811279000.0,,60.7689,6.0934,0.050260912837634814,0.003530373165003309,0.08866808022017413,,0.6984758488814885,2409025000.0,241556000.0,,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2021-06-30,18639587000.0,14181617000.0,1622282000.0,1088050000.0,1431781000.0,,1953207000.0,200022000.0,13602000.0,74212000.0,-1069043000.0,,,,1088050000.0,,53.398,5.6277,0.12329668947815485,0.010731031755156377,0.1024069645460005,,0.6706910389192507,3746065000.0,416243000.0,,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2021-09-30,19934398000.0,15295223000.0,1753260000.0,1238325000.0,1877137000.0,,2901926000.0,284748000.0,25125000.0,104487000.0,-1843751000.0,,,,1238325000.0,,58.3847,5.9699,0.162410595119948,0.014284253780826489,0.09812379778119773,,0.7062985524109373,5541958000.0,628111000.0,,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2021-12-31,21605164000.0,16694730000.0,1825227000.0,1503709000.0,1392846000.0,,-1301430000.0,-134311000.0,-79687000.0,-57068000.0,1057867000.0,,113293000.0,,1503709000.0,0.4246,57.6286,5.5936,-0.07358591561487968,-0.006216615620228572,0.10320263095210652,,0.823847663879616,4212091000.0,408837000.0,,36760000.0,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2022-03-31,21131203000.0,16367235000.0,1693048000.0,1942624000.0,829252000.0,,714999000.0,45863000.0,15646000.0,20411000.0,224150000.0,,,,1942624000.0,,60.1055,5.5804,0.027089013424309295,0.0021703922867051155,0.06414414565614777,,1.1474122411177947,4268702000.0,396322000.0,,-25314000.0,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2022-06-30,21226215000.0,16464550000.0,1639366000.0,1967989000.0,1076977000.0,,1316429000.0,85594000.0,32867000.0,33871000.0,-568198000.0,,,,1967989000.0,,56.0149,4.6125,0.052211647673551846,0.0040324664571615805,0.06501983775805607,,1.200457371935248,3631924000.0,281894000.0,,-6049000.0,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2022-09-30,21206326000.0,16641576000.0,1511661000.0,2018462000.0,1045476000.0,,2117719000.0,50048000.0,51174000.0,22272000.0,-543605000.0,,,,2018462000.0,,103.3198,5.2487,0.03310795211360219,0.0023600504868217156,0.023632974913102258,,1.3352610142088734,2847717000.0,47194000.0,,20000000.0,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2022-12-31,22002839000.0,17097810000.0,1589239000.0,2273854000.0,1114628000.0,,-1093704000.0,-13964000.0,-28331000.0,-4663000.0,153541000.0,,341341000.0,,2273854000.0,0.3591,70.8418,3.8845,-0.008786595345319363,-0.0006346453746264289,0.012767622684016882,,1.4307816508404336,3055443000.0,167541000.0,,71356000.0,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2023-12-31,24730500000.0,19709151000.0,1893399000.0,2965480000.0,1497785000.0,,3631884000.0,474326000.0,860876000.0,172971000.0,-233261000.0,,231712000.0,,2965480000.0,0.4324,46.5291,6.0767,0.25051560711714754,0.019179798224864035,0.1306005368012855,,1.5662203265133234,5972328000.0,596004000.0,,916586000.0,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2024-03-31,24413270000.0,19382799000.0,1767494000.0,3046182000.0,1545707000.0,,707363000.0,73027000.0,283514000.0,27233000.0,710045000.0,,,,3046182000.0,,90.4186,11.6249,0.041316689052409795,0.0029912830194398373,0.10323836559164107,,1.7234468688436848,5363262000.0,583437000.0,,1167233000.0,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2024-06-30,24192557000.0,18435543000.0,2001768000.0,2566887000.0,1525486000.0,,1496045000.0,167965000.0,,68307000.0,1142217000.0,,,,2566887000.0,,105.424,13.2133,0.08390832504066405,0.006942837832313468,0.11227269233211568,,1.2823099380147949,4741588000.0,701354000.0,,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2024-09-30,24522650000.0,18643116000.0,2076075000.0,2542358000.0,1666052000.0,,2625784000.0,286425000.0,,114760000.0,1983536000.0,,,,2542358000.0,,106.6802,13.3467,0.13796466890647013,0.011680018268824944,0.10908170664456787,,1.2245983406187155,8461076000.0,1001743000.0,,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2024-12-31,24884308000.0,17485922000.0,3543646000.0,2558914000.0,2735465000.0,,-944411000.0,-63675000.0,,-45683000.0,-1044644000.0,,158578000.0,,2558914000.0,0.6382,119.5068,14.266,-0.01796878130603339,-0.0025588414996310124,0.06742297580184899,,0.722113326218251,3884781000.0,463742000.0,,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2025-03-31,27181768000.0,18389821000.0,4454107000.0,3544527000.0,1802811000.0,,1088805000.0,47170000.0,,17537000.0,1994203000.0,,,,3544527000.0,,109.1072,11.1988,0.010590226054291017,0.0017353543742997144,0.043322725373230286,,0.7957884711795203,4266223000.0,437885000.0,,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2025-06-30,27264941000.0,18425558000.0,4361831000.0,3675154000.0,1531905000.0,,2438933000.0,184232000.0,,78495000.0,2409904000.0,,,,3675154000.0,,117.8385,11.7165,0.04223730813963219,0.006757102463563006,0.07553795040700174,,0.8425713880248914,5209111000.0,454152000.0,,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2025-09-30,27032166000.0,18400136000.0,4474028000.0,3675783000.0,1499960000.0,,4096561000.0,473114000.0,,190387000.0,3750647000.0,,,,3675783000.0,,80.3119,9.7539,0.10574676778956234,0.017501890155602034,0.11549052973945707,,0.8215824755678776,6679888000.0,640841000.0,,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2025-12-31,28633369000.0,19931981000.0,4275463000.0,3941415000.0,1447984000.0,,-2022817000.0,-177154000.0,,-87884000.0,-4887795000.0,,243149000.0,,3941415000.0,0.2973,66.4626,6.2572,-0.04143504457879767,-0.006186977159411454,0.08757786789412982,,0.9218685789118044,5601482000.0,527362000.0,,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
