report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2013-12-31,11743300000.0,3232100000.0,1610200000.0,5525600000.0,6095300000.0,2552600000.0,2500000.0,265100000.0,-3595500000.0,-1071100000.0,-140400000.0,-99600000.0,76700000.0,-34200000.0,1.37,-416100000.0,-120600000.0,-94300000.0,-214900000.0,2555100000.0,2.0075,28.5557,2.1899,1.37,-140400000.0,-0.016340459042212853,-0.008481431965461157,0.027701293283270756,0.29790015296898903,0.03904881101376721,-0.011955753493481389,-0.01623046333117544,0.05976915588930608,0.03904881101376721,0.41919183633291224,2.00726617811452,7479700000.0,536800000.0,774000000.0,2472900000.0,556700000.0,774000000.0,2.62,2.62,3.3011627906976746,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2014-03-29,11766500000.0,3305300000.0,1528100000.0,5830200000.0,5936300000.0,2933800000.0,2800000.0,211100000.0,1725200000.0,578300000.0,179900000.0,118600000.0,,38000000.0,0.0,199700000.0,600000.0,27200000.0,-26600000.0,2936600000.0,,25.5884,2.2488,0.0,179900000.0,0.019978774657615012,0.010079462881910509,0.06874565267795038,0.3352075121725017,0.10427776489682355,0.015289168401818723,0.02027522005206866,-0.015418502202643172,0.10427776489682355,0.4946852416488385,2.163012891826451,7430900000.0,603400000.0,879900000.0,2527200000.0,560100000.0,879900000.0,2.37,2.37,3.3374247073531085,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2014-06-28,11616800000.0,3165900000.0,1777100000.0,5898000000.0,5718800000.0,2739000000.0,6100000.0,174400000.0,3636000000.0,1237200000.0,407600000.0,280100000.0,,86900000.0,1.0,198000000.0,415000000.0,59600000.0,355400000.0,2745100000.0,,22.7254,1.9776,1.0,407600000.0,0.04897880674267329,0.024111631430342263,0.07703520352035204,0.34026402640264025,0.1121012101210121,0.035087115212450934,0.048157468779167996,0.09774477447744774,0.1121012101210121,0.48001328950129396,1.7814979460919476,7328700000.0,677700000.0,987300000.0,2573200000.0,617400000.0,987300000.0,3.37,3.37,2.780411222526081,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2014-09-27,10926900000.0,3052400000.0,1668700000.0,5959500000.0,4967400000.0,2960700000.0,2500000.0,156600000.0,5236500000.0,1835100000.0,675900000.0,94100000.0,,148300000.0,0.0,196400000.0,683400000.0,92500000.0,590900000.0,2963200000.0,,48.9901,1.7489,0.0,675900000.0,0.018943511696259612,0.008611774611280418,0.017970018141888665,0.3504439988541965,0.12907476367802923,0.061856519232353184,0.08522684286182634,0.11284254750310321,0.12907476367802923,0.5965293715021943,1.8292083657937317,7002200000.0,393200000.0,1123000000.0,2579500000.0,704800000.0,1123000000.0,2.37,2.37,2.638646482635797,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2014-12-31,10655200000.0,2894100000.0,1639500000.0,5991400000.0,4663800000.0,2997400000.0,6700000.0,110400000.0,-3558700000.0,-1187600000.0,-411500000.0,-277900000.0,72300000.0,-95900000.0,0.0,-400400000.0,-90600000.0,-49700000.0,-140300000.0,3004100000.0,1.7646,56.3881,2.5966,0.0,-411500000.0,-0.059586603199108024,-0.026081162249418123,0.07809031387866355,0.3337173687020541,0.1156321128501981,-0.038619641114197766,-0.05366527993322813,0.039424508949897435,0.1156321128501981,0.6441313949997856,1.7652333028362306,7039000000.0,214900000.0,851900000.0,2463000000.0,779400000.0,851900000.0,1.0,1.0,3.5263528583167036,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2015-03-28,10569400000.0,2976900000.0,1431100000.0,6146100000.0,4423300000.0,3403400000.0,5600000.0,131100000.0,1475000000.0,510200000.0,171200000.0,,,35300000.0,0.0,182700000.0,-133200000.0,34800000.0,-168000000.0,3409000000.0,,54.2935,2.5374,0.0,171200000.0,,,,0.3458983050847458,0.11606779661016949,0.016197702802429655,0.021858202571403036,-0.11389830508474576,0.11606779661016949,0.7706915651210634,2.080148137796101,6788800000.0,,843200000.0,2394900000.0,638000000.0,843200000.0,1.0,1.0,4.042931688804554,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2015-06-27,10564700000.0,2902900000.0,1460000000.0,6012600000.0,4552100000.0,3260900000.0,5300000.0,147300000.0,3136200000.0,1076400000.0,389100000.0,,,81300000.0,1.0,182600000.0,185500000.0,66800000.0,118700000.0,3266200000.0,,59.0382,3.4088,1.0,389100000.0,,,,0.3432179070212359,0.12406734264396403,0.03683019868051152,0.04976785234641802,0.03784835150819463,0.12406734264396403,0.7175149930801169,1.9882876712328768,6289000000.0,,824700000.0,2234100000.0,401300000.0,824700000.0,1.0,1.0,3.960470474111798,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2015-09-26,12670900000.0,2964200000.0,1496200000.0,8135000000.0,4535900000.0,4983200000.0,3200000.0,144900000.0,4688300000.0,1616500000.0,569100000.0,,,115700000.0,2.0,182600000.0,395900000.0,100600000.0,295300000.0,4986400000.0,,18.5686,3.3512,2.0,569100000.0,,,,0.3447944884073118,0.12138728323699421,0.04491393665801167,0.059764972748180586,0.06298658362306167,0.12138728323699421,1.099318768050442,1.9811522523726774,5740800000.0,,717900000.0,2015500000.0,105700000.0,717900000.0,3.0,3.0,6.945814180247946,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2015-12-31,11857000000.0,2780600000.0,1486500000.0,7848200000.0,4008800000.0,4709300000.0,700000.0,126300000.0,-2850500000.0,-1017300000.0,-952200000.0,-76400000.0,108700000.0,-93200000.0,-3.0,-365300000.0,291100000.0,-67900000.0,223200000.0,4710000000.0,1.8682,,1.9361,-3.0,-952200000.0,-0.019058072241069646,-0.00644345112591718,0.026802315383266093,0.35688475706016487,0.33404665848096826,-0.08030699165050181,-0.10921227691884204,-0.07830205227153131,0.33404665848096826,1.1749151865895031,1.870568449377733,6449000000.0,,177200000.0,2185800000.0,469200000.0,177200000.0,0.0,0.0,26.580135440180587,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2016-03-31,12030200000.0,3005900000.0,1467600000.0,7946000000.0,4084200000.0,4837100000.0,700000.0,158100000.0,1575500000.0,535400000.0,170600000.0,,,27700000.0,0.0,182400000.0,-15000000.0,38200000.0,-53200000.0,4837800000.0,,,2.2639,0.0,170600000.0,,,,0.3398286258330689,0.10828308473500477,0.014180977872354575,0.01912127325711724,-0.03376705807680101,0.10828308473500477,1.1845159394740707,2.048173889343145,6549500000.0,,176600000.0,2211000000.0,584000000.0,176600000.0,0.0,0.0,27.394110985277464,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2016-06-30,11743800000.0,2792800000.0,1415900000.0,7577500000.0,4166300000.0,4551700000.0,0.0,173300000.0,3308800000.0,1134600000.0,387500000.0,,,67300000.0,1.0,182800000.0,369500000.0,74600000.0,294900000.0,4551700000.0,,,2.1573,1.0,387500000.0,,,,0.34290377176015474,0.11711194390715668,0.03299613413034963,0.04444826795136499,0.0891259671179884,0.11711194390715668,1.092504140364352,1.9724556818984391,6722100000.0,,175000000.0,2269200000.0,760200000.0,175000000.0,0.0,0.0,26.009714285714285,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2016-09-30,11679000000.0,2747000000.0,1288100000.0,7323700000.0,4355300000.0,4411300000.0,,170900000.0,3701900000.0,1354000000.0,538900000.0,,,93700000.0,2.0,183000000.0,556800000.0,94500000.0,462300000.0,4411300000.0,,,2.3393,2.0,538900000.0,,,,0.36575812420648857,0.14557389448661498,0.04614264919941776,0.06147195035703694,0.12488181744509576,0.14557389448661498,1.012857897274585,2.132598400745284,5735700000.0,,144800000.0,2006700000.0,927200000.0,144800000.0,0.0,0.0,30.46477900552486,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
