report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-12-31,2600627000.0,728384000.0,202944000.0,254873000.0,2345754000.0,201989000.0,,-592330000.0,-114431000.0,-62401000.0,0.0,-55407000.0,-0.34999999999999987,-364411000.0,-187704000.0,-56667000.0,-86420000.0,-244371000.0,0.0,3.5899,35.7135,5.3002,-0.34999999999999987,-200851000.0,-0.026601681165203173,-0.023994598225735565,0.10534836999645468,0.19318791889656103,-0.04400131199130056,-0.04878218261590943,0.41255887765265986,0.33908632012560563,0.0,3.5890886155786816,1373947000.0,203989000.0,314487000.0,251429000.0,518650000.0,,1.12,1.12,0.0,,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2013-03-31,2646667000.0,831653000.0,211909000.0,261890000.0,2384777000.0,165275000.0,,368046000.0,101188000.0,71487000.0,,31177000.0,0.0,181562000.0,103040000.0,46478000.0,42375000.0,56562000.0,0.0,,26.8217,4.3782,0.0,143563000.0,0.02997638772933486,0.027010198109546836,0.19423387293979558,0.2749330246762633,0.03823223699845882,0.042430801705987606,0.1536818767219315,0.3900680893149226,0.0,3.924576115219269,1422545000.0,232249000.0,344096000.0,245921000.0,545000000.0,,0.88,0.88,0.0,,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2013-06-30,2725270000.0,859384000.0,226574000.0,277397000.0,2447873000.0,204865000.0,,746152000.0,198691000.0,133382000.0,,68603000.0,0.0,181475000.0,232762000.0,100847000.0,86501000.0,131915000.0,0.0,,30.5554,5.1969,0.0,285192000.0,0.05448893794735266,0.048942673569958205,0.17875982373564636,0.26628756607232845,0.07290690463697175,0.08116883514790187,0.17679373639687357,0.3822170281658429,0.0,3.7929506474705836,1517943000.0,278165000.0,404197000.0,208401000.0,595856000.0,,0.4,0.4,0.0,,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2013-09-30,2885125000.0,910642000.0,285424000.0,341995000.0,2543130000.0,235015000.0,,1141942000.0,298212000.0,213138000.0,,89521000.0,1.0,181623000.0,392176000.0,142567000.0,134455000.0,249609000.0,0.0,,32.875,6.0892,1.0,432667000.0,0.08380932158403227,0.07387478878731424,0.18664520614882368,0.2611446115476968,0.10336189939777306,0.11726179943612793,0.21858290526138804,0.3788870187802883,0.0,3.1904885363529347,1663810000.0,355606000.0,483660000.0,193715000.0,660571000.0,,0.65,0.65,0.0,,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2013-12-31,2957685000.0,1029714000.0,263166000.0,328254000.0,2629431000.0,333891000.0,,-678218000.0,-184123000.0,-124520000.0,,-63234000.0,0.0,-362877000.0,-164070000.0,-101928000.0,-78900000.0,-265998000.0,0.0,3.9122,28.7742,5.3522,0.0,-263023000.0,-0.047356253120922356,-0.042100494136461455,0.1835987838718524,0.2714805563992699,-0.06225240348448195,-0.07002389490349813,0.39220132759673143,0.38781483239902215,0.0,3.9127926859852717,1577922000.0,293487000.0,413968000.0,172088000.0,598399000.0,,0.9999999999999999,0.9999999999999999,0.0,,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2014-03-31,3651492000.0,1127300000.0,244186000.0,939347000.0,2712145000.0,248726000.0,,453502000.0,120847000.0,72800000.0,1941000.0,46864000.0,0.0,182038000.0,89023000.0,52011000.0,53516000.0,37012000.0,0.0,,35.3901,6.2721,0.0,174363000.0,0.02684222266877324,0.01993705586647869,0.1605285092458247,0.26647512028612885,0.033095238877697115,0.04455772091831373,0.08161375253030857,0.3844812150773315,0.0,4.616562784107197,1663378000.0,294800000.0,433627000.0,152538000.0,629199000.0,,0.9999999999999999,0.9999999999999999,0.0,,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2014-06-30,3768657000.0,1199667000.0,283292000.0,995913000.0,2772744000.0,254165000.0,,929537000.0,233198000.0,145686000.0,6457000.0,82654000.0,0.0,181439000.0,289247000.0,97992000.0,112228000.0,191255000.0,0.0,,35.5419,6.1708,0.0,345426000.0,0.05254217482753547,0.038657272338660696,0.1567296406705704,0.2508754358352599,0.06187827653193167,0.08410368934167742,0.20575297164072007,0.3716108126949223,0.0,4.234736596868249,1846763000.0,307104000.0,468134000.0,211878000.0,689433000.0,,0.9999999999999999,0.9999999999999999,0.0,,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2014-09-30,3854291000.0,1152676000.0,301601000.0,1005911000.0,2848380000.0,214339000.0,,1427579000.0,353437000.0,236841000.0,10939000.0,109078000.0,1.0,181278000.0,462529000.0,142466000.0,179643000.0,320063000.0,0.0,,33.5883,5.7173,1.0,533080000.0,0.08314936911507594,0.06144865553742569,0.1659039534764801,0.24757789236182376,0.09169961479296711,0.12408351413786083,0.22419985163693218,0.3734154116864986,0.0,3.821857354584368,2132400000.0,330807000.0,523359000.0,282332000.0,789846000.0,,0.9999999999999999,0.9999999999999999,0.0,,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2014-12-31,4001546000.0,1262555000.0,334011000.0,1056211000.0,2945335000.0,238650000.0,,-846744000.0,-217963000.0,-121379000.0,-3874000.0,-92768000.0,0.0,-363569000.0,-182729000.0,-85310000.0,-97981000.0,-268039000.0,0.0,3.7802,33.5524,5.7065,0.0,-315944000.0,-0.04121059234348554,-0.030333026285340715,0.14334793042525248,0.2574131024252903,-0.05446969746193096,-0.07400278745881199,0.31655258259875474,0.3731281237304309,0.0,3.7799803000499983,1963874000.0,333948000.0,489519000.0,280291000.0,736925000.0,15463000.0,0.9999999999999999,0.9999999999999999,0.0,31.65744034146026,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2015-03-31,3986913000.0,1241579000.0,269331000.0,1005231000.0,2981682000.0,332557000.0,,526536000.0,121521000.0,77746000.0,4576000.0,41899000.0,0.0,180825000.0,99729000.0,91924000.0,70460000.0,7805000.0,0.0,,37.5503,6.2479,0.0,191981000.0,0.02607454450206293,0.019500300106874667,0.14765562088822037,0.23079333606818908,0.030479972851175836,0.04075585525216975,0.01482329793214519,0.3646113466125773,0.0,4.609862956733536,2036908000.0,338894000.0,490193000.0,251084000.0,754543000.0,18098000.0,0.9999999999999999,0.9999999999999999,0.0,27.085479058459498,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
