report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2018-09-30,53600000000.0,16118000000.0,8457000000.0,,13740000000.0,,1000000000.0,,,,,319000000.0,64000000.0,,86000000.0,0.0,673000000.0,,1133000000.0,,1000000000.0,,381.6632,1.6205,0.0,1452000000.0,0.004657933042212519,0.0011940298507462687,,,0.0059514925373134325,0.02164179104477612,,0.07278020378457059,1.9058767884592644,,112000000.0,208000000.0,,,3612000000.0,,,,0.2768549280177187,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2018-12-31,52439000000.0,14971000000.0,9020000000.0,,17465000000.0,,942000000.0,,,17478000000.0,,386000000.0,10000000.0,,282000000.0,-0.17,362000000.0,,-815000000.0,,942000000.0,1.6598,121.2744,1.0337,-0.17,-429000000.0,0.000572573718866304,0.00019069776311523865,0.0005721478430026318,0.02208490673990159,0.007360933656248212,0.020970283044493943,-0.02454514246481291,0.05393644431720584,1.6597560975609755,,195000000.0,701000000.0,,,2187000000.0,,0.0,0.0,0.43072702331961593,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2019-03-31,53129000000.0,14912000000.0,9052000000.0,53129000000.0,17512000000.0,6270000000.0,906000000.0,,,5615000000.0,,176000000.0,32000000.0,,67000000.0,,-184000000.0,,350000000.0,,7176000000.0,,183.7873,1.2495,,526000000.0,0.001827318410232983,0.0006023075909578573,0.005699020480854853,0.03134461264470169,0.003312691750268215,0.007128969539857421,0.09367764915405165,0.40977615349474644,1.6473707467962881,,157000000.0,918000000.0,,,2366000000.0,,,,3.032967032967033,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2019-06-30,52876000000.0,14985000000.0,9341000000.0,,17388000000.0,,892000000.0,,,11608000000.0,,447000000.0,23000000.0,,162000000.0,,409000000.0,,709000000.0,,892000000.0,,156.382,1.1095,,1156000000.0,0.0013227513227513227,0.0004349799530978138,0.001981392143349414,0.038507925568573395,0.008453740827596642,0.024452954048140043,0.09958649207443143,0.05129974695192086,1.6042179638154372,,129000000.0,1328000000.0,,,2705000000.0,,,,0.32975970425138634,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2019-09-30,52549000000.0,14769000000.0,9332000000.0,,21876000000.0,,694000000.0,,,17490000000.0,,744000000.0,80000000.0,,269000000.0,,769000000.0,,1065000000.0,,694000000.0,,112.8739,1.0025,,1809000000.0,0.0036569756811117207,0.0015223886277569508,0.004574042309891366,0.04253859348198971,0.01415821423813964,0.03296411165263624,0.10343053173241852,0.03172426403364417,1.582618945563652,52191000000.0,145000000.0,1753000000.0,,,3062000000.0,,,,0.22664924885695623,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2019-12-31,53369000000.0,15222000000.0,10014000000.0,,21929000000.0,,321000000.0,,,-10875000000.0,,-293000000.0,-7000000.0,,-16000000.0,0.23,1132000000.0,,-706000000.0,,321000000.0,1.5201,205.7,1.1045,0.23,-999000000.0,-0.0003192120023712892,-0.00013116228522175796,0.0006436781609195402,0.026942528735632184,-0.00549007850999644,-0.013168539325842697,0.09186206896551724,0.01463815039445483,1.5200718993409228,23838000000.0,128000000.0,1074000000.0,,,2492000000.0,,,,0.12881219903691815,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2020-03-31,37229000000.0,14653000000.0,10141000000.0,,11470000000.0,,210000000.0,,,5425000000.0,,-16059000000.0,-10210000000.0,,5000000.0,,478000000.0,,355000000.0,,210000000.0,,,0.4578,,-15704000000.0,-0.8901482127288579,-0.2742485696634344,-1.8820276497695851,-2.960184331797235,-0.43135727524241857,-1.3749143835616437,-2.894746543778802,0.018308631211857017,1.4449265358445913,23648000000.0,-10114000000.0,-15161000000.0,,,-13738000000.0,,,,-0.015286067841024894,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2020-06-30,37523000000.0,15502000000.0,10567000000.0,,11254000000.0,,934000000.0,,,10160000000.0,,-16111000000.0,-10411000000.0,,-16000000.0,,708000000.0,,694000000.0,,934000000.0,,,0.7096,,-15417000000.0,-0.9250933001599432,-0.2774564933507449,-1.0247047244094487,-1.585728346456693,-0.42936332382805215,-1.3218739744010501,-1.5174212598425196,0.08299271370179492,1.467019967824359,22200000000.0,-20548000000.0,-31719000000.0,,,-30311000000.0,,,,-0.03081389594536637,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2020-09-30,37339000000.0,15208000000.0,10639000000.0,,11582000000.0,,935000000.0,,,15210000000.0,,-16160000000.0,-10592000000.0,,-10000000.0,,927000000.0,,1010000000.0,,935000000.0,,,0.6373,,-15150000000.0,-0.9145225349680539,-0.28367122847424947,-0.6963839579224195,-1.0624589086127547,-0.4327914512975709,-1.2910441799153152,-0.9960552268244576,0.08072871697461578,1.4294576557947176,19920000000.0,-31220000000.0,-48623000000.0,,,-47270000000.0,,,,-0.019779987306960015,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2020-12-31,38007000000.0,16455000000.0,10227000000.0,,12893000000.0,,889000000.0,,,-10090000000.0,,32352000000.0,21273000000.0,,580000000.0,-14.73,-809000000.0,,-742000000.0,,889000000.0,1.609,,1.0425,-14.73,31610000000.0,1.6499650973396416,0.5597126845054858,-2.1083250743310207,-3.206342913776016,0.8512116189123057,2.347409664780148,-3.132804757185332,0.06895214457457535,1.6089762393663831,20705000000.0,-9940000000.0,-15978000000.0,,,-14661000000.0,,,,-0.06063706432030557,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
