report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,operating_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2015-03-31,15937000000.0,6667000000.0,3744000000.0,,4982000000.0,5845000000.0,1708000000.0,2672000000.0,,3342000000.0,697000000.0,54000000.0,206000000.0,1.0,379200000.0,442000000.0,83000000.0,359000000.0,7553000000.0,,12.1861,2.5053,1.0,697000000.0,0.208557749850389,0.04373470540252243,0.05560430793777423,0.10742070616397367,0.208557749850389,1.516057808109193,1.780715811965812,14257000000.0,2918000000.0,,2918000000.0,240000000.0,6.999999999999999,6.999999999999999,2.5884167237834133,12.158333333333333,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2015-06-30,16348000000.0,7033000000.0,2746000000.0,,5306000000.0,6994000000.0,819000000.0,2858000000.0,,6776000000.0,1427000000.0,109000000.0,422000000.0,2.0,373800000.0,890000000.0,147000000.0,743000000.0,7813000000.0,,17.5108,2.405,2.0,1427000000.0,0.21059622195985833,0.08728896501101052,0.10877353456818355,0.10965171192443919,0.21059622195985833,1.4724839803995478,2.561179898033503,13745000000.0,2915000000.0,,2915000000.0,221000000.0,4.999999999999999,4.999999999999999,2.6802744425385936,13.190045248868778,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2015-09-30,16104000000.0,6969000000.0,2724000000.0,,5090000000.0,7000000000.0,812000000.0,3001000000.0,,10130000000.0,2188000000.0,168000000.0,636000000.0,3.0,371600000.0,1596000000.0,209000000.0,1387000000.0,7812000000.0,,15.7551,2.1944,3.0,2188000000.0,0.21599210266535043,0.1358668653750621,0.16958611068051466,0.13692003948667325,0.21599210266535043,1.5347740667976424,2.5583700440528636,12895000000.0,2901000000.0,,2901000000.0,193000000.0,1.9999999999999991,1.9999999999999991,2.6928645294725957,15.031088082901555,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2015-12-31,15729000000.0,6720000000.0,2368000000.0,,5228000000.0,6896000000.0,526000000.0,3090000000.0,363710073.0,-6843000000.0,-1445000000.0,-105000000.0,-444000000.0,-1.0,,-629000000.0,,,7422000000.0,2.8378,17.7401,2.5131,-1.0,-1445000000.0,0.2111646938477276,-0.09186852311017865,-0.11422924901185771,,0.2111646938477276,1.419663351185922,2.8378378378378377,13405000000.0,2867000000.0,,2867000000.0,226000000.0,4.999999999999999,4.999999999999999,2.588768747820021,12.685840707964601,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2016-03-31,15437000000.0,6241000000.0,2716000000.0,,5222000000.0,,,2448000000.0,,3274000000.0,722000000.0,58000000.0,200000000.0,1.0,363900000.0,479000000.0,57000000.0,422000000.0,0.0,,19.2844,2.7603,1.0,722000000.0,0.22052535125229078,0.04677074561119388,0.13826120260436614,0.12889431887599268,0.22052535125229078,0.0,2.297864506627393,13337000000.0,2892000000.0,,2892000000.0,230000000.0,4.999999999999999,4.999999999999999,0.0,12.57391304347826,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2016-06-30,15222000000.0,6167000000.0,2824000000.0,,4950000000.0,,,2355000000.0,,6705000000.0,1514000000.0,116000000.0,426000000.0,2.0,361200000.0,1014000000.0,121000000.0,893000000.0,0.0,,18.9215,2.7728,2.0,1514000000.0,0.22580164056674124,0.09946130600446722,0.3058585858585859,0.1331841909023117,0.22580164056674124,0.0,2.183781869688385,13266000000.0,2979000000.0,,2979000000.0,237000000.0,4.999999999999999,4.999999999999999,0.0,12.569620253164556,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2016-09-30,15709000000.0,6185000000.0,3486000000.0,,4793000000.0,,,2299000000.0,,10200000000.0,2322000000.0,174000000.0,654000000.0,4.0,359300000.0,1638000000.0,202000000.0,1436000000.0,0.0,,21.2661,3.1217,4.0,2322000000.0,0.22764705882352942,0.14781335540136228,0.4844564990611308,0.1407843137254902,0.22764705882352942,0.0,1.7742398164084912,13336000000.0,3113000000.0,,3113000000.0,243000000.0,5.999999999999999,5.999999999999999,0.0,12.810699588477366,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2016-12-31,15201000000.0,6123000000.0,2760000000.0,,4259000000.0,7177000000.0,652000000.0,2472000000.0,,-6580000000.0,-1494000000.0,-111000000.0,-407000000.0,-2.0,,-829000000.0,-107000000.0,-936000000.0,7829000000.0,2.2185,21.1327,3.1624,-2.0,-1494000000.0,0.2270516717325228,-0.09828300769686205,-0.12359364659166115,0.14224924012158055,0.2270516717325228,1.8382249354308524,2.2184782608695652,13599000000.0,3064000000.0,1815000000.0,3064000000.0,237000000.0,4.999999999999999,4.999999999999999,2.5551566579634466,12.928270042194093,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2017-03-31,15529000000.0,6430000000.0,2875000000.0,,4498000000.0,,,2493000000.0,,3471000000.0,809000000.0,64000000.0,213000000.0,1.0,349000000.0,463000000.0,64000000.0,399000000.0,0.0,,21.7603,3.317,1.0,809000000.0,0.2330740420628061,0.052096078305106576,0.17985771453979546,0.11495246326707001,0.2330740420628061,0.0,2.236521739130435,13796000000.0,3151000000.0,1792000000.0,3151000000.0,243000000.0,4.999999999999999,4.999999999999999,0.0,12.96707818930041,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
2017-06-30,15922000000.0,6570000000.0,2826000000.0,,4774000000.0,,,2496000000.0,,7070000000.0,1683000000.0,129000000.0,445000000.0,3.0,348300000.0,927000000.0,141000000.0,786000000.0,0.0,,22.7711,3.5305,3.0,1683000000.0,0.23804809052333806,0.10570280115563371,0.35253456221198154,0.11117397454031118,0.23804809052333806,0.0,2.3248407643312103,14161000000.0,3320000000.0,1685000000.0,3320000000.0,256000000.0,5.999999999999999,5.999999999999999,0.0,12.96875,1.1601537,303.155,214.66,1.18292,75145.266,24.5092,22.1555,4.6837
