report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2017-09-29,30505000000.0,11820000000.0,4469000000.0,18446000000.0,12059000000.0,12873000000.0,,6886000000.0,,1913000000.0,905000000.0,681000000.0,205000000.0,29000000.0,2.0,306000000.0,1133000000.0,160000000.0,533000000.0,973000000.0,12873000000.0,,17.6616,1.3039,2.0,1438000000.0,0.05647234430715648,0.02232420914604163,,,,0.029667267661039175,0.036298732552542914,,,1.0675014511982752,2.6448869993287087,,1444000000.0,2627000000.0,6650000000.0,2798000000.0,4780000000.0,816000000.0,4.0,4.0,2.6930962343096234,3.219362745098039,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2017-12-29,29840000000.0,11113000000.0,4353000000.0,18568000000.0,11272000000.0,11777000000.0,,6272000000.0,,3926000000.0,1860000000.0,-142000000.0,402000000.0,1626000000.0,0.0,295000000.0,2315000000.0,416000000.0,1068000000.0,1899000000.0,11777000000.0,,60.9427,1.1757,0.0,2928000000.0,-0.012597586941092974,-0.004758713136729223,,,,0.06233243967828418,0.0806976441494208,,,1.0448012775017743,2.552951987135309,,1433000000.0,3710000000.0,7708000000.0,3527000000.0,5909000000.0,777000000.0,4.0,4.0,1.993061431714334,4.774774774774775,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2018-03-30,29004000000.0,10164000000.0,4259000000.0,17704000000.0,11300000000.0,11076000000.0,,4963000000.0,,5853000000.0,2774000000.0,-81000000.0,562000000.0,1437000000.0,0.0,296000000.0,3342000000.0,643000000.0,1567000000.0,2699000000.0,11076000000.0,,134.5603,1.3144,0.0,4341000000.0,-0.007168141592920354,-0.0027927182457592055,,,,0.09564198041649427,0.12397211297819091,,,0.9801769911504424,2.3864756985207793,,1235000000.0,5182000000.0,9170000000.0,4181000000.0,7366000000.0,693000000.0,4.0,4.0,1.503665490089601,7.477633477633478,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2018-06-29,29235000000.0,10638000000.0,4456000000.0,17704000000.0,11531000000.0,10993000000.0,,5005000000.0,,-3987000000.0,-1922000000.0,217000000.0,-493000000.0,-1682000000.0,0.0,-590000000.0,-2585000000.0,-384000000.0,-1112000000.0,-2969000000.0,10993000000.0,2.3873,34.3175,1.1219,0.0,-3034000000.0,0.018818836180730207,0.007422609885411322,,,,-0.06574311612792885,-0.08533120227313089,,,0.9533431619113694,2.387342908438061,,675000000.0,3617000000.0,7705000000.0,2602000000.0,5673000000.0,676000000.0,2.0,2.0,1.9377754274634231,5.350591715976331,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2018-09-28,28705000000.0,10571000000.0,4385000000.0,17330000000.0,11375000000.0,10930000000.0,,4646000000.0,5028000000.0,1664000000.0,686000000.0,511000000.0,116000000.0,72000000.0,1.0,298000000.0,705000000.0,277000000.0,480000000.0,428000000.0,10930000000.0,,33.6408,0.829,1.0,1166000000.0,0.04492307692307692,0.017801776693955756,0.10163086714399364,0.3309466984884646,0.1364359586316627,0.023898275561748825,0.03075543600089666,0.08512330946698489,0.2319013524264121,0.9608791208791209,2.4107183580387685,,505000000.0,3398000000.0,7456000000.0,2057000000.0,5401000000.0,587000000.0,1.0,1.0,2.0236993149416773,5.788756388415673,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2018-12-28,27939000000.0,9742000000.0,4350000000.0,17027000000.0,10912000000.0,10370000000.0,,4013000000.0,9261000000.0,2708000000.0,862000000.0,24000000.0,234000000.0,640000000.0,0.0,296000000.0,1174000000.0,500000000.0,952000000.0,674000000.0,10370000000.0,,12.6439,0.5484,0.0,1814000000.0,0.0021994134897360706,0.0008590142811124234,0.0025915127955944283,0.2924090271029047,0.09307850124176655,0.030852929596621212,0.040503712057137486,0.07277831767627686,0.1958751754670122,0.9503299120234604,2.2395402298850575,,671000000.0,2400000000.0,6238000000.0,832000000.0,4287000000.0,419000000.0,1.0,1.0,2.418940984371355,5.727923627684964,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2019-03-29,26913000000.0,8902000000.0,4212000000.0,16699000000.0,10214000000.0,10309000000.0,,3682000000.0,12935000000.0,3287000000.0,468000000.0,-557000000.0,352000000.0,744000000.0,-1.91,291000000.0,1378000000.0,722000000.0,1396000000.0,656000000.0,10309000000.0,,70.2427,0.7743,-1.91,1864000000.0,-0.05453299392990014,-0.020696317764649055,-0.043061461151913415,0.25411673753382297,0.036180904522613064,0.01738936573403188,0.02280368367197778,0.05071511403169695,0.14410514109006572,1.0093009594673976,2.113485280151947,,195000000.0,94000000.0,3672000000.0,-1211000000.0,1810000000.0,209000000.0,-0.9099999999999999,-0.9099999999999999,5.695580110497238,0.44976076555023925,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2019-06-28,26370000000.0,8477000000.0,3817000000.0,16403000000.0,9967000000.0,10246000000.0,,3455000000.0,-10655000000.0,-3907000000.0,-1929000000.0,-732000000.0,-233000000.0,-989000000.0,-1.6700000000000002,-593000000.0,-1710000000.0,-623000000.0,-1016000000.0,-2333000000.0,10246000000.0,2.2209,,0.8408,-1.6700000000000002,-2945000000.0,-0.07344235978729809,-0.027758816837315133,0.068700140778977,0.3666823087752229,0.18104176442984515,-0.07315130830489193,-0.09543363182110523,0.21895823557015487,0.2763960581886438,1.027992374836962,2.2208540738800107,16569000000.0,-754000000.0,87000000.0,3752000000.0,-575000000.0,1899000000.0,469000000.0,-2.58,-2.58,5.395471300684571,0.18550106609808104,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2019-10-04,26280000000.0,8500000000.0,4288000000.0,16714000000.0,9566000000.0,9961000000.0,,3248000000.0,4040000000.0,758000000.0,-129000000.0,-276000000.0,122000000.0,39000000.0,-0.93,296000000.0,253000000.0,145000000.0,406000000.0,108000000.0,9961000000.0,,,1.1173,-0.93,277000000.0,-0.028852184821241897,-0.010502283105022832,-0.06831683168316832,0.18762376237623762,-0.03193069306930693,-0.004908675799086758,-0.006606237517283761,0.026732673267326732,0.06856435643564357,1.0412920761028643,1.982276119402985,15581000000.0,-1541000000.0,-728000000.0,2846000000.0,-895000000.0,1010000000.0,475000000.0,-4.51,-4.51,9.862376237623762,-1.5326315789473683,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2020-01-03,25860000000.0,8627000000.0,4482000000.0,16481000000.0,9379000000.0,9547000000.0,,3137000000.0,8274000000.0,1693000000.0,-79000000.0,-415000000.0,227000000.0,138000000.0,-1.4,297000000.0,510000000.0,305000000.0,805000000.0,205000000.0,9547000000.0,,,1.2332,-1.4,726000000.0,-0.04424778761061947,-0.016047950502706885,-0.050157118685037465,0.20461687212956248,-0.009547981629199903,-0.0030549110595514306,-0.004174151960266301,0.024776408025138988,0.0877447425670776,1.0179123573941784,1.924810352521196,14594000000.0,-1980000000.0,-1669000000.0,1831000000.0,-1364000000.0,-78000000.0,468000000.0,-5.91,-5.91,-122.3974358974359,-3.5662393162393164,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2020-04-03,25509000000.0,8553000000.0,4471000000.0,16266000000.0,9243000000.0,9343000000.0,,2943000000.0,12449000000.0,2698000000.0,74000000.0,-398000000.0,326000000.0,167000000.0,-1.34,298000000.0,652000000.0,432000000.0,1189000000.0,220000000.0,9343000000.0,,,0.7102,-1.34,1263000000.0,-0.04305961267986584,-0.01560233643027951,-0.03197043939272231,0.21672423487830347,0.005944252550405655,0.0029009369242228235,0.003981491445173787,0.017672102176881678,0.10145393204273435,1.0108189981607703,1.9129948557369716,14108000000.0,-1821000000.0,-2063000000.0,1242000000.0,-1800000000.0,-679000000.0,442000000.0,-5.34,-5.34,-13.759941089837998,-4.667420814479638,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2020-07-03,25662000000.0,9048000000.0,4406000000.0,16111000000.0,9551000000.0,9289000000.0,,3048000000.0,-8027000000.0,-1368000000.0,469000000.0,839000000.0,-262000000.0,-140000000.0,2.83,-593000000.0,-591000000.0,-235000000.0,-834000000.0,-826000000.0,9289000000.0,2.0536,,0.7691,2.83,-365000000.0,0.0878442047953094,0.03269425609851142,-0.10452223744861094,0.17042481624517256,-0.058427806154229475,0.018276050190943808,0.024893842887473462,0.10290270337610564,0.045471533574187116,0.9725683174536698,2.053563322741716,16736000000.0,-250000000.0,335000000.0,3781000000.0,-293000000.0,1901000000.0,413000000.0,-0.8399999999999999,-0.8399999999999999,4.886375591793793,0.8111380145278451,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
