report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2016-03-31,1673425000.0,290644000.0,97205000.0,,918236000.0,391656000.0,96252000.0,209498000.0,8863000.0,4888000.0,4579000.0,-795000.0,0.0,,6341000.0,6321000.0,14411000.0,20000.0,391656000.0,,1.7686,,0.0,23274000.0,0.00532325023196651,0.002920955525344727,0.023331964982959266,0.042305893135017994,0.005296323408578215,0.006766206679634657,9.54663051675911e-05,0.11109413932352576,0.426530870059549,2.9900108019134817,710654000.0,-77589000.0,-69541000.0,-19374000.0,-15345000.0,17626000.0,-1.0,-1.0,-25.52336265884653,-3.9453648019970498,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2016-06-30,1687289000.0,277583000.0,104859000.0,,924401000.0,390825000.0,66479000.0,437315000.0,32173000.0,16376000.0,9011000.0,6137000.0,0.0,,37361000.0,13382000.0,29197000.0,23979000.0,390825000.0,,1.7178,,0.0,61370000.0,0.017715255608767192,0.009705509844490185,0.03744669174393744,0.07356939505848187,0.019067865670907593,0.024461955587860944,0.054832329099161935,0.14033362679075723,0.4227872968549363,2.6472024337443614,826812000.0,-24711000.0,-12062000.0,76346000.0,49670000.0,20360000.0,-1.0,-1.0,7.868431648882625,-0.5924361493123772,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2016-09-30,1684874000.0,292214000.0,106904000.0,,926473000.0,387339000.0,88378000.0,670355000.0,59498000.0,28898000.0,13603000.0,15752000.0,0.0,,80988000.0,21590000.0,44089000.0,59398000.0,387339000.0,,1.6201,178.1189,0.0,103587000.0,0.031191410866803458,0.017151430908186605,0.04310850221151479,0.08875595766422269,0.035313026374672526,0.045286540235589264,0.08860678297320077,0.15452558718887754,0.41807910214328964,2.733424380752825,986319000.0,65132000.0,98099000.0,165769000.0,165986000.0,23440000.0,-1.0,-1.0,2.3335642765052476,4.185110921501707,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2016-12-31,1728373000.0,345895000.0,104131000.0,,945935000.0,386614000.0,134352000.0,-374121000.0,26116000.0,17073000.0,-9154000.0,17636000.0,0.0,83639000.0,21803000.0,-13345000.0,-29116000.0,8458000.0,386614000.0,3.3228,1.844,23.9936,0.0,-3000000.0,0.018048808850502415,0.009878076086585476,-0.04563496836584955,-0.06980629261655988,0.015110164299025732,0.019598528834586945,-0.022607659019408158,0.008018796057959857,0.40871095794108475,3.3217293601329096,943047000.0,67235000.0,126650000.0,91855000.0,185231000.0,18039000.0,0.0,0.0,2.0871992269112623,7.020899162924774,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2017-03-31,1714263000.0,341799000.0,90921000.0,,947454000.0,389719000.0,132268000.0,211001000.0,1489000.0,-1939000.0,4195000.0,-5113000.0,0.0,,9477000.0,4103000.0,14724000.0,5374000.0,389719000.0,,2.236,31.9624,0.0,16213000.0,-0.0020465373516814537,-0.0011310983203860784,-0.009189529907441197,0.007056838593182023,0.0008685948422149927,0.0011135432737573972,0.025469073606286224,0.0768384983957422,0.41133289848372584,3.7592965321542877,944550000.0,60408000.0,119276000.0,97209000.0,178170000.0,17655000.0,0.0,0.0,2.1873435482965706,6.755933163409799,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2017-06-30,1741381000.0,380057000.0,99027000.0,,955406000.0,395599000.0,149649000.0,442821000.0,22382000.0,,12443000.0,623000.0,0.0,,28995000.0,9295000.0,29373000.0,19700000.0,395599000.0,,1.7182,25.4983,0.0,51755000.0,,,,0.05054412505278657,0.012853017231725855,0.01656692610316024,0.04448750172191472,0.11687566759480693,0.4140637592813945,3.837912892443475,950056000.0,,109485000.0,92930000.0,168555000.0,21087000.0,0.0,0.0,2.3470024621043577,5.1920614596670935,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2017-09-30,1686610000.0,354932000.0,108678000.0,,926831000.0,393179000.0,126535000.0,659271000.0,-14573000.0,-20078000.0,18163000.0,-17732000.0,0.0,,32834000.0,14056000.0,44028000.0,18778000.0,393179000.0,,1.8873,84.9604,0.0,29455000.0,-0.02166306478743158,-0.011904352517772335,-0.030454850888329686,-0.022104718696863656,-0.008640408867491596,-0.011040067878273649,0.028482975893069768,0.0446781369118314,0.4242186547493556,3.265904782936749,938972000.0,,35414000.0,52310000.0,94423000.0,25647000.0,0.0,0.0,4.164017241561908,1.3808242679455687,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2017-12-31,2129548000.0,605534000.0,210788000.0,,936853000.0,687619000.0,148699000.0,-448259000.0,-11201000.0,8911000.0,-8104000.0,2168000.0,0.0,82052000.0,-30454000.0,-9522000.0,-31782000.0,-39976000.0,687619000.0,2.8724,1.4495,,0.0,-42983000.0,0.009511630960246698,0.004184456044193416,-0.01987913237659478,0.024987786079030204,-0.0052598016104826,-0.0068951634746551495,0.08918058533124823,0.09588876073876933,0.7339668016220261,2.872715714367042,864834000.0,,-1903000.0,3876000.0,54440000.0,26697000.0,0.0,0.0,12.630767817781043,-0.07128141738772147,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2018-03-31,2083982000.0,561043000.0,194177000.0,,904688000.0,687106000.0,130385000.0,254191000.0,-628000.0,-26449000.0,8759000.0,-2031000.0,0.0,,5015000.0,11362000.0,15420000.0,-6347000.0,687106000.0,,1.009,,0.0,14792000.0,-0.02923549334135083,-0.012691568353277524,-0.10405167767544878,-0.0024705831441711153,-0.00030134617285561965,-0.0003945234119490336,-0.024969412764417307,0.0581924615741706,0.7594949861167607,2.8893380781451974,908024000.0,,-4020000.0,-7845000.0,53019000.0,31261000.0,0.0,0.0,12.959618250061299,-0.12859473465340202,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2018-06-30,2089925000.0,569556000.0,201372000.0,,911864000.0,686659000.0,125719000.0,537586000.0,21841000.0,-20729000.0,18038000.0,952000.0,0.0,,22556000.0,25992000.0,30802000.0,-3436000.0,686659000.0,,1.101,,0.0,52643000.0,-0.022732556609318933,-0.009918537746569853,-0.038559411889446525,0.040627918137749124,0.010450614256492458,0.013663237876464712,-0.006391535493855867,0.09792479714873527,0.7530278638042515,2.8283773315058696,1002789000.0,-58345000.0,-4561000.0,-30981000.0,53907000.0,36856000.0,0.0,0.0,12.737844806796891,-0.12375189928369872,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2018-09-30,2068030000.0,560932000.0,210193000.0,,905652000.0,686212000.0,129743000.0,840312000.0,62166000.0,-1598000.0,27041000.0,8160000.0,0.0,,73788000.0,39279000.0,46400000.0,34509000.0,686212000.0,,1.1889,242.6148,0.0,108566000.0,-0.0017644746547238895,-0.0007727160631132043,-0.0019016746160949742,0.07397966469597007,0.030060492352625444,0.03905233110366212,0.04106688944106475,0.12919725054503564,0.7576994253863515,2.6686521435062063,1183830000.0,-39865000.0,72178000.0,-15250000.0,133018000.0,45734000.0,0.0,0.0,5.158790539626216,1.5782131455809683,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2018-12-31,2130061000.0,475601000.0,198059000.0,,926165000.0,685764000.0,,-423664000.0,46580000.0,69157000.0,-17654000.0,11017000.0,0.0,81927000.0,39552000.0,-23380000.0,-28635000.0,16172000.0,685764000.0,2.3776,1.0964,62.2049,0.0,17945000.0,0.07467028013366948,0.032467145307106225,-0.16323548850032102,-0.10994561728161939,0.021867918336611017,0.028897054398797962,-0.03817175875221874,-0.04235667887760112,0.7404339399567031,2.4013097107427583,1208425000.0,20381000.0,129959000.0,40898000.0,193946000.0,36184000.0,0.0,0.0,3.53585018510307,3.591615078487729,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2019-03-31,2173916000.0,397499000.0,197916000.0,2173916000.0,917373000.0,685317000.0,14402000.0,292163000.0,140000.0,-6814000.0,8916000.0,-4334000.0,-0.08,,-13192000.0,13440000.0,17792000.0,-26632000.0,685317000.0,,1.4361,42.9177,-0.08,17932000.0,-0.007427731140986273,-0.0031344357371673975,-0.023322597317250986,0.00047918456478061904,6.439991241611912e-05,8.735313753751506e-05,-0.0911545952088389,0.06137669725461472,0.7470429149320942,2.008422765213525,1246397000.0,40016000.0,130727000.0,20613000.0,197086000.0,36341000.0,-0.08,-0.08,3.477248510802391,3.597231776781046,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
