report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-09-29,10670000000.0,5526000000.0,3215000000.0,7711000000.0,,1817000000.0,,1232000000.0,,8875000000.0,441000000.0,160000000.0,206000000.0,1.49,392000000.0,257000000.0,1817000000.0,,17.6154,0.6129,1.49,,0.04133083411433927,0.049690140845070424,,1.7188180404354587,13174000000.0,682000000.0,200000000.0,2.3600000000000003,2.3600000000000003,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2012-12-29,10711000000.0,5389000000.0,3512000000.0,8076000000.0,,1766000000.0,,1378000000.0,,-5369000000.0,-260000000.0,-111000000.0,-142000000.0,-0.8700000000000001,764000000.0,-148000000.0,1766000000.0,2.111,11.8616,0.5709,-0.8700000000000001,,-0.024274110727289702,0.048426150121065374,,1.5344533029612757,12237000000.0,589000000.0,212000000.0,1.9999999999999998,1.9999999999999998,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2013-03-30,12557000000.0,5072000000.0,3202000000.0,9409000000.0,3148000000.0,,426000000.0,791000000.0,276081000.0,2855000000.0,119000000.0,51000000.0,28000000.0,0.0,-399000000.0,97000000.0,426000000.0,,13.4729,0.6496,0.0,0.03780177890724269,0.009476785856494386,0.04168126094570928,0.13532401524777637,1.5840099937539038,12236000000.0,590000000.0,208000000.0,1.5999999999999996,1.5999999999999996,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2013-06-29,12440000000.0,5158000000.0,2989000000.0,9060000000.0,3380000000.0,,374000000.0,571000000.0,280390000.0,5694000000.0,232000000.0,93000000.0,77000000.0,0.0,-469000000.0,192000000.0,374000000.0,,13.6991,0.6034,0.0,0.06863905325443787,0.01864951768488746,0.040744643484369514,0.11065088757396449,1.725660756105721,12055000000.0,532000000.0,193000000.0,0.6199999999999998,0.6199999999999998,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2013-09-28,12457000000.0,5189000000.0,2883000000.0,8877000000.0,3580000000.0,,104000000.0,637000000.0,281071000.0,8598000000.0,331000000.0,134000000.0,124000000.0,1.0,-108000000.0,285000000.0,104000000.0,,16.1686,0.6476,1.0,0.09245810055865922,0.026571405635385726,0.03849732495929286,0.02905027932960894,1.7998612556364897,11778000000.0,422000000.0,167000000.0,0.12999999999999978,0.12999999999999978,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2013-12-28,11219000000.0,5572000000.0,3003000000.0,7044000000.0,,1923000000.0,8000000.0,1163000000.0,,-5043000000.0,-184000000.0,-105000000.0,-53000000.0,0.75,1786000000.0,-185000000.0,1931000000.0,1.8715,20.5669,0.8462,0.75,,-0.01640074872983332,0.03648621852072179,,1.8554778554778555,12104000000.0,498000000.0,173000000.0,1.75,1.75,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2014-03-29,14963000000.0,6335000000.0,3938000000.0,10600000000.0,4363000000.0,,543000000.0,780000000.0,278888000.0,2847000000.0,85000000.0,47000000.0,38000000.0,0.0,-27000000.0,98000000.0,543000000.0,,23.5795,0.9045,0.0,0.019482007792803117,0.005680679008220277,0.02985598876009835,0.12445564978225991,1.6086846114779076,12096000000.0,464000000.0,169000000.0,1.75,1.75,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2014-06-28,15135000000.0,6475000000.0,3957000000.0,10557000000.0,4578000000.0,,,815000000.0,279748000.0,6352000000.0,229000000.0,94000000.0,103000000.0,0.0,351000000.0,214000000.0,0.0,,21.5923,0.8375,0.0,0.05002184359982525,0.015130492236537826,0.036051637279596975,0.0,1.636340662117766,12754000000.0,461000000.0,170000000.0,1.75,1.75,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2014-09-27,14739000000.0,6200000000.0,3893000000.0,10167000000.0,4572000000.0,,,511000000.0,276195000.0,9782000000.0,388000000.0,141000000.0,174000000.0,1.0,566000000.0,325000000.0,0.0,,18.2915,0.764,1.0,0.08486439195100612,0.026324716737906234,0.03966469024739317,0.0,1.5926021063447213,13938000000.0,518000000.0,177000000.0,1.75,1.75,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2015-01-03,14605000000.0,6273000000.0,3638000000.0,10333000000.0,4272000000.0,,,822000000.0,,-5103000000.0,-102000000.0,-91000000.0,-67000000.0,1.0,318000000.0,-178000000.0,0.0,1.6781,19.029,0.8227,1.0,-0.023876404494382022,-0.006983909619993153,0.019988242210464434,0.0,1.7242990654205608,13878000000.0,600000000.0,191000000.0,2.0,2.0,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
