report_date,total_assets,current_assets,current_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2012-09-29,74441000000.0,23014000000.0,11953000000.0,49269000000.0,7100000000.0,56000000.0,3520000000.0,39864000000.0,25334000000.0,11483000000.0,8537000000.0,,1.0,5181000000.0,12858000000.0,8523000000.0,4335000000.0,7156000000.0,,2.118,9.5691,1.0,11483000000.0,0.17327325498792345,0.11468142555849599,0.21415312061007424,0.6355107365041139,0.28805438490868956,0.15425639096734325,0.20350908285334515,0.10874473208910294,0.28805438490868956,0.14524345937607827,1.9253743830000836,54338000000.0,10926000000.0,15283000000.0,35698000000.0,-4045000000.0,15283000000.0,2.0,2.0,0.4682326768304652,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2012-12-29,84351000000.0,31358000000.0,12898000000.0,51203000000.0,13136000000.0,312000000.0,8478000000.0,-25836000000.0,-17267000000.0,-8297000000.0,-5835000000.0,,0.0,-10409000000.0,-4657000000.0,-6106000000.0,-10763000000.0,13448000000.0,2.4312,1.9236,9.3235,0.0,-8297000000.0,-0.11395816651368083,-0.06917523206600988,0.22584765443567115,0.6683310109924137,0.3211410435051866,-0.09836279356498441,-0.12833521523255634,0.41658925530267843,0.3211410435051866,0.2626408608870574,2.431229648007443,53341000000.0,11005000000.0,14638000000.0,33151000000.0,-4355000000.0,14638000000.0,2.0,2.0,0.9187047410848477,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2013-03-30,83083000000.0,28677000000.0,11798000000.0,51194000000.0,13143000000.0,88000000.0,5698000000.0,12580000000.0,7066000000.0,2519000000.0,2045000000.0,,0.0,5080000000.0,4285000000.0,2174000000.0,2111000000.0,13231000000.0,,2.0013,10.2889,0.0,2519000000.0,0.03994608743212095,0.02461394027659088,0.1625596184419714,0.5616852146263911,0.20023847376788553,0.030319078511849597,0.03909972836631742,0.1678060413354531,0.20023847376788553,0.25844825565495955,2.4306662146126463,53015000000.0,10312000000.0,13347000000.0,31952000000.0,-2242000000.0,13347000000.0,2.0,2.0,0.9913089083689218,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2013-06-29,85661000000.0,29048000000.0,11389000000.0,53840000000.0,13150000000.0,263000000.0,3778000000.0,25391000000.0,14536000000.0,5238000000.0,4045000000.0,,0.0,5093000000.0,,4897000000.0,,13413000000.0,,2.2692,12.5184,0.0,5238000000.0,0.07513001485884101,0.047221022402260074,0.1593084163680044,0.5724863140482849,0.20629356858729472,0.06114801368183888,0.07788500141257639,,0.20629356858729472,0.24912704309063893,2.550531214329616,51999000000.0,8792000000.0,10943000000.0,29669000000.0,,10943000000.0,1.0,1.0,1.2257150689938774,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2013-09-28,90551000000.0,31350000000.0,13875000000.0,55452000000.0,13157000000.0,350000000.0,4881000000.0,38874000000.0,22950000000.0,8742000000.0,6995000000.0,2065000000.0,1.0,5095000000.0,,7763000000.0,,13507000000.0,,2.1813,12.0672,1.0,8742000000.0,0.12614513453076534,0.07724928493335248,0.17994032000823174,0.5903688840870505,0.22488038277511962,0.09654228004108183,0.12677097985759656,,0.22488038277511962,0.24358003318185098,2.2594594594594595,51009000000.0,7250000000.0,8202000000.0,27285000000.0,,8202000000.0,1.0,1.0,1.6467934650085345,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2013-12-28,92358000000.0,32084000000.0,13568000000.0,58256000000.0,13165000000.0,281000000.0,5674000000.0,-24137000000.0,-13031000000.0,-4208000000.0,-3465000000.0,926000000.0,0.0,-10171000000.0,,-4123000000.0,,13446000000.0,2.3647,2.438,13.3576,0.0,-4208000000.0,-0.05947885196374622,-0.03751705320600273,0.14355553714214692,0.5398765380950408,0.17433815304304595,-0.04556183546633751,-0.05868734484393741,,0.17433815304304595,0.2308088437242516,2.364681603773585,52708000000.0,9620000000.0,12291000000.0,31521000000.0,,12291000000.0,1.0,1.0,1.0939711984378815,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2014-03-29,91932000000.0,30554000000.0,13552000000.0,58038000000.0,13172000000.0,36000000.0,4777000000.0,12764000000.0,7613000000.0,2510000000.0,1930000000.0,740000000.0,0.0,5117000000.0,,2689000000.0,,13208000000.0,,2.4274,13.5077,0.0,2510000000.0,0.03325407491643406,0.020993778009833354,0.15120651833281104,0.596443121278596,0.19664681917894078,0.027302789017969804,0.035230048002694886,,0.19664681917894078,0.22757503704469487,2.2545749704840614,52892000000.0,9505000000.0,12282000000.0,32068000000.0,,12282000000.0,1.0,1.0,1.0753948868262497,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2014-06-28,91793000000.0,29006000000.0,12251000000.0,59247000000.0,13180000000.0,14000000.0,3049000000.0,26595000000.0,16530000000.0,6354000000.0,4726000000.0,1866000000.0,0.0,5120000000.0,,5517000000.0,,13194000000.0,,2.8532,14.9325,0.0,6354000000.0,0.07976775195368542,0.05148540738400532,0.1777025756721188,0.6215454032712916,0.238917089678511,0.06922096456156787,0.08771275934898745,,0.238917089678511,0.2226948199908856,2.3676434576769245,54096000000.0,10186000000.0,13398000000.0,34062000000.0,,13398000000.0,1.0,1.0,0.9847738468428123,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2014-09-27,90616000000.0,27509000000.0,14904000000.0,56073000000.0,12103000000.0,1164000000.0,3143000000.0,41149000000.0,25988000000.0,10894000000.0,8043000000.0,3099000000.0,1.0,5095000000.0,,7962000000.0,,13267000000.0,,3.1426,16.197,1.0,10894000000.0,0.14343801829757638,0.08875915953032577,0.19546040000972076,0.6315584825876692,0.2647451942939075,0.1202215944204114,0.15710989327949235,,0.2647451942939075,0.23660228630535196,1.845746108427268,56371000000.0,11234000000.0,15550000000.0,37100000000.0,,15550000000.0,1.0,1.0,0.8531832797427653,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2014-12-27,91956000000.0,27730000000.0,16019000000.0,55865000000.0,12107000000.0,1604000000.0,2561000000.0,-24638000000.0,-14522000000.0,-4411000000.0,-2995000000.0,-1608000000.0,1.0,-10276000000.0,,-6063000000.0,,13711000000.0,1.7319,3.2176,15.3593,1.0,-4411000000.0,-0.0536113845878457,-0.03256992474661795,0.1215601915739914,0.589414725221203,0.17903238899261303,-0.04796859367523598,-0.06339829826376911,,0.17903238899261303,0.24543094961066858,1.7310693551407703,55870000000.0,11704000000.0,15347000000.0,35609000000.0,,15347000000.0,2.0,2.0,0.8933993614387177,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2015-03-28,89566000000.0,26466000000.0,15035000000.0,54924000000.0,12112000000.0,1121000000.0,4244000000.0,12781000000.0,7730000000.0,2615000000.0,1992000000.0,681000000.0,0.0,4914000000.0,,2025000000.0,,13233000000.0,,2.6695,12.6797,0.0,2615000000.0,0.03626829801179812,0.022240582363843422,0.15585634926844535,0.6048040059463266,0.20460057898443001,0.029196346828037425,0.03836729903018032,,0.20460057898443001,0.24093292549705048,1.7602926504822083,55887000000.0,11766000000.0,15452000000.0,35726000000.0,,15452000000.0,2.0,2.0,0.8563939943049443,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2015-06-27,90492000000.0,26710000000.0,13529000000.0,57695000000.0,12116000000.0,1118000000.0,4454000000.0,25976000000.0,15978000000.0,5511000000.0,4698000000.0,958000000.0,0.0,4912000000.0,,3792000000.0,,13234000000.0,,2.6094,12.3476,0.0,5511000000.0,0.08142820001733253,0.051916191486540246,0.18085925469664305,0.6151062519248537,0.212157376039421,0.06090041108606286,0.07769741572558474,,0.212157376039421,0.22937862899731346,1.9742774780102004,55268000000.0,11738000000.0,14609000000.0,35174000000.0,,14609000000.0,2.0,2.0,0.9058799370251215,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2015-09-26,98552000000.0,36205000000.0,15080000000.0,57097000000.0,20059000000.0,1129000000.0,7065000000.0,40441000000.0,25089000000.0,9703000000.0,7807000000.0,2102000000.0,1.0,4900000000.0,,4998000000.0,,21188000000.0,,2.4786,11.9223,1.0,9703000000.0,0.13673222761265916,0.07921706307330141,0.19304666056724612,0.6203852525901932,0.23992977423901485,0.09845563763292475,0.12394456153797023,,0.23992977423901485,0.3710877979578612,2.4008620689655173,54560000000.0,11502000000.0,13418000000.0,34275000000.0,,13418000000.0,2.0,2.0,1.5790728871664927,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2015-12-26,103065000000.0,40356000000.0,15667000000.0,61085000000.0,20036000000.0,2634000000.0,15308000000.0,-23843000000.0,-14118000000.0,-3827000000.0,-3077000000.0,-949000000.0,1.0,-9832000000.0,,-3489000000.0,,22670000000.0,2.4492,2.9778,14.4339,1.0,-3827000000.0,-0.050372431857248094,-0.029854945907922186,0.12905255211173092,0.5921234743950007,0.16050832529463574,-0.03713190704894969,-0.045692794460032236,,0.16050832529463574,0.37112220676107066,2.5758600880832323,55355000000.0,11420000000.0,14002000000.0,34679000000.0,,14002000000.0,2.0,2.0,1.619054420797029,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2016-04-02,105467000000.0,27397000000.0,17526000000.0,61174000000.0,21775000000.0,3594000000.0,3061000000.0,13702000000.0,8130000000.0,2568000000.0,2046000000.0,462000000.0,0.0,4875000000.0,,1346000000.0,,25369000000.0,,2.6824,13.1564,0.0,2568000000.0,0.03344558145617419,0.019399432997999375,0.1493212669683258,0.5933440373668077,0.18741789519778135,0.024348848454966956,0.02967311047687277,,0.18741789519778135,0.41470232451695166,1.5632203583247746,56276000000.0,11474000000.0,13955000000.0,35079000000.0,,13955000000.0,2.0,2.0,1.8179147259046937,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2016-07-02,109831000000.0,31188000000.0,18711000000.0,61367000000.0,24053000000.0,4560000000.0,3885000000.0,27235000000.0,16103000000.0,3886000000.0,3376000000.0,802000000.0,0.0,4870000000.0,,3632000000.0,,28613000000.0,,2.7257,15.2817,0.0,3886000000.0,0.05501328075349944,0.030738134042301354,0.12395814209656691,0.5912612447218653,0.14268404626399853,0.03538163177973432,0.04318737497221605,,0.14268404626399853,0.46626036795020126,1.6668270001603336,57535000000.0,10152000000.0,12330000000.0,35204000000.0,,12330000000.0,2.0,2.0,2.3206001622060017,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2016-10-01,112217000000.0,36216000000.0,20093000000.0,63115000000.0,24043000000.0,3573000000.0,4752000000.0,43013000000.0,26086000000.0,8348000000.0,6754000000.0,1742000000.0,1.0,4872000000.0,,6095000000.0,,27616000000.0,,3.081,17.2153,1.0,8348000000.0,0.10701101164540917,0.06018695919513086,0.15702229558505568,0.60646781205682,0.19408085927510288,0.07439158059830507,0.09200824415029042,,0.19408085927510288,0.4375505030499881,1.8024187527994824,60107000000.0,9099000000.0,10975000000.0,36201000000.0,,10975000000.0,2.0,2.0,2.51626423690205,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2016-12-31,113327000000.0,35508000000.0,20302000000.0,66226000000.0,20649000000.0,4634000000.0,5560000000.0,-24563000000.0,-14128000000.0,-1928000000.0,-1860000000.0,-386000000.0,1.0,-9742000000.0,,-1448000000.0,,25283000000.0,1.749,2.9206,16.8134,1.0,-1928000000.0,-0.028085646120858877,-0.01641268188516417,0.07572364939136099,0.5751740422586817,0.07849204087448601,-0.017012715416449744,-0.021068965894065064,,0.07849204087448601,0.3817684897170296,1.7489902472662793,59387000000.0,10316000000.0,12874000000.0,36191000000.0,,12874000000.0,2.0,2.0,1.9638806897623116,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2017-04-01,115648000000.0,36058000000.0,21305000000.0,66844000000.0,20678000000.0,5073000000.0,4934000000.0,14796000000.0,9147000000.0,3599000000.0,2964000000.0,851000000.0,0.0,4881000000.0,,1952000000.0,,25751000000.0,,2.8154,15.1573,0.0,3599000000.0,0.04434205014661002,0.025629496402877698,0.2003244120032441,0.6182076236820763,0.24324141659908083,0.031120296070835638,0.038868189427074894,,0.24324141659908083,0.38524026090599006,1.6924665571462099,60481000000.0,11234000000.0,13905000000.0,37208000000.0,,13905000000.0,2.0,2.0,1.8519237684286227,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2017-07-01,122107000000.0,40617000000.0,18782000000.0,68625000000.0,27855000000.0,4130000000.0,11687000000.0,29559000000.0,18245000000.0,7426000000.0,5772000000.0,2615000000.0,1.0,4864000000.0,,4730000000.0,,31985000000.0,,2.5478,12.3685,1.0,7426000000.0,0.08410928961748634,0.04727001727992662,0.19527047599715822,0.6172400960790284,0.25122636083764677,0.060815514262081614,0.07380976046118676,,0.25122636083764677,0.4660837887067395,2.1625492492812266,62805000000.0,13630000000.0,17445000000.0,39350000000.0,,17445000000.0,3.0,3.0,1.83347664087131,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2017-09-30,127088000000.0,33154000000.0,20689000000.0,70936000000.0,27498000000.0,4142000000.0,9075000000.0,45708000000.0,28302000000.0,12541000000.0,10288000000.0,4029000000.0,2.0,4849000000.0,,7709000000.0,,31640000000.0,,2.943,13.1918,2.0,12541000000.0,0.1450321416488102,0.0809517814427798,0.22508094863043668,0.6191913888159621,0.27437210116391003,0.0986796550421755,0.1222605677741382,,0.27437210116391003,0.4460358633134093,1.6024940789791677,65500000000.0,17164000000.0,21638000000.0,41566000000.0,,21638000000.0,4.0,4.0,1.4622423514188003,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2017-12-30,123249000000.0,29500000000.0,17421000000.0,69019000000.0,25037000000.0,1776000000.0,3433000000.0,-27302000000.0,-16625000000.0,-5630000000.0,-9423000000.0,3256000000.0,-2.0,-9759000000.0,,-2613000000.0,,26813000000.0,1.6934,3.4935,22.837,-2.0,-5630000000.0,-0.1365276228284965,-0.07645498137915926,0.3451395502161014,0.6089297487363563,0.2062119991209435,-0.04567988381244473,-0.05874864345938726,,0.2062119991209435,0.38848722815456616,1.6933585902072212,62761000000.0,9601000000.0,17936000000.0,39069000000.0,,17936000000.0,1.0,1.0,1.4949264049955397,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2018-03-31,128596000000.0,31630000000.0,19961000000.0,70165000000.0,24770000000.0,3842000000.0,3554000000.0,16066000000.0,9731000000.0,4470000000.0,4454000000.0,557000000.0,0.0,4790000000.0,,2910000000.0,,28612000000.0,,3.5603,20.5542,0.0,4470000000.0,0.06347894249269578,0.03463560297365392,0.2772314203908876,0.6056890327399477,0.27822731233661147,0.03476002363992659,0.04525344968970509,,0.27822731233661147,0.4077816575215563,1.5845899504032863,64031000000.0,11091000000.0,18807000000.0,39653000000.0,,18807000000.0,1.0,1.0,1.5213484340936885,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2018-06-30,125972000000.0,27603000000.0,17571000000.0,70047000000.0,24632000000.0,3510000000.0,2614000000.0,33028000000.0,20150000000.0,9743000000.0,9460000000.0,1080000000.0,1.0,4768000000.0,,7440000000.0,,28142000000.0,,3.495,17.4183,1.0,9743000000.0,0.13505217925107427,0.07509605309116311,0.2864236405474143,0.6100884098340802,0.294992127891486,0.07734258406630044,0.0992270009878907,,0.294992127891486,0.40175881907861866,1.5709407546525525,67500000000.0,14779000000.0,21124000000.0,41558000000.0,,21124000000.0,1.0,1.0,1.3322287445559553,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2018-09-29,128242000000.0,29590000000.0,19574000000.0,71483000000.0,24823000000.0,3051000000.0,3407000000.0,52191000000.0,32510000000.0,17092000000.0,15858000000.0,1824000000.0,3.0,4728000000.0,,11291000000.0,,27874000000.0,,3.0616,13.9739,3.0,17092000000.0,0.22184295566778114,0.12365683629388188,0.3038454906018279,0.6229043321645494,0.3274894138836198,0.13327926888226946,0.17202612800305966,,0.3274894138836198,0.3899388665836632,1.5116991928067844,73983000000.0,20349000000.0,25675000000.0,45766000000.0,,25675000000.0,2.0,2.0,1.085647517039922,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2018-12-29,127963000000.0,28787000000.0,16626000000.0,74563000000.0,25098000000.0,1261000000.0,3019000000.0,-30437000000.0,-18654000000.0,-7989000000.0,-8719000000.0,-1197000000.0,0.0,-9585000000.0,,-6460000000.0,,26359000000.0,1.7314,3.0232,10.1738,0.0,-7989000000.0,-0.11693467269289058,-0.06813688331783406,0.2864605578736406,0.6128724907185333,0.2624765909912278,-0.06243210928158921,-0.07916014347714076,,0.2624765909912278,0.35351313654225286,1.7314447251293155,70848000000.0,21053000000.0,23316000000.0,43737000000.0,,23316000000.0,4.0,4.0,1.130511236918854,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2019-03-30,129458000000.0,29060000000.0,18911000000.0,73661000000.0,25737000000.0,2750000000.0,3154000000.0,16061000000.0,9089000000.0,4174000000.0,3974000000.0,573000000.0,0.87,4564000000.0,,3321000000.0,,28487000000.0,,3.4448,11.8622,0.87,4174000000.0,0.05394985134603114,0.030697214540623213,0.2474316667704377,0.5659049872361621,0.25988419151983067,0.03224211713451467,0.04086227826291264,,0.25988419151983067,0.3867311060126797,1.5366717783300725,70843000000.0,20573000000.0,23020000000.0,43095000000.0,,23020000000.0,4.87,4.87,1.2374891398783667,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2019-06-29,130759000000.0,29239000000.0,19705000000.0,74947000000.0,25089000000.0,3726000000.0,2867000000.0,32566000000.0,18967000000.0,8791000000.0,8153000000.0,1118000000.0,1.79,4543000000.0,,6875000000.0,,28815000000.0,,3.0242,10.78,1.79,8791000000.0,0.1087835403685271,0.062351348664336684,0.25035312903027696,0.5824172449794264,0.26994411349259967,0.06723055391980667,0.08472273086486383,,0.26994411349259967,0.3844716933299532,1.483836589698046,70381000000.0,19266000000.0,22068000000.0,41912000000.0,,22068000000.0,5.66,5.66,1.30573681348559,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2019-09-28,133768000000.0,29957000000.0,25064000000.0,74242000000.0,23707000000.0,5200000000.0,3935000000.0,51756000000.0,30262000000.0,15238000000.0,14143000000.0,1847000000.0,3.14,4507000000.0,23257000000.0,11547000000.0,11710000000.0,28907000000.0,,3.1834,11.5915,3.14,15238000000.0,0.19049863958406293,0.10572782728305723,0.2732630033232862,0.5847051549578792,0.2944199706314244,0.11391364152861672,0.14772804389766261,0.22625396089342298,0.2944199706314244,0.3893618167614019,1.19522023619534,69946000000.0,17551000000.0,20214000000.0,39664000000.0,,20214000000.0,5.800000000000001,5.800000000000001,1.4300484812506185,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2019-12-28,136524000000.0,31239000000.0,22310000000.0,77504000000.0,25308000000.0,3693000000.0,,-28418000000.0,-16178000000.0,-6168000000.0,-5222000000.0,-528000000.0,-1.0900000000000007,-9141000000.0,9888000000.0,-5530000000.0,4358000000.0,29001000000.0,1.4002,3.6038,12.3217,-1.0900000000000007,-6168000000.0,-0.0673771676300578,-0.03824968503706308,0.18375677387571257,0.5692870715743543,0.21704553452037442,-0.04517886964929243,-0.057912774048166756,-0.15335350833978464,0.21704553452037442,0.3741871387283237,1.4002241147467502,71965000000.0,21048000000.0,22035000000.0,42140000000.0,,22035000000.0,4.709999999999999,4.709999999999999,1.3161334240980258,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2020-03-28,147710000000.0,41501000000.0,23895000000.0,76354000000.0,36455000000.0,3464000000.0,11380000000.0,19828000000.0,12016000000.0,7038000000.0,5661000000.0,953000000.0,1.31,4312000000.0,6158000000.0,3268000000.0,2890000000.0,39919000000.0,,3.1023,10.3341,1.31,7038000000.0,0.07414149880818294,0.03832509647281836,0.28550534597538835,0.6060117006253782,0.35495259229372605,0.04764741723647688,0.060529959663894455,0.14575347992737542,0.35495259229372605,0.522814783770333,1.7368068633605356,75732000000.0,22735000000.0,24899000000.0,45067000000.0,,24899000000.0,5.1499999999999995,5.1499999999999995,1.603237077794289,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
