report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2013-09-30,5862000000.0,1935000000.0,1650000000.0,,1802000000.0,782000000.0,111000000.0,41000000.0,,1557000000.0,470000000.0,289000000.0,13000000.0,174000000.0,4.0,70692000.0,,,,,893000000.0,,9.1958,0.8589,4.0,470000000.0,0.16037735849056603,0.04930058000682361,0.18561335902376364,0.3018625561978163,0.08017741385192767,0.17439703153988867,,0.3018625561978163,0.4955604883462819,1.1727272727272726,1786500000.0,325200000.0,521700000.0,,466100000.0,7700000.0,4.08,4.08,1.9158978759922762,67.75324675324676,1.3051703,65.88,33.03,4.8736,4279.5483,42.7955,1.4168,0.3006
2013-12-31,5838000000.0,1762000000.0,1580000000.0,5838000000.0,2029000000.0,754000000.0,117000000.0,80000000.0,,1210000000.0,130000000.0,78000000.0,13000000.0,47000000.0,1.6500000000000004,-142326000.0,769000000.0,463000000.0,201000000.0,306000000.0,871000000.0,1.1152,9.9289,0.9783,1.6500000000000004,331000000.0,0.03844258255298177,0.013360739979445015,0.06446280991735537,0.10743801652892562,0.022267899965741692,0.04482758620689655,0.2528925619834711,0.2735537190082645,0.42927550517496305,1.1151898734177215,5156000000.0,508000000.0,838000000.0,,1108000000.0,56000000.0,7.16,7.16,0.7861010830324909,14.964285714285714,1.3051703,65.88,33.03,4.8736,4279.5483,42.7955,1.4168,0.3006
2014-03-31,6061000000.0,1934000000.0,1755000000.0,,2095000000.0,721000000.0,113000000.0,90000000.0,,1222000000.0,141000000.0,94000000.0,12000000.0,58000000.0,1.0,69410618.0,242000000.0,93000000.0,70000000.0,149000000.0,834000000.0,,11.3605,1.2238,1.0,211000000.0,0.04486873508353222,0.01550899191552549,0.07692307692307693,0.11538461538461539,0.023263487873288236,0.04813929668828952,0.12193126022913257,0.17266775777414076,0.39809069212410503,1.101994301994302,5245000000.0,565000000.0,915000000.0,,1186000000.0,52000000.0,7.65,7.65,0.7032040472175379,17.596153846153847,1.3051703,65.88,33.03,4.8736,4279.5483,42.7955,1.4168,0.3006
2014-06-30,6314000000.0,2020000000.0,1864000000.0,,2200000000.0,745000000.0,114000000.0,22000000.0,,2597000000.0,405000000.0,259000000.0,25000000.0,158000000.0,1.0,138775985.0,635000000.0,350000000.0,143000000.0,285000000.0,859000000.0,,10.4131,1.2153,1.0,548000000.0,0.11772727272727272,0.041019955654102,0.09973045822102426,0.15594917212167886,0.06414317389927146,0.13239620791108206,0.10974201001155179,0.21101270696958027,0.39045454545454544,1.0836909871244635,6586000000.0,720000000.0,1146000000.0,,1560000000.0,63000000.0,7.65,7.65,0.5506410256410257,18.19047619047619,1.3051703,65.88,33.03,4.8736,4279.5483,42.7955,1.4168,0.3006
2014-09-30,6236000000.0,1799000000.0,1767000000.0,,2229000000.0,710000000.0,115000000.0,34000000.0,,4062000000.0,720000000.0,457000000.0,36000000.0,276000000.0,3.0,137824776.0,892000000.0,559000000.0,218000000.0,333000000.0,825000000.0,,10.9245,1.1086,3.0,938000000.0,0.20502467474203678,0.0732841565105837,0.11250615460364352,0.17725258493353027,0.11545862732520847,0.2357563850687623,0.08197932053175776,0.23092072870507138,0.37012113055181695,1.018109790605546,9091000000.0,888000000.0,1396000000.0,1073000000.0,2028000000.0,86000000.0,6.65,6.65,0.4068047337278107,16.232558139534884,1.3051703,65.88,33.03,4.8736,4279.5483,42.7955,1.4168,0.3006
2014-12-31,6181000000.0,1756000000.0,1671000000.0,,2127000000.0,686000000.0,117000000.0,107000000.0,,-2513000000.0,-304000000.0,-205000000.0,-25000000.0,-122000000.0,-1.0,-209210379.0,-739000000.0,-308000000.0,-137000000.0,-1047000000.0,803000000.0,0.9808,12.9873,1.4637,-1.0,-441000000.0,-0.09637987776210626,-0.03316615434395729,0.0815758058097891,0.12097095105451651,-0.049182980100307395,-0.1037542662116041,0.416633505769996,0.17548746518105848,0.37752703338034793,1.0508677438659486,5368000000.0,605000000.0,962000000.0,-280000000.0,1256000000.0,48000000.0,4.0,4.0,0.6393312101910829,20.041666666666668,1.3051703,65.88,33.03,4.8736,4279.5483,42.7955,1.4168,0.3006
2015-03-31,6410000000.0,1776000000.0,1880000000.0,,2166000000.0,650000000.0,118000000.0,51000000.0,,1269000000.0,238000000.0,149000000.0,11000000.0,91000000.0,1.0,132230000.0,514000000.0,279000000.0,76000000.0,235000000.0,768000000.0,,13.08,1.5942,1.0,314000000.0,0.06879039704524469,0.023244929797191886,0.11741528762805359,0.1875492513790386,0.03712948517940717,0.08111792774369461,0.18518518518518517,0.24743892828999212,0.3545706371191136,0.9446808510638298,5415000000.0,660000000.0,1059000000.0,-194000000.0,1359000000.0,47000000.0,4.0,4.0,0.565121412803532,22.53191489361702,1.3051703,65.88,33.03,4.8736,4279.5483,42.7955,1.4168,0.3006
2015-06-30,6480000000.0,1654000000.0,1927000000.0,,2219000000.0,629000000.0,116000000.0,45000000.0,,2706000000.0,610000000.0,383000000.0,22000000.0,233000000.0,2.0,131271000.0,889000000.0,559000000.0,155000000.0,330000000.0,745000000.0,,11.397,1.517,2.0,765000000.0,0.1726002703920685,0.059104938271604936,0.14153732446415374,0.2254249815225425,0.0941358024691358,0.2058029689608637,0.12195121951219512,0.2827050997782705,0.33573681838666064,0.8583290088220031,5524000000.0,784000000.0,1264000000.0,-149000000.0,1576000000.0,44000000.0,5.0,5.0,0.4727157360406091,28.727272727272727,1.3051703,65.88,33.03,4.8736,4279.5483,42.7955,1.4168,0.3006
2015-09-30,6564000000.0,1715000000.0,1854000000.0,,2365000000.0,593000000.0,117000000.0,88000000.0,,4221000000.0,1043000000.0,657000000.0,32000000.0,396000000.0,5.0,130200000.0,1229000000.0,668000000.0,236000000.0,561000000.0,710000000.0,,12.5128,1.8225,5.0,1279000000.0,0.27780126849894293,0.10009140767824497,0.15565031982942432,0.2470978441127695,0.158897014015844,0.3391869918699187,0.13290689410092396,0.30300876569533286,0.30021141649048627,0.9250269687162891,5683000000.0,984000000.0,1587000000.0,79000000.0,1917000000.0,40000000.0,7.0,7.0,0.37037037037037035,39.675,1.3051703,65.88,33.03,4.8736,4279.5483,42.7955,1.4168,0.3006
2015-12-31,6533000000.0,1663000000.0,1806000000.0,,2411000000.0,571000000.0,115000000.0,73000000.0,,-2598000000.0,-593000000.0,-341000000.0,-23000000.0,-256000000.0,-2.0,-264329000.0,-1048000000.0,-675000000.0,-147000000.0,-1723000000.0,686000000.0,0.9208,11.9748,1.814,-2.0,-740000000.0,-0.14143508917461634,-0.052196540639828565,0.13125481139337952,0.22825250192455734,-0.090769937241696,-0.19147562156926057,0.6632024634334103,0.2848344880677444,0.28452924097884696,0.9208194905869325,5598000000.0,848000000.0,1298000000.0,-597000000.0,1618000000.0,42000000.0,6.0,6.0,0.42398022249690975,30.904761904761905,1.3051703,65.88,33.03,4.8736,4279.5483,42.7955,1.4168,0.3006
