report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2019-12-31,60524000000.0,16815000000.0,10679000000.0,60524000000.0,13541000000.0,15975000000.0,2367000000.0,-25361000000.0,-3566000000.0,-3495000000.0,,-424000000.0,-3.9699999999999998,-751200000.0,-1732000000.0,,-1613000000.0,,15975000000.0,1.5746,0.9448,,-3.9699999999999998,-5179000000.0,-0.25810501440070893,-0.05774568766109312,0.13781002326406688,0.14060959741335122,-0.058918776022734785,-0.12081582870307629,,0.20421119041047278,1.179750387711395,1.574585635359116,42951000000.0,-1359000000.0,-1247000000.0,1691000000.0,,,9.447072738024838,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2020-03-31,60686000000.0,18138000000.0,11121000000.0,,12906000000.0,,3633000000.0,,,239000000.0,,138000000.0,0.32,742000000.0,1239000000.0,,724000000.0,,0.0,,0.5188,,0.32,,0.018518518518518517,0.003938305375210098,,,,,,,0.0,1.6309684380900997,,-1661000000.0,,,-1.5199999999999998,-1.5199999999999998,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2020-06-30,59276000000.0,16997000000.0,9786000000.0,,12537000000.0,,3724000000.0,,,14000000.0,,172000000.0,0.01,741000000.0,2829000000.0,,1424000000.0,,0.0,,0.7727,,0.01,,0.0011166945840312675,0.00023618327822390176,,,,,,,0.0,1.736868996525649,,-2278000000.0,,,-2.35,-2.35,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2020-09-30,59945000000.0,17789000000.0,10207000000.0,59945000000.0,12354000000.0,16698000000.0,4549000000.0,27836000000.0,255000000.0,-11000000.0,,215000000.0,-0.02,740000000.0,4596000000.0,,2148000000.0,,16698000000.0,,0.9174,,-0.02,2403000000.0,-0.0008903998704872916,-0.00018350154308115774,-0.00039517172007472336,0.009160798965368587,0.004253899407790474,0.008777364725320116,,0.08632705848541457,1.3516270033997086,1.7428235524639952,,-3253000000.0,,,-3.66,-3.66,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2020-12-31,61470000000.0,19084000000.0,11108000000.0,61470000000.0,12435000000.0,16491000000.0,5104000000.0,10706000000.0,1816000000.0,983000000.0,,252000000.0,1.3299999999999998,-1480700000.0,-2438000000.0,,-1422000000.0,,16491000000.0,1.718,1.0681,33.8546,1.3299999999999998,394000000.0,0.07905106554081222,0.015991540588905156,0.09181767233327107,0.1696245096207734,0.029542866438913292,0.06278088916545668,,0.036801793386885856,1.3261761158021712,1.7180410514944184,,1225000000.0,,,1.6399999999999997,1.6399999999999997,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2021-03-31,60437000000.0,19163000000.0,11354000000.0,60437000000.0,14003000000.0,16200000000.0,4133000000.0,11882000000.0,1323000000.0,991000000.0,,317000000.0,,749800000.0,-291000000.0,,717000000.0,,16200000000.0,,1.1749,24.2449,,2040000000.0,0.07077054916803542,0.01639724010126247,0.08340346742972564,0.11134489143241878,0.021890563727517912,0.04380359566930438,,0.17168826796835548,1.156894951081911,1.6877752333979215,,1977000000.0,,,,,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2021-06-30,61768000000.0,20352000000.0,12308000000.0,,15573000000.0,,3491000000.0,,,2892000000.0,,841000000.0,,751400000.0,1713000000.0,,1462000000.0,,0.0,,1.0218,11.516,,,0.1857060296667309,0.046820360056987434,,,,,,,0.0,1.6535586610334743,,4855000000.0,,,,,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2021-09-30,61749000000.0,20393000000.0,12793000000.0,,16439000000.0,,2911000000.0,,,4575000000.0,,1383000000.0,,750900000.0,4434000000.0,,2187000000.0,,0.0,,0.8297,7.3287,,,0.2783015998540057,0.07409026866831851,,,,,,,0.0,1.5940748847025716,,9441000000.0,,,,,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2021-12-31,62990000000.0,20848000000.0,13226000000.0,62990000000.0,18165000000.0,14280000000.0,2988000000.0,43086000000.0,6822000000.0,-2147000000.0,,-801000000.0,8.38,-1503100000.0,1153000000.0,,-1524000000.0,,14280000000.0,1.5763,0.7632,6.6473,8.38,5298000000.0,-0.11819432975502339,-0.03408477536116844,-0.049830571415308916,0.1583344938030915,0.10830290522305128,0.21026352288488212,,0.12296337557443253,0.7861271676300579,1.5762891274761832,,6311000000.0,,,,,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2022-03-31,63335000000.0,22165000000.0,13054000000.0,63335000000.0,18880000000.0,14108000000.0,3143000000.0,15264000000.0,2055000000.0,1569000000.0,,503000000.0,,739800000.0,1603000000.0,,752000000.0,,14108000000.0,,0.7951,6.7346,,2807000000.0,0.08310381355932203,0.024773032288623983,0.10279088050314465,0.13463050314465408,0.032446514565406176,0.06229538013823208,,0.183896750524109,0.7472457627118644,1.6979469894285277,,6889000000.0,,,,,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2022-06-30,62143000000.0,21769000000.0,13309000000.0,,18973000000.0,,2367000000.0,,,3230000000.0,,991000000.0,,735600000.0,3457000000.0,,1436000000.0,,0.0,,0.6164,5.5745,,,0.1702419227323038,0.05197689200714481,,,,,,,0.0,1.6356600796453529,,7227000000.0,,,,,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2022-09-30,59557000000.0,19777000000.0,12315000000.0,,18117000000.0,,2216000000.0,,,3969000000.0,,1232000000.0,,729800000.0,5397000000.0,,2104000000.0,,0.0,,0.5204,5.4191,,,0.21907600596125187,0.06664204039827393,,,,,,,0.0,1.605927730410069,,6621000000.0,,,,,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2022-12-31,60603000000.0,20477000000.0,11331000000.0,,20718000000.0,,3886000000.0,,,-4186000000.0,,-1276000000.0,6.28,-1479600000.0,-2982000000.0,,-1534000000.0,,0.0,1.8072,0.6232,7.7395,6.28,,-0.20204652958779806,-0.06907248816065212,,,,,,,0.0,1.807166181272615,,4582000000.0,,,,,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2023-06-30,58294000000.0,18549000000.0,9649000000.0,,19997000000.0,,2924000000.0,,,392000000.0,,163000000.0,,710700000.0,1882000000.0,,1297000000.0,,0.0,,0.7604,21.4712,,,0.01960294044106616,0.0067245342573849795,,,,,,,0.0,1.9223753756865996,,3405000000.0,,,,,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2023-09-30,58288000000.0,18298000000.0,10248000000.0,,19567000000.0,,3080000000.0,,,694000000.0,,253000000.0,,709700000.0,3540000000.0,,1954000000.0,,0.0,,0.7846,27.53,,,0.03546787959319262,0.011906395827614604,,,,,,,0.0,1.78551912568306,,869000000.0,,,,,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2023-12-31,57967000000.0,17614000000.0,9957000000.0,,18607000000.0,,2987000000.0,,,589000000.0,,-4000000.0,0.82,709000000.0,5196000000.0,,2611000000.0,,0.0,1.769,0.862,65.3049,0.82,,0.0316547535873596,0.010160953646039987,,,,,,,0.0,1.769006728934418,,-2511000000.0,,,,,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2024-03-31,58817000000.0,18448000000.0,10249000000.0,,18425000000.0,,3723000000.0,,,516000000.0,,-89000000.0,,705500000.0,464000000.0,,720000000.0,,0.0,,0.941,34.1976,,,0.028005427408412484,0.00877297380009181,,,,,,,0.0,1.7999804859010635,,2191000000.0,,,,,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2024-06-30,58526000000.0,18053000000.0,10308000000.0,,18318000000.0,,3341000000.0,,,955000000.0,,61000000.0,,705500000.0,1300000000.0,,1402000000.0,,0.0,,0.8573,32.0221,,,0.05213451250136478,0.01631753408741414,,,,,,,0.0,1.7513581684128832,,2754000000.0,,,,,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2024-09-30,59389000000.0,17977000000.0,10827000000.0,,18311000000.0,,2883000000.0,,,1169000000.0,,145000000.0,,704900000.0,2100000000.0,,2143000000.0,,0.0,,0.8857,35.9455,,,0.06384140680465294,0.019683779824546634,,,,,,,0.0,1.6603860718573935,,3229000000.0,,,,,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2024-12-31,57312000000.0,16590000000.0,10288000000.0,,17355000000.0,,2189000000.0,,,-1524000000.0,,282000000.0,1.57,-1410800000.0,-950000000.0,,-1371000000.0,,0.0,1.6126,0.6539,25.1744,1.57,,-0.0878133102852204,-0.026591289782244554,,,,,,,0.0,1.6125583203732503,,1116000000.0,,,,,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2025-03-31,57499000000.0,16328000000.0,10586000000.0,,16788000000.0,,1465000000.0,,,-307000000.0,,-84000000.0,,706900000.0,91000000.0,,714000000.0,,0.0,,0.579,84.2444,,,-0.018286871574934478,-0.005339223290839841,,,,,,,0.0,1.5424145097298319,,293000000.0,,,,,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2025-06-30,58991000000.0,17712000000.0,10486000000.0,,17231000000.0,,2399000000.0,,,-1142000000.0,,58000000.0,,708200000.0,-379000000.0,,1438000000.0,,0.0,,0.4488,,,,-0.06627589809065057,-0.019358885253682765,,,,,,,0.0,1.6891092885752432,,-1804000000.0,,,,,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2025-09-30,60990000000.0,19646000000.0,10104000000.0,,17541000000.0,,4609000000.0,,,-1080000000.0,,4000000.0,,709400000.0,748000000.0,,2126000000.0,,0.0,,0.3984,,,,-0.06157003591585428,-0.017707820954254796,,,,,,,0.0,1.9443784639746635,,-4053000000.0,,,,,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2025-12-31,58538000000.0,18062000000.0,9183000000.0,,16008000000.0,,3816000000.0,,,-94000000.0,,-45000000.0,-3.7,-1412900000.0,572000000.0,,-1444000000.0,,0.0,1.9669,0.4158,,-3.7,,-0.005872063968015992,-0.001605794526632273,,,,,,,0.0,1.966895350103452,,-2623000000.0,,,,,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
