report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,net_income,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,revenue_ttm,net_income_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-12-31,709298000000.0,670007000000.0,38575000000.0,24729000000.0,2484000000.0,18100000000.0,10530000000.0,-408000000.0,-1442000000.0,,2357000000.0,-236000000.0,27213000000.0,47.5867,0.2905,,-0.010576798444588463,-0.0005752166226325184,-0.038746438746438745,0.7054569021386908,84815000000.0,469000000.0,,,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2013-03-31,724097000000.0,683431000000.0,39963000000.0,25488000000.0,2228000000.0,14477000000.0,10185000000.0,-706000000.0,-831000000.0,-1.0,187000000.0,109000000.0,27716000000.0,36.6951,0.3165,-1.0,-0.01766634136576333,-0.0009750074920901481,-0.06931762395679922,0.6935415259114681,85377000000.0,730000000.0,,,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2013-06-30,705615000000.0,669707000000.0,35148000000.0,23642000000.0,2620000000.0,13045000000.0,20229000000.0,-1227000000.0,-1104000000.0,,2386000000.0,161000000.0,26262000000.0,,0.4333,,-0.03490952543530215,-0.0017389086116366573,-0.06065549458697909,0.7471833390235575,79847000000.0,-1728000000.0,,,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2013-09-30,723126000000.0,688010000000.0,34358000000.0,23642000000.0,3118000000.0,12650000000.0,31572000000.0,-185000000.0,-595000000.0,,5483000000.0,338000000.0,26760000000.0,,0.4777,,-0.005384481052447756,-0.00025583369979782224,-0.005859622450272393,0.7788579079108213,72516000000.0,-2526000000.0,,,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2013-12-31,731781000000.0,695900000000.0,35278000000.0,23553000000.0,2669000000.0,11439000000.0,-20525000000.0,1451000000.0,1472000000.0,0.0,389000000.0,-197000000.0,26222000000.0,,1.0709,0.0,0.0411304495719712,0.0019828336619835715,-0.07069427527405603,0.7432961052213845,41461000000.0,-667000000.0,,,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2014-03-31,746735000000.0,707871000000.0,38223000000.0,22565000000.0,4019000000.0,12472000000.0,12854000000.0,1238000000.0,473000000.0,2.0,1979000000.0,41000000.0,26584000000.0,30.8835,0.9221,2.0,0.032388875807759725,0.0016578839882957141,0.09631243192780457,0.6954974753420715,44130000000.0,1277000000.0,,,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2014-06-30,765537000000.0,723730000000.0,41195000000.0,23488000000.0,3804000000.0,12160000000.0,,,,,5555000000.0,179000000.0,27292000000.0,14.2749,0.9003,,,,,0.6625075858720718,,,,,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2014-09-30,764147000000.0,721795000000.0,41769000000.0,22597000000.0,4429000000.0,17222000000.0,,,,,11422000000.0,454000000.0,27026000000.0,17.1554,0.8701,,,,,0.647034882329,,,,,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2014-12-31,766655000000.0,724306000000.0,41770000000.0,19831000000.0,3839000000.0,14918000000.0,,,,,440000000.0,-43000000.0,23670000000.0,30.0005,0.8069,,,,,0.5666746468757481,,,,,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2015-03-31,778612000000.0,733038000000.0,45044000000.0,19703000000.0,3013000000.0,19119000000.0,15552000000.0,2036000000.0,699000000.0,4.0,5528000000.0,170000000.0,22716000000.0,16.7396,0.6871,4.0,0.04520024864576858,0.0026149096083800403,0.1309156378600823,0.5043068999200782,,,,,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2015-06-30,762731000000.0,720439000000.0,41723000000.0,20264000000.0,3621000000.0,17038000000.0,29264000000.0,3442000000.0,1378000000.0,7.0,3475000000.0,-48000000.0,23885000000.0,15.8904,0.7393,7.0,0.08249646477961796,0.004512731225032154,0.11761891744122471,0.5724660259329387,,,,,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2015-09-30,754527000000.0,711757000000.0,42720000000.0,20329000000.0,1833000000.0,20207000000.0,42863000000.0,4907000000.0,1962000000.0,10.0,11830000000.0,126000000.0,22162000000.0,9.9683,0.6259,10.0,0.11486423220973782,0.006503412071403674,0.11448102092713995,0.5187734082397004,,,,,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2015-12-31,757388000000.0,715465000000.0,41890000000.0,19727000000.0,1216000000.0,17612000000.0,-30560000000.0,-4743000000.0,-1967000000.0,-9.0,-6938000000.0,-135000000.0,20943000000.0,6.4787,0.6834,-9.0,-0.11322511339221772,-0.006262312051418824,0.15520287958115184,0.49995225590833137,57119000000.0,5642000000.0,12.0,12.0,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2016-03-31,772995000000.0,723730000000.0,49242000000.0,19608000000.0,969000000.0,22492000000.0,14329000000.0,1336000000.0,368000000.0,2.0,6294000000.0,167000000.0,20577000000.0,6.4925,0.612,2.0,0.027131310669753463,0.0017283423566775982,0.09323749040407565,0.41787498476909957,55896000000.0,4942000000.0,10.0,10.0,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2016-06-30,796490000000.0,741312000000.0,55149000000.0,18986000000.0,676000000.0,24142000000.0,28768000000.0,2257000000.0,799000000.0,4.0,13489000000.0,424000000.0,19662000000.0,7.0748,0.593,4.0,0.04092549275598832,0.0028336827832113397,0.07845522803114571,0.3565250503182288,55400000000.0,3757000000.0,7.0,7.0,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2016-09-30,819865000000.0,762891000000.0,56431000000.0,18758000000.0,907000000.0,24728000000.0,45729000000.0,4084000000.0,1300000000.0,9.0,17038000000.0,402000000.0,19665000000.0,7.4043,0.6317,9.0,0.07237156881855718,0.004981307898251542,0.08930875374488836,0.3484786730697666,58266000000.0,2934000000.0,6.0,6.0,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2016-12-31,783962000000.0,737874000000.0,45863000000.0,18041000000.0,1133000000.0,14127000000.0,-30047000000.0,-3309000000.0,-1132000000.0,-6.0,-22043000000.0,-675000000.0,19174000000.0,10.3228,0.8161,-6.0,-0.07214966312713952,-0.004220867848186519,0.11012746696841615,0.41807121208817566,58779000000.0,4368000000.0,9.0,9.0,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2017-03-31,797365000000.0,750391000000.0,46784000000.0,17893000000.0,1415000000.0,13308000000.0,13670000000.0,1369000000.0,395000000.0,3.0,1646000000.0,-50000000.0,19308000000.0,10.4322,0.8429,3.0,0.029262140902872776,0.0017169050560282932,0.10014630577907828,0.41270519835841313,58120000000.0,4401000000.0,10.0,10.0,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2017-06-30,812590000000.0,763950000000.0,48444000000.0,17626000000.0,1779000000.0,16605000000.0,27111000000.0,1860000000.0,520000000.0,4.0,4703000000.0,107000000.0,19405000000.0,11.72,0.8706,4.0,0.03839484765915284,0.0022889772209847524,0.06860683855261702,0.40056560151928,56463000000.0,4004000000.0,10.0,10.0,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2017-09-30,821131000000.0,770566000000.0,50373000000.0,17153000000.0,2358000000.0,14541000000.0,43424000000.0,4098000000.0,1320000000.0,9.0,8761000000.0,271000000.0,19511000000.0,10.5363,0.8752,9.0,0.08135310583050444,0.004990677492385503,0.09437177597641858,0.3873305143628531,54158000000.0,4018000000.0,10.0,10.0,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2017-12-31,831921000000.0,777577000000.0,54069000000.0,17172000000.0,1380000000.0,14490000000.0,-24516000000.0,536000000.0,-3673000000.0,1.0,-1665000000.0,-106000000.0,18552000000.0,6.2255,0.8768,1.0,0.009913258983890954,0.0006442919459900639,-0.02186327296459455,0.34311712811407646,59689000000.0,7863000000.0,17.0,17.0,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2018-03-31,829677000000.0,777502000000.0,51830000000.0,18143000000.0,1383000000.0,15676000000.0,13757000000.0,1363000000.0,352000000.0,3.0,2301000000.0,-22000000.0,19526000000.0,5.4205,0.7629,3.0,0.026297511093961026,0.0016428079843119673,0.09907683361197936,0.37673162261238663,59776000000.0,7857000000.0,17.0,17.0,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2018-06-30,819860000000.0,771268000000.0,48232000000.0,16732000000.0,2056000000.0,14918000000.0,28412000000.0,1560000000.0,420000000.0,3.0,6675000000.0,48000000.0,18788000000.0,5.2385,0.6949,3.0,0.03234367225078786,0.0019027638865172104,0.0549063775869351,0.38953391938961685,61077000000.0,7557000000.0,16.0,16.0,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2018-09-30,822748000000.0,775666000000.0,46725000000.0,17421000000.0,2393000000.0,12466000000.0,44560000000.0,3232000000.0,604000000.0,7.0,10268000000.0,45000000.0,19814000000.0,6.0533,0.7453,7.0,0.06917067950775815,0.00392829882296888,0.0725314183123878,0.424055644729802,62213000000.0,6691000000.0,14.0,14.0,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2018-12-31,815078000000.0,766047000000.0,48617000000.0,17378000000.0,2451000000.0,15353000000.0,-23737000000.0,-2081000000.0,-554000000.0,-4.0,2420000000.0,90000000.0,19829000000.0,8.2671,0.5692,-4.0,-0.042803957463438715,-0.0025531298845018514,0.08766903989552176,0.4078614476417714,62992000000.0,4074000000.0,9.0,9.0,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2019-03-31,849324000000.0,793874000000.0,55010000000.0,18309000000.0,2549000000.0,14699000000.0,15091000000.0,932000000.0,232000000.0,2.22,3085000000.0,20000000.0,20858000000.0,10.7458,0.6468,2.22,0.016942374113797492,0.0010973432989059533,0.061758664104433106,0.3791674241047082,64326000000.0,3643000000.0,8.22,8.22,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2019-06-30,873825000000.0,811672000000.0,61660000000.0,17841000000.0,2659000000.0,15421000000.0,30479000000.0,1640000000.0,394000000.0,3.93,8324000000.0,-89000000.0,20500000000.0,9.9711,0.6771,3.93,0.026597469996756405,0.001876805996624038,0.053807539617441516,0.3324683749594551,66393000000.0,3723000000.0,9.15,9.15,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2019-09-30,885626000000.0,819312000000.0,65798000000.0,19151000000.0,1490000000.0,18289000000.0,45584000000.0,3058000000.0,726000000.0,7.35,15640000000.0,352000000.0,20641000000.0,9.2718,0.6002,7.35,0.04647557676525122,0.0034529248237969525,0.06708494208494209,0.31370254415027815,67417000000.0,3549000000.0,9.5,9.5,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2019-12-31,896552000000.0,832833000000.0,63115000000.0,18646000000.0,1933000000.0,16327000000.0,-26347000000.0,-1444000000.0,-405000000.0,-3.3900000000000006,-7424000000.0,177000000.0,20579000000.0,9.0023,0.6189,-3.3900000000000006,-0.02287887190049909,-0.0016106148890415726,0.054806998899305424,0.32605561277033984,64807000000.0,4186000000.0,10.11,10.11,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2020-03-31,873712000000.0,812640000000.0,60447000000.0,20149000000.0,,31646000000.0,13464000000.0,-271000000.0,-58000000.0,-0.7,14766000000.0,329000000.0,20149000000.0,6.9225,0.3489,-0.7,-0.004483266332489619,-0.00031017085721610785,-0.02012774806892454,0.3333333333333333,63180000000.0,2983000000.0,7.189999999999999,7.189999999999999,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2020-06-30,915387000000.0,848879000000.0,65897000000.0,20162000000.0,,21149000000.0,25579000000.0,-2680000000.0,57000000.0,-6.8,13479000000.0,383000000.0,20162000000.0,,0.4299,-6.8,-0.04066952972062461,-0.002927723465594333,-0.10477344696821611,0.30596233515941545,58280000000.0,-1337000000.0,-3.540000000000001,-3.540000000000001,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2020-09-30,911589000000.0,844699000000.0,66217000000.0,20169000000.0,,20658000000.0,41004000000.0,-1193000000.0,7000000.0,-3.06,12881000000.0,448000000.0,20169000000.0,,0.4476,-3.06,-0.018016521437093192,-0.0013087038127928266,-0.02909472246610087,0.30458945587991,53700000000.0,-5588000000.0,-13.950000000000001,-13.950000000000001,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2020-12-31,940722000000.0,872512000000.0,67425000000.0,19718000000.0,925000000.0,13701000000.0,-23014000000.0,3770000000.0,-87000000.0,9.56,-32758000000.0,-703000000.0,20643000000.0,,0.5873,9.56,0.05591397849462366,0.0040075601506077245,-0.16381333101590337,0.3061624026696329,57033000000.0,-374000000.0,-1.0,-1.0,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2021-03-31,907280000000.0,848504000000.0,58036000000.0,19730000000.0,,16099000000.0,16952000000.0,2828000000.0,636000000.0,6.98,-3297000000.0,30000000.0,19730000000.0,13.2192,0.6434,6.98,0.048728375491074505,0.0031170090820915263,0.16682397357243983,0.33996140326693775,60521000000.0,2725000000.0,6.680000000000001,6.680000000000001,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2021-06-30,926461000000.0,862777000000.0,63048000000.0,19670000000.0,,15145000000.0,32869000000.0,4986000000.0,1245000000.0,12.39,1062000000.0,45000000.0,19670000000.0,5.5366,0.6776,12.39,0.07908260373049106,0.005381769982762361,0.15169308466944537,0.3119845197309986,67811000000.0,10391000000.0,25.87,25.87,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2021-09-30,932582000000.0,870023000000.0,61887000000.0,18687000000.0,,15605000000.0,54510000000.0,6516000000.0,1504000000.0,16.32,6479000000.0,87000000.0,18687000000.0,5.5361,0.6182,16.32,0.10528867128799263,0.006987053149213688,0.11953769950467805,0.30195356052159583,81317000000.0,18100000000.0,45.25,45.25,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2021-12-31,937582000000.0,874974000000.0,61876000000.0,18622000000.0,,12888000000.0,-33397000000.0,-6606000000.0,-1711000000.0,-16.179999999999996,5568000000.0,42000000.0,18622000000.0,4.6137,0.6167,-16.179999999999996,-0.10676191091861141,-0.007045783728783189,0.1978021978021978,0.3009567522141056,70934000000.0,7724000000.0,19.51,19.51,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2022-03-31,878066000000.0,833388000000.0,43978000000.0,19689000000.0,,14086000000.0,13215000000.0,-31000000.0,-69000000.0,-0.1,1000000.0,18000000.0,19689000000.0,8.0191,0.7257,-0.1,-0.0007048979034972032,-3.530486318796081e-05,-0.002345819144911086,0.4477011232889172,67197000000.0,4865000000.0,12.430000000000005,12.430000000000005,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2022-06-30,695599000000.0,666681000000.0,28235000000.0,19612000000.0,,14359000000.0,26236000000.0,-596000000.0,-58000000.0,-1.62,1502000000.0,188000000.0,19612000000.0,14.9854,0.6257,-1.62,-0.02110855321409598,-0.0008568154928342335,-0.02271687757280073,0.6945989020718966,60564000000.0,-717000000.0,-1.579999999999996,-1.579999999999996,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2022-09-30,677756000000.0,660576000000.0,16502000000.0,19898000000.0,,20104000000.0,46716000000.0,-880000000.0,-206000000.0,-2.41,5780000000.0,62000000.0,19898000000.0,42.1534,0.5719,-2.41,-0.05332686947036723,-0.0012984023748959803,-0.018837229214830036,1.2057932371833717,52770000000.0,-8113000000.0,-20.309999999999995,-20.309999999999995,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2022-12-31,689917000000.0,672709000000.0,16250000000.0,19908000000.0,,17251000000.0,-26117000000.0,69000000.0,-37000000.0,0.20000000000000062,-2125000000.0,-144000000.0,19908000000.0,,0.693,0.20000000000000062,0.0042461538461538465,0.00010001203043264625,-0.0026419573457900983,1.2251076923076922,60050000000.0,-1438000000.0,-3.9299999999999984,-3.9299999999999984,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2023-03-31,709269000000.0,676822000000.0,31385000000.0,20451000000.0,,17425000000.0,17045000000.0,1462000000.0,382000000.0,3.93,1343000000.0,41000000.0,20451000000.0,98.5826,0.5215,3.93,0.046582762466146246,0.0020612771741046064,0.08577295394543855,0.6516170144973713,63880000000.0,55000000.0,0.10000000000000187,0.10000000000000187,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2023-06-30,697304000000.0,667849000000.0,28434000000.0,18876000000.0,,14652000000.0,30543000000.0,1973000000.0,505000000.0,5.31,2567000000.0,46000000.0,18876000000.0,17.6054,0.5331,5.31,0.06938875993528874,0.0028294689260351296,0.06459745277150247,0.6638531335724837,68187000000.0,2624000000.0,7.030000000000001,7.030000000000001,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2023-09-30,681254000000.0,654307000000.0,25814000000.0,18877000000.0,,16892000000.0,38895000000.0,1171000000.0,254000000.0,3.15,5407000000.0,1000000.0,18877000000.0,30.8012,0.7097,3.15,0.04536298132796157,0.0017188889900096,0.030106697518961306,0.7312698535678314,60366000000.0,4675000000.0,12.590000000000002,12.590000000000002,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2023-12-31,721123000000.0,691336000000.0,27820000000.0,18882000000.0,,19419000000.0,-32504000000.0,-2118000000.0,-528000000.0,-5.65,-2807000000.0,,18882000000.0,15.048,0.7449,-5.65,-0.07613227893601725,-0.0029370856289426353,0.0651612109278858,0.6787203450754853,53979000000.0,2488000000.0,6.74,6.74,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2024-03-31,725823000000.0,696409000000.0,27209000000.0,19368000000.0,,18735000000.0,23509000000.0,1138000000.0,289000000.0,3.12,5221000000.0,397000000.0,19368000000.0,19.3125,0.7378,3.12,0.041824396339446505,0.001567875363552822,0.048406993066485174,0.7118232937630931,60443000000.0,2164000000.0,5.930000000000001,5.930000000000001,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2024-06-30,715196000000.0,685091000000.0,28013000000.0,19353000000.0,,17111000000.0,38392000000.0,2336000000.0,553000000.0,6.4,5075000000.0,371000000.0,19353000000.0,14.7995,0.7281,6.4,0.08338985471031307,0.0032662375069211795,0.06084600958533028,0.6908578160139935,68292000000.0,2527000000.0,7.020000000000001,7.020000000000001,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2024-09-30,760294000000.0,727719000000.0,30416000000.0,19076000000.0,,20198000000.0,57882000000.0,2784000000.0,693000000.0,7.64,6180000000.0,330000000.0,19076000000.0,10.542,0.6276,7.64,0.09153077327722252,0.003661741378992863,0.04809785425520887,0.6271699105733824,87279000000.0,4140000000.0,11.510000000000002,11.510000000000002,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2024-12-31,735587000000.0,705461000000.0,27872000000.0,19187000000.0,,18497000000.0,-49378000000.0,-3531000000.0,-1028000000.0,-9.66,-7974000000.0,-715000000.0,19187000000.0,15.5171,0.6418,-9.66,-0.12668628013777267,-0.004800247965230489,0.07150957916481024,0.6883969575200919,70405000000.0,2727000000.0,7.5000000000000036,7.5000000000000036,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2025-03-31,739262000000.0,707040000000.0,29883000000.0,19540000000.0,,16063000000.0,13470000000.0,707000000.0,207000000.0,1.96,-2506000000.0,,19540000000.0,17.2397,0.7059,1.96,0.023658936519091123,0.0009563591798306961,0.05248700816629547,0.6538834789010474,60366000000.0,2296000000.0,6.340000000000002,6.340000000000002,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2025-06-30,758952000000.0,725836000000.0,30582000000.0,18651000000.0,,16638000000.0,27196000000.0,1240000000.0,402000000.0,3.44,-1344000000.0,321000000.0,18651000000.0,23.3193,0.6971,3.44,0.04054672683277745,0.0016338319155888646,0.045594940432416534,0.6098685501275259,49170000000.0,1200000000.0,3.3800000000000012,3.3800000000000012,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2025-09-30,776302000000.0,741487000000.0,32094000000.0,18797000000.0,,17469000000.0,45084000000.0,2671000000.0,784000000.0,7.44,2952000000.0,177000000.0,18797000000.0,13.9696,0.6916,7.44,0.08322427868137347,0.0034406712851441836,0.05924496495430751,0.5856857979684676,36372000000.0,1087000000.0,3.1800000000000024,3.1800000000000024,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2025-12-31,773740000000.0,738159000000.0,32438000000.0,18856000000.0,,19712000000.0,-24976000000.0,-1042000000.0,-340000000.0,-2.8499999999999996,7169000000.0,-370000000.0,18856000000.0,11.0481,0.7073,-2.8499999999999996,-0.03212281891608607,-0.00134670561170419,0.04172005124919923,0.5812935446081756,60774000000.0,3576000000.0,9.990000000000004,9.990000000000004,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
