report_date,total_assets,total_liabilities,total_equity,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2020-12-31,17506222000.0,8950149000.0,8504825000.0,213422000.0,,,,-72116000.0,-160203000.0,-0.14,-1087229900.0,-502616000.0,,,0.0,0.7607,84.8085,9.1326,-0.14,,-0.008479421975172917,-0.004119449644817711,,,,,,,0.0,,196212000.0,,,,353923000.0,0.35,0.35,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2021-03-31,17490419000.0,8858059000.0,8580113000.0,187310000.0,567650434.0,475225000.0,,57367000.0,83406000.0,0.1,568826104.0,240588000.0,,,0.0,,89.1463,9.8248,0.1,,0.006686042479860114,0.0032799099895777224,0.12071545057604292,,,,,,0.0,,203623000.0,,,,352572000.0,0.36000000000000004,0.36000000000000004,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2021-06-30,17484611000.0,8864935000.0,8580039000.0,126168000.0,568718544.0,966858000.0,,117705000.0,164170000.0,0.21,569056182.0,470101000.0,,,0.0,,95.7381,11.1992,0.21,,0.013718469111853687,0.006731919857982542,0.12173969703927567,,,,,,0.0,,228469000.0,,,,345914000.0,0.4,0.4,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2021-09-30,18250566000.0,8727321000.0,9482980000.0,569663000.0,594893674.0,1476390000.0,,186882000.0,243540000.0,0.33,572262198.0,782314000.0,,,0.0,,88.4759,11.7457,0.33,,0.019707096292515644,0.0102397920152175,0.12658037510413914,,,,,,0.0,,289838000.0,,,,330913000.0,0.5,0.5,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2021-12-31,18537846000.0,8699042000.0,9797742000.0,610166000.0,,-921858000.0,,-100529000.0,-168455000.0,-0.19,-1130934961.0,-585343000.0,,,0.0,1.7253,104.2517,13.6496,-0.19,,-0.01026042531023985,-0.005422906199566012,0.10905041774329668,,,,,,0.0,1996615000.0,261425000.0,,,,322661000.0,0.45,0.45,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2022-03-31,18544222000.0,8319090000.0,10182856000.0,467457000.0,,532310000.0,,92615000.0,74389000.0,0.15,607908398.0,235034000.0,,,0.0,,82.3914,11.8997,0.15,,0.009095189011805725,0.0049942780020644706,0.17398696248426668,,,,,,0.0,2053700000.0,296673000.0,,,,313644000.0,0.5,0.5,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2022-06-30,18506984000.0,8224995000.0,10238690000.0,272708000.0,,1089610000.0,,203578000.0,149229000.0,0.33,609775270.0,552057000.0,,,0.0,,62.5298,10.2471,0.33,,0.019883207715049485,0.011000063543579007,0.18683565679463293,,,,,,0.0,2176452000.0,382546000.0,,,,298703000.0,0.62,0.62,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2022-09-30,18678414000.0,8332065000.0,10315126000.0,300312000.0,,1658285000.0,,282757000.0,225683000.0,0.46,610741723.0,903946000.0,,,0.0,,57.787,9.4778,0.46,,0.02741188037838801,0.015138169654018804,0.1705117033561782,,,,,,0.0,2358347000.0,478421000.0,,,,280846000.0,0.75,0.75,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2022-12-31,18536708000.0,8213077000.0,10291342000.0,262870000.0,,-1042084000.0,,-195621000.0,-145209000.0,-0.30999999999999994,-1217312995.0,-667450000.0,,,0.0,0.8087,47.2671,8.0971,-0.30999999999999994,,-0.019008308148733177,-0.010553168340354717,0.18772095147799986,,,,,,0.0,2238121000.0,383329000.0,,,,304092000.0,0.63,0.63,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2023-03-31,18503206000.0,8250703000.0,10219471000.0,325277000.0,,589890000.0,,120242000.0,78047000.0,0.2,612564298.0,317791000.0,,,0.0,,46.4925,8.3236,0.2,,0.011765971056623185,0.006498441405235395,0.20383800369560426,,,,,,0.0,2295701000.0,410956000.0,,,,307750000.0,0.6800000000000002,0.6800000000000002,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2023-06-30,18542255000.0,8259547000.0,10249873000.0,414292000.0,,1190262000.0,,258106000.0,156672000.0,0.42,612941399.0,598741000.0,,,0.0,,48.0733,9.0009,0.42,,0.025181385174235817,0.013919881912960425,0.21684805530210996,,,,,,0.0,2396353000.0,465484000.0,,,,315193000.0,0.77,0.77,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2023-09-30,19466198000.0,9196652000.0,10235798000.0,762638000.0,,1807957000.0,,389924000.0,243408000.0,0.64,613155041.0,1019544000.0,,,0.0,,39.0381,8.0192,0.64,,0.03809414761799715,0.020030824714718305,0.21567105854840574,,,,,,0.0,2546025000.0,572651000.0,,,,332918000.0,0.95,0.95,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2023-12-31,19220967000.0,9030532000.0,10155971000.0,700618000.0,,-1155831000.0,,-248802000.0,-144670000.0,-0.41000000000000003,-1225372030.0,-828988000.0,,,0.0,1.9333,40.1849,8.5819,-0.41000000000000003,,-0.0244981006739779,-0.012944301917796332,0.21525811299402767,,,,,,0.0,2432278000.0,519470000.0,,,,333457000.0,0.8499999999999999,0.8499999999999999,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2024-03-31,19209938000.0,9039849000.0,10134697000.0,738125000.0,,646039000.0,,142350000.0,89845000.0,0.23,613807166.0,265585000.0,,,0.0,,39.6603,8.6318,0.23,,0.01404580719088099,0.007410226935662156,0.22034273472654128,,,,,,0.0,2488427000.0,541578000.0,,,,345255000.0,0.8799999999999999,0.8799999999999999,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2024-09-30,19632848000.0,9681186000.0,9916075000.0,1027199000.0,,1959812000.0,,310807000.0,,0.51,613759171.0,948997000.0,,,0.0,,49.0826,8.3589,0.51,,0.03134375244237261,0.015830968588968854,0.15859021171418483,,,,,,0.0,3257977000.0,594279000.0,,,,,0.97,0.97,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2024-12-31,18700951000.0,8908442000.0,9756764000.0,174491000.0,,2618942000.0,,453917000.0,,0.74,613631617.0,1081805000.0,,,0.0,0.5196,43.1827,7.4782,0.74,,0.04652331449238702,0.02427240197570701,0.17332075318964682,,,,,,0.0,4068962000.0,658272000.0,,,,,1.0699999999999998,1.0699999999999998,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2025-03-31,18578092000.0,8823078000.0,9718431000.0,84387000.0,,674479000.0,,165745000.0,,0.27,613361880.0,300516000.0,,,0.0,,44.7841,8.068,0.27,,0.017054707699216055,0.008921529724365667,0.24573782134061994,,,,,,0.0,5899272000.0,1072819000.0,,,,,1.75,1.75,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2025-06-30,18662005000.0,8956709000.0,9668286000.0,65112000.0,,1355880000.0,,306632000.0,,0.5,613312641.0,682978000.0,,,0.0,,36.9179,7.5156,0.5,,0.03171523887481194,0.016430817588999683,0.22614980676756055,,,,,,0.0,6609113000.0,1237101000.0,,,,,2.02,2.02,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2025-09-30,18782776000.0,9119826000.0,9625944000.0,155370000.0,,2044046000.0,,443370000.0,,0.72,613237288.0,1077580000.0,,,0.0,,30.6631,6.6514,0.72,,0.046059898125316336,0.023605136961650397,0.21690803435930503,,,,,,0.0,6693347000.0,1369664000.0,,,,,2.23,2.23,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2025-12-31,18680290000.0,9112398000.0,9530132000.0,129971000.0,,-1345109000.0,,-327823000.0,,-0.53,-1226734003.0,-854844000.0,,,0.0,0.4168,29.1535,6.28,-0.53,,-0.03439857915923935,-0.017549138691101692,0.24371482162412117,,,,,,0.0,2729296000.0,587924000.0,,,,,0.9599999999999999,0.9599999999999999,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
