report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2014-03-31,6260175000.0,2711757000.0,2836417000.0,,1394727000.0,,1629142000.0,,1127316000.0,-12308000.0,-32448000.0,24492000.0,-2055000.0,,,365697000.0,24523000.0,341174000.0,0.0,,,0.6513,,-12308000.0,-0.02326476794383417,-0.005183241682540823,-0.028783411217440363,-0.010917967987680473,-0.0019660792230249153,-0.008824666045756624,0.3026427372626664,-0.010917967987680473,0.0,0.95605018585067,6682165000.0,-12587000.0,160541000.0,236860000.0,160541000.0,108000000.0,,,0.0,1.4864907407407408,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2014-06-30,6872120000.0,3311346000.0,2872818000.0,,1461784000.0,,2041686000.0,,2793101000.0,43378000.0,-9514000.0,52082000.0,2655000.0,,198282044.0,338470000.0,66388000.0,272082000.0,0.0,,,0.7421,,43378000.0,-0.0065084855218007585,-0.0013844344976513799,-0.0034062498993054674,0.015530408674802666,0.006312171498751477,0.02967469886111765,0.097412159460041,0.015530408674802666,0.0,1.1526473309482188,6872055000.0,-16992000.0,139302000.0,205280000.0,139302000.0,101890000.0,,,0.0,1.367180292472274,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2014-09-30,6047731000.0,2497935000.0,1991933000.0,,1504725000.0,,1358300000.0,,5295109000.0,193982000.0,95649000.0,80195000.0,-482000.0,0.0,206233574.0,-13832000.0,98248000.0,-112080000.0,0.0,,353.9828,0.6972,0.0,193982000.0,0.0635657678313313,0.015815683601006724,0.01806365081436473,0.03663418448987547,0.03207517001004178,0.1289152502949044,-0.021166703083921407,0.03663418448987547,0.0,1.2540256123072413,7301717000.0,39992000.0,142630000.0,-67761000.0,142630000.0,94500000.0,,,0.0,1.5093121693121694,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2014-12-31,5988361000.0,2267691000.0,2010781000.0,,1296954000.0,,1382029000.0,,-2348562000.0,-217888000.0,-144494000.0,-50457000.0,4512000.0,,,-420926000.0,-49572000.0,-470498000.0,0.0,1.1278,,0.763,,-217888000.0,-0.1114102736103208,-0.024129139843105652,0.061524456241734304,0.0927750683184008,-0.036385247983546753,-0.1679997902778356,0.2003345025594385,0.0927750683184008,0.0,1.127766275889816,6866964000.0,-90807000.0,7164000.0,30678000.0,7164000.0,106312000.0,,,0.0,0.06738656031304086,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2015-03-31,6338401000.0,2653113000.0,2506981000.0,,1195948000.0,,1606658000.0,,1120312000.0,-23935000.0,-58279000.0,25363000.0,745000.0,,,342546000.0,29365000.0,313181000.0,0.0,,,0.7411,,-23935000.0,-0.048730379581720946,-0.009194590244448088,-0.05202033005091439,-0.02136458415155778,-0.0037761889788923107,-0.020013411954365908,0.27954801876620083,-0.02136458415155778,0.0,1.0582900309176655,6859960000.0,-116638000.0,-4463000.0,2685000.0,-4463000.0,107183000.0,,,-0.0,-0.04163906589664406,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2015-06-30,6713516000.0,2752748000.0,2727280000.0,,1251396000.0,,1525819000.0,,2886089000.0,18310000.0,-43223000.0,51013000.0,5655000.0,,200463314.0,357154000.0,67344000.0,289810000.0,0.0,,,0.7962,,18310000.0,-0.03453982592240985,-0.006438206150100782,-0.014976322628997235,0.006344225697821515,0.0027273339335156122,0.0146316593628236,0.10041616873214929,0.006344225697821515,0.0,1.0093382417646886,6952948000.0,-150347000.0,-29531000.0,20413000.0,-29531000.0,106114000.0,,,-0.0,-0.2782950411821249,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2015-09-30,6265354000.0,2296595000.0,2131764000.0,,1331438000.0,,1061383000.0,,5509006000.0,171820000.0,45826000.0,76857000.0,19232000.0,0.0,208493651.0,-22576000.0,97506000.0,-120082000.0,0.0,,,0.687,0.0,171820000.0,0.0344184257922637,0.007314191664190084,0.008318379032442513,0.03118892954554778,0.02742382952343954,0.1290484423608159,-0.0217973986595767,0.03118892954554778,0.0,1.0773214108128293,7166845000.0,-200170000.0,-51693000.0,12411000.0,-51693000.0,102776000.0,,,-0.0,-0.5029676188993539,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2015-12-31,6156241000.0,2288315000.0,2101206000.0,,1236953000.0,,1303125000.0,,-2269676000.0,-34823000.0,23168000.0,-50352000.0,-3510000.0,,,-376922000.0,-51724000.0,-428646000.0,0.0,1.089,,0.6862,,-34823000.0,0.018729895153655796,0.003763335450967563,-0.010207624348144845,0.015342718520176449,-0.005656536188235646,-0.028152241839423164,0.1888577929184606,0.015342718520176449,0.0,1.089048384594371,7245731000.0,-32508000.0,131372000.0,54263000.0,131372000.0,102881000.0,,,0.0,1.276931600587086,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2016-03-31,6927174000.0,2966254000.0,2926237000.0,,1184388000.0,,1699281000.0,,1207716000.0,-33290000.0,-44518000.0,25432000.0,6927000.0,,,517398000.0,30681000.0,486717000.0,0.0,,,0.616,,-33290000.0,-0.03758734468772058,-0.006426574530970349,-0.03686131507738574,-0.027564427398494348,-0.004805711535468865,-0.028107343201721056,0.40300617032481145,-0.027564427398494348,0.0,1.0136752422992397,7333135000.0,-18747000.0,122017000.0,227799000.0,122017000.0,102950000.0,,,0.0,1.1852064108790674,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
2016-06-30,7043426000.0,2969952000.0,3023434000.0,,1188507000.0,,1512099000.0,,3386974000.0,40869000.0,-6777000.0,50716000.0,12333000.0,,201796075.0,510975000.0,78880000.0,432095000.0,0.0,,1210.965,0.6156,,40869000.0,-0.005702111977464163,-0.0009621738057587316,-0.002000901099329372,0.012066523097018163,0.005802431941501196,0.034386839959714165,0.12757552907108233,0.012066523097018163,0.0,0.9823108425717247,7834020000.0,17699000.0,144576000.0,370084000.0,144576000.0,102653000.0,,,0.0,1.4083952733967833,1.1886828,175.25,113.2,3.07067,36191.316,72.9705,122.0995,1.4361
