report_date,total_assets,total_liabilities,total_equity,long_term_debt,revenue,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,fcf_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-09-30,,,,,4345500000.0,277000000.0,135400000.0,0.46,606500000.0,,,,0.0,,13.8831,0.7587,0.46,,,0.06374410309515591,,,12557200000.0,547000000.0,,0.9400000000000002,0.9400000000000002,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2012-12-31,,,,,4564100000.0,249100000.0,104400000.0,0.4099999999999999,-1217600000.0,,,,0.0,0.0947,14.1384,0.7474,0.4099999999999999,,,0.05457812054950593,,,17083900000.0,902300000.0,,1.48,1.48,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2013-03-31,,,,,4437200000.0,308600000.0,154500000.0,0.51,604400000.0,,,,0.0,,16.0142,0.8785,0.51,,,0.06954836383304787,,,17459900000.0,953300000.0,,1.57,1.57,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2013-06-30,,,,,9030800000.0,633200000.0,316200000.0,1.0,604000000.0,,,,0.0,,13.253,0.8637,1.0,,,0.07011560437613501,,,22377600000.0,1467900000.0,,2.38,2.38,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2013-09-30,24508900000.0,17716300000.0,6792600000.0,2010600000.0,13552100000.0,865600000.0,428800000.0,1.0,603900000.0,1748000000.0,105600000.0,1642400000.0,2010600000.0,,14.6569,0.9133,1.0,0.12743279451167447,0.03531778251981933,0.06387201983456438,0.12119154964913187,0.29599858669728824,31584200000.0,2056500000.0,,2.92,2.92,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2013-12-31,24408200000.0,18218700000.0,6189500000.0,1860900000.0,-8849200000.0,-642000000.0,-344900000.0,-0.5799999999999998,-1208700000.0,151900000.0,34800000.0,117100000.0,1860900000.0,,13.9416,0.8949,-0.5799999999999998,-0.10372404879230955,-0.02630263599937726,0.07254893097681146,-0.013232834606518104,0.3006543339526618,18170900000.0,1165400000.0,,1.9300000000000004,1.9300000000000004,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2014-03-31,24315400000.0,17876800000.0,6438600000.0,1861300000.0,4707600000.0,321300000.0,160500000.0,0.0,597700000.0,660600000.0,16200000.0,644400000.0,1861300000.0,,12.2176,0.7811,0.0,0.049902152641878667,0.01321384801401581,0.06825133826153454,0.13688503696150905,0.28908458360513156,18441300000.0,1178100000.0,,1.4200000000000002,1.4200000000000002,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2014-06-30,25452700000.0,18663500000.0,6789200000.0,2208000000.0,9449100000.0,614700000.0,304500000.0,1.0,596600000.0,1041200000.0,44700000.0,996500000.0,2208000000.0,,13.0785,0.8076,1.0,0.090540859011371,0.02415067949569201,0.06505381464901419,0.10545977923823432,0.3252224120662228,18859600000.0,1159600000.0,3400400000.0,1.4200000000000002,1.4200000000000002,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2014-09-30,25926000000.0,18990700000.0,6935300000.0,2164300000.0,14215200000.0,910800000.0,450200000.0,1.0,595700000.0,1657500000.0,73600000.0,1583900000.0,2164300000.0,,12.304,0.7914,1.0,0.13132813288538348,0.03513075676926637,0.06407226067871011,0.11142298384827509,0.31207013395238853,19522700000.0,1204800000.0,3341900000.0,1.4200000000000002,1.4200000000000002,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2014-12-31,25787600000.0,18859000000.0,6928600000.0,2164700000.0,-8980500000.0,-565800000.0,-288800000.0,0.0,-1195200000.0,-1633700000.0,-26400000.0,-1660100000.0,2164700000.0,,12.3846,0.8187,0.0,-0.08166151892157146,-0.02194077773813771,0.0630031735426758,0.18485607705584323,0.31242963946540425,19391400000.0,1281000000.0,1564700000.0,2.0,2.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
