report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-09-30,6078800000.0,2484800000.0,775700000.0,3333900000.0,2642300000.0,1462500000.0,16800000.0,281000000.0,,,,282900000.0,147900000.0,73600000.0,1.32,245800000.0,145100000.0,1479300000.0,,19.1732,0.7032,1.32,428000000.0,0.05597396207849222,0.024330459959202473,,,,0.046538790550766596,0.06863839285714286,,0.5598531582333574,3.203300244940054,,171800000.0,312800000.0,,531300000.0,1.4400000000000004,1.4400000000000004,2.7843026538678712,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2012-12-31,6247800000.0,2510600000.0,871500000.0,3660700000.0,2479600000.0,1463000000.0,17100000.0,304600000.0,,,,-282900000.0,-158300000.0,-80000000.0,-1.3900000000000003,140100000.0,-95300000.0,1480100000.0,2.8808,20.5689,0.6981,-1.3900000000000003,-378200000.0,-0.06384094208743346,-0.02533691859534556,,,,-0.045279938538365504,-0.07144480642472914,,0.596910792063236,2.880780263912794,,158400000.0,315400000.0,,509400000.0,1.43,1.43,2.9055751864939143,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2013-03-31,6174300000.0,2446400000.0,813100000.0,3577600000.0,2487100000.0,,17100000.0,138000000.0,,,,28600000.0,10000000.0,3700000.0,0.0,-57400000.0,48500000.0,17100000.0,,30.0775,0.7646,0.0,77100000.0,0.004020747054802782,0.0016196167986654358,,,,0.0046321040441831465,0.011420813034102707,,0.006875477463712758,3.0087320132824993,,112200000.0,240400000.0,,434900000.0,0.9299999999999997,0.9299999999999997,0.039319383766383074,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2013-06-30,6119600000.0,2331800000.0,1186600000.0,3532700000.0,2491200000.0,,420300000.0,74100000.0,,,,50300000.0,14400000.0,4800000.0,0.0,,96900000.0,420300000.0,,47.1271,0.6584,0.0,147200000.0,0.005780346820809248,0.0023530949735276817,,,,0.008219491470030722,0.017276318049115575,,0.16871387283236994,1.9651103994606438,,14000000.0,78900000.0,,274100000.0,-0.07000000000000028,-0.07000000000000028,1.533381977380518,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2013-09-30,6599300000.0,2693500000.0,1168600000.0,4035200000.0,2466700000.0,,419900000.0,535700000.0,,,,31200000.0,-19400000.0,-4400000.0,0.0,227400000.0,143500000.0,419900000.0,,,0.7943,0.0,174700000.0,-0.007864758584343455,-0.0029397057263649174,,,,0.004727774157865228,0.010808563708168779,,0.1702274293590627,2.304894745849735,,-153300000.0,-172800000.0,,20800000.0,-1.3900000000000003,-1.3900000000000003,20.1875,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2013-12-31,6898500000.0,2950800000.0,1211000000.0,3903800000.0,2894200000.0,,419900000.0,1026800000.0,,,,-201400000.0,149000000.0,,1.0,198400000.0,-99000000.0,419900000.0,2.4367,24.9873,0.9517,1.0,-300400000.0,0.05148227489461682,0.021598898311227077,,,,-0.029194752482423716,-0.06077064663106122,,0.14508326998825236,2.4366639141205617,,154000000.0,-91300000.0,,98600000.0,1.0,1.0,4.258620689655173,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2014-03-31,6917500000.0,2895700000.0,1253700000.0,3938200000.0,2866300000.0,,420000000.0,837700000.0,,,,2500000.0,-20000000.0,-10000000.0,0.0,-56900000.0,44000000.0,420000000.0,,33.0004,1.0408,0.0,46500000.0,-0.006977636674458361,-0.0028912179255511385,,,,0.0003614022406938923,0.0007607339561208654,,0.14653037016362558,2.309723219270958,,124000000.0,-117400000.0,,68000000.0,1.0,1.0,6.176470588235294,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2014-06-30,6570900000.0,2513800000.0,903000000.0,3580200000.0,2875700000.0,,17400000.0,355100000.0,,,,26300000.0,-24000000.0,-12900000.0,0.0,-37500000.0,87500000.0,17400000.0,,42.3586,1.226,0.0,113800000.0,-0.008345794067531383,-0.0036524676984887915,,,,0.004002495852927301,0.009090594863641078,,0.006050700698960253,2.7838316722037653,,85600000.0,-141400000.0,,34600000.0,1.0,1.0,0.5028901734104047,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2014-09-30,6503200000.0,2415000000.0,839600000.0,3511500000.0,2871200000.0,,17500000.0,264200000.0,,,,54600000.0,-24700000.0,-12400000.0,0.0,-38200000.0,131600000.0,17500000.0,,27.1255,0.9859,0.0,186200000.0,-0.008602674839788242,-0.0037981301513101244,,,,0.008395866650264485,0.01890123585003635,,0.006095012538311508,2.876369699857075,,80300000.0,-118000000.0,,46100000.0,1.0,1.0,0.3796095444685466,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2014-12-31,6582600000.0,2482100000.0,959900000.0,3861200000.0,2598400000.0,,17800000.0,269500000.0,,,,22700000.0,66100000.0,26600000.0,0.0,188500000.0,-86300000.0,17800000.0,2.5858,,0.8949,0.0,-63600000.0,0.025438731527093597,0.010041624889861149,,,,0.003448485400905417,0.008676706673801698,,0.006850369458128079,2.585790186477758,,-2600000.0,106100000.0,,282900000.0,0.0,0.0,0.06291975963237893,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2015-03-31,6556800000.0,2465600000.0,937000000.0,3836700000.0,2594600000.0,,17900000.0,238000000.0,,,,46400000.0,10000000.0,8000000.0,0.0,12000000.0,45600000.0,17900000.0,,119.6069,0.7514,0.0,92000000.0,0.003854158637169506,0.0015251342118106394,,,,0.007076622742801367,0.017760765550239234,,0.006898943960533415,2.631376734258271,,27400000.0,150000000.0,,328400000.0,0.0,0.0,0.054506699147381245,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2015-06-30,6469300000.0,2383500000.0,888000000.0,3756500000.0,2584300000.0,,18300000.0,250900000.0,,,,51000000.0,-6400000.0,300000.0,0.0,91500000.0,93600000.0,18300000.0,,219.8873,0.7733,0.0,144600000.0,-0.002476492667259993,-0.0009892878673117649,,,,0.007883387692640626,0.019595788826558058,,0.0070812212204465425,2.6841216216216215,,45000000.0,174700000.0,,359200000.0,0.0,0.0,0.05094654788418708,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2015-09-30,6161100000.0,2098600000.0,737100000.0,3643500000.0,2405700000.0,,4000000.0,197500000.0,,,,-40200000.0,-151000000.0,23700000.0,-1.0,108900000.0,141400000.0,4000000.0,,,0.3844,-1.0,101200000.0,-0.06276759363179116,-0.02450861047540212,,,,-0.006524808881530895,-0.016682574594347844,,0.001662717712100428,2.8471035137701803,,-81300000.0,79900000.0,,274200000.0,-1.0,-1.0,0.014587892049598834,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2015-12-31,5751700000.0,1867600000.0,686500000.0,3555200000.0,2082800000.0,,3900000.0,149800000.0,,,,-426600000.0,-230500000.0,-144100000.0,-2.0,-81000000.0,-90700000.0,3900000.0,2.7205,,0.3303,-2.0,-517300000.0,-0.11066833109275975,-0.04007510822887146,,,,-0.07416937601057079,-0.20443762879187233,,0.001872479354714807,2.720466132556446,,-377900000.0,-369400000.0,,-179500000.0,-3.0,-3.0,-0.021727019498607242,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2016-03-31,5719100000.0,1800700000.0,828700000.0,3614600000.0,1995200000.0,,156500000.0,156900000.0,,,-33200000.0,-104800000.0,-101200000.0,-34200000.0,0.0,-61500000.0,44100000.0,156500000.0,,,0.5297,0.0,-60700000.0,-0.05072173215717723,-0.017695091885086816,,,,-0.018324561556888323,-0.04870567458288795,,0.0784382518043304,2.172921443224327,,-489100000.0,-520600000.0,,-332200000.0,-3.0,-3.0,-0.47110174593618304,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2016-06-30,5861000000.0,1952400000.0,605700000.0,3761700000.0,1994400000.0,,6700000.0,322300000.0,,,15000000.0,-116900000.0,-120000000.0,-60100000.0,-1.0,-33600000.0,87800000.0,6700000.0,,,0.4423,-1.0,-29100000.0,-0.06016847172081829,-0.02047432178809077,,,,-0.01994540180856509,-0.05841787017140573,,0.003359406337745688,3.2233779098563646,,-602700000.0,-688500000.0,,-505900000.0,-4.0,-4.0,-0.013243724056137577,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2016-09-30,5192300000.0,1762100000.0,601500000.0,3629600000.0,1471800000.0,,5400000.0,188400000.0,,,65200000.0,-615800000.0,-650800000.0,-64400000.0,-6.0,-111700000.0,130200000.0,5400000.0,,,0.6396,-6.0,-485600000.0,-0.44217964397336595,-0.12533944494732585,,,,-0.11859869422028774,-0.41686975358786893,,0.0036689767631471666,2.9295095594347464,,-1102500000.0,-1264100000.0,,-1092700000.0,-9.0,-9.0,-0.004941887068728837,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2016-12-31,5170000000.0,1766500000.0,708700000.0,3725200000.0,1355200000.0,,105100000.0,229600000.0,,,115500000.0,225100000.0,231100000.0,51800000.0,2.0,163100000.0,-91800000.0,105100000.0,2.4926,,0.5664,2.0,133300000.0,0.17052833530106257,0.04470019342359768,,,,0.04353965183752418,0.15414640827227283,,0.07755312868949232,2.4925920699873005,,-640900000.0,-612400000.0,162500000.0,-442100000.0,-5.0,-5.0,-0.23772902058357837,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2017-03-31,5154400000.0,1762600000.0,795600000.0,3665000000.0,1394200000.0,,172800000.0,159800000.0,,,112800000.0,53300000.0,17500000.0,2000000.0,0.0,-110200000.0,40300000.0,172800000.0,,,0.6027,0.0,93600000.0,0.012552001147611534,0.0033951575353096384,,,,0.01034067980754307,0.03401403956604978,,0.12394204561755846,2.2154348919054803,,-522200000.0,-454300000.0,308500000.0,-287800000.0,-5.0,-5.0,-0.6004169562195969,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2017-06-30,5186300000.0,1800100000.0,701000000.0,3671900000.0,1413500000.0,,67500000.0,154600000.0,,,225100000.0,98900000.0,27600000.0,-100000.0,0.0,-85500000.0,80600000.0,67500000.0,,,0.5588,0.0,179500000.0,0.019525999292536258,0.005321712974567611,,,,0.019069471492200604,0.06677920324105334,,0.047753802617615845,2.5679029957203996,,-374600000.0,-238500000.0,518600000.0,-79200000.0,-4.0,-4.0,-0.8522727272727273,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2017-09-30,5075100000.0,1804100000.0,673600000.0,3627600000.0,1347800000.0,,36400000.0,124900000.0,,,318400000.0,11600000.0,-93600000.0,-2000000.0,0.0,-53800000.0,120700000.0,36400000.0,,,0.7887,0.0,132300000.0,-0.06944650541623386,-0.018442986345096647,,,,0.002285669247896593,0.00838029186533738,,0.02700697432853539,2.678295724465558,,182600000.0,388900000.0,771800000.0,538700000.0,2.0,2.0,0.06757007610915167,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2017-12-31,5185400000.0,1915700000.0,712600000.0,3340900000.0,1739400000.0,,10100000.0,141600000.0,,,-207300000.0,-83500000.0,-43400000.0,-6700000.0,0.0,271900000.0,-80800000.0,10100000.0,2.6883,,0.9148,0.0,-164300000.0,-0.02495113257445096,-0.008369653257222201,,,,-0.016102904308250086,-0.04772792226350386,,0.005806599977003565,2.688324445691833,,-91900000.0,80300000.0,449000000.0,241100000.0,0.0,0.0,0.041891331397760266,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2018-03-31,5350000000.0,2051800000.0,759900000.0,3386700000.0,1846100000.0,,63700000.0,109900000.0,,,148600000.0,81500000.0,58000000.0,5000000.0,0.0,-47100000.0,39800000.0,63700000.0,,,0.8072,0.0,121300000.0,0.031417583012837876,0.010841121495327103,,,,0.015233644859813085,0.04267462561524767,,0.0345051730675478,2.7000921173838663,,-51400000.0,108500000.0,484800000.0,268800000.0,0.0,0.0,0.23697916666666666,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2018-06-30,5393300000.0,2126300000.0,741300000.0,3351400000.0,1925000000.0,,16300000.0,122400000.0,,1988500000.0,322300000.0,192500000.0,130800000.0,9900000.0,0.0,35000000.0,78700000.0,16300000.0,,280.7602,0.8421,0.0,271200000.0,0.06794805194805195,0.024252313055086867,0.06577822479255721,0.16208197133517727,0.09680663816947448,0.03569243320416072,0.09916035646216453,0.13638420920291677,0.008467532467532467,2.8683394037501686,,51800000.0,202100000.0,582000000.0,360500000.0,0.0,0.0,0.04521497919556172,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2018-09-30,5389000000.0,2122400000.0,730600000.0,3305800000.0,1980200000.0,,16600000.0,153500000.0,,3008700000.0,482700000.0,287400000.0,181300000.0,16800000.0,1.0,116600000.0,117100000.0,16600000.0,,20.24,0.9452,1.0,404500000.0,0.09155640844359156,0.03364260530710707,0.06025858344135341,0.16043473925615714,0.09552298334828996,0.053330859157543146,0.14393028846153846,0.13444344733605876,0.008382991617008383,2.9050095811661647,,326700000.0,477900000.0,746300000.0,632700000.0,1.0,1.0,0.026236763078868342,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2018-12-31,5501800000.0,2246700000.0,836900000.0,3510200000.0,1885700000.0,,6600000.0,382000000.0,,-950600000.0,-323300000.0,-199300000.0,-147700000.0,-20700000.0,0.0,288300000.0,-79200000.0,6600000.0,2.6846,12.3028,0.6762,0.0,-278500000.0,-0.07832635095720422,-0.026845759569595406,0.15537555228276878,0.3401009888491479,0.20965705869976856,-0.0362245083427242,-0.10532156634783069,0.2929728592467915,0.003500026515352389,2.6845501254630184,,222400000.0,362100000.0,630300000.0,518500000.0,1.0,1.0,0.012729026036644166,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2019-03-31,5491000000.0,2177900000.0,760000000.0,3444400000.0,1934200000.0,,6400000.0,217000000.0,,1004800000.0,131100000.0,63100000.0,15000000.0,800000.0,0.0,-130000000.0,38700000.0,6400000.0,,18.6282,0.8206,0.0,101800000.0,0.00775514424568297,0.0027317428519395373,0.014928343949044586,0.1304737261146497,0.06279856687898089,0.011491531597158988,0.03251571678862208,0.10131369426751592,0.0033088615448247337,2.865657894736842,5051400000.0,179400000.0,343700000.0,612800000.0,499000000.0,1.0,1.0,0.01282565130260521,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2019-06-30,5549300000.0,2261400000.0,759200000.0,3410700000.0,2026400000.0,,11500000.0,281200000.0,,2085200000.0,308800000.0,173100000.0,90100000.0,6600000.0,0.0,-104400000.0,77600000.0,11500000.0,,17.5561,0.7699,0.0,250700000.0,0.044463087248322146,0.016236282053592344,0.04320928448110493,0.14809131018607327,0.08301361979666219,0.031193123457012598,0.08494037980273811,0.1202282754651832,0.005675088827477299,2.9786617492096945,5148100000.0,138700000.0,324300000.0,599300000.0,478500000.0,1.0,1.0,0.024033437826541274,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2019-09-30,5628900000.0,2422400000.0,763300000.0,3349000000.0,2168000000.0,,12100000.0,511300000.0,,3103900000.0,468500000.0,267600000.0,201100000.0,10300000.0,1.0,-10000000.0,114600000.0,12100000.0,,10.5413,0.6164,1.0,382200000.0,0.09275830258302584,0.03572634084812308,0.06478945842327395,0.15093914108057604,0.08621411772286479,0.04754037200874061,0.12274666299711022,0.12313541029027997,0.005581180811808118,3.1735883663042053,5243300000.0,158500000.0,304500000.0,585100000.0,456200000.0,1.0,1.0,0.0265234546251644,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2019-12-31,5634600000.0,2303000000.0,849200000.0,3441400000.0,2090100000.0,,11500000.0,490800000.0,,-2071400000.0,-270600000.0,-137700000.0,-48600000.0,-46200000.0,0.0,474500000.0,-79800000.0,11500000.0,2.712,10.1123,0.6319,0.0,-217500000.0,-0.02325247595808813,-0.008625279522947503,0.023462392584725305,0.13063628463840882,0.06647677899005504,-0.024438291981684592,-0.06552150742291588,0.10500144829583856,0.005502129084732788,2.711964201601507,4122500000.0,257600000.0,366100000.0,637800000.0,517200000.0,1.0,1.0,0.022235112142304718,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2020-03-31,5807100000.0,2508000000.0,1059200000.0,3614500000.0,2087800000.0,,310700000.0,639000000.0,,955500000.0,134800000.0,68400000.0,21100000.0,10800000.0,0.0,-115400000.0,37300000.0,310700000.0,,4.0816,0.2642,0.0,105700000.0,0.010106332024140243,0.003633483149937146,0.022082679225536368,0.14107796964939823,0.07158555729984302,0.011778684713540322,0.02851782363977486,0.11062271062271062,0.14881693648816938,2.367824773413897,4073200000.0,263700000.0,371400000.0,641500000.0,521100000.0,1.0,1.0,0.5962387257724046,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2020-06-30,5169400000.0,2201600000.0,614400000.0,3327100000.0,1735300000.0,,12800000.0,539100000.0,,1725800000.0,209500000.0,-205000000.0,-401500000.0,103400000.0,-3.0,-14400000.0,72900000.0,12800000.0,,,0.3429,-3.0,-132100000.0,-0.23137209704373884,-0.07766858823074245,-0.23264572951674586,0.12139297717000812,-0.11878549078688144,-0.0396564398189345,-0.11727017905154168,-0.07654421138022946,0.007376246182216332,3.5833333333333335,3713800000.0,-227900000.0,-6700000.0,542200000.0,138300000.0,-2.0,-2.0,0.09255242227042661,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2020-09-30,5063900000.0,2086300000.0,563700000.0,3214100000.0,1733700000.0,,12200000.0,572200000.0,,2323800000.0,247600000.0,-214600000.0,-451600000.0,104200000.0,-3.0,45000000.0,108300000.0,12200000.0,,,0.3308,-3.0,-106300000.0,-0.2604833592893811,-0.08918027607180237,-0.1943368620363198,0.10654961700662707,-0.09234873913417678,-0.04237840399691937,-0.12291654733948107,-0.0457440399345899,0.0070369729480302245,3.7010821358878836,2933700000.0,-880600000.0,-488900000.0,321300000.0,-350200000.0,-6.0,-6.0,-0.034837235865219876,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2020-12-31,4034900000.0,2066000000.0,653300000.0,3393500000.0,521100000.0,,17800000.0,645900000.0,,-2023000000.0,-299100000.0,-951500000.0,-740600000.0,-140700000.0,-6.43,251700000.0,-75200000.0,17800000.0,3.1624,,0.7132,-6.43,-1026700000.0,-1.4212243331414316,-0.183548538997249,0.3660899653979239,0.14784972812654473,0.4703410776075136,-0.23581749237899327,-1.7656336982742624,0.5075135936727633,0.03415851084244867,3.1624062452165926,2982100000.0,-1572600000.0,-1302700000.0,292800000.0,-1159400000.0,-12.43,-12.43,-0.015352768673451785,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2021-03-31,4068500000.0,2093400000.0,689200000.0,3459200000.0,482900000.0,,15700000.0,541700000.0,,692500000.0,85800000.0,31800000.0,-7900000.0,5500000.0,-0.06,-68100000.0,36100000.0,15700000.0,,,0.9852,-0.06,67900000.0,-0.016359494719403605,-0.001941747572815534,-0.011407942238267148,0.12389891696750903,0.04592057761732852,0.00781614845766253,0.06377858002406739,0.09805054151624548,0.032511907227169186,3.0374347069065584,2719100000.0,-1601600000.0,-1339300000.0,243800000.0,-1197200000.0,-12.49,-12.49,-0.013113932509188105,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2021-06-30,3974000000.0,1996500000.0,599100000.0,3367900000.0,473000000.0,,19300000.0,472500000.0,,1308700000.0,128500000.0,20500000.0,-57100000.0,9500000.0,-0.45,-102600000.0,72400000.0,19300000.0,,,1.034,-0.45,92900000.0,-0.12071881606765328,-0.014368394564670357,-0.04363108428211202,0.0981890425613204,0.015664399786047223,0.005158530447911425,0.041641275644931953,0.07098647512798961,0.04080338266384778,3.3324987481221835,2302000000.0,-1257200000.0,-1113800000.0,162800000.0,-972200000.0,-9.94,-9.94,-0.019851882328738944,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2021-09-30,4626500000.0,2689100000.0,1207300000.0,3946300000.0,541400000.0,,606900000.0,1006800000.0,,2034400000.0,211000000.0,50400000.0,-8400000.0,31500000.0,-0.07,-244800000.0,108000000.0,606900000.0,,,0.7859,-0.07,158400000.0,-0.015515330624307351,-0.0018156273640981303,-0.004128981517892253,0.10371608336610302,0.02477388910735352,0.010893764184588782,0.04389096925890447,0.07786079433739677,1.1209826376062062,2.2273668516524476,2012600000.0,-814000000.0,-848800000.0,126200000.0,-707500000.0,-7.01,-7.01,-0.8578091872791519,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2021-12-31,4285200000.0,2306700000.0,856400000.0,3452500000.0,685600000.0,,131300000.0,687700000.0,,-1235800000.0,-92100000.0,14900000.0,35200000.0,-19700000.0,0.2800000000000001,431600000.0,-72600000.0,131300000.0,2.6935,,0.724,0.2800000000000001,-57700000.0,0.051341890315052506,0.008214319051619528,-0.028483573393753035,0.07452662243081405,-0.012056967146787506,0.003477083916736675,0.018239686620149347,0.04669040297782813,0.1915110851808635,2.693484353106025,2799800000.0,-38200000.0,117600000.0,333200000.0,261500000.0,-0.29999999999999993,-0.29999999999999993,0.5021032504780115,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
2022-03-31,4236100000.0,2285700000.0,877200000.0,3440400000.0,658700000.0,,116700000.0,316700000.0,,834100000.0,169400000.0,77000000.0,30900000.0,4900000.0,0.23,-217200000.0,35500000.0,116700000.0,,5584.7133,1.1392,0.23,112500000.0,0.04691058144830727,0.007294445362479639,0.037045917755664785,0.2030931542980458,0.09231507013547537,0.01817709685795897,0.09930358524632447,0.13487591415897374,0.17716714741156825,2.6056771545827635,2941400000.0,600000.0,162800000.0,416800000.0,306100000.0,-0.009999999999999926,-0.009999999999999926,0.38124795818360013,1.0244782,168.1425,39.23,2.39902,20078.926,49.6634,8.7813,4.377
