report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2014-06-30,3404895000.0,1887833000.0,1184539000.0,1857404000.0,1533862000.0,,,437119000.0,3157440000.0,434846000.0,137110000.0,81174000.0,4490000.0,50233000.0,1.0,39640000.0,,,0.0,,19.4802,0.4683,1.0,137110000.0,0.05292131886701672,0.023840382743080184,0.02570880206749772,0.13772106516671734,0.04342441978311543,0.04026849579796146,0.08938874553251858,0.04342441978311543,0.0,1.5937280241511678,,-509746000.0,-412880000.0,,,-412880000.0,,,,-0.0,,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2014-09-30,3434667000.0,1926670000.0,1247130000.0,1908944000.0,1511691000.0,,,437446000.0,4710169000.0,658673000.0,215380000.0,126198000.0,6887000.0,75428000.0,1.0,108994000.0,,,0.0,,15.5641,0.4212,1.0,215380000.0,0.08348134638626545,0.036742426558382515,0.02679266922269668,0.139840629922196,0.04572659707114543,0.06270768024964284,0.14247620710846332,0.04572659707114543,0.0,1.5448830514862124,,251452000.0,343500000.0,,,343500000.0,,,,0.0,,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2014-12-31,3388967000.0,1886603000.0,1283417000.0,1959580000.0,1416013000.0,,,432056000.0,-3042029000.0,-401484000.0,-131986000.0,-79969000.0,-4550000.0,-47651000.0,0.0,122339000.0,,,0.0,1.47,17.0754,0.4484,0.0,-131986000.0,-0.05647476400287286,-0.023596865947647174,0.026288046563658664,0.1319790179515054,0.043387489073904294,-0.03894579085603371,-0.09320959623958254,0.043387489073904294,0.0,1.469984424392072,6424965000.0,168664000.0,289878000.0,907246000.0,,289878000.0,9075000.0,2.0,2.0,0.0,31.942479338842976,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2015-03-31,3315582000.0,1827293000.0,1212878000.0,1882108000.0,1427739000.0,,,368894000.0,1589187000.0,216929000.0,55330000.0,32849000.0,2216000.0,20225000.0,0.0,-17821000.0,,,0.0,,18.2689,0.4556,0.0,55330000.0,0.02300770659063036,0.009907461193841685,0.020670317590063346,0.13650313021689706,0.03481654456020594,0.01668786958066487,0.03875358171206362,0.03481654456020594,0.0,1.5065760942155766,6414767000.0,160252000.0,275834000.0,908964000.0,,275834000.0,9043000.0,2.0,2.0,0.0,30.502488112352097,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2015-06-30,3417786000.0,1937734000.0,1273965000.0,1943499000.0,1470815000.0,,,360849000.0,3241772000.0,456456000.0,133033000.0,79698000.0,4424000.0,48952000.0,1.0,-6066000.0,,,0.0,,17.9213,0.4591,1.0,133033000.0,0.05418628447493397,0.02331860450010621,0.0245847024405171,0.14080447360270865,0.04103712414074771,0.03892373600921766,0.09044849284240371,0.04103712414074771,0.0,1.5210260878438575,6499099000.0,158776000.0,271757000.0,930574000.0,,271757000.0,8977000.0,2.0,2.0,0.0,30.272585496268242,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2015-09-30,3483429000.0,2015146000.0,1309230000.0,1969260000.0,1510312000.0,,,445400000.0,4940900000.0,691858000.0,202999000.0,121220000.0,6650000.0,74672000.0,1.0,95581000.0,,,0.0,,16.9847,0.4175,1.0,202999000.0,0.08026156184947217,0.03479904427505197,0.024533991782873566,0.1400267157805258,0.04108542977999959,0.05827562439194254,0.13440865198713908,0.04108542977999959,0.0,1.5391841005782025,6729830000.0,153798000.0,259376000.0,963759000.0,,259376000.0,8740000.0,2.0,2.0,0.0,29.67688787185355,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2015-12-31,3546470000.0,2067419000.0,1413728000.0,2066414000.0,1476711000.0,,,486831000.0,-3053133000.0,-420764000.0,-104280000.0,-61481000.0,-4358000.0,-37593000.0,0.0,194972000.0,,,0.0,1.4628,17.4986,0.4485,0.0,-104280000.0,-0.04163373876134193,-0.01733582971236187,0.020137019907092157,0.13781384564642288,0.03415507938894244,-0.02940388611774525,-0.07061639007226193,0.03415507938894244,0.0,1.4623880972860408,6718726000.0,172286000.0,287082000.0,944479000.0,,287082000.0,8932000.0,2.0,2.0,0.0,32.140841916703984,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2016-03-31,3449659000.0,1980927000.0,1319752000.0,1965209000.0,1481699000.0,,,392364000.0,1744970000.0,223108000.0,55615000.0,34348000.0,2376000.0,18969000.0,0.0,-37161000.0,,,0.0,,16.9721,0.4288,0.0,55615000.0,0.023181496376794477,0.009956926177341006,0.01968400602875694,0.12785778552066798,0.03187160810787578,0.016121883351368934,0.03753461398030234,0.03187160810787578,0.0,1.5009842758336416,6874509000.0,173785000.0,287367000.0,950658000.0,,287367000.0,9092000.0,2.0,2.0,0.0,31.606577210734713,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2016-06-30,3800366000.0,2141908000.0,1392661000.0,2263867000.0,1535223000.0,,,443019000.0,3678386000.0,497849000.0,147904000.0,89728000.0,5494000.0,51880000.0,1.0,47785000.0,,,0.0,,16.4021,0.4179,1.0,147904000.0,0.05844623224117929,0.023610357528722235,0.02439330728205251,0.13534441464272645,0.04020893946421066,0.038918356810896636,0.09634040136188685,0.04020893946421066,0.0,1.537996684045866,7311123000.0,183815000.0,302238000.0,992051000.0,,302238000.0,10162000.0,2.0,2.0,0.0,29.741979925211574,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2016-09-30,3894953000.0,2247116000.0,1446836000.0,2311061000.0,1582590000.0,,,504558000.0,5601560000.0,765893000.0,233968000.0,141259000.0,8973000.0,82663000.0,2.0,128924000.0,,,0.0,,18.8502,0.4912,2.0,233968000.0,0.0892581148623459,0.036267189873664715,0.025217796470983083,0.13672851848413656,0.041768364527024614,0.06006953100589404,0.14783866952274435,0.041768364527024614,0.0,1.553124196522619,7971783000.0,203854000.0,333207000.0,1066086000.0,,333207000.0,12485000.0,3.0,3.0,0.0,26.68858630356428,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2016-12-31,3894170000.0,2210847000.0,1511774000.0,2356228000.0,1537089000.0,,,464617000.0,-3473392000.0,-448988000.0,-129029000.0,-83400000.0,-4216000.0,-42313000.0,-1.0,125013000.0,,,0.0,1.4348,23.6185,0.5689,-1.0,-129029000.0,-0.05425840663748163,-0.02141663050149326,0.024011110752831813,0.12926499514019724,0.0371478370422918,-0.03313388989181263,-0.08394374040800501,0.0371478370422918,0.0,1.4624189859066237,7551524000.0,181935000.0,308458000.0,1037862000.0,,308458000.0,12627000.0,2.0,2.0,0.0,24.428446978696446,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2017-03-31,3805162000.0,2041792000.0,1472860000.0,2271021000.0,1533318000.0,,,302754000.0,1891732000.0,266340000.0,82774000.0,52640000.0,3071000.0,26846000.0,0.0,-5170000.0,,,0.0,,18.7593,0.4879,0.0,82774000.0,0.0343307780903896,0.013833839400267322,0.027826351724240007,0.14079161318833747,0.04375566940771737,0.021753081734759257,0.05398358331409401,0.04375566940771737,0.0,1.3862770392297978,7698286000.0,200227000.0,335617000.0,1081094000.0,,335617000.0,13322000.0,2.0,2.0,0.0,25.19268878546765,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2017-06-30,3847574000.0,2099836000.0,1468857000.0,2268645000.0,1578076000.0,,,385396000.0,3787669000.0,540841000.0,175595000.0,109398000.0,6140000.0,59900000.0,1.0,102889000.0,,,0.0,,19.2096,0.5055,1.0,175595000.0,0.06932365741573916,0.02843298140594567,0.028882671637885993,0.14278993227760925,0.04635964758272172,0.045637848680753115,0.11127157373916086,0.04635964758272172,0.0,1.429571428668686,7807569000.0,219897000.0,363308000.0,1124086000.0,,363308000.0,13968000.0,2.0,2.0,0.0,26.010022909507445,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
2017-09-30,3966321000.0,2231972000.0,1552279000.0,2348456000.0,1617012000.0,,,480496000.0,5674360000.0,835911000.0,282054000.0,173995000.0,9464000.0,98500000.0,2.0,238284000.0,,,0.0,,19.4074,0.5465,2.0,282054000.0,0.10760278835283844,0.04386810850659843,0.030663369965952106,0.14731370586286383,0.049706751069724164,0.07111224734457952,0.17442913225133766,0.049706751069724164,0.0,1.4378678059807548,7880369000.0,252633000.0,411394000.0,1194104000.0,,411394000.0,14459000.0,2.0,2.0,0.0,28.452451760149387,1.1363065,835.0,320.885,0.38013,33680.004,26.461,7.4545,1.9828
