report_date,total_assets,total_liabilities,total_equity,cash,revenue,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,roe,roa,net_margin,debt_equity,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2012-12-31,9311209000.0,5894958000.0,3077529000.0,65793000.0,-378051000.0,69029000.0,-81505000.0,-2625000.0,0.5,-263923000.0,-135702000.0,-149535000.0,0.0,0.1543,10.8037,25.5362,0.5,0.022430007970680375,0.007413537812329204,-0.18259176671930508,0.0,881323000.0,337426000.0,176778000.0,2.51,2.51,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2013-03-31,9762684000.0,6406093000.0,3017020000.0,68814000.0,262782000.0,18092000.0,53696000.0,-243000.0,0.13,137616000.0,107543000.0,95465000.0,0.0,,10.5237,23.9887,0.13,0.005996645696747121,0.001853178900392556,0.06884794240092548,0.0,929376000.0,369586000.0,186455000.0,2.75,2.75,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2013-06-30,9549889000.0,5872120000.0,3334907000.0,46943000.0,511177000.0,237089000.0,108139000.0,-1721000.0,1.0,138581000.0,182787000.0,191431000.0,0.0,,9.2707,18.2868,1.0,0.07109313693005533,0.02482636185614304,0.4638099914511021,0.0,1026068000.0,487389000.0,208773000.0,2.8499999999999996,2.8499999999999996,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2013-09-30,9205527000.0,5550757000.0,3296619000.0,62108000.0,772907000.0,275212000.0,158719000.0,-2263000.0,1.0,139320000.0,328856000.0,285933000.0,0.0,,8.3319,17.65,1.0,0.0834831079964048,0.0298963872464879,0.35607388728527495,0.0,1168815000.0,599422000.0,239049000.0,2.63,2.63,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2013-12-31,9075250000.0,5356533000.0,3358749000.0,69715000.0,-517391000.0,-110303000.0,-123307000.0,2535000.0,0.8700000000000001,-275837000.0,-197151000.0,-189827000.0,0.0,0.4545,8.2434,19.701,0.8700000000000001,-0.032840501031782966,-0.012154265722707364,0.21319079767525914,0.0,1029475000.0,420090000.0,197247000.0,3.0,3.0,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2014-03-31,9008391000.0,5345271000.0,3303836000.0,64926000.0,264512000.0,17819000.0,46338000.0,-172000.0,0.0,140817000.0,97911000.0,90569000.0,0.0,,8.5513,20.8833,0.0,0.0053934275187993595,0.0019780446918878187,0.06736556375514155,0.0,1031205000.0,419817000.0,189889000.0,2.87,2.87,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2014-06-30,9062263000.0,5471585000.0,3237625000.0,56500000.0,518845000.0,33907000.0,92138000.0,-3070000.0,0.0,140929000.0,190572000.0,180374000.0,0.0,,9.7647,46.532,0.0,0.010472800277981545,0.0037415599172083177,0.06535092368626469,0.0,1038873000.0,216635000.0,173888000.0,1.87,1.87,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2014-09-30,9206108000.0,5667055000.0,3190820000.0,58479000.0,782338000.0,69821000.0,139941000.0,-3759000.0,0.0,140975000.0,296906000.0,273765000.0,0.0,,9.2907,44.9561,0.0,0.02188183601707398,0.007584203878555411,0.08924659162663708,0.0,1048304000.0,11244000.0,155110000.0,0.8700000000000001,0.8700000000000001,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2014-12-31,13121778000.0,7081929000.0,5640120000.0,84907000.0,-460448000.0,1377495000.0,-87728000.0,2732000.0,10.0,-279430000.0,-184683000.0,-156923000.0,0.0,0.4342,11.9203,8.7887,10.0,0.2442315057126444,0.10497777054298586,-2.9916407498783792,0.0,1105247000.0,1499042000.0,190689000.0,10.0,10.0,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2015-03-31,13196667000.0,7223102000.0,5576537000.0,118161000.0,318335000.0,24611000.0,53286000.0,-935000.0,0.0,158544000.0,162130000.0,122418000.0,0.0,,11.5321,8.8761,0.0,0.004413312419517704,0.0018649405944698007,0.07731163711184758,0.0,1159070000.0,1505834000.0,197637000.0,10.0,10.0,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2015-06-30,13360376000.0,7475729000.0,5493328000.0,110326000.0,641129000.0,39006000.0,108182000.0,-1218000.0,0.0,158587000.0,272879000.0,243526000.0,0.0,,9.6182,7.8495,0.0,0.007100613689916204,0.0029195286120690016,0.06083955023092077,0.0,1281354000.0,1510933000.0,213681000.0,10.0,10.0,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2015-09-30,13350181000.0,7535965000.0,5427976000.0,93009000.0,967391000.0,72603000.0,163138000.0,-2077000.0,0.0,158603000.0,413651000.0,362681000.0,0.0,,9.4259,8.0984,0.0,0.013375703945632774,0.005438353232813847,0.07505031574616675,0.0,1466407000.0,1513715000.0,236878000.0,10.0,10.0,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2015-12-31,11258576000.0,6187337000.0,4715414000.0,86510000.0,-638706000.0,351342000.0,-112663000.0,1007000.0,3.0,-317674000.0,-308283000.0,-257305000.0,0.0,0.3693,9.9173,26.2008,3.0,0.07450925835992343,0.03120661085380602,-0.5500840762416511,0.0,1288149000.0,487562000.0,211943000.0,3.0,3.0,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2016-03-31,10211345000.0,5181475000.0,4667011000.0,106505000.0,256000000.0,420915000.0,39776000.0,1317000.0,2.0,152103000.0,107841000.0,88176000.0,0.0,,9.6524,13.3871,2.0,0.0901894167380364,0.04122032895764466,1.64419921875,0.0,1225814000.0,883866000.0,198433000.0,5.0,5.0,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2016-06-30,9997679000.0,5420578000.0,4236172000.0,73138000.0,515904000.0,466137000.0,80971000.0,1831000.0,3.0,149459000.0,207681000.0,175090000.0,0.0,,11.4179,14.5173,3.0,0.11003731670951983,0.046624521551452094,0.9035343784890212,0.0,1100589000.0,1310997000.0,171222000.0,8.0,8.0,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2016-09-30,9941765000.0,5451257000.0,4163202000.0,84181000.0,769271000.0,479867000.0,120954000.0,2736000.0,3.0,147630000.0,319059000.0,263514000.0,0.0,,10.655,12.9806,3.0,0.11526392425829926,0.04826778746027491,0.6237944755489288,0.0,902469000.0,1718261000.0,129038000.0,11.0,11.0,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2016-12-31,9958148000.0,5530980000.0,4105887000.0,94046000.0,-499904000.0,-849924000.0,-78026000.0,-5162000.0,-5.0,-302481000.0,-217075000.0,-171422000.0,0.0,0.7002,9.797,19.7361,-5.0,-0.2070013129927833,-0.08534960516754722,1.7001744334912303,0.0,1041271000.0,516995000.0,163675000.0,3.0,3.0,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2017-03-31,9712064000.0,5438167000.0,3957453000.0,92296000.0,247045000.0,69243000.0,41301000.0,-3484000.0,0.0,143655000.0,102704000.0,84551000.0,0.0,,8.8825,55.5048,0.0,0.01749685972265495,0.007129586460715251,0.2802849683256087,0.0,1032316000.0,165323000.0,165200000.0,1.0,1.0,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2017-06-30,9682206000.0,5521531000.0,3859556000.0,87133000.0,494468000.0,95881000.0,83622000.0,-3047000.0,0.0,142687000.0,190227000.0,169216000.0,0.0,,8.0719,56.1508,0.0,0.024842494836193593,0.009902805207821441,0.1939073913782085,0.0,1010880000.0,-204933000.0,167851000.0,-2.0,-2.0,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2017-09-30,9606911000.0,5569817000.0,3746321000.0,71088000.0,736919000.0,113379000.0,126887000.0,-178000.0,0.0,142223000.0,299850000.0,253793000.0,0.0,,7.7232,51.8081,0.0,0.03026409109096631,0.011801816421532375,0.15385544408544222,0.0,978528000.0,-571421000.0,173784000.0,-5.0,-5.0,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2017-12-31,9605862000.0,5637863000.0,3681578000.0,91038000.0,-484770000.0,-132373000.0,-80034000.0,22303000.0,1.0,-286652000.0,-206392000.0,-166285000.0,0.0,0.7448,9.4373,64.1812,1.0,-0.03595550603572707,-0.013780439485805646,0.273063514656435,0.0,993662000.0,146130000.0,171776000.0,1.0,1.0,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2018-03-31,9157273000.0,5748688000.0,3157760000.0,118175000.0,236734000.0,-33573000.0,52635000.0,-2949000.0,0.0,141050000.0,94968000.0,81524000.0,0.0,,7.9343,180.1801,0.0,-0.010631903627888123,-0.0036662661471379087,-0.14181739843030575,0.0,983351000.0,43314000.0,183110000.0,1.0,1.0,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2018-06-30,9115217000.0,5800042000.0,3070510000.0,92452000.0,471279000.0,-25757000.0,91550000.0,-2265000.0,0.0,141081000.0,164850000.0,162418000.0,0.0,,8.1887,324.3404,0.0,-0.008388508749360856,-0.0028257144070185053,-0.05465340063953624,0.0,960162000.0,-78324000.0,191038000.0,1.0,1.0,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2018-09-30,9010730000.0,5722801000.0,3044448000.0,93479000.0,713477000.0,48271000.0,136477000.0,-1799000.0,0.0,141125000.0,247161000.0,246038000.0,0.0,,7.9286,94.9569,0.0,0.015855419438926203,0.005357057641278786,0.06765600012333965,0.0,936720000.0,-143432000.0,200628000.0,1.0,1.0,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2018-12-31,9026808000.0,5838376000.0,2950232000.0,102711000.0,-461139000.0,71079000.0,-97700000.0,3409000.0,0.0,-282112000.0,-162668000.0,-155298000.0,0.0,1.0065,6.3571,101.9145,0.0,0.02409268152470721,0.00787421201381485,-0.1541379063579528,0.0,960351000.0,60020000.0,182962000.0,0.0,0.0,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2019-03-31,9002921000.0,5917652000.0,2854713000.0,111022000.0,226522000.0,7824000.0,38357000.0,346000.0,0.05,141262000.0,98840000.0,83233000.0,0.0,,6.4051,60.0736,0.05,0.0027407308545552567,0.000869051277913024,0.034539691508992505,0.0,950139000.0,101417000.0,168684000.0,0.05,0.05,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2019-06-30,8944099000.0,5974729000.0,2764144000.0,104880000.0,454494000.0,23558000.0,75466000.0,1025000.0,0.16,141303000.0,165078000.0,167371000.0,0.0,,4.8556,41.9577,0.16,0.008522710828379418,0.0026339153893533604,0.051833467548526496,0.0,933354000.0,150732000.0,152600000.0,0.21000000000000002,0.21000000000000002,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2019-09-30,8775973000.0,5868204000.0,2707211000.0,98309000.0,685621000.0,69929000.0,90265000.0,1703000.0,0.49,141325000.0,271977000.0,251946000.0,0.0,,4.7856,54.6884,0.49,0.025830642679865,0.007968233265986575,0.10199366705512229,0.0,905498000.0,172390000.0,106388000.0,0.7,0.7,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2019-12-31,8853571000.0,6022601000.0,2632262000.0,100005000.0,-439175000.0,-4491000.0,-65834000.0,-1485000.0,-0.019999999999999907,-282550000.0,-180738000.0,-164883000.0,0.0,0.6579,4.4117,42.2663,-0.019999999999999907,-0.0017061371550400378,-0.0005072529491207559,0.010225991916661924,0.0,927462000.0,96820000.0,138254000.0,0.6800000000000002,0.6800000000000002,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2020-03-31,9299648000.0,6575288000.0,2533991000.0,652354000.0,226952000.0,7522000.0,8074000.0,-266000.0,0.05,141437000.0,49700000.0,83827000.0,0.0,,0.8573,8.2435,0.05,0.002968439903693423,0.0008088478187561508,0.03314357220910148,0.0,927892000.0,96518000.0,107971000.0,0.68,0.68,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2020-06-30,9228348000.0,6539789000.0,2502397000.0,497581000.0,405539000.0,-17594000.0,28108000.0,-1790000.0,0.0,142769000.0,-15382000.0,165751000.0,0.0,,1.6321,25.7413,0.0,-0.0070308588125705075,-0.001906516746009145,-0.04338423678117271,0.0,878937000.0,55366000.0,60613000.0,0.52,0.52,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2020-09-30,9183288000.0,6534751000.0,2464328000.0,528431000.0,591383000.0,-39785000.0,65292000.0,-684000.0,0.0,145071000.0,65127000.0,246500000.0,0.0,,1.309,,0.0,-0.01614436065328966,-0.004332326286619782,-0.06727450738353993,0.0,784699000.0,-54348000.0,35640000.0,0.030000000000000096,0.030000000000000096,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2020-12-31,9184005000.0,6738745000.0,2257049000.0,465297000.0,-437848000.0,-180346000.0,-25924000.0,2293000.0,-1.6300000000000001,-283045000.0,25392000.0,-170020000.0,0.0,1.9081,2.1806,,-1.6300000000000001,-0.07990344914975261,-0.01963696666105909,0.41189179806690907,0.0,786026000.0,-230203000.0,75550000.0,-1.58,-1.58,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2021-03-31,9669584000.0,6672279000.0,2833896000.0,1083813000.0,190424000.0,-63604000.0,53896000.0,2238000.0,-0.4,158580000.0,52219000.0,80812000.0,0.0,,2.9692,,-0.4,-0.02244401347120713,-0.006577739021658016,-0.3340125194303239,0.0,749498000.0,-301329000.0,121372000.0,-2.0300000000000002,-2.0300000000000002,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2021-06-30,8643452000.0,5516506000.0,2968494000.0,194028000.0,405897000.0,-75369000.0,108810000.0,9345000.0,-0.42,182299000.0,113027000.0,162603000.0,0.0,,5.0452,,-0.42,-0.025389642020499283,-0.008719780013818554,-0.1856850383225301,0.0,749856000.0,-359104000.0,202074000.0,-2.45,-2.45,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2021-09-30,8412226000.0,5177435000.0,3074734000.0,117596000.0,618034000.0,31333000.0,149146000.0,9452000.0,0.16,192717000.0,211633000.0,241450000.0,0.0,,4.3802,,0.16,0.010190475013448318,0.0037246978385982498,0.05069785804664468,0.0,776507000.0,-287986000.0,285928000.0,-2.29,-2.29,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2021-12-31,8345655000.0,5169506000.0,3046867000.0,112454000.0,-366918000.0,121903000.0,-119173000.0,-14087000.0,0.73,-335526000.0,-90511000.0,-160462000.0,0.0,1.0189,4.3442,259.2458,0.73,0.04000929479363556,0.014606762441054657,-0.33223499528505007,0.0,847437000.0,14263000.0,192679000.0,0.06999999999999995,0.06999999999999995,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2022-03-31,8209680000.0,5106176000.0,2982638000.0,128244000.0,216144000.0,-37182000.0,51861000.0,1799000.0,-0.17,214819000.0,65444000.0,75673000.0,0.0,,3.8445,82.6749,-0.17,-0.01246614574078383,-0.004529043762972491,-0.17202420608483232,0.0,873157000.0,40685000.0,190644000.0,0.29999999999999993,0.29999999999999993,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2022-06-30,8114386000.0,5057993000.0,2941474000.0,106384000.0,420235000.0,-52566000.0,105050000.0,1129000.0,-0.25,214905000.0,115422000.0,150759000.0,0.0,,2.2616,52.6705,-0.25,-0.017870632206845954,-0.006478124161211951,-0.12508715361642891,0.0,887495000.0,63488000.0,186884000.0,0.47,0.47,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2022-09-30,8068810000.0,5090665000.0,2899231000.0,109991000.0,630939000.0,-67757000.0,157680000.0,963000.0,-0.32,214982000.0,284988000.0,226136000.0,0.0,,1.9822,,-0.32,-0.023370680018253116,-0.008397396889999888,-0.10739073032416763,0.0,900400000.0,-35602000.0,195418000.0,-0.010000000000000009,-0.010000000000000009,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2022-12-31,8094139000.0,5144790000.0,2865773000.0,100320000.0,-408154000.0,91437000.0,-97740000.0,-3186000.0,0.43,-429675000.0,-128344000.0,-150088000.0,0.0,0.7034,2.8151,,0.43,0.031906574596103736,0.0112966925821264,-0.2240257353841932,0.0,859164000.0,-66068000.0,216851000.0,-0.31,-0.31,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2023-03-31,7917511000.0,5062097000.0,2775892000.0,112173000.0,214854000.0,-58733000.0,39423000.0,-1882000.0,-0.27,215291000.0,80730000.0,75035000.0,0.0,,2.772,,-0.27,-0.021158243908624686,-0.007418114101767588,-0.2733623763113556,0.0,857874000.0,-87619000.0,204413000.0,-0.41000000000000003,-0.41000000000000003,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2023-06-30,7894586000.0,5085549000.0,2731396000.0,92465000.0,427228000.0,-73697000.0,,-1511000.0,-0.34,215375000.0,138721000.0,149336000.0,0.0,,2.8044,,-0.34,-0.026981440992078776,-0.00933513169658295,-0.1725003979139944,0.0,864867000.0,-108750000.0,,-0.5,-0.5,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2023-09-30,7588105000.0,5089733000.0,2432442000.0,111802000.0,645380000.0,-336244000.0,,161000.0,-1.56,215461000.0,246119000.0,223735000.0,0.0,,2.6658,,-1.56,-0.13823310072758158,-0.04431198566704072,-0.5210015804642226,0.0,879308000.0,-377237000.0,,-1.74,-1.74,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2023-12-31,7513512000.0,4985911000.0,2447020000.0,94936000.0,-403394000.0,194609000.0,,2738000.0,0.8899999999999999,-430579000.0,-170068000.0,-151712000.0,0.0,0.6669,3.7598,,0.8899999999999999,0.07952897810397953,0.02590120305923515,-0.48242908917832195,0.0,884068000.0,-274065000.0,,-1.28,-1.28,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2024-03-31,7363073000.0,5002458000.0,2287138000.0,120054000.0,208783000.0,-126728000.0,,-1224000.0,-0.59,216036000.0,61095000.0,71382000.0,0.0,,4.3252,,-0.59,-0.05540898712714318,-0.01721129207872854,-0.6069842851189992,0.0,877997000.0,-342060000.0,,-1.6,-1.6,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2024-06-30,7777706000.0,5188966000.0,2505434000.0,70692000.0,424304000.0,125279000.0,,-966000.0,0.58,216108000.0,128526000.0,145789000.0,0.0,,3.5869,,0.58,0.05000291366685373,0.016107448648740388,0.29525764546174443,0.0,875073000.0,-143084000.0,,-0.6800000000000002,-0.6800000000000002,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2024-09-30,7590463000.0,5001347000.0,2511650000.0,116475000.0,644528000.0,17090000.0,,-421000.0,0.08,216884000.0,228573000.0,221716000.0,0.0,,4.4606,,0.08,0.00680429199928334,0.002251509558771316,0.026515527641933323,0.0,874221000.0,210250000.0,,0.9599999999999999,0.9599999999999999,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2024-12-31,8567039000.0,5724614000.0,2756487000.0,89858000.0,-359411000.0,-209761000.0,,1311000.0,-0.95,-427183000.0,-134749000.0,-133012000.0,0.0,0.5407,5.6829,,-0.95,-0.07609722084667912,-0.024484655666911288,0.5836243186769464,0.0,918204000.0,-194120000.0,,-0.88,-0.88,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2025-03-31,8680059000.0,5936136000.0,2663572000.0,253248000.0,249224000.0,-50123000.0,,-822000.0,-0.2,252992000.0,88491000.0,95219000.0,0.0,,4.5251,,-0.2,-0.018817963246347387,-0.005774499919873817,-0.2011162648862068,0.0,958645000.0,-117515000.0,,-0.49000000000000005,-0.49000000000000005,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2025-06-30,8729251000.0,6066436000.0,2585322000.0,131092000.0,499017000.0,-91029000.0,,-1010000.0,-0.36,253039000.0,159010000.0,186418000.0,0.0,,4.117,,-0.36,-0.03520992742876903,-0.01042804245175216,-0.18241663109673617,0.0,1033358000.0,-333823000.0,,-1.4300000000000002,-1.4300000000000002,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2025-09-30,8423928000.0,5842380000.0,2511004000.0,290162000.0,752279000.0,-178389000.0,,-1720000.0,-0.71,253407000.0,271400000.0,280406000.0,0.0,,4.5466,,-0.71,-0.07104289758200305,-0.021176463046692708,-0.2371314366079606,0.0,1141109000.0,-529302000.0,,-2.2199999999999998,-2.2199999999999998,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
2025-12-31,8368685000.0,5841615000.0,2448871000.0,280246000.0,-486537000.0,122392000.0,,1359000.0,0.49,-505222000.0,-197297000.0,-193940000.0,0.0,0.8316,4.6931,,0.49,0.04997894948325167,0.014624997834187808,-0.2515574355085019,0.0,1013983000.0,-197149000.0,,-0.7799999999999999,-0.7799999999999999,2.173858,20.93,12.48,2.1522,5012.78,1.9432,4.9437
