report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-12-31,2221500000.0,1291900000.0,347400000.0,2221500000.0,1479300000.0,,310900000.0,-889900000.0,-631300000.0,,-106900000.0,4400000.0,-32000000.0,-0.8999999999999999,-236300000.0,41000000.0,-1400000.0,-26500000.0,39600000.0,0.0,3.7188,35.4932,5.4783,-0.8999999999999999,,-0.07226390860542148,-0.04812063920774252,0.12012585683784695,0.7094055511855265,,,,-0.04449938195302843,,0.0,3.718767990788716,1899600000.0,293200000.0,,1405000000.0,250300000.0,,,2.4800000000000004,2.4800000000000004,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2013-03-31,2296600000.0,1360700000.0,,,1592000000.0,,401500000.0,496700000.0,374500000.0,,144900000.0,,47200000.0,1.0,116500000.0,,23000000.0,15300000.0,,0.0,,25.115,4.8231,1.0,,0.0910175879396985,0.06309326830967517,0.291725387557882,0.753976243205154,,,,,,0.0,,1937100000.0,373000000.0,,1447600000.0,,,,2.93,2.93,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2013-06-30,2339700000.0,1390600000.0,,,1579800000.0,,372700000.0,1013900000.0,766700000.0,,239000000.0,,74900000.0,2.0,115600000.0,,51400000.0,31400000.0,,0.0,,19.0571,3.8408,2.0,,0.15128497278136474,0.10214984827114587,0.2357234441266397,0.7561889732715258,,,,,,0.0,,2009800000.0,479100000.0,,1530200000.0,,,,3.81,3.81,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2013-09-30,2530600000.0,1570400000.0,,,1437400000.0,,471000000.0,1509500000.0,1132600000.0,,315900000.0,,97900000.0,2.0,114700000.0,,88900000.0,49900000.0,,0.0,,19.2978,3.8701,2.0,,0.21977181021288436,0.1248320556389789,0.20927459423650216,0.7503146737330242,,,,,,0.0,,2130200000.0,592900000.0,,1642500000.0,,,,4.1,4.1,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2013-12-31,2724700000.0,1725800000.0,345600000.0,,1559200000.0,593100000.0,420400000.0,-974600000.0,-750700000.0,,-308100000.0,9800000.0,-96400000.0,-2.0,-233000000.0,,-54300000.0,-27900000.0,,593100000.0,4.9936,18.4903,3.5173,-2.0,,-0.19760133401744484,-0.11307666899108158,0.3161296942335317,0.770264723989329,,,,,,0.38038737814263723,4.9936342592592595,2045500000.0,391700000.0,,1523100000.0,,,,3.0000000000000004,3.0000000000000004,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2014-03-31,2651700000.0,1603300000.0,,,1340800000.0,725400000.0,295700000.0,522400000.0,376500000.0,,60300000.0,,17000000.0,0.0,108500000.0,,14300000.0,16200000.0,,725400000.0,,25.523,3.7646,0.0,,0.04497315035799523,0.022740128973865823,0.11542879019908116,0.7207120980091883,,,,,,0.5410202863961814,,2071200000.0,307100000.0,,1525100000.0,,,,2.0,2.0,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2014-06-30,3326600000.0,2278100000.0,,,1914900000.0,598000000.0,498600000.0,1097500000.0,800400000.0,,607300000.0,,283200000.0,5.0,107900000.0,,30300000.0,32300000.0,,598000000.0,,11.9278,4.2532,5.0,,0.3171444984072275,0.18255876871279986,0.5533485193621868,0.7292938496583143,,,,,,0.3122878479293958,,2154800000.0,675400000.0,,1558800000.0,,,,5.0,5.0,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2014-09-30,3350000000.0,2309200000.0,,,2043400000.0,596400000.0,404100000.0,1704900000.0,1239700000.0,,701900000.0,,309200000.0,6.0,108100000.0,,48400000.0,50300000.0,,596400000.0,,13.9399,4.8335,6.0,,0.3434961338944896,0.2095223880597015,0.4116957006276028,0.7271394216669599,,,,,,0.2918664970147793,,2350200000.0,1061400000.0,,1665900000.0,,,,9.0,9.0,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2014-12-31,3524300000.0,2294600000.0,434400000.0,,2191400000.0,598100000.0,653800000.0,-1001900000.0,-719300000.0,,-558400000.0,17200000.0,-276500000.0,-4.0,-216000000.0,,-10100000.0,-30200000.0,,598100000.0,5.2361,16.7999,5.8661,-4.0,,-0.25481427398010403,-0.1584428113384218,0.5573410520011978,0.7179359217486775,,,,,,0.27293054668248606,5.282228360957642,2322900000.0,811100000.0,,1697300000.0,,,,7.0,7.0,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2015-03-31,3488400000.0,2254800000.0,,,2213900000.0,602700000.0,457000000.0,590300000.0,454300000.0,,123400000.0,,39100000.0,1.0,110300000.0,,20800000.0,16000000.0,,602700000.0,,17.5222,6.407,1.0,,0.05573874158724423,0.035374383671597294,0.20904624767067592,0.7696086735558191,,,,,,0.2722345182709246,,2390800000.0,874200000.0,,1775100000.0,,,,8.0,8.0,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2015-06-30,3608300000.0,2297000000.0,,,2288600000.0,600300000.0,597600000.0,1207100000.0,912500000.0,,236100000.0,,68600000.0,2.0,110100000.0,,39200000.0,32800000.0,,600300000.0,,34.8247,6.2978,2.0,,0.1031635060735821,0.06543247512679101,0.19559274293761908,0.7559439980117637,,,,,,0.2623000961286376,,2500400000.0,503000000.0,,1887200000.0,,,,5.0,5.0,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2015-09-30,3876600000.0,2145500000.0,,,2421400000.0,604900000.0,646100000.0,1822600000.0,1381300000.0,,354200000.0,,101200000.0,3.0,110100000.0,,65200000.0,51300000.0,,604900000.0,,32.9855,6.263,3.0,,0.1462790121417362,0.09136872517154207,0.19433775924503457,0.757873367716449,,,,,,0.2498141570991988,,2618100000.0,155300000.0,,2028800000.0,,,,2.0,2.0,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2015-12-31,4059300000.0,2047900000.0,476200000.0,,2503100000.0,599900000.0,718400000.0,-1126300000.0,-871600000.0,,-218800000.0,17200000.0,-81400000.0,-4.0,-110200000.0,,-22500000.0,-34300000.0,,599900000.0,4.3005,34.4245,6.8319,-4.0,,-0.08741160960409093,-0.053900918877639,0.1942644055757791,0.7738613158128385,,,,,,0.23966281810554912,4.300503989920202,2493700000.0,494900000.0,,1876500000.0,,,,2.0,2.0,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2016-03-31,3853800000.0,1819300000.0,,,2299300000.0,602200000.0,501400000.0,697300000.0,517000000.0,,143000000.0,,40300000.0,0.0,217800000.0,,27700000.0,15900000.0,,602200000.0,,36.3015,7.1816,0.0,,0.062192841299525944,0.03710623280917536,0.20507672450881972,0.7414312347626559,,,,,,0.2619057974166051,,2600700000.0,514500000.0,,1939200000.0,,,,1.0,1.0,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2016-06-30,4051400000.0,1985100000.0,,,2471200000.0,602500000.0,369900000.0,1456600000.0,1073800000.0,,269600000.0,,82700000.0,1.0,217600000.0,,64800000.0,33900000.0,,602500000.0,,39.968,7.6987,1.0,,0.10909679507931369,0.0665448980599299,0.1850885624056021,0.7371962103528765,,,,,,0.2438086759469084,,2850200000.0,548000000.0,,2100500000.0,,,,0.0,0.0,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2016-09-30,4339000000.0,2171400000.0,,,2691800000.0,600600000.0,645000000.0,2196000000.0,1611800000.0,,411000000.0,,126500000.0,1.0,217700000.0,,112900000.0,52100000.0,,600600000.0,,46.5193,8.9514,1.0,,0.15268593506204026,0.09472228624106938,0.1871584699453552,0.7339708561020036,,,,,,0.22312207444832455,,3223600000.0,604800000.0,,2331000000.0,,,,-2.0,-2.0,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2016-12-31,4510000000.0,2240000000.0,532500000.0,,2619000000.0,822300000.0,930100000.0,-1386200000.0,-1036300000.0,,-254100000.0,19200000.0,-81100000.0,0.0,-435300000.0,,-29300000.0,-30700000.0,,822300000.0,4.2066,35.8622,6.8912,0.0,,-0.09702176403207331,-0.05634146341463415,0.18330688212379165,0.7475833213100562,,,,,,0.31397479954180985,4.206572769953052,2963700000.0,569500000.0,,2166300000.0,,,,2.0,2.0,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2017-03-31,4780400000.0,2018400000.0,,,2742700000.0,847900000.0,819300000.0,883500000.0,667900000.0,,230200000.0,2400000.0,63400000.0,1.0,216400000.0,,15900000.0,21100000.0,,847900000.0,,30.2517,6.307,1.0,,0.08393189193130857,0.04815496611162246,0.2605546123372949,0.755970571590266,,,,,,0.3091479199329128,,3149900000.0,656700000.0,,2317200000.0,,,,3.0,3.0,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2017-06-30,5138500000.0,2283400000.0,,,2939600000.0,1016800000.0,508200000.0,1725300000.0,1298600000.0,,416300000.0,3800000.0,82900000.0,1.0,216100000.0,,73900000.0,40000000.0,,1016800000.0,,34.6371,7.6745,1.0,,0.14161790719825826,0.0810158606597256,0.24129136961687822,0.7526806932127746,,,,,,0.3458974010069397,,3418600000.0,803400000.0,,2542000000.0,,,,3.0,3.0,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2017-09-30,5488400000.0,2566400000.0,735200000.0,,3162500000.0,1034000000.0,630300000.0,2546800000.0,1906800000.0,,586400000.0,3900000.0,124600000.0,2.0,216100000.0,,116200000.0,60700000.0,,1034000000.0,,31.1791,7.0072,2.0,,0.18542292490118578,0.10684352452445157,0.23024972514528036,0.7487042563216586,,,,,,0.3269565217391304,3.4907508161044616,3769400000.0,978800000.0,,2837000000.0,,,29300000.0,4.0,4.0,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2017-12-31,5695800000.0,2532100000.0,1402900000.0,,2956200000.0,438400000.0,818300000.0,-1720300000.0,-1313300000.0,,-649300000.0,13100000.0,180400000.0,-2.0,-432700000.0,1000700000.0,-37900000.0,-39900000.0,962800000.0,438400000.0,1.7952,40.4601,6.8735,-2.0,,-0.21964007847912861,-0.113996277959198,0.3774341684589897,0.7634133581352089,,,,-0.559669825030518,,0.14829849130640688,1.8049041271651578,3435300000.0,583600000.0,,2560000000.0,,,23200000.0,2.0,2.0,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2018-03-31,5825100000.0,2716900000.0,1314500000.0,,3245700000.0,456000000.0,1227000000.0,894800000.0,661200000.0,252500000.0,206600000.0,,56900000.0,0.0,215100000.0,151300000.0,43200000.0,19100000.0,108100000.0,456000000.0,,50.9196,8.2734,0.0,271600000.0,0.06365344917891363,0.03546720227978919,0.23088958426464015,0.7389360751005811,0.28218596334376395,0.04334689533226897,0.06821190263932787,0.12080911935628073,0.3035315154224408,0.14049357611609206,2.0668695321414985,3446600000.0,560000000.0,,2553300000.0,,,,1.0,1.0,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2018-06-30,5686100000.0,2696000000.0,1183200000.0,,3164200000.0,593900000.0,1226400000.0,1838500000.0,1358700000.0,504600000.0,489300000.0,,25200000.0,2.0,214500000.0,291500000.0,96000000.0,38300000.0,195500000.0,593900000.0,,46.9197,8.6818,2.0,542900000.0,0.15463624296820683,0.08605195124953835,0.2661408757138972,0.739026380201251,0.2744628773456622,0.08874272348358277,0.134269976850004,0.10633668751699756,0.2952950775088387,0.18769357183490298,2.2785665990534145,3559800000.0,633000000.0,,2613400000.0,,,,2.0,2.0,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2018-09-30,5958200000.0,2912600000.0,1261100000.0,,3361300000.0,593600000.0,1261300000.0,2745100000.0,2040400000.0,753500000.0,715200000.0,,48000000.0,3.0,214100000.0,633800000.0,181100000.0,57500000.0,452700000.0,593600000.0,,50.2068,9.8435,3.0,811000000.0,0.21277481926635528,0.12003625255949783,0.2605369567593166,0.7432880405085425,0.2744890896506503,0.1264643684334195,0.19052314849932994,0.16491202506283925,0.29543550326035484,0.17659833992800406,2.3095710094362065,3758100000.0,761800000.0,,2747000000.0,1719100000.0,,,3.0,3.0,,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2018-12-31,5323700000.0,2286900000.0,876600000.0,,3140400000.0,593800000.0,714100000.0,-1755600000.0,-1276900000.0,-762400000.0,-688900000.0,29900000.0,-90900000.0,-2.0,-430100000.0,-149800000.0,-81600000.0,-37500000.0,-231400000.0,593800000.0,2.6088,44.3369,8.6011,-2.0,-799900000.0,-0.21936695962297798,-0.12940248323534384,0.39240145819093186,0.7273296878560036,0.43426748689906586,-0.14320867066138213,-0.2041668898291468,0.13180678970152654,0.4556277056277056,0.18908419309642083,2.608829568788501,3722800000.0,722200000.0,748200000.0,2783400000.0,524900000.0,825600000.0,,3.0,3.0,0.719234496124031,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2019-03-31,5469300000.0,2368800000.0,646500000.0,5469300000.0,3447500000.0,593900000.0,709200000.0,993000000.0,761200000.0,274200000.0,249700000.0,,28300000.0,1.18,212200000.0,1500000.0,42200000.0,20600000.0,-40700000.0,593900000.0,,51.6671,10.3483,1.18,294800000.0,0.07242929659173314,0.04565483699925036,0.251460221550856,0.7665659617321249,0.27613293051359517,0.050134386484559264,0.0678477755233335,-0.040986908358509565,0.29687814702920445,0.17226976069615663,3.6640371229698374,3821000000.0,765300000.0,769900000.0,2883400000.0,376100000.0,848800000.0,,4.18,4.18,0.699693685202639,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2019-06-30,5573500000.0,2354700000.0,697000000.0,,3500300000.0,594100000.0,726800000.0,2079900000.0,1544100000.0,541700000.0,492000000.0,,57300000.0,2.32,212100000.0,342700000.0,106800000.0,42300000.0,235900000.0,594100000.0,,53.2889,9.7445,2.32,584000000.0,0.1405593806245179,0.08827487216291378,0.2365498341266407,0.7423914611279389,0.2604452137121977,0.09719206961514308,0.13230265728800314,0.11341891437088321,0.2807827299389394,0.16972830900208555,3.378335724533716,4062400000.0,768000000.0,807000000.0,3068800000.0,416500000.0,889900000.0,,4.5,4.5,0.6676031014720755,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2019-09-30,5966300000.0,2739700000.0,775800000.0,,3814800000.0,594200000.0,1186600000.0,3173900000.0,2345700000.0,836000000.0,766700000.0,,84300000.0,3.61,212100000.0,780000000.0,182900000.0,65400000.0,597100000.0,594200000.0,,59.1114,11.0161,3.61,901400000.0,0.20098039215686275,0.1285051036655884,0.24156400642742368,0.7390592016131573,0.26339834273291535,0.14012034259088546,0.18961215695168973,0.18812817038974133,0.2840039068653707,0.15576176994862115,3.531451405001289,4491200000.0,819500000.0,889500000.0,3374100000.0,560900000.0,980300000.0,,5.109999999999999,5.109999999999999,0.6061409772518617,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2019-12-31,6488100000.0,2984000000.0,902400000.0,,4148300000.0,594400000.0,1179100000.0,-1898800000.0,-1417400000.0,-505100000.0,-461500000.0,20700000.0,-50300000.0,-2.1799999999999997,-424200000.0,55200000.0,-77500000.0,-39000000.0,-22300000.0,594400000.0,3.3067,46.4775,11.1907,-2.1799999999999997,-544100000.0,-0.11125039172673143,-0.07113022302368953,0.2430482409943122,0.7464714556562039,0.2660101116494628,-0.07785021809158305,-0.10650051658338078,0.011744259532336212,0.28654939962081316,0.1432876117927826,3.3067375886524824,4348000000.0,1046900000.0,1146800000.0,3233600000.0,770000000.0,1236100000.0,,4.93,4.93,0.4808672437505056,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2020-03-31,6076100000.0,2507900000.0,746900000.0,,3901100000.0,594600000.0,662900000.0,1128700000.0,863600000.0,358100000.0,310600000.0,,53900000.0,1.47,211700000.0,207000000.0,82200000.0,24500000.0,124800000.0,594600000.0,,35.3004,8.7218,1.47,382600000.0,0.07961856912152983,0.05111831602508188,0.2751838398157172,0.7651280233897404,0.3172676530521839,0.05893583054920097,0.0796538914963187,0.11056968193496944,0.3389740409320457,0.15241854861449336,3.3577453474360692,4483700000.0,1107800000.0,1230700000.0,3336000000.0,935500000.0,1323900000.0,,5.220000000000001,5.220000000000001,0.4491275776116021,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2020-06-30,6424100000.0,2690300000.0,873200000.0,,3839100000.0,594700000.0,903500000.0,2053700000.0,1550400000.0,188400000.0,188700000.0,,7600000.0,0.3,627700000.0,438200000.0,190500000.0,49000000.0,247700000.0,594700000.0,,57.5914,9.9091,0.3,237400000.0,0.049152145033992345,0.029373764418362105,0.0918829429809612,0.7549301261138434,0.09173686517018065,0.029327065269843248,0.0424917677838423,0.12061157910113454,0.11559624093100258,0.15490609778333464,3.0809665597801192,4457500000.0,804500000.0,877400000.0,3342300000.0,947300000.0,977300000.0,,3.2,3.2,0.6085132507930011,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2020-09-30,6800800000.0,2980400000.0,846300000.0,,4210300000.0,594900000.0,1024000000.0,3194600000.0,2410300000.0,546200000.0,513900000.0,,46700000.0,0.82,628800000.0,654300000.0,293800000.0,74600000.0,360500000.0,594900000.0,,62.495,11.3597,0.82,620800000.0,0.12205781060732014,0.07556463945418186,0.1608652100419458,0.7544919551743567,0.17097602203718776,0.08031408069638866,0.11366852576375593,0.11284667877042509,0.19432792837913979,0.14129634467852648,3.521682618456812,4478200000.0,551700000.0,587600000.0,3406900000.0,710700000.0,696700000.0,,0.41000000000000014,0.41000000000000014,0.8538825893497919,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2020-12-31,7237100000.0,3091000000.0,893900000.0,,4574300000.0,595000000.0,1183200000.0,-1990700000.0,-1518600000.0,-195100000.0,-189800000.0,15800000.0,-14900000.0,-1.2899999999999998,-836300000.0,-245200000.0,-159500000.0,-40900000.0,-404700000.0,595000000.0,3.4579,69.0538,12.9628,-1.2899999999999998,-236000000.0,-0.04149268740572328,-0.026225974492545358,0.09534334656151103,0.7628472396644397,0.09800572662882404,-0.026958312031062165,-0.037742054049871354,0.20329532325312705,0.11855126337469232,0.13007454692521261,3.457881194764515,4386300000.0,823400000.0,897600000.0,3305700000.0,328300000.0,1004800000.0,,1.3,1.3,0.5921576433121019,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2021-03-31,7213700000.0,3069200000.0,799000000.0,,4658400000.0,595200000.0,1174200000.0,1216600000.0,923200000.0,383500000.0,338200000.0,,51100000.0,0.54,631300000.0,300500000.0,106000000.0,32400000.0,194500000.0,595200000.0,,61.3805,11.6747,0.54,415900000.0,0.07260003434655676,0.046883014264524445,0.2779878349498603,0.7588361006082525,0.3152227519316127,0.05316273202378807,0.07299756357545302,0.15987177379582443,0.3418543481834621,0.12776919113858837,3.841301627033792,4474200000.0,851000000.0,923000000.0,3365300000.0,398000000.0,1038100000.0,,0.3700000000000001,0.3700000000000001,0.5733551680955592,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2021-06-30,7662100000.0,3322900000.0,886200000.0,,5133300000.0,595400000.0,1312800000.0,2592600000.0,1964900000.0,925600000.0,827700000.0,,107100000.0,1.31,630600000.0,826600000.0,175300000.0,68200000.0,651300000.0,595400000.0,,44.0255,13.0721,1.31,993800000.0,0.1612413067617322,0.10802521501938112,0.31925480212913676,0.7578878346061868,0.3570161228110777,0.12080239098941543,0.1615724335364044,0.25121499652858137,0.383321761937823,0.11598776615432568,3.749605055292259,5013100000.0,1490000000.0,1660200000.0,3779800000.0,801600000.0,1794500000.0,,1.3800000000000001,1.3800000000000001,0.33179158539983283,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2021-09-30,8160300000.0,3515500000.0,966500000.0,2619000000.0,5541300000.0,595500000.0,1506900000.0,3902800000.0,2963400000.0,1315900000.0,1167800000.0,,157900000.0,1.85,631000000.0,1358500000.0,236000000.0,101800000.0,1122500000.0,595500000.0,,47.7675,13.8516,1.85,1417700000.0,0.21074477108259795,0.14310748379348798,0.2992210720508353,0.7593010146561443,0.3371681869427078,0.16125632636055048,0.21442771476991265,0.28761402070308495,0.36325202418776265,0.10746575713280278,3.637351267459907,5721300000.0,2143900000.0,2429900000.0,4332900000.0,1563600000.0,2591400000.0,,2.41,2.41,0.2297985644825191,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
2021-12-31,8502600000.0,3180700000.0,1032300000.0,2666700000.0,5835900000.0,595700000.0,862800000.0,-2479500000.0,-1867900000.0,-934700000.0,-830600000.0,18400000.0,-117200000.0,-1.3200000000000003,-1261700000.0,-753500000.0,-191500000.0,-67600000.0,-945000000.0,595700000.0,3.0812,53.8105,15.4577,-1.3200000000000003,-1002300000.0,-0.14232594801144638,-0.0976877660950768,0.33498689251865293,0.7533373664045171,0.3769711635410365,-0.10993107990497024,-0.14532931152434853,0.3811252268602541,0.40423472474289174,0.10207508696173684,3.081177952145694,5232500000.0,1503100000.0,1690300000.0,3983600000.0,1023300000.0,1825100000.0,,2.38,2.38,0.3263930743520903,0.8876006,87.89,65.94,4.88099,47979.887,44.6948,4.7855,7.9076
