report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2019-05-26,3048100000.0,961500000.0,552800000.0,,-4600000.0,,8400000.0,12200000.0,,-459700000.0,-331200000.0,-224200000.0,-76900000.0,-0.7099999999999995,,-308200000.0,-167400000.0,-70900000.0,-475600000.0,8400000.0,1.7393,18.6276,2.3733,-0.7099999999999995,-402100000.0,48.73913043478261,-0.07355401725665169,,,,-0.10865785243266297,-87.15789473684211,,,-1.826086956521739,1.739327062228654,478600000.0,668400000.0,1003500000.0,11900000.0,830800000.0,3.18,3.18,0.010110736639383727,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2019-08-25,3222600000.0,906200000.0,540100000.0,,92300000.0,,,19000000.0,,248600000.0,170000000.0,115700000.0,36700000.0,0.79,,238500000.0,50300000.0,46000000.0,188200000.0,0.0,,20.622,2.6191,0.79,216000000.0,1.2535211267605635,0.035902687271147524,,,,0.052752435921305775,1.8418201516793067,,,0.0,1.6778374375115719,486500000.0,685800000.0,1021500000.0,59200000.0,855600000.0,3.97,3.97,0.0,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2019-11-24,3466800000.0,1107300000.0,669400000.0,,201100000.0,,9900000.0,23800000.0,,533700000.0,363500000.0,256100000.0,79400000.0,1.74,,345300000.0,88100000.0,91700000.0,257200000.0,9900000.0,,24.1201,3.1106,1.74,455200000.0,1.2734957732471408,0.0738721587631245,,,,0.10485173647167417,1.7227488151658767,,,0.04922923918448533,1.6541679115625934,515800000.0,722700000.0,1075600000.0,170000000.0,907000000.0,4.24,4.24,0.01091510474090408,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2020-02-23,3466200000.0,1097500000.0,593700000.0,,270400000.0,,21000000.0,30100000.0,,784100000.0,526000000.0,367500000.0,115100000.0,2.5,,435700000.0,127800000.0,137500000.0,307900000.0,21000000.0,,29.1389,3.5264,2.5,663500000.0,1.3590976331360947,0.10602388783105418,,,,0.15175119727655645,1.8050789293067948,,,0.07766272189349112,1.8485767222502947,515100000.0,728300000.0,1106700000.0,277700000.0,932600000.0,4.32,4.32,0.02251769247265709,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2020-05-31,4662300000.0,2302600000.0,1024900000.0,4662300000.0,240000000.0,2992600000.0,498700000.0,1364000000.0,3792400000.0,-671200000.0,-502600000.0,-373400000.0,-118900000.0,-2.54,,-445500000.0,-98500000.0,-91200000.0,-544000000.0,3491300000.0,2.2467,24.582,2.3717,-2.54,-593800000.0,-1.5558333333333334,-0.08008922634751088,-0.09846007805083852,-0.17698555004746336,-0.1325282143233836,-0.10780087081483387,-0.134698362501005,-0.14344478430545302,-0.15657631051576837,14.547083333333333,2.2466582105571273,365900000.0,556900000.0,895200000.0,209300000.0,740900000.0,2.4899999999999993,2.4899999999999993,4.71224186799838,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2020-08-30,4272600000.0,1891000000.0,549600000.0,,332000000.0,,700000.0,1032500000.0,,213800000.0,135700000.0,89300000.0,28000000.0,0.61,,250600000.0,20600000.0,46900000.0,230000000.0,700000.0,,27.0884,2.5025,0.61,182600000.0,0.26897590361445783,0.02090062257173618,,,,0.03176052052614333,0.4078749624286144,,,0.002108433734939759,3.440684133915575,339500000.0,522600000.0,860400000.0,251100000.0,707500000.0,2.3099999999999996,2.3099999999999996,0.000989399293286219,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2020-11-29,4159100000.000001,1785800000.0,614300000.0,4159100000.000001,408900000.0,2719400000.0,,763900000.0,1767600000.0,437300000.0,275300000.0,186200000.0,59900000.0,1.27,,318800000.0,42300000.0,95700000.0,276500000.0,2719400000.0,,35.7878,2.9825,1.27,371000000.0,0.4553680606505258,0.044769301050708074,0.10534057479067663,0.24739760126725505,0.1557479067662367,0.06619220504436055,0.08800306875939008,0.15642679339217017,0.20988911518443087,6.650525800929323,2.907048673286668,269600000.0,434400000.0,764000000.0,270400000.0,623300000.0,1.8399999999999996,1.8399999999999996,4.362907107331943,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2021-02-28,4158200000.0,1759400000.0,590200000.0,,451700000.0,,,714300000.0,,634000000.0,375900000.0,252300000.0,76200000.0,1.72,,374800000.0,92100000.0,143300000.0,282700000.0,0.0,,47.8365,3.4164,1.72,519200000.0,0.558556564091211,0.06067529219373768,,,,0.09039969217449859,0.8321895063094975,,,0.0,2.981023381904439,154400000.0,284300000.0,613900000.0,245200000.0,479000000.0,1.0599999999999996,1.0599999999999996,0.0,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2021-05-30,4209400000.0,1781700000.0,618200000.0,,480600000.0,,,783500000.0,,-453100000.0,-312100000.0,-210000000.0,-73600000.0,-1.4399999999999995,,-391000000.0,-7800000.0,-97100000.0,-398800000.0,0.0,2.8821,38.6466,3.3457,-1.4399999999999995,-409200000.0,-0.4369538077403246,-0.049888345132322896,,,,-0.0741435834085618,-0.6493965875988348,,,0.0,2.8820769977353606,317800000.0,474800000.0,832000000.0,390400000.0,663600000.0,2.16,2.16,0.0,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2021-08-29,4176300000.0,1735000000.0,650000000.0,,427400000.0,,,789700000.0,,151300000.0,60200000.0,29800000.0,8700000.0,0.2,146900000.0,161800000.0,78900000.0,47300000.0,82900000.0,0.0,,36.388,2.4842,0.2,107500000.0,0.06972391202620495,0.007135502717716639,,,,0.014414673275387304,0.14085166120729994,,,0.0,2.669230769230769,258300000.0,399300000.0,769500000.0,243300000.0,588500000.0,1.7500000000000002,1.7500000000000002,0.0,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2021-11-28,4155600000.0,1717800000.0,693000000.0,,365200000.0,,,621900000.0,,356800000.0,174600000.0,62300000.0,18300000.0,0.42,146600000.0,207500000.0,147100000.0,94900000.0,60400000.0,0.0,,40.1443,1.9989,0.42,269500000.0,0.17059145673603504,0.014991818269323323,,,,0.042015593416113196,0.47809419496166483,,,0.0,2.478787878787879,134400000.0,298600000.0,689000000.0,27200000.0,487000000.0,0.9000000000000002,0.9000000000000002,0.0,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2022-02-27,4100800000.0,1610700000.0,612900000.0,4100800000.0,392300000.0,2697000000.0,,428600000.0,2945800000.0,577800000.0,308400000.0,168900000.0,49400000.0,1.16,146200000.0,174000000.0,217800000.0,142400000.0,-43800000.0,2697000000.0,,41.1514,2.44,1.16,450800000.0,0.4305378536834056,0.0411870854467421,0.057335868015479664,0.19614366216307963,0.1046914250797746,0.07520483808037456,0.09982844009969896,-0.014868626519111956,0.15303143458483265,6.87484068315065,2.6279980420949585,51000000.0,231100000.0,632800000.0,-299300000.0,418600000.0,0.3400000000000002,0.3400000000000002,6.442904921165791,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2022-05-29,4139800000.0,1659600000.0,699100000.0,,360500000.0,,,525000000.0,,-253900000.0,-98800000.0,-60100000.0,-4600000.0,-0.3999999999999999,-293800000.0,-125200000.0,-153700000.0,-92500000.0,-278900000.0,0.0,2.3739,48.8847,2.396,-0.3999999999999999,-191300000.0,-0.1667128987517337,-0.014517609546354896,,,,-0.023865887240929515,-0.2740638002773925,,,0.0,2.373909311972536,200900000.0,444400000.0,832000000.0,-179400000.0,636500000.0,1.38,1.38,0.0,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2022-08-28,4409700000.0,1630200000.0,780300000.0,,510000000.0,,9100000.0,485300000.0,,273300000.0,157000000.0,231900000.0,73700000.0,1.6,144600000.0,192100000.0,101200000.0,49800000.0,90900000.0,9100000.0,,28.7019,2.7278,1.6,206800000.0,0.4547058823529412,0.05258861147016804,,,,0.0356033290246502,0.30244654209208244,,,0.01784313725490196,2.089196462898885,403000000.0,541200000.0,954000000.0,-171400000.0,735800000.0,2.7800000000000002,2.7800000000000002,0.012367491166077738,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2022-11-27,4569600000.0,1801100000.0,918500000.0,,573000000.0,,9000000.0,419400000.0,,654900000.0,428800000.0,335000000.0,110500000.0,2.32,144600000.0,288000000.0,232900000.0,102000000.0,55100000.0,9000000.0,,25.957,2.7257,2.32,530800000.0,0.5846422338568935,0.07331057422969188,,,,0.0938375350140056,0.7367697594501719,,,0.015706806282722512,1.9609145345672292,675700000.0,795400000.0,1252100000.0,-176700000.0,997100000.0,4.68,4.68,0.009026175910139404,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2023-02-26,5087300000.0,2117900000.0,817300000.0,,714800000.0,,6200000.0,675000000.0,,1052700000.0,695100000.0,510100000.0,152600000.0,3.53,144700000.0,335100000.0,429400000.0,153300000.0,-94300000.0,6200000.0,,26.7907,3.0201,3.53,848400000.0,0.7136261891438165,0.10026929805594323,,,,0.13663436400448176,0.9640776699029127,,,0.008673754896474537,2.591337330233696,1016900000.0,1182100000.0,1727000000.0,-227200000.0,1394700000.0,7.049999999999999,7.049999999999999,0.004445400444540044,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2023-05-28,6519800000.0,2127200000.0,1360200000.0,,1411300000.0,,,304800000.0,,-548800000.0,-398800000.0,-68100000.0,-112200000.0,-0.4999999999999991,-288700000.0,-53500000.0,-109500000.0,-82300000.0,-163000000.0,0.0,1.5639,15.8066,2.9805,-0.4999999999999991,-481100000.0,-0.048253383405370935,-0.010445105678088285,,,,-0.06116752047608822,-0.2825763480478991,,,0.0,1.5638876635788854,1008900000.0,882100000.0,1432100000.0,-111300000.0,1104900000.0,6.950000000000001,6.950000000000001,0.0,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2023-08-27,6539600000.0,1846300000.0,1285400000.0,,1503000000.0,,,163300000.0,,499500000.0,323300000.0,234800000.0,69900000.0,1.6,146600000.0,334600000.0,267300000.0,70100000.0,67300000.0,0.0,,13.8095,2.3721,1.6,393400000.0,0.15622089155023286,0.03590433665667625,,,,0.04943727445103676,0.21510312707917498,,,0.0,1.4363622218764587,1011800000.0,1048400000.0,1658300000.0,-134900000.0,1291500000.0,6.95,6.95,0.0,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2023-11-26,7045300000.0,2080900000.0,1617800000.0,,1667700000.0,,,78300000.0,,975100000.0,628900000.0,449800000.0,136100000.0,3.08,146000000.0,455200000.0,507600000.0,140700000.0,-52400000.0,0.0,,12.8065,2.2677,3.08,769600000.0,0.2697127780775919,0.06384398109377883,,,,0.08926518388145288,0.37710619415962104,,,0.0,1.2862529360860429,1126600000.0,1248500000.0,1978500000.0,-242400000.0,1530300000.0,7.710000000000001,7.710000000000001,0.0,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2024-02-25,7245700000.0,2159100000.0,1816000000.0,,1758200000.0,,,62300000.0,,1378800000.0,852800000.0,595800000.0,179300000.0,4.09,145800000.0,481500000.0,763400000.0,220000000.0,-281900000.0,0.0,,13.4587,2.2491,4.09,1072800000.0,0.33886929814583094,0.0822280801026816,,,,0.11769739293650026,0.4850415197360937,,,0.0,1.188931718061674,1212300000.0,1406200000.0,2304600000.0,-430000000.0,1754700000.0,8.27,8.27,0.0,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2024-05-26,7367000000.0,2090000000.0,1624100000.0,,1787800000.0,,,71400000.0,,-1086700000.0,-739700000.0,-554900000.0,-155300000.0,-3.789999999999999,-292800000.0,-473100000.0,-608800000.0,-124000000.0,-1081900000.0,0.0,1.2869,17.7524,1.9916,-3.789999999999999,-863700000.0,-0.3103814744378566,-0.07532238360255192,,,,-0.10040722139269716,-0.4137487414699631,,,0.0,1.286866572255403,725500000.0,1065300000.0,1766700000.0,-1348900000.0,1372100000.0,4.980000000000001,4.980000000000001,0.0,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2024-08-25,7512500000.0,2063600000.0,1730300000.0,,1836700000.0,,,120800000.0,,356000000.0,212100000.0,127400000.0,50800000.0,0.88,144200000.0,330200000.0,325900000.0,90500000.0,4300000.0,0.0,,14.3564,1.3746,0.88,302600000.0,0.06936353242227909,0.016958402662229616,,,,0.028232945091514142,0.1154788479337943,,,0.0,1.19262555626192,618100000.0,954100000.0,1623200000.0,-1411900000.0,1281300000.0,4.260000000000001,4.260000000000001,0.0,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2024-11-24,7452100000.0,2190900000.0,1627000000.0,,1632800000.0,,,79000000.0,,633800000.0,230600000.0,91300000.0,64200000.0,0.64,143700000.0,429300000.0,474600000.0,211000000.0,-45300000.0,0.0,,29.8247,1.731,0.64,441600000.0,0.055916217540421365,0.012251580091517828,,,,0.030944297580547765,0.1412297893189613,,,0.0,1.3465888137676705,259600000.0,555800000.0,1281900000.0,-1404800000.0,953300000.0,1.8200000000000003,1.8200000000000003,0.0,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2025-02-23,7422800000.0,2195100000.0,1621000000.0,,1633600000.0,,,67500000.0,,1056300000.0,479300000.0,237300000.0,121700000.0,1.66,143200000.0,485300000.0,550400000.0,313200000.0,-65100000.0,0.0,,20.3234,1.1677,1.66,792500000.0,0.14526199804113615,0.03196906827612222,,,,0.06457132079538719,0.29340107737512244,,,0.0,1.3541640962368908,-98900000.0,182300000.0,959400000.0,-1188000000.0,673000000.0,-0.6099999999999997,-0.6099999999999997,0.0,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2025-05-25,7392600000.0,2032700000.0,1476000000.0,,1737700000.0,,,70700000.0,,-647500000.0,-256900000.0,-98800000.0,-93600000.0,-0.6799999999999997,-288400000.0,-376500000.0,-712700000.0,-207200000.0,-1089200000.0,0.0,1.3772,19.9743,1.1059,-0.6799999999999997,-464100000.0,-0.05685676468895667,-0.01336471606741877,,,,-0.034750967183399616,-0.14783909765782355,,,0.0,1.377168021680217,357200000.0,665100000.0,1398600000.0,-1195300000.0,1072600000.0,2.5,2.5,0.0,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2025-08-24,7236700000.0,1873300000.0,1258000000.0,,1789800000.0,,215400000.0,98600000.0,,342400000.0,156500000.0,64300000.0,47900000.0,0.46,139800000.0,352000000.0,77600000.0,95300000.0,274400000.0,215400000.0,,26.5216,1.2081,0.46,251800000.0,0.0359258017655604,0.008885265383392984,,,,0.021625879199082456,0.07804707759824456,,,0.12034864230640295,1.4891096979332274,294100000.0,609500000.0,1385000000.0,-925200000.0,1021800000.0,2.08,2.08,0.21080446271285966,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
2025-11-23,7331000000.0,2011000000.0,1403100000.0,,1754400000.0,,187000000.0,82700000.0,,666700000.0,295700000.0,126400000.0,83900000.0,0.9,139700000.0,530400000.0,155000000.0,191500000.0,375400000.0,187000000.0,,20.0088,1.2125,0.9,487200000.0,0.07204742362061103,0.01724184967944346,,,,0.04033556131496385,0.15231276398475327,,,0.1065891472868217,1.4332549354999644,329200000.0,674600000.0,1417900000.0,-504500000.0,1067400000.0,2.34,2.34,0.17519205546186997,0.47992492,67.07,39.69,3.29265,5644.078,14.3871,4.1059,0.8718
