report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-12-31,33330000000.0,27552400000.0,25438500000.0,26934700000.0,6395300000.0,,,1390900000.0,5385300000.0,696100000.0,6100000.0,340000000.0,1.43,487700000.0,383400000.0,155600000.0,0.0,,19.6446,2.5358,1.43,0.10884555845699186,0.020885088508850885,0.12925927989155664,0.0,1.0830984531320635,11060000000.0,1409500000.0,10600000.0,2.8900000000000006,2.8900000000000006,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
2013-03-31,40166300000.0,34433200000.0,32118500000.0,33605200000.0,6561100000.0,,,1647700000.0,8499600000.0,1178800000.0,7300000.0,582100000.0,2.42,487100000.0,1001700000.0,236700000.0,0.0,,21.8295,2.8258,2.42,0.17966499519897577,0.029347985749247504,0.13868887947668126,0.0,1.0720675000389184,11531000000.0,1458200000.0,12500000.0,3.0200000000000005,3.0200000000000005,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
2013-06-30,32268100000.0,26201000000.0,24732800000.0,26078200000.0,6189900000.0,,,1699100000.0,-5212300000.0,-774400000.0,-7400000.0,-365000000.0,-2.4800000000000004,-976100000.0,257200000.0,-153600000.0,0.0,1.0599,23.9712,2.9855,-2.4800000000000004,-0.12510702919271716,-0.023998933931653862,0.14857164783301038,0.0,1.0593624660370036,11310100000.0,1405800000.0,9100000.0,2.0,2.0,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
2013-09-30,29481300000.0,21035800000.0,21899400000.0,23288500000.0,6192800000.0,,,1149000000.0,2839600000.0,328600000.0,1900000.0,168700000.0,0.0,484300000.0,81300000.0,80500000.0,0.0,,24.3206,3.1564,0.0,0.053061619945743446,0.011146048512107674,0.11572052401746726,0.0,0.9605651296382549,11512200000.0,1429100000.0,7900000.0,1.3699999999999997,1.3699999999999997,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
2013-12-31,38321800000.0,32301100000.0,30645000000.0,32063300000.0,6258500000.0,,,1267100000.0,5822500000.0,705600000.0,3900000.0,352800000.0,1.46,483600000.0,473000000.0,164400000.0,0.0,,27.418,3.6068,1.46,0.11274266996884237,0.018412496281489908,0.12118505796479176,0.0,1.0540414423233806,11949400000.0,1438600000.0,5700000.0,1.3999999999999995,1.3999999999999995,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
2014-03-31,36596500000.0,30532600000.0,28578200000.0,29980400000.0,6616100000.0,,,1671000000.0,9132700000.0,1227100000.0,4700000.0,611400000.0,2.0,483400000.0,1216900000.0,247100000.0,0.0,,25.6006,3.5559,2.0,0.18547180363053764,0.03353052887571216,0.13436333176388143,0.0,1.0683877920932738,12582500000.0,1486900000.0,3100000.0,0.9799999999999995,0.9799999999999995,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
2014-06-30,32051700000.0,25833400000.0,23908000000.0,25381500000.0,6670200000.0,,,1983600000.0,-5588300000.0,-745400000.0,-4400000.0,-360900000.0,-0.45999999999999996,-968200000.0,50200000.0,-155800000.0,0.0,1.1376,25.2135,3.7375,-0.45999999999999996,-0.11175077209079189,-0.023256176739455316,0.13338582395361737,0.0,1.0805337125648318,12206500000.0,1515900000.0,6100000.0,3.0,3.0,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
2014-09-30,30208100000.0,25793400000.0,23159300000.0,24380800000.0,5827300000.0,,,2175700000.0,2573800000.0,295200000.0,1900000.0,154500000.0,0.0,481700000.0,378200000.0,68300000.0,0.0,,27.0152,3.8397,0.0,0.05065810924441851,0.009772213412958777,0.11469422643562048,0.0,1.1137383254243436,11940700000.0,1482500000.0,6100000.0,3.0,3.0,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
2014-12-31,43503100000.0,39116000000.0,36770200000.0,38010900000.0,5492200000.0,,,1850800000.0,5235100000.0,626700000.0,4100000.0,321600000.0,1.0,481000000.0,607100000.0,138000000.0,0.0,,27.9654,3.7949,1.0,0.1141072794144423,0.014405869926510984,0.11971118030219098,0.0,1.063796226291943,11353300000.0,1403600000.0,6300000.0,2.54,2.54,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
2015-03-31,37107300000.0,32792800000.0,30714700000.0,31929200000.0,5178100000.0,,,1808600000.0,8266800000.0,1116300000.0,4900000.0,572200000.0,2.0,478300000.0,1464200000.0,208400000.0,0.0,,28.9602,3.7714,2.0,0.2155810046155926,0.030083029484764455,0.13503411235302656,0.0,1.0676581571690429,10487400000.0,1292800000.0,6500000.0,2.54,2.54,0.88975674,329.9295,197.08,4.85931,82143.41,19.3954,20.1995,3.8721
