report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,revenue,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,fcf_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-12-31,18776910000.0,14415124000.0,4361786000.0,989686000.0,319043000.0,-1752943000.0,-215355000.0,-37642000.0,-90908000.0,-2.08,,,,1308729000.0,0.1991,9.2653,1.3644,-2.08,-0.049373123761688446,-0.011469139491002513,0.1228533956894206,,0.3000442937824093,3589516000.0,529324000.0,,80512000.0,5.41,5.41,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2013-03-31,18878702000.0,14574104000.0,4304598000.0,989976000.0,368903000.0,958216000.0,119632000.0,20877000.0,53431000.0,1.27,290374000.0,855000.0,289519000.0,1358879000.0,,10.4685,1.5176,1.27,0.02779167764330142,0.006336876338214354,0.1248486771249906,0.30214377551616756,0.3156808138646164,3649809000.0,530279000.0,,81718000.0,5.510000000000001,5.510000000000001,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2013-06-30,18141273000.0,14318987000.0,3822286000.0,990270000.0,348910000.0,1908555000.0,253533000.0,41705000.0,112314000.0,2.0,492481000.0,2247000.0,490234000.0,1339180000.0,,11.376,1.6355,2.0,0.06633020135071002,0.013975480111015362,0.13284029016716836,0.25686134274359396,0.3503610143249354,3774646000.0,536147000.0,,84103000.0,5.030000000000001,5.030000000000001,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2013-09-30,18137714000.0,14360838000.0,3776876000.0,990566000.0,227927000.0,2841344000.0,385655000.0,61381000.0,171042000.0,4.0,771003000.0,4364000.0,766639000.0,1218493000.0,,12.3482,1.7537,4.0,0.10210952120217873,0.021262602332355666,0.13572978139922515,0.26981562246598795,0.32261927582478217,3955172000.0,543465000.0,,86321000.0,5.190000000000001,5.190000000000001,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2013-12-31,18191744000.0,14415402000.0,3776342000.0,990865000.0,229070000.0,-1936177000.0,-230348000.0,-43502000.0,-102133000.0,-1.5899999999999999,-434578000.0,3702000.0,-438280000.0,1219935000.0,0.2185,13.373,1.8721,-1.5899999999999999,-0.060997653284580684,-0.012662227436797704,0.11897052800441282,0.22636360208803225,0.32304674735498,3771938000.0,528472000.0,1108112000.0,80461000.0,5.6800000000000015,5.6800000000000015,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2014-03-31,19063977000.0,14875256000.0,4188721000.0,991176000.0,264918000.0,1017120000.0,132856000.0,19049000.0,57631000.0,1.0,,5075000.0,,1256094000.0,,12.8505,1.8138,1.0,0.03171755769840006,0.006968955113615591,0.13061978920874626,,0.29987530799974504,3830842000.0,541696000.0,,78633000.0,5.410000000000002,5.410000000000002,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2014-06-30,19651801000.0,15142853000.0,4508948000.0,991491000.0,274944000.0,2001103000.0,263779000.0,38086000.0,113466000.0,1.0,,10006000.0,,1266435000.0,,13.3534,1.858,1.0,0.05850122911153555,0.013422637446817215,0.13181680303312723,,0.2808715026210105,3923390000.0,551942000.0,,75014000.0,4.410000000000001,4.410000000000001,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2014-09-30,19870507000.0,15340715000.0,4529792000.0,991808000.0,290422000.0,2968104000.0,396191000.0,57119000.0,170618000.0,2.0,,14482000.0,,1282230000.0,,12.6883,1.7476,2.0,0.08746339787787165,0.019938645752722868,0.13348285639586754,,0.2830659774223629,4050150000.0,562478000.0,,70752000.0,2.410000000000001,2.410000000000001,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2014-12-31,20214730000.0,15517264000.0,4697466000.0,992130000.0,238398000.0,-2022031000.0,-249887000.0,-38128000.0,-106186000.0,0.0,,-10196000.0,,1230528000.0,0.1621,12.8359,1.9287,0.0,-0.05319612744403046,-0.012361629366308628,0.12358218049080355,,0.26195570122274436,3964296000.0,542939000.0,,76126000.0,4.000000000000001,4.000000000000001,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2015-03-31,20696507000.0,15812879000.0,4883628000.0,992463000.0,258921000.0,1022532000.0,121648000.0,19060000.0,58784000.0,0.0,,6080000.0,,1251384000.0,,13.1376,1.9822,0.0,0.024909350179825325,0.005877706803375082,0.11896742595830742,,0.2562406473220319,3969708000.0,531731000.0,,76137000.0,3.000000000000001,3.000000000000001,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2015-06-30,20020910000.0,15714854000.0,4306056000.0,743306000.0,636862000.0,2056226000.0,248758000.0,38174000.0,120062000.0,1.0,,13949000.0,,1380168000.0,,13.9106,2.1038,1.0,0.057769336952422354,0.012424909756849215,0.12097794697664556,,0.32051789386854235,4024831000.0,516710000.0,,76225000.0,3.000000000000001,3.000000000000001,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2015-09-30,20119240000.0,15835938000.0,4283302000.0,743518000.0,618236000.0,3054985000.0,394144000.0,57420000.0,191420000.0,3.0,,30663000.0,,1361754000.0,,13.0483,2.0379,3.0,0.09201872760781285,0.01959040202313805,0.1290166727496207,,0.31792154744167,4111712000.0,514663000.0,,76526000.0,4.000000000000001,4.000000000000001,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2015-12-31,19853213000.0,15797661000.0,4055552000.0,743733000.0,490129000.0,-2367678000.0,-237450000.0,-38012000.0,-120372000.0,0.0,1120050000.0,-13735000.0,1106315000.0,1233862000.0,0.1777,13.3742,1.8718,0.0,-0.05854936639944452,-0.011960280686053185,0.1002881303961096,-0.46725737199061695,0.30424021193662415,3766065000.0,527100000.0,,76642000.0,4.000000000000001,4.000000000000001,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2016-03-31,20621021000.0,16229278000.0,4391743000.0,743953000.0,557163000.0,977627000.0,124033000.0,19369000.0,61874000.0,1.0,337748000.0,3879000.0,333869000.0,1301116000.0,,12.4021,1.7239,1.0,0.028242317458011545,0.006014881610372251,0.12687149597955047,0.34150959414991605,0.2962641484258072,3721160000.0,529485000.0,,76951000.0,5.000000000000001,5.000000000000001,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2016-06-30,21574040000.0,16696282000.0,4877758000.0,1133928000.0,286011000.0,1969511000.0,262462000.0,42479000.0,121924000.0,2.0,604935000.0,6740000.0,598195000.0,1419939000.0,,13.7918,1.937,2.0,0.053807917489961575,0.012165639815259451,0.1332625204936657,0.3037276765654013,0.29110484775997497,3634445000.0,543189000.0,,81256000.0,6.000000000000001,6.000000000000001,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2016-09-30,22077031000.0,16990648000.0,5086383000.0,1133544000.0,266892000.0,2959284000.0,414331000.0,62860000.0,181475000.0,3.0,971926000.0,10138000.0,961788000.0,1400436000.0,,13.9814,1.9655,3.0,0.08145886772584762,0.018767514526749542,0.14001055660761183,0.32500699493526136,0.2753304263560176,3538744000.0,563376000.0,3000167000.0,86696000.0,6.000000000000001,6.000000000000001,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2016-12-31,21436087000.0,16869226000.0,4566861000.0,1133165000.0,264475000.0,-1971793000.0,-251047000.0,-41363000.0,-132628000.0,-2.0,-515901000.0,4405000.0,-520306000.0,1397640000.0,0.1912,15.956,2.2292,-2.0,-0.05497145632415788,-0.011711419159662862,0.12731914556954002,0.2638745547833875,0.3060395313104559,3934629000.0,549779000.0,1373546000.0,83345000.0,4.000000000000001,4.000000000000001,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2017-03-31,22086976000.0,17342149000.0,4744827000.0,1132791000.0,327019000.0,1023581000.0,133541000.0,20699000.0,54563000.0,1.0,460756000.0,3978000.0,456778000.0,1459810000.0,,16.2425,2.2818,1.0,0.028144545628323223,0.0060461423057642655,0.13046451624248595,0.44625486405081766,0.3076634827781919,3980583000.0,559287000.0,1496455000.0,84675000.0,4.000000000000001,4.000000000000001,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2017-06-30,22577940000.0,17524524000.0,5053416000.0,1131796000.0,306271000.0,2052659000.0,273814000.0,41855000.0,116126000.0,2.0,739056000.0,8080000.0,730976000.0,1438067000.0,,15.9493,2.2274,2.0,0.054183942109654146,0.012127501446101814,0.13339478208509062,0.35611175553270175,0.2845732470867231,4063731000.0,570639000.0,1629236000.0,84051000.0,4.000000000000001,4.000000000000001,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2017-09-30,22993607000.0,17825922000.0,5167685000.0,1130806000.0,309002000.0,3098674000.0,427148000.0,62825000.0,183390000.0,3.0,1085842000.0,13451000.0,1072391000.0,1439808000.0,,16.6116,2.2936,3.0,0.08265751492205892,0.01857681572099584,0.13784864106388733,0.34608061383675726,0.27861760149854337,4203121000.0,583456000.0,1739839000.0,84016000.0,4.000000000000001,4.000000000000001,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2017-12-31,23474985000.0,17243564000.0,6231421000.0,1132201000.0,328067000.0,-2019341000.0,619991000.0,-40847000.0,-981694000.0,6.0,-856596000.0,-5224000.0,-861820000.0,1460268000.0,0.239,7.1607,2.5061,6.0,0.0994943207977763,0.02641070910162456,-0.30702640118731805,0.4267827969619792,0.23433948693243484,4155573000.0,1454494000.0,1398325000.0,84532000.0,12.0,12.0,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2018-03-31,23182343000.0,17362042000.0,5820301000.0,1131215000.0,365156000.0,1070436000.0,173600000.0,21622000.0,39131000.0,1.0,382389000.0,11966000.0,370423000.0,1496371000.0,,6.2747,2.2315,1.0,0.029826636113836725,0.007488457918166425,0.16217690735363907,0.3460487128609277,0.2570951227436519,4202428000.0,1494553000.0,1311970000.0,85455000.0,12.0,12.0,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2018-06-30,22878701000.0,17307092000.0,5571609000.0,817474000.0,671666000.0,2155212000.0,358025000.0,44033000.0,81602000.0,3.0,616520000.0,18735000.0,597785000.0,1489140000.0,,6.0454,2.1844,3.0,0.06425881643884199,0.015648834258553405,0.16612054869776152,0.27736714532027473,0.26727288293202195,4304981000.0,1578764000.0,1178779000.0,87633000.0,13.0,13.0,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2018-09-30,23469488000.0,17930583000.0,5538905000.0,1358947000.0,615011000.0,3239014000.0,536749000.0,66466000.0,123232000.0,4.0,937289000.0,27316000.0,909973000.0,1973958000.0,,6.2122,2.2617,4.0,0.0969052547389782,0.022870077097548954,0.16571370176232644,0.28094136054984636,0.35638054814083286,4445321000.0,1688365000.0,1016361000.0,91274000.0,14.0,14.0,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2018-12-31,23095722000.0,17680545000.0,5415177000.0,1357185000.0,307848000.0,-2160911000.0,-366908000.0,-42045000.0,-81804000.0,-2.0,-658551000.0,-12925000.0,-671476000.0,1665033000.0,0.306,11.8522,1.9316,-2.0,-0.06775549534207284,-0.01588640528319487,0.16979320295930744,0.3107374621166721,0.30747526812142983,4303751000.0,701466000.0,1206705000.0,90076000.0,6.000000000000001,6.000000000000001,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2019-03-31,24133438000.0,18090012000.0,6043426000.0,1355601000.0,294378000.0,1119216000.0,185345000.0,21278000.0,42707000.0,1.65,423285000.0,7015000.0,416270000.0,1649979000.0,,13.0192,2.133,1.65,0.030668862330737564,0.007680008128141544,0.16560252891309632,0.37192999385283987,0.27302046885326303,4352531000.0,713211000.0,1252552000.0,89732000.0,6.65,6.65,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2019-06-30,24855445000.0,18155047000.0,6700398000.0,1353395000.0,257453000.0,2249677000.0,371911000.0,42710000.0,84858000.0,3.0,686637000.0,21654000.0,664983000.0,1610848000.0,,14.0066,2.278,3.0,0.0555058072669713,0.014962958820491848,0.16531751002477243,0.2955904336489194,0.24041079350808714,4446996000.0,727097000.0,1319750000.0,88409000.0,6.65,6.65,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2019-09-30,25791906000.0,18479375000.0,7312531000.0,1351190000.0,233314000.0,3390956000.0,573729000.0,63804000.0,130370000.0,5.0,1030175000.0,30049000.0,1000126000.0,1584504000.0,,14.149,2.3448,5.0,0.07845833405697698,0.02224453671628611,0.169193879248212,0.29493924427211676,0.21668338910289747,4598938000.0,764077000.0,1409903000.0,85747000.0,7.65,7.65,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2019-12-31,25977460000.0,18683153000.0,7294307000.0,1348988000.0,298738000.0,-2232317000.0,-370195000.0,-43486000.0,-87538000.0,-3.6500000000000004,-776223000.0,-16515000.0,-792738000.0,1647726000.0,0.249,14.9807,2.5173,-3.6500000000000004,-0.050751222837207156,-0.01425062342507697,0.16583442226171283,0.355118919042412,0.22589205526995232,4527532000.0,760790000.0,1288641000.0,84306000.0,6.0,6.0,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2020-03-31,25351914000.0,18831632000.0,6520282000.0,1346795000.0,458127000.0,1133054000.0,165540000.0,20808000.0,37381000.0,1.0,343554000.0,9316000.0,334238000.0,1804922000.0,,10.431,1.7019,1.0,0.025388472461773892,0.006529684504294232,0.14610071541162203,0.2949885883638379,0.2768165548667987,4541370000.0,740985000.0,1206609000.0,83836000.0,5.35,5.35,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2020-06-30,27534180000.0,19685811000.0,7848369000.0,1272104000.0,831076000.0,2313938000.0,338588000.0,43621000.0,76574000.0,3.0,769302000.0,20145000.0,749157000.0,2103180000.0,,10.8618,1.7206,3.0,0.04314119277521228,0.012297006847489193,0.14632544173612258,0.3237584585239535,0.2679766968143317,4605631000.0,707662000.0,1290783000.0,84747000.0,5.35,5.35,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2020-09-30,28041893000.0,19816985000.0,8224908000.0,1667506000.0,279758000.0,3508980000.0,527533000.0,65295000.0,119167000.0,4.0,1078616000.0,28790000.0,1049826000.0,1947264000.0,,11.9109,1.8316,4.0,0.06413846817496317,0.018812317699093997,0.15033798995719555,0.29918266846775987,0.23675207066145906,4723655000.0,661466000.0,1340483000.0,86238000.0,4.35,4.35,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2020-12-31,29046731000.0,20275639000.0,8771092000.0,1667886000.0,254918000.0,-2218051000.0,-299888000.0,-43020000.0,-68211000.0,-1.1799999999999997,-715038000.0,-16495000.0,-731533000.0,1922804000.0,0.2269,13.5849,2.0974,-1.1799999999999997,-0.03419049760280704,-0.0103243287514867,0.13520338351101935,0.32980891782921135,0.21922059419739298,4737921000.0,731773000.0,1401688000.0,86704000.0,6.82,6.82,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2021-03-31,28112896000.0,20280559000.0,7832337000.0,1668322000.0,274919000.0,1266560000.0,178517000.0,21178000.0,40277000.0,1.7,371830000.0,15529000.0,356301000.0,1943241000.0,,13.3918,2.0467,1.7,0.022792303242314522,0.006350003927023384,0.14094634284992422,0.28131395275391613,0.24810487597762967,4871427000.0,744750000.0,1423751000.0,87074000.0,7.5200000000000005,7.5200000000000005,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2021-06-30,29580057000.0,20963135000.0,8616922000.0,1986116000.0,259946000.0,2537671000.0,378135000.0,42947000.0,85902000.0,3.62,702039000.0,23727000.0,678312000.0,2246062000.0,,12.7277,1.9781,3.62,0.04388283890697862,0.01278344392642651,0.14900867764182196,0.2672970609665319,0.26065711166934086,5095160000.0,784297000.0,1352906000.0,86400000.0,8.14,8.14,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2021-09-30,29496578000.0,20888427000.0,8608151000.0,1546194000.0,393593000.0,3815509000.0,567006000.0,63833000.0,127826000.0,5.46,1060022000.0,30730000.0,1029292000.0,1939787000.0,,11.7432,1.792,5.46,0.06586850068034354,0.01922277221445823,0.14860559888602018,0.26976531833629536,0.22534304986053336,5401689000.0,823770000.0,1332372000.0,84938000.0,9.600000000000001,9.600000000000001,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2021-12-31,29768048000.0,21125242000.0,8642806000.0,1546494000.0,479644000.0,-2506871000.0,-378699000.0,-44472000.0,-86574000.0,-3.5600000000000014,-696211000.0,-31742000.0,-727953000.0,2026138000.0,0.2172,12.704,1.8476,-3.5600000000000014,-0.0438166725019629,-0.012721660486438345,0.151064414563015,0.29038311105756937,0.23443057729168051,5112869000.0,744959000.0,1335952000.0,83486000.0,7.219999999999999,7.219999999999999,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2022-03-31,27850328000.0,20956308000.0,6894020000.0,1546858000.0,522079000.0,1308356000.0,164361000.0,19944000.0,37254000.0,1.64,397133000.0,6981000.0,390152000.0,2068937000.0,,13.6107,1.9262,1.64,0.023841097066733197,0.005901582200396347,0.1256240656212835,0.2982001840477668,0.30010603392505386,5154665000.0,730803000.0,1369803000.0,82252000.0,7.159999999999998,7.159999999999998,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2022-06-30,26043167000.0,20720057000.0,5323110000.0,1627143000.0,495126000.0,2600964000.0,341365000.0,41772000.0,77246000.0,3.43,693390000.0,13627000.0,679763000.0,2122269000.0,,13.5705,1.8534,3.43,0.06412886451717136,0.013107660830958079,0.1312455689505891,0.261350407002942,0.3986896757722459,5217958000.0,694033000.0,1371254000.0,81077000.0,6.969999999999999,6.969999999999999,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2022-09-30,24838788000.0,20477190000.0,4361598000.0,1627547000.0,434737000.0,3892237000.0,528144000.0,65737000.0,120450000.0,5.0,1050387000.0,19766000.0,1030621000.0,2062284000.0,,13.7581,1.8719,5.0,0.12108956396256601,0.021262873212654337,0.1356916343994469,0.26478886049333583,0.47282761960180647,5294686000.0,655171000.0,1372583000.0,82981000.0,6.509999999999999,6.509999999999999,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2022-12-31,25537159000.0,20641298000.0,4895861000.0,1627952000.0,449103000.0,-2586651000.0,-294166000.0,-37058000.0,-68343000.0,-3.0700000000000003,-718716000.0,-12445000.0,-731161000.0,2077055000.0,0.6667,15.8522,2.2485,-3.0700000000000003,-0.06008463067068285,-0.01151913570338815,0.1137246578684175,0.2826670470813419,0.42424713446725715,5214906000.0,739704000.0,1369375000.0,90395000.0,7.0,7.0,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2023-03-31,26860123000.0,23013832000.0,3846291000.0,1628354000.0,514247000.0,1321318000.0,223610000.0,24867000.0,50624000.0,2.0,477330000.0,8210000.0,469120000.0,2142601000.0,,13.2915,2.0313,2.0,0.05813652685145248,0.008324980492457165,0.16923253902542765,0.3550394378945871,0.5570563953689411,5227868000.0,798953000.0,1448343000.0,95318000.0,7.36,7.36,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2023-06-30,26707958000.0,22727652000.0,3980306000.0,1798117000.0,258232000.0,2647724000.0,438870000.0,50685000.0,99870000.0,4.0,804141000.0,25629000.0,778512000.0,2056349000.0,,12.5115,1.9908,4.0,0.11026036691651346,0.016432181000134865,0.1657536812749365,0.2940306466988251,0.5166308821482569,5274628000.0,896458000.0,1547092000.0,104231000.0,7.93,7.93,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2023-09-30,26166027000.0,21542896000.0,4623131000.0,1798583000.0,447537000.0,4031842000.0,695953000.0,76640000.0,161602000.0,7.0,1091028000.0,36449000.0,1054579000.0,2246120000.0,,11.3375,1.9215,7.0,0.1505371576102862,0.026597580137022712,0.17261415501897148,0.2615625810733655,0.48584390102724756,5414233000.0,1064267000.0,1571050000.0,115134000.0,9.93,9.93,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2023-12-31,28051499000.0,23564696000.0,4486803000.0,1629559000.0,486113000.0,-2553351000.0,-387678000.0,-49876000.0,-88585000.0,-3.0,-890074000.0,-20735000.0,-910809000.0,2115672000.0,0.6426,11.8013,2.103,-3.0,-0.08640406097615608,-0.013820224010132222,0.15183106435425447,0.3567112394653144,0.4715321800399973,5447533000.0,970755000.0,1391402000.0,102316000.0,10.0,10.0,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2024-03-31,28570593000.0,23531432000.0,5039161000.0,1629978000.0,733544000.0,1416139000.0,254217000.0,28621000.0,60706000.0,2.0,350806000.0,9106000.0,341700000.0,2363522000.0,,10.7178,1.9364,2.0,0.0504482789893,0.008897855217775844,0.17951415786162234,0.24128987338107347,0.4690308565255208,5542354000.0,1001362000.0,1263982000.0,106070000.0,10.0,10.0,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2024-09-30,29556820000.0,24918195000.0,4638625000.0,2323676000.0,437418000.0,4311792000.0,815566000.0,91413000.0,198638000.0,8.0,1065513000.0,56047000.0,1009466000.0,2761094000.0,,8.7244,1.6609,8.0,0.17582063650327415,0.027593157856630045,0.18914780675876758,0.23411750845124255,0.5952397531596109,7206422000.0,1378058000.0,1494936000.0,146798000.0,14.0,14.0,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2024-12-31,29076181000.0,23770661000.0,5305520000.0,2324251000.0,415401000.0,5778069000.0,1070762000.0,127092000.0,255875000.0,11.0,1402440000.0,71045000.0,1331395000.0,2739652000.0,0.6034,8.7429,1.6202,11.0,0.2018203682202687,0.03682608799278007,0.18531485172641587,0.23042213583811477,0.5163776594942626,8952649000.0,1752867000.0,1771752000.0,197250000.0,18.0,18.0,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
2025-03-31,29705259000.0,24279843000.0,5425416000.0,2324945000.0,476891000.0,1480422000.0,254563000.0,34992000.0,61518000.0,3.0,431887000.0,11746000.0,420141000.0,2801836000.0,,10.2368,1.8768,3.0,0.0469204573437318,0.008569627351170377,0.1719529971859375,0.283798133234983,0.5164278647019879,12986422000.0,2395108000.0,3102702000.0,282118000.0,24.0,24.0,0.4620847,152.71,109.38,0.56741,11213.65,9.6566,1.8635,1.8707
