report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-10-06,4357206000.0,2947889000.0,2380854000.0,4357206000.0,1147478000.0,599550000.0,479383000.0,4875802000.0,2434881000.0,544119000.0,322615000.0,25849000.0,196414000.0,4.34,74107000.0,504782000.0,201210000.0,143767000.0,303572000.0,599550000.0,,13.3064,0.8344,4.34,687886000.0,0.2811513597646316,0.07404171388729383,0.0661665506515646,0.49938061471733264,0.11159579490717629,0.12487796078496174,0.31145408087334603,0.06226093676486453,0.14108161077910875,0.522493677438696,1.2381645409588324,6302976000.0,423399000.0,713479000.0,3123573000.0,17641000.0,907529000.0,31132000.0,6.049999999999998,6.049999999999998,0.6606400456624527,22.917865861493,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2012-12-29,4613814000.0,3184200000.0,2559638000.0,4613814000.0,1210694000.0,604461000.0,598111000.0,-4046366000.0,-2027049000.0,-505127000.0,-301563000.0,-19663000.0,-185009000.0,-4.05,-148425000.0,-466301000.0,-158772000.0,-108549000.0,-625073000.0,604461000.0,1.2437,13.6907,0.8554,-4.05,-613676000.0,-0.24908275749280992,-0.06536089231165365,0.07452687176592528,0.5009554251889226,0.12483472824751889,-0.10948143986732019,-0.2782831218270616,0.15447762263720088,0.15166102127192646,0.49926818832834724,1.2440040349455666,6205003000.0,387670000.0,657315000.0,3098036000.0,96555000.0,846859000.0,33841000.0,5.22,5.22,0.7137681715610272,19.423628143376376,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2013-04-20,4747485000.0,3162874000.0,2624141000.0,,1270447000.0,604265000.0,407724000.0,2015304000.0,1008206000.0,204068000.0,121790000.0,10660000.0,72576000.0,1.0,73806000.0,135285000.0,63124000.0,64027000.0,72161000.0,604265000.0,,15.3387,0.9209,1.0,268095000.0,0.09586389672296444,0.0256535828970497,0.060432569974554706,0.5002748964920429,0.10125916487041162,0.0429844433421064,0.10885298648539082,0.03580650859622171,0.13302955782353432,0.4756318051835299,1.2052988006360938,6263015000.0,375954000.0,636819000.0,3125569000.0,15762000.0,834591000.0,34647000.0,4.43,4.43,0.7240253010157071,18.38020607844835,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2013-07-13,4852288000.0,3276279000.0,2639665000.0,,1368979000.0,604117000.0,520969000.0,3564857000.0,1787429000.0,398750000.0,238661000.0,18684000.0,142728000.0,3.0,73607000.0,310090000.0,111904000.0,112072000.0,198186000.0,604117000.0,,15.4674,0.9578,3.0,510822000.0,0.17433503362725067,0.04918525033963359,0.06694826749011251,0.5014027210628645,0.11185581918152677,0.08217772729071317,0.20209356260415104,0.055594375875385744,0.14329382637227805,0.44129018779689094,1.2411722699660752,6409597000.0,381503000.0,641810000.0,3203467000.0,-51154000.0,853127000.0,35530000.0,4.289999999999999,4.289999999999999,0.7081208307790048,18.063889670700817,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2013-10-05,4944699000.0,3378691000.0,2636344000.0,,1467848000.0,604027000.0,567301000.0,5085001000.0,2550369000.0,569474000.0,342491000.0,26632000.0,202040000.0,4.0,73463000.0,398467000.0,147690000.0,160059000.0,250777000.0,604027000.0,,14.6496,0.9309,4.0,729533000.0,0.23332865528310834,0.06926427675375185,0.06735318242808605,0.5015473939926463,0.11199093176186199,0.11516858761271415,0.274859245852187,0.04931700111760057,0.14346762173694755,0.41150514222181045,1.281581993852092,6618796000.0,401379000.0,667165000.0,3318955000.0,-103949000.0,894774000.0,36313000.0,3.9499999999999993,3.9499999999999993,0.6750609651152134,18.372621375265055,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2014-04-19,7913074000.0,4641784000.0,3664247000.0,,1666631000.0,2001740000.0,83358000.0,2969499000.0,1353122000.0,255802000.0,147726000.0,23642000.0,85037000.0,2.0,73355000.0,81131000.0,60529000.0,88205000.0,20602000.0,2001740000.0,,21.1994,1.1889,2.0,344007000.0,0.08863749684243243,0.01866859832221966,0.04974778573759412,0.4556734991323452,0.08614315074697786,0.0323265016856913,0.06973176922399615,0.006937870664378065,0.11584681456366883,1.201069702891642,1.2667770485996168,13634661000.0,850668000.0,1428094000.0,6699126000.0,541726000.0,1852457000.0,79618000.0,10.0,10.0,1.0805864859481218,17.93682333140747,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2014-07-12,7969525000.0,4714776000.0,3774173000.0,,1814525000.0,1797795000.0,67446000.0,5317196000.0,2415230000.0,496475000.0,287214000.0,40503000.0,169569000.0,3.0,73374000.0,320561000.0,106270000.0,152703000.0,214291000.0,1797795000.0,,22.3436,1.193,3.0,649178000.0,0.15828605282374175,0.03603903620353785,0.05401606410596863,0.4542300114571665,0.09337158156291399,0.06229668643990702,0.13743937414182575,0.04030150477808228,0.12209028969404175,0.9907799561868809,1.2492209551602431,16936553000.0,1016092000.0,1720501000.0,8106150000.0,683856000.0,2233540000.0,109461000.0,12.0,12.0,0.8049083517644636,15.717936068554097,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2014-10-04,7997737000.0,4763273000.0,3784042000.0,,1925499000.0,1730150000.0,89664000.0,7606652000.0,3449672000.0,705633000.0,409391000.0,56406000.0,241045000.0,5.0,73390000.0,540294000.0,161542000.0,218615000.0,378752000.0,1730150000.0,,21.3851,1.0881,5.0,924248000.0,0.21261553498599584,0.051188354905894004,0.05382013006510617,0.4535072723190176,0.09276525335982243,0.08822908280179756,0.1930253697770218,0.049792208188306764,0.12150522989614879,0.8985462989074521,1.258779104460257,20978348000.0,1186822000.0,2027384000.0,9768393000.0,864422000.0,2646966000.0,147183000.0,14.0,14.0,0.6536351430279044,13.7745799446947,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2015-01-03,7962358000.0,4741040000.0,3743066000.0,,2002912000.0,1636311000.0,104671000.0,-6049486000.0,-2764411000.0,-606200000.0,-350506000.0,-47143000.0,-208082000.0,-4.0,-146705000.0,-232995000.0,-99895000.0,-174830000.0,-332890000.0,1636311000.0,1.2975,23.1549,1.1615,-4.0,-781030000.0,-0.17499820261698967,-0.04402037687830665,0.05793979852172565,0.4569662612658332,0.10020686054980539,-0.07613322586098238,-0.1665740186847577,0.05502781558631593,0.12910683651470556,0.8169659975076289,1.266619397039753,9843861000.0,493825000.0,851710000.0,4453613000.0,280755000.0,1136403000.0,73408000.0,5.999999999999999,5.999999999999999,1.439903801732308,11.602413905841326,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
2015-04-25,8146695000.0,4936865000.0,3824478000.0,,2146588000.0,1609687000.0,123821000.0,3038233000.0,1393924000.0,262528000.0,148112000.0,21777000.0,90731000.0,2.0,73653000.0,102211000.0,57038000.0,83247000.0,45173000.0,1609687000.0,,21.4626,1.07,2.0,345775000.0,0.06899880181944555,0.01818062416722364,0.04874938821347803,0.4587943057691757,0.08640811945627606,0.032225092506838665,0.06989051653566365,0.014868181604241675,0.11380792717345904,0.7498816726824151,1.290859824530302,9912595000.0,494211000.0,858436000.0,4494415000.0,305326000.0,1138171000.0,71543000.0,5.999999999999999,5.999999999999999,1.4142751836059784,11.998881791370225,1.0453646,70.0,28.8901,1.37362,3114.983,70.7951,1.0582,0.3621
