report_date,total_assets,total_liabilities,total_equity,cash,revenue,operating_income,net_income,interest_expense,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2013-03-31,3905932000.0,2478153000.0,1310053000.0,31274000.0,157752000.0,62905000.0,34588000.0,27405000.0,0.53,64847000.0,67693000.0,0.0,,49.4043,11.4977,0.53,62905000.0,0.02640198526319164,0.008855248888101483,0.21925554034180234,0.3987588112987474,0.016104991075113442,0.0480171412912302,0.3987588112987474,0.0,1511273000.0,376335000.0,629942000.0,629942000.0,284011000.0,5.83,5.83,0.0,2.218019724588132,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2013-06-30,4085203000.0,2607266000.0,1360717000.0,108366000.0,315699000.0,126818000.0,72127000.0,54552000.0,1.0,65080000.0,146696000.0,0.0,,45.0552,10.6553,1.0,126818000.0,0.05300661342512807,0.017655670966656982,0.22846762264055318,0.4017054219367182,0.03104325537800692,0.09319939414294082,0.4017054219367182,0.0,1533123000.0,372873000.0,634434000.0,634434000.0,281037000.0,5.65,5.65,0.0,2.2574749943957557,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2013-09-30,4159476000.0,2634546000.0,1407992000.0,127831000.0,473567000.0,190691000.0,134225000.0,80314000.0,2.0,65271000.0,226728000.0,0.0,,38.7713,10.5908,2.0,190691000.0,0.09533079733407576,0.032269689739765295,0.28343402306326243,0.40266952722634813,0.045844957393671705,0.1354347183790817,0.40266952722634813,0.0,1555036000.0,392865000.0,635676000.0,635676000.0,275607000.0,5.88,5.88,0.0,2.306458108828876,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2013-12-31,4219294000.0,2643572000.0,1448160000.0,88927000.0,-309605000.0,-126253000.0,-78259000.0,-57294000.0,-1.0700000000000003,-129715000.0,-126619000.0,0.0,1.6885,40.5396,10.3496,-1.0700000000000003,-126253000.0,-0.054040299414429345,-0.01854788976544417,0.25277046559325594,0.40778734193569227,-0.029922778550155547,-0.08718166500939123,0.40778734193569227,0.0,637413000.0,162681000.0,254161000.0,254161000.0,104977000.0,2.46,2.46,0.0,2.421111291044705,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2014-03-31,4405647000.0,2721011000.0,1485738000.0,75699000.0,170828000.0,63444000.0,38753000.0,23137000.0,0.0,66773000.0,79162000.0,0.0,,46.2284,11.8518,0.0,63444000.0,0.026083333669866423,0.008796210863012856,0.2268539115367504,0.37139110684431126,0.014400609036538788,0.04270201071790585,0.37139110684431126,0.0,650489000.0,166846000.0,254700000.0,254700000.0,100709000.0,1.93,1.93,0.0,2.529068901488447,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2014-06-30,4431485000.0,2702741000.0,1529761000.0,41312000.0,338775000.0,131805000.0,82298000.0,46350000.0,1.0,67021000.0,172069000.0,0.0,,47.0473,12.297,1.0,131805000.0,0.05379794621512772,0.01857120130159529,0.24292819718101985,0.38906353774629177,0.02974285143693367,0.08616051788481992,0.38906353774629177,0.0,673565000.0,177017000.0,259687000.0,259687000.0,92507000.0,1.93,1.93,0.0,2.8072145891662252,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2014-09-30,4479398000.0,2706934000.0,1573322000.0,23917000.0,509713000.0,199427000.0,129373000.0,69772000.0,1.0,67261000.0,241846000.0,0.0,,50.8037,11.9125,1.0,199427000.0,0.08222919402385526,0.028881782775274714,0.2538153823818502,0.3912535093277982,0.04452093785816755,0.12675536222082956,0.3912535093277982,0.0,709711000.0,172165000.0,268423000.0,268423000.0,81965000.0,0.9299999999999999,0.9299999999999999,0.0,3.274849020923565,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2014-12-31,4546870000.0,2735261000.0,1604401000.0,47951000.0,-333226000.0,-123639000.0,-85889000.0,-45318000.0,0.0,-133563000.0,-146947000.0,0.0,1.5994,55.2429,13.2551,0.0,-123639000.0,-0.05353337476104789,-0.018889697748121236,0.25774999549855054,0.37103647374454574,-0.02719211237620605,-0.07706240522163724,0.37103647374454574,0.0,686090000.0,164535000.0,271037000.0,271037000.0,93941000.0,2.0,2.0,0.0,2.8851832533185724,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2015-03-31,4780750000.0,2969679000.0,1591569000.0,171437000.0,184792000.0,72122000.0,46186000.0,24168000.0,0.0,68563000.0,81986000.0,0.0,,58.7797,14.443,0.0,72122000.0,0.0290191628512493,0.009660827276055012,0.24993506212390146,0.3902874583315295,0.0150859174815667,0.04531503189619803,0.3902874583315295,0.0,700054000.0,171968000.0,279715000.0,279715000.0,94972000.0,2.0,2.0,0.0,2.94523649075517,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2015-06-30,4733838000.0,2871912000.0,1635572000.0,22175000.0,366253000.0,148323000.0,89818000.0,47613000.0,1.0,68638000.0,173648000.0,0.0,,51.1187,12.3284,1.0,148323000.0,0.054915344601154825,0.018973610841773632,0.24523485131862402,0.4049741572082686,0.03133250440762865,0.09068570506220454,0.4049741572082686,0.0,727532000.0,179488000.0,296233000.0,296233000.0,96235000.0,2.0,2.0,0.0,3.07822517794981,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2015-09-30,4783803000.0,2885056000.0,1665704000.0,12864000.0,551505000.0,224240000.0,142265000.0,69346000.0,2.0,68821000.0,261150000.0,0.0,,53.1692,12.9563,2.0,224240000.0,0.085408331852478,0.029738891839818656,0.2579577701018123,0.4065964950453758,0.04687483995473894,0.13462175752714767,0.4065964950453758,0.0,769324000.0,192380000.0,321046000.0,321046000.0,95809000.0,3.0,3.0,0.0,3.3508960536066548,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2015-12-31,4911709000.0,2992462000.0,1663749000.0,21046000.0,-358538000.0,-144531000.0,-68050000.0,-48574000.0,0.0,-137041000.0,-156949000.0,0.0,1.597,48.2531,13.631,0.0,-144531000.0,-0.04090160234506527,-0.013854648147925702,0.18979857086278162,0.4031120829591285,-0.02942580678130565,-0.08687067580506434,0.4031120829591285,0.0,744012000.0,210219000.0,300154000.0,300154000.0,92553000.0,3.0,3.0,0.0,3.2430499281492766,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2016-03-31,5125457000.0,3030284000.0,1854951000.0,19716000.0,198344000.0,76922000.0,76955000.0,23729000.0,1.0,69957000.0,100508000.0,0.0,,45.8834,14.596,1.0,76922000.0,0.04148627106592034,0.015014270922573344,0.3879875368047433,0.3878211591981608,0.01500783247230442,0.041468480838577404,0.3878211591981608,0.0,757564000.0,240988000.0,304954000.0,304954000.0,92114000.0,4.0,4.0,0.0,3.3106151073669583,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2016-06-30,5188468000.0,3039380000.0,1923739000.0,18622000.0,396325000.0,157057000.0,132896000.0,46830000.0,1.0,70451000.0,199236000.0,0.0,,46.3411,15.1637,1.0,157057000.0,0.0690821364020795,0.02561372644102267,0.3353207594777014,0.39628335330852205,0.0302703996632532,0.08164153245320702,0.39628335330852205,0.0,787636000.0,284066000.0,313688000.0,313688000.0,91331000.0,4.0,4.0,0.0,3.434627891953444,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2016-09-30,5397337000.0,3200261000.0,1972690000.0,101281000.0,597482000.0,237518000.0,191873000.0,71143000.0,2.0,70804000.0,288972000.0,0.0,,42.3036,13.9173,2.0,237518000.0,0.09726464877907831,0.035549568240782446,0.32113603422362513,0.3975316411205693,0.0440065165469564,0.12040310439045161,0.3975316411205693,0.0,833613000.0,333674000.0,326966000.0,326966000.0,93128000.0,4.0,4.0,0.0,3.510931191478395,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2016-12-31,5423279000.0,3203750000.0,1976733000.0,23368000.0,-390560000.0,-150502000.0,-151814000.0,-46708000.0,-1.0,-140163000.0,-169462000.0,0.0,1.3081,41.1933,12.8421,-1.0,-150502000.0,-0.07680045812965129,-0.027993027834267794,0.3887085210979107,0.38534924211388777,-0.02775110777077853,-0.07613673672671019,0.38534924211388777,0.0,801591000.0,249910000.0,320995000.0,320995000.0,94994000.0,3.0,3.0,0.0,3.3791081541992125,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2017-03-31,5656200000.0,3438395000.0,1981692000.0,20112000.0,207389000.0,81544000.0,56190000.0,23758000.0,0.0,72005000.0,121066000.0,0.0,,42.0561,11.8849,0.0,81544000.0,0.02835455762045767,0.00993423146281956,0.2709401173639875,0.3931934673487986,0.014416746225380998,0.04114867497068162,0.3931934673487986,0.0,810636000.0,229145000.0,325617000.0,325617000.0,95023000.0,2.0,2.0,0.0,3.426717742020353,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2017-06-30,5803503000.0,3564781000.0,1992367000.0,96326000.0,415438000.0,164634000.0,132481000.0,47665000.0,1.0,72061000.0,241829000.0,0.0,,36.5942,11.125,1.0,164634000.0,0.066494275402072,0.02282776454151915,0.3188947568590259,0.39629018048421183,0.028368039096387132,0.08263236642646661,0.39629018048421183,0.0,829749000.0,228730000.0,333194000.0,333194000.0,95858000.0,2.0,2.0,0.0,3.4759122869244092,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2017-09-30,6221137000.0,3735531000.0,2208954000.0,22850000.0,633391000.0,249131000.0,239258000.0,73952000.0,3.0,72110000.0,339638000.0,0.0,,30.264,10.7433,3.0,249131000.0,0.108312803254391,0.038458886213243657,0.37774139512560173,0.393328923208571,0.040045895147462596,0.11278233951453946,0.393328923208571,0.0,865658000.0,276115000.0,344807000.0,344807000.0,98667000.0,3.0,3.0,0.0,3.4946537342779247,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2017-12-31,6275755000.0,3743084000.0,2266706000.0,15188000.0,-398870000.0,-163021000.0,-138015000.0,-45250000.0,-1.0,-143943000.0,-243356000.0,0.0,1.7075,33.4591,11.3169,-1.0,-163021000.0,-0.060887914003845224,-0.021991776288271293,0.34601499235339833,0.4087070975505804,-0.02597631679375629,-0.07191978139202879,0.4087070975505804,0.0,857348000.0,289914000.0,332288000.0,332288000.0,100125000.0,3.0,3.0,0.0,3.3187315855181025,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2018-03-31,6293625000.0,3778974000.0,2251627000.0,64407000.0,225405000.0,86145000.0,61247000.0,26184000.0,0.81,72968000.0,124180000.0,0.0,,28.6915,9.6687,0.81,86145000.0,0.027201219384915886,0.009731593477526862,0.271719793261019,0.38217874492580023,0.013687660132276708,0.038259001157829424,0.38217874492580023,0.0,875364000.0,294971000.0,336889000.0,336889000.0,102551000.0,3.81,3.81,0.0,3.2850874199178945,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2018-06-30,6302703000.0,3773694000.0,2264944000.0,56116000.0,450307000.0,176041000.0,124842000.0,53950000.0,1.0,72997000.0,263111000.0,0.0,,32.3544,10.2361,1.0,176041000.0,0.05511924356628685,0.019807692033084853,0.27723752906350557,0.39093551732484727,0.027931032130182876,0.07772421746409625,0.39093551732484727,0.0,910233000.0,287332000.0,348296000.0,348296000.0,108836000.0,3.81,3.81,0.0,3.2001911132345917,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2018-09-30,6285664000.0,3710777000.0,2311771000.0,41872000.0,680060000.0,266383000.0,187400000.0,82116000.0,2.0,73136000.0,364716000.0,0.0,,38.6192,10.1706,2.0,266383000.0,0.0810633925246056,0.02981387487463536,0.27556392083051495,0.3917051436637944,0.042379452671985014,0.11522897380406623,0.3917051436637944,0.0,956902000.0,235474000.0,365548000.0,365548000.0,117000000.0,2.81,2.81,0.0,3.1243418803418805,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2018-12-31,6289644000.0,3686106000.0,2345891000.0,64087000.0,-440336000.0,-178848000.0,-131582000.0,-52096000.0,-0.81,-145799000.0,-235319000.0,0.0,1.6726,36.043,9.5235,-0.81,-178848000.0,-0.05609041511306365,-0.02092042093320385,0.2988218088005523,0.406162566767196,-0.028435313667991385,-0.0762388363312703,0.406162566767196,0.0,915436000.0,241907000.0,349721000.0,349721000.0,110154000.0,3.0,3.0,0.0,3.1748370463169744,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2019-03-31,6351366000.0,3715095000.0,2388158000.0,43003000.0,232227000.0,91093000.0,60144000.0,28033000.0,0.78,74200000.0,104919000.0,0.0,,42.5179,11.1008,0.78,91093000.0,0.025184263352759743,0.00946945901086475,0.2589879729747187,0.39225843678814265,0.014342269048894364,0.038143623663090966,0.39225843678814265,0.0,922258000.0,240804000.0,354669000.0,354669000.0,112003000.0,2.9699999999999998,2.9699999999999998,0.0,3.1666026802853495,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2019-06-30,6383741000.0,3738385000.0,2407166000.0,105903000.0,462692000.0,200672000.0,141046000.0,55515000.0,1.83,74458000.0,242287000.0,0.0,,37.1686,10.3386,1.83,200672000.0,0.05859421410903943,0.022094568059700417,0.3048377754532173,0.43370535907255797,0.03143485927765553,0.08336442106610013,0.43370535907255797,0.0,934643000.0,257008000.0,379300000.0,379300000.0,113568000.0,3.8,3.8,0.0,3.339849253310792,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2019-09-30,6607565000.0,3912162000.0,2469928000.0,162543000.0,696639000.0,294690000.0,206511000.0,82567000.0,2.68,74584000.0,344306000.0,0.0,,39.0969,10.9488,2.68,294690000.0,0.08361012952604287,0.03125372205948788,0.29643904518696196,0.42301679923173985,0.04459888022289603,0.1193111702041517,0.42301679923173985,0.0,951222000.0,276119000.0,407607000.0,407607000.0,114019000.0,4.48,4.48,0.0,3.574904182636227,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2019-12-31,6794992000.0,4019102000.0,2535341000.0,127432000.0,-455770000.0,-115544000.0,-53835000.0,-56492000.0,-0.6800000000000006,-148476000.0,-229593000.0,0.0,1.1822,27.4777,10.3926,-0.6800000000000006,-115544000.0,-0.02123383008439496,-0.00792274663458029,0.11811878798516796,0.2535138337319262,-0.017004287863767904,-0.04557335679894736,0.2535138337319262,0.0,935788000.0,353866000.0,470911000.0,470911000.0,109623000.0,4.61,4.61,0.0,4.295731735128577,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2020-03-31,7759914000.0,5000772000.0,2502107000.0,994688000.0,231557000.0,85742000.0,54763000.0,28445000.0,0.0,75360000.0,118749000.0,0.0,,16.1853,6.0338,0.0,85742000.0,0.021886753843860393,0.007057165839724513,0.2364990045647508,0.3702846383395881,0.011049349258252088,0.034267918997868595,0.3702846383395881,0.0,935118000.0,348485000.0,465560000.0,465560000.0,110035000.0,3.83,3.83,0.0,4.231017403553415,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2020-06-30,7789930000.0,5099246000.0,2434284000.0,980039000.0,407784000.0,134037000.0,65270000.0,62518000.0,,,181382000.0,0.0,,23.1657,7.3169,,134037000.0,0.026812812309492236,0.008378765919591061,0.160060227963824,0.32869607439232534,0.017206444730568825,0.05506218666351174,0.32869607439232534,0.0,880210000.0,272709000.0,398925000.0,398925000.0,117038000.0,,,0.0,3.4085083477161264,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2020-09-30,7711293000.0,5133488000.0,2327859000.0,863279000.0,615981000.0,137725000.0,36981000.0,98746000.0,,,268422000.0,0.0,,30.1242,6.4962,,137725000.0,0.015886271462317948,0.004795693796098787,0.06003594266706278,0.22358644178960066,0.01786016949427288,0.05916380674259051,0.22358644178960066,0.0,799552000.0,103179000.0,241960000.0,241960000.0,133217000.0,,,0.0,1.816284708408086,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2020-12-31,7607624000.0,4921157000.0,2464157000.0,798329000.0,-419828000.0,-67980000.0,-25308000.0,-53420000.0,1.62,155000.0,-198624000.0,0.0,2.9282,48.892,7.7069,1.62,-67980000.0,-0.010270449488405163,-0.003326662831917035,0.060281829701687356,0.1619234543670265,-0.008935772851024183,-0.027587527905080723,0.1619234543670265,0.0,835494000.0,131706000.0,289524000.0,289524000.0,136289000.0,,,0.0,2.124338721393509,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2021-03-31,7669601000.0,4926459000.0,2520978000.0,779901000.0,218161000.0,82799000.0,48236000.0,32085000.0,0.6,,115106000.0,0.0,,63.0161,9.5892,0.6,82799000.0,0.019133844087493027,0.00628924503373774,0.2211027635553559,0.37953163030972537,0.01079573761399061,0.03284399943196648,0.37953163030972537,0.0,822098000.0,125179000.0,286581000.0,286581000.0,139929000.0,,,0.0,2.0480457946530026,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2021-06-30,7678876000.0,4890414000.0,2490089000.0,304268000.0,449786000.0,161662000.0,94440000.0,63262000.0,1.16,77162000.0,247209000.0,0.0,,56.6618,10.3831,1.16,161662000.0,0.03792635524272426,0.012298674962325215,0.20996651741050187,0.3594198129777272,0.021052820751370382,0.06492217748040331,0.3594198129777272,0.0,864100000.0,154349000.0,314206000.0,314206000.0,140673000.0,,,0.0,2.23359137858722,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2021-09-30,7634442000.0,4875310000.0,2461163000.0,177591000.0,697070000.0,247235000.0,146562000.0,95511000.0,1.81,77287000.0,366036000.0,0.0,,38.0425,10.0108,1.81,247235000.0,0.05954989572003155,0.019197473764290828,0.21025435035218845,0.35467743555166625,0.03238416114759926,0.10045454120673844,0.35467743555166625,0.0,945189000.0,263930000.0,423716000.0,423716000.0,137438000.0,5.19,5.19,0.0,3.082961044252681,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2022-03-31,7668375000.0,4739755000.0,2633758000.0,157944000.0,256771000.0,85984000.0,51984000.0,31573000.0,0.63,78543000.0,103069000.0,0.0,,36.2194,9.7034,0.63,85984000.0,0.019737576497157294,0.0067790111985916186,0.20245276919901392,0.33486647635441696,0.011212805842176472,0.03264688707162921,0.33486647635441696,0.0,1621788000.0,341222000.0,577680000.0,577680000.0,222431000.0,4.2,4.2,0.0,2.5971200057545936,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2022-06-30,7810441000.0,4724702000.0,2795883000.0,176559000.0,520870000.0,179584000.0,113660000.0,63647000.0,1.38,78855000.0,260521000.0,0.0,,27.5919,7.5754,1.38,179584000.0,0.04065263102926696,0.014552315291799784,0.21821183788661278,0.344777007698658,0.02299281180153592,0.06423158622875134,0.344777007698658,0.0,1924497000.0,406646000.0,674465000.0,674465000.0,253993000.0,4.98,4.98,0.0,2.655447197363707,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
2023-12-31,8436512000.0,5210990000.0,2963509000.0,250825000.0,1132154000.0,406470000.0,236985000.0,167809000.0,2.8,81313000.0,555830000.0,0.0,1.8877,35.7815,7.4869,2.8,406470000.0,0.07996770045240288,0.028090400392958608,0.20932223001464464,0.35902359572990955,0.048179863905841655,0.13715834843086355,0.35902359572990955,0.0,2606865000.0,549191000.0,919273000.0,919273000.0,358540000.0,6.62,6.62,0.0,2.5639342890611925,0.9824759,110.885,80.65,0.59253,9162.051,22.2879,2.7201,7.1636
