report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2018-12-31,2354507000000.0,2089182000000.0,265325000000.0,229340000000.0,,177404000000.0,-46123000000.0,,-13342000000.0,-7169000000.0,-3246000000.0,0.6099999999999999,-20943600000.0,-88112000000.0,,229340000000.0,8.4645,0.6099999999999999,,-0.050285498916423255,-0.005666579033317803,0.28926999544695703,,,,,0.8643738810892302,91247000000.0,28147000000.0,19337000000.0,2.61,2.61,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2019-03-31,2377164000000.0,2110154000000.0,267010000000.0,233929000000.0,,171623000000.0,23004000000.0,8767000000.0,7311000000.0,5795000000.0,1456000000.0,0.7,9787300000.0,15101000000.0,,233929000000.0,9.5684,0.7,8767000000.0,0.027380996966405752,0.003075513511057714,0.31781429316640586,0.3811076334550513,0.0036880080633898207,0.01750113287246551,0.3811076334550513,0.8761057638290701,91126000000.0,28540000000.0,21141000000.0,3.3099999999999996,3.3099999999999996,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2019-06-30,2395892000000.0,2124484000000.0,271408000000.0,238011000000.0,,171394000000.0,46088000000.0,,14659000000.0,11830000000.0,3067000000.0,1.45,9672400000.0,8376000000.0,,238011000000.0,9.444,1.45,,0.05401093556564287,0.006118389309701773,0.318065440027773,,,,,0.8769490950893121,91480000000.0,29497000000.0,24261000000.0,3.76,3.76,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2019-09-30,2426330000000.0,2157943000000.0,268387000000.0,243405000000.0,,157094000000.0,68895000000.0,,20436000000.0,17559000000.0,4149000000.0,2.01,9565700000.0,2674000000.0,1290000000.0,243405000000.0,9.5563,2.01,,0.07614377745568898,0.008422597091079944,0.2966252993686044,,,,,0.906917995282931,91864000000.0,29064000000.0,28015000000.0,4.77,4.77,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2019-12-31,2434079000000.0,2169269000000.0,264810000000.0,240856000000.0,,161560000000.0,,,-14976000000.0,-12839000000.0,-3348000000.0,-1.4100000000000001,-19582500000.0,35626000000.0,439000000.0,240856000000.0,11.5497,-1.4100000000000001,,-0.05655375552282769,-0.006152635144545432,,,,,,0.9095426909859899,,27430000000.0,22345000000.0,2.75,2.75,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2020-03-31,2619954000000.0,2355036000000.0,264918000000.0,256712000000.0,,250390000000.0,22767000000.0,,4010000000.0,3968000000.0,521000000.0,0.4,8862700000.0,19043000000.0,432000000.0,256712000000.0,7.6332,0.4,,0.015136759299103873,0.001530561223594002,0.1761321210524004,,,,,0.9690243773545022,,24129000000.0,20518000000.0,2.4499999999999997,2.4499999999999997,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2020-06-30,2741688000000.0,2476051000000.0,265637000000.0,261638000000.0,,289346000000.0,45093000000.0,,7543000000.0,5660000000.0,787000000.0,0.77,8813300000.0,16037000000.0,880000000.0,261638000000.0,10.1296,0.77,,0.028395893644334185,0.0027512247929013076,0.16727651741955515,,,,,0.984945621280168,,17013000000.0,14348000000.0,1.7699999999999996,1.7699999999999996,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2020-09-30,2738452000000.0,2469602000000.0,268850000000.0,255723000000.0,,301006000000.0,65429000000.0,,12424000000.0,7017000000.0,452000000.0,1.28,8800500000.0,-16601000000.0,1356000000.0,255723000000.0,10.7487,1.28,,0.04621164217965408,0.004536869735164246,0.18988521909245135,,,,,0.9511735168309466,,9001000000.0,3806000000.0,1.04,1.04,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2020-12-31,2819627000000.0,2546703000000.0,272924000000.0,262934000000.0,,,-47761000000.0,,-6083000000.0,-8420000000.0,-659000000.0,-0.5800000000000001,-17679600000.0,19514000000.0,-825000000.0,262934000000.0,14.6533,-0.5800000000000001,,-0.022288256071287246,-0.002157377553839568,0.12736332991352778,,,,,0.9633964033943515,85528000000.0,17894000000.0,8225000000.0,1.87,1.87,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2021-03-31,2969992000000.0,2695992000000.0,274000000000.0,251211000000.0,,,22821000000.0,9166000000.0,8050000000.0,1198000000.0,1116000000.0,0.86,8755600000.0,-52328000000.0,461000000.0,251211000000.0,15.2178,0.86,9627000000.0,0.02937956204379562,0.002710445011299694,0.3527452784715832,0.4016476052758424,0.003086203599201614,0.017452033563653466,0.4218482976206126,0.9168284671532847,85582000000.0,21934000000.0,5455000000.0,2.33,2.33,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2021-06-30,3029894000000.0,2752775000000.0,277119000000.0,274604000000.0,,,44287000000.0,,17274000000.0,2352000000.0,-66000000.0,1.9,8776200000.0,-61639000000.0,930000000.0,274604000000.0,12.7896,1.9,,0.062334231864289345,0.005701189546564995,0.3900467405784993,,,,,0.99092447648844,84776000000.0,31665000000.0,2147000000.0,3.46,3.46,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2021-09-30,3085446000000.0,2812982000000.0,272464000000.0,278621000000.0,,,67053000000.0,,24965000000.0,3594000000.0,1193000000.0,2.75,8702200000.0,-51844000000.0,1403000000.0,278621000000.0,11.4947,2.75,,0.09162678372188619,0.008091212745256277,0.37231742054792477,,,,,1.0225974807681015,86400000000.0,44206000000.0,-1276000000.0,4.93,4.93,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2021-12-31,3169495000000.0,2899429000000.0,270066000000.0,280117000000.0,,,-45048000000.0,,-18311000000.0,-2406000000.0,-245000000.0,-1.94,-17675600000.0,158618000000.0,-896000000.0,280117000000.0,11.3863,-1.94,,-0.06780194470981167,-0.005777261046318104,0.40647753507369916,,,,,1.0372168284789645,89113000000.0,31978000000.0,4738000000.0,3.57,3.57,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2022-03-31,3238223000000.0,2971606000000.0,266617000000.0,278710000000.0,,,23228000000.0,,7067000000.0,1322000000.0,812000000.0,0.8,8202100000.0,-45430000000.0,494000000.0,278710000000.0,10.7254,0.8,,0.02650618677728727,0.002182369775027847,0.3042448768727398,,,,,1.0453571977780862,89520000000.0,30995000000.0,4862000000.0,3.51,3.51,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2022-06-30,3111606000000.0,2842488000000.0,269118000000.0,275697000000.0,,,45916000000.0,,13314000000.0,3853000000.0,1457000000.0,1.53,8182200000.0,-50479000000.0,985000000.0,275697000000.0,8.9277,1.53,,0.04947272200298754,0.004278819362091473,0.2899642826030142,,,,,1.0244465253160324,91149000000.0,27035000000.0,6363000000.0,3.14,3.14,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2022-09-30,3072953000000.0,2803429000000.0,269524000000.0,269122000000.0,,,70418000000.0,,20396000000.0,9709000000.0,2676000000.0,2.34,8173300000.0,-37325000000.0,1476000000.0,269122000000.0,8.8416,2.34,,0.07567415146703077,0.00663726389567299,0.289641852935329,,,,,0.9985084816194476,94514000000.0,22466000000.0,12478000000.0,2.73,2.73,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2022-12-31,3051375000000.0,2778178000000.0,273197000000.0,275982000000.0,,,-44612000000.0,,-13249000000.0,5219000000.0,-1504000000.0,-1.48,-16390100000.0,126907000000.0,-977000000.0,275982000000.0,9.6521,-1.48,,-0.048496140147951845,-0.004341976977592069,0.2969828745628979,,,,,1.01019410901291,94950000000.0,27528000000.0,20103000000.0,3.19,3.19,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2023-03-31,3194657000000.0,2914461000000.0,280196000000.0,283873000000.0,,,26258000000.0,,8161000000.0,14207000000.0,928000000.0,0.94,8182300000.0,-11300000000.0,503000000.0,283873000000.0,7.9931,0.94,,0.02912604034318834,0.0025545778466984095,0.3108005179373905,,,,,1.0131229567873916,97980000000.0,28622000000.0,32988000000.0,3.3299999999999996,3.3299999999999996,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2023-06-30,3123198000000.0,2839879000000.0,283319000000.0,286073000000.0,,,51455000000.0,,15569000000.0,32403000000.0,1554000000.0,1.82,8162600000.0,486000000.0,1013000000.0,286073000000.0,7.6617,1.82,,0.05495219169910948,0.0049849545241768215,0.3025750655912934,,,,,1.0097204917425235,103519000000.0,30877000000.0,61538000000.0,3.62,3.62,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2023-09-30,3153090000000.0,2866026000000.0,287064000000.0,290359000000.0,,,76622000000.0,,23371000000.0,51648000000.0,1847000000.0,2.72,8153400000.0,12258000000.0,1530000000.0,290359000000.0,6.9355,2.72,,0.0814139007329376,0.0074120941679431925,0.3050168358956957,,,,,1.0114782766212413,109723000000.0,33852000000.0,103477000000.0,4.0,4.0,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2023-12-31,3180151000000.0,2888505000000.0,291646000000.0,302204000000.0,,,-55754000000.0,,-20586000000.0,-24927000000.0,-2502000000.0,-2.4000000000000004,-16417800000.0,43538000000.0,-989000000.0,302204000000.0,10.0492,-2.4000000000000004,,-0.07058557292059552,-0.006473277526758949,0.36922911360619864,,,,,1.0362014222722067,98581000000.0,26515000000.0,73331000000.0,3.08,3.08,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2024-03-31,3273803000000.0,2980251000000.0,293552000000.0,296346000000.0,,,25818000000.0,,6674000000.0,22253000000.0,588000000.0,0.76,8031400000.0,-15539000000.0,538000000.0,296346000000.0,11.829,0.76,,0.022735324576224996,0.002038607698752796,0.2585018204353552,,,,,1.009517904834578,98141000000.0,25028000000.0,81377000000.0,2.8999999999999995,2.8999999999999995,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2024-06-30,3257996000000.0,2964104000000.0,293892000000.0,290474000000.0,,,51195000000.0,,13571000000.0,,1251000000.0,1.59,7996200000.0,2557000000.0,1081000000.0,290474000000.0,12.7623,1.59,,0.046176826861568196,0.004165444033694332,0.2650844809063385,,,,,0.9883698773699182,97881000000.0,23030000000.0,,2.67,2.67,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2024-09-30,3324293000000.0,3027781000000.0,296512000000.0,296927000000.0,,,76540000000.0,,20467000000.0,,1679000000.0,2.4,7965000000.0,-34719000000.0,1630000000.0,296927000000.0,12.9215,2.4,,0.06902587416360889,0.006156797851452926,0.26740266527305984,,,,,1.001399606086769,97799000000.0,20126000000.0,,2.349999999999999,2.349999999999999,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
2024-12-31,3261519000000.0,2965960000000.0,295559000000.0,283279000000.0,,,-51666000000.0,,-13580000000.0,,-1396000000.0,-1.54,-16056800000.0,38896000000.0,-1060000000.0,283279000000.0,12.3647,-1.54,,-0.04594683295044306,-0.004163704090026764,0.26284210118840245,,,,,0.9584516120300853,101887000000.0,27132000000.0,,3.21,3.21,1.2953628,57.55,33.065,45.68625,336084.0,10.9731,1.3245,2.32875
