report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-09-30,43792000000.0,16267000000.0,12251000000.0,43792000000.0,17332000000.0,6463000000.0,585000000.0,2549000000.0,,2426000000.0,1073000000.0,,1111000000.0,1.93,556000000.0,5107000000.0,,,,7048000000.0,,15.8525,0.1273,1.93,2426000000.0,0.06190860835448881,0.024502192181220316,,,0.05539824625502375,0.09950779327317473,,0.4066466651280868,1.327809974695943,145000000.0,1688000000.0,,1688000000.0,,0.3300000000000005,0.3300000000000005,4.1753554502369665,,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2012-12-31,44477000000.0,16460000000.0,11929000000.0,44477000000.0,18032000000.0,6463000000.0,586000000.0,1723000000.0,,711000000.0,1043000000.0,313000000.0,-127000000.0,1.8800000000000001,-1107000000.0,-4535000000.0,,,,7049000000.0,1.3798,9.0671,0.1356,1.8800000000000001,711000000.0,0.057841614906832296,0.023450322638667177,,,0.015985790408525755,0.028348151987560303,,0.390916149068323,1.3798306647665353,2083000000.0,4010000000.0,,4010000000.0,,3.75,3.75,1.75785536159601,,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2013-03-31,45501000000.0,17206000000.0,12705000000.0,,18343000000.0,,406000000.0,1857000000.0,,1061000000.0,654000000.0,83000000.0,340000000.0,1.0,556000000.0,1549000000.0,,430000000.0,,406000000.0,,7.8633,0.1812,1.0,1491000000.0,0.03565392792891021,0.01437331047669282,,,0.023318168831454253,0.05658968478318844,,0.02213378400479747,1.3542699724517906,3169000000.0,5315000000.0,,5745000000.0,,5.53,5.53,0.07067014795474326,,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2013-06-30,44177000000.0,16768000000.0,12035000000.0,,17920000000.0,,303000000.0,2398000000.0,,1869000000.0,1120000000.0,161000000.0,616000000.0,2.0,552000000.0,2814000000.0,,835000000.0,,303000000.0,,6.6615,0.1364,2.0,2704000000.0,0.0625,0.02535255902392648,,,0.04230708287117731,0.1025626954947045,,0.016908482142857142,1.3932696302451184,3890000000.0,6067000000.0,,7332000000.0,,6.8100000000000005,6.8100000000000005,0.04132569558101473,,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2013-09-30,46293000000.0,18593000000.0,13668000000.0,,18270000000.0,,303000000.0,1908000000.0,,2401000000.0,1432000000.0,263000000.0,739000000.0,2.0,549000000.0,3035000000.0,,1283000000.0,,303000000.0,,7.5816,0.1338,2.0,3684000000.0,0.07837985769020252,0.030933402458255026,,,0.05186529280884799,0.1292736768427287,,0.01658456486042693,1.3603306994439568,4249000000.0,6042000000.0,,8590000000.0,820000000.0,6.88,6.88,0.03527357392316647,7.368292682926829,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2013-12-31,47260000000.0,19277000000.0,13123000000.0,,19460000000.0,,303000000.0,4292000000.0,,-1368000000.0,-486000000.0,-142000000.0,-441000000.0,-1.0,-1109000000.0,-1834000000.0,2121000000.0,-828000000.0,-3955000000.0,303000000.0,1.4689,9.9978,0.197,-1.0,-2196000000.0,-0.0249743062692703,-0.010283537875581887,,,-0.028946254760897166,-0.06922026008197137,,0.015570400822199383,1.468947649165587,2720000000.0,3963000000.0,,5683000000.0,365000000.0,4.0,4.0,0.0533169100827028,10.857534246575343,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2014-03-31,47099000000.0,19030000000.0,12926000000.0,,19915000000.0,,704000000.0,3647000000.0,,1350000000.0,828000000.0,100000000.0,429000000.0,1.0,536000000.0,244000000.0,388000000.0,421000000.0,-144000000.0,704000000.0,,9.7743,0.2046,1.0,1771000000.0,0.041576700979161434,0.017579991082613218,,,0.02866302893904329,0.06547359231776517,,0.03535023851368315,1.4722265201918614,2894000000.0,4252000000.0,,5963000000.0,382000000.0,4.0,4.0,0.11806137850075465,11.13089005235602,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2014-06-30,47013000000.0,18450000000.0,12523000000.0,,20211000000.0,,601000000.0,3480000000.0,,2436000000.0,1416000000.0,198000000.0,772000000.0,2.0,535000000.0,1378000000.0,954000000.0,835000000.0,424000000.0,601000000.0,,8.8643,0.1921,2.0,3271000000.0,0.07006085794864182,0.03011932869631804,,,0.05181545529959798,0.11704785700557371,,0.029736282222552077,1.4732891479677395,3190000000.0,4819000000.0,,6530000000.0,419000000.0,4.0,4.0,0.09203675344563553,11.501193317422434,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2014-09-30,48455000000.0,19666000000.0,13460000000.0,,20554000000.0,,600000000.0,4191000000.0,,4106000000.0,2475000000.0,296000000.0,1293000000.0,4.0,533000000.0,3244000000.0,1453000000.0,1265000000.0,1791000000.0,600000000.0,,6.4919,0.1778,4.0,5371000000.0,0.12041451785540527,0.0510783200908059,,,0.08473841708801981,0.19410040654249788,,0.029191398267977037,1.4610698365527488,4233000000.0,6524000000.0,-1884000000.0,8217000000.0,452000000.0,6.0,6.0,0.07301935012778386,14.43362831858407,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2014-12-31,45550000000.0,16614000000.0,9980000000.0,,20677000000.0,,606000000.0,3689000000.0,,-1990000000.0,-1089000000.0,-197000000.0,-717000000.0,-1.0,-1074000000.0,-625000000.0,-642000000.0,-831000000.0,-1267000000.0,606000000.0,1.6647,7.1079,0.1972,-1.0,-2821000000.0,-0.05266721477970692,-0.023907793633369923,,,-0.043688254665203076,-0.09350185594136165,,0.02930792668182038,1.6647294589178356,3630000000.0,5902000000.0,804000000.0,7592000000.0,397000000.0,6.0,6.0,0.0798208640674394,14.866498740554157,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2015-03-31,45741000000.0,16788000000.0,8634000000.0,,20774000000.0,,200000000.0,4870000000.0,,1495000000.0,964000000.0,101000000.0,450000000.0,1.0,516000000.0,1433000000.0,458000000.0,441000000.0,975000000.0,200000000.0,,8.6836,0.2759,1.0,1936000000.0,0.04640415904496004,0.021075184189239413,,,0.032684025272731246,0.071278726041766,,0.00962741888899586,1.9444058373870743,3766000000.0,6047000000.0,1923000000.0,7757000000.0,398000000.0,6.0,6.0,0.025783163594173004,15.193467336683417,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2015-06-30,47599000000.0,18492000000.0,9865000000.0,,21453000000.0,,150000000.0,5764000000.0,,3573000000.0,2315000000.0,214000000.0,1058000000.0,4.0,512000000.0,3762000000.0,828000000.0,866000000.0,2934000000.0,150000000.0,,7.0302,0.2929,4.0,4439000000.0,0.10791031557357945,0.04863547553520032,,,0.07506460219752516,0.16539369532009443,,0.006992029086841001,1.8745058286872782,4665000000.0,7184000000.0,4433000000.0,8925000000.0,414000000.0,8.0,8.0,0.01680672268907563,17.352657004830917,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2015-09-30,45825000000.0,16827000000.0,8289000000.0,,21321000000.0,,129000000.0,5301000000.0,,5712000000.0,3692000000.0,326000000.0,1715000000.0,7.0,506000000.0,5124000000.0,1186000000.0,1348000000.0,3938000000.0,129000000.0,,6.1639,0.3084,7.0,7060000000.0,0.17316260963369448,0.08056737588652482,,,0.1246481178396072,0.2662937062937063,,0.006050372871816519,2.0300398117987695,5882000000.0,8790000000.0,6580000000.0,10614000000.0,444000000.0,11.0,11.0,0.01215375918598078,19.7972972972973,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2015-12-31,44343000000.0,14972000000.0,7360000000.0,,20527000000.0,,127000000.0,4114000000.0,,-4422000000.0,-2981000000.0,-208000000.0,-1353000000.0,-5.0,-1034000000.0,-4708000000.0,-854000000.0,-813000000.0,-5562000000.0,127000000.0,2.1301,8.5331,0.3878,-5.0,-5235000000.0,-0.14522336434939348,-0.06722594321538912,,,-0.09972261687301265,-0.2140989638810884,,0.0061869732547376625,2.0342391304347824,3990000000.0,6358000000.0,2285000000.0,8200000000.0,433000000.0,7.0,7.0,0.01548780487804878,14.683602771362587,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2016-03-31,44259000000.0,14861000000.0,6775000000.0,,20656000000.0,,128000000.0,3778000000.0,,829000000.0,495000000.0,108000000.0,217000000.0,1.0,471000000.0,640000000.0,316000000.0,485000000.0,324000000.0,128000000.0,,8.5577,0.3666,1.0,1314000000.0,0.023963981409759878,0.011184165932352741,,,0.018730653652364492,0.03988645111624326,,0.006196746707978312,2.1935055350553507,3521000000.0,5692000000.0,1634000000.0,7578000000.0,440000000.0,7.0,7.0,0.01689100026392188,12.936363636363636,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
