report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-09-30,5191000000.0,2332000000.0,2046000000.0,3037000000.0,2154000000.0,871000000.0,,1666000000.0,1016000000.0,-149000000.0,-180000000.0,22000000.0,-0.57,,-272000000.0,,0.0,,262.1447,0.9602,-0.57,-149000000.0,-0.08356545961002786,-0.034675399730302446,-0.10804321728691477,0.60984393757503,-0.0894357743097239,-0.028703525332305913,-0.06917363045496751,-0.0894357743097239,0.0,1.1397849462365592,4051000000.0,-5000000.0,21000000.0,2510000000.0,21000000.0,-0.010000000000000009,-0.010000000000000009,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2012-12-31,5039000000.0,2229000000.0,2146000000.0,3081000000.0,1958000000.0,1158000000.0,,2588000000.0,1509000000.0,-188000000.0,-225000000.0,34000000.0,-0.72,,91000000.0,,0.0,,25.3175,1.12,-0.72,-188000000.0,-0.11491317671092952,-0.044651716610438576,-0.08693972179289026,0.5830757341576507,-0.07264296754250386,-0.03730898987894424,-0.09601634320735444,-0.07264296754250386,0.0,1.038676607642125,3864000000.0,94000000.0,163000000.0,2468000000.0,163000000.0,0.25,0.25,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2013-03-31,5070000000.0,2325000000.0,1917000000.0,2803000000.0,2267000000.0,1292000000.0,,-1412000000.0,-866000000.0,243000000.0,302000000.0,-24000000.0,0.97,-7000000.0,101000000.0,,0.0,1.2128,54.8557,1.4158,0.97,243000000.0,0.13321570357300397,0.059566074950690336,-0.21388101983002833,0.613314447592068,-0.17209631728045327,0.04792899408284024,0.10719011910013233,-0.17209631728045327,0.0,1.2128325508607198,3797000000.0,98000000.0,121000000.0,2409000000.0,121000000.0,0.31000000000000005,0.31000000000000005,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2013-06-30,4605000000.0,1884000000.0,1226000000.0,2113000000.0,2492000000.0,1056000000.0,,949000000.0,755000000.0,233000000.0,222000000.0,6000000.0,0.0,312000000.0,,,0.0,,59.6223,1.8716,0.0,233000000.0,0.08908507223113965,0.04820846905537459,0.2339304531085353,0.7955742887249737,0.24552160168598525,0.0505971769815418,0.0934991974317817,0.24552160168598525,0.0,1.536704730831974,3791000000.0,119000000.0,139000000.0,2414000000.0,139000000.0,-0.31999999999999995,-0.31999999999999995,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2013-09-30,5036000000.0,2340000000.0,1851000000.0,2750000000.0,2286000000.0,1090000000.0,,1644000000.0,1037000000.0,-19000000.0,-51000000.0,19000000.0,,,,,0.0,,34.5114,2.0753,,-19000000.0,-0.02230971128608924,-0.010127084988085783,-0.03102189781021898,0.6307785888077859,-0.011557177615571776,-0.003772835583796664,-0.008311461067366578,-0.011557177615571776,0.0,1.2641815235008105,3769000000.0,248000000.0,269000000.0,2435000000.0,269000000.0,,,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2013-12-31,5573000000.0,2921000000.0,2659000000.0,3569000000.0,2004000000.0,1746000000.0,,2452000000.0,1328000000.0,-311000000.0,-359000000.0,29000000.0,-1.17,,431000000.0,,0.0,,,1.937,-1.17,-311000000.0,-0.17914171656686625,-0.06441772833303427,-0.1464110929853181,0.5415986949429038,-0.1268352365415987,-0.05580477301274,-0.15518962075848303,-0.1268352365415987,0.0,1.0985332831891688,3633000000.0,114000000.0,146000000.0,2254000000.0,146000000.0,,,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2014-03-31,5716000000.0,3138000000.0,2390000000.0,3294000000.0,2422000000.0,1782000000.0,,-1470000000.0,-892000000.0,130000000.0,196000000.0,-55000000.0,1.17,4000000.0,,,0.0,1.313,1122.6512,2.5122,1.17,130000000.0,0.08092485549132948,0.034289713086074175,-0.13333333333333333,0.6068027210884354,-0.08843537414965986,0.022743177046885936,0.053674649050371594,-0.08843537414965986,0.0,1.3129707112970712,3575000000.0,8000000.0,33000000.0,2228000000.0,33000000.0,,,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2014-06-30,5476000000.0,2930000000.0,1786000000.0,2763000000.0,2713000000.0,1554000000.0,,1214000000.0,847000000.0,362000000.0,335000000.0,19000000.0,1.0,322000000.0,,,0.0,,93.0099,2.9308,1.0,362000000.0,0.1234795429413933,0.06117604090577063,0.2759472817133443,0.6976935749588138,0.2981878088962109,0.06610664718772827,0.13343162550681903,0.2981878088962109,0.0,1.6405375139977603,3840000000.0,121000000.0,162000000.0,2320000000.0,162000000.0,,,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2014-09-30,6031000000.0,3532000000.0,2387000000.0,3361000000.0,2670000000.0,1624000000.0,,2204000000.0,1410000000.0,386000000.0,338000000.0,34000000.0,1.0,322000000.0,,,0.0,,28.0408,2.6922,1.0,386000000.0,0.12659176029962546,0.05604377383518488,0.15335753176043557,0.6397459165154264,0.1751361161524501,0.06400265295970818,0.1445692883895131,0.1751361161524501,0.0,1.4796816087138667,4400000000.0,510000000.0,567000000.0,2693000000.0,567000000.0,2.0,2.0,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2014-12-31,6167000000.0,3754000000.0,3069000000.0,3443000000.0,2687000000.0,2166000000.0,,3330000000.0,2135000000.0,548000000.0,480000000.0,48000000.0,1.0,322000000.0,,,0.0,,17.2594,3.2829,1.0,548000000.0,0.1786378861183476,0.07783363061456137,0.14414414414414414,0.6411411411411412,0.16456456456456456,0.08886006161829091,0.20394491998511352,0.16456456456456456,0.0,1.2231997393287717,5278000000.0,1349000000.0,1426000000.0,3500000000.0,1426000000.0,4.17,4.17,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2015-03-31,6147000000.0,3720000000.0,2747000000.0,3080000000.0,3036000000.0,2068000000.0,,-2233000000.0,-1306000000.0,-348000000.0,-278000000.0,-51000000.0,-1.0,-641000000.0,,,0.0,1.3542,20.8398,4.0387,-1.0,-348000000.0,-0.09156785243741765,-0.04522531316089149,0.1244961934617107,0.5848634124496194,0.15584415584415584,-0.056612981942410934,-0.11462450592885376,0.15584415584415584,0.0,1.3542045868219876,4515000000.0,875000000.0,948000000.0,3086000000.0,948000000.0,2.0,2.0,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2015-06-30,5721000000.0,3326000000.0,2029000000.0,2360000000.0,3336000000.0,1810000000.0,,1203000000.0,1030000000.0,512000000.0,442000000.0,67000000.0,1.0,335000000.0,,,0.0,,21.1346,4.6079,1.0,512000000.0,0.13249400479616308,0.07725922041601119,0.36741479634247715,0.8561928512053201,0.4256026600166251,0.08949484355881838,0.15347721822541965,0.4256026600166251,0.0,1.6392311483489403,4504000000.0,982000000.0,1098000000.0,3269000000.0,1098000000.0,2.0,2.0,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2015-09-30,6000000000.0,3646000000.0,2525000000.0,2841000000.0,3146000000.0,1598000000.0,,2018000000.0,1436000000.0,393000000.0,302000000.0,79000000.0,0.0,334000000.0,,,0.0,,25.1738,4.8789,0.0,393000000.0,0.09599491417673237,0.050333333333333334,0.14965312190287414,0.711595639246779,0.19474727452923687,0.0655,0.1249205340114431,0.19474727452923687,0.0,1.443960396039604,4318000000.0,946000000.0,1105000000.0,3295000000.0,1105000000.0,1.0,1.0,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2015-12-31,6470000000.0,4152000000.0,3145000000.0,3451000000.0,3012000000.0,2263000000.0,,3088000000.0,1960000000.0,362000000.0,257000000.0,94000000.0,0.0,333000000.0,,,0.0,,32.7587,4.9985,0.0,362000000.0,0.08532536520584329,0.03972179289026275,0.08322538860103627,0.6347150259067358,0.1172279792746114,0.055950540958268936,0.1201859229747676,0.1172279792746114,0.0,1.3201907790143084,4076000000.0,723000000.0,919000000.0,3120000000.0,919000000.0,0.0,0.0,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2016-03-31,7050000000.0,4354000000.0,2418000000.0,3652000000.0,3396000000.0,2493000000.0,,-1913000000.0,-1384000000.0,-369000000.0,155000000.0,-519000000.0,2.0,-672000000.0,,,0.0,1.8007,17.6889,4.6516,2.0,-369000000.0,0.04564193168433451,0.02198581560283688,-0.08102456874019864,0.7234709879769995,0.19289074751698904,-0.0523404255319149,-0.10865724381625441,0.19289074751698904,0.0,1.8006617038875103,4396000000.0,1156000000.0,898000000.0,3042000000.0,898000000.0,3.0,3.0,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2016-06-30,6605000000.0,3972000000.0,1650000000.0,2889000000.0,3716000000.0,2042000000.0,,1271000000.0,1092000000.0,560000000.0,440000000.0,112000000.0,1.0,315000000.0,,,0.0,,19.7858,5.1149,1.0,560000000.0,0.11840688912809473,0.06661619984859955,0.34618410700236035,0.8591660110149488,0.44059795436664045,0.08478425435276306,0.15069967707212056,0.44059795436664045,0.0,2.4072727272727272,4464000000.0,1154000000.0,946000000.0,3104000000.0,946000000.0,3.0,3.0,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2016-09-30,6892000000.0,4260000000.0,2050000000.0,3284000000.0,3608000000.0,1746000000.0,,2169000000.0,1589000000.0,511000000.0,402000000.0,98000000.0,1.0,315000000.0,,,0.0,,20.4501,5.6488,1.0,511000000.0,0.11141906873614191,0.05832849680789321,0.18533886583679116,0.7325956662056247,0.23559243891194098,0.07414393499709808,0.14162971175166297,0.23559243891194098,0.0,2.078048780487805,4615000000.0,1254000000.0,1064000000.0,3257000000.0,1064000000.0,4.0,4.0,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2016-12-31,7719000000.0,5101000000.0,2937000000.0,4170000000.0,3549000000.0,2483000000.0,,3318000000.0,2222000000.0,507000000.0,401000000.0,93000000.0,1.0,314000000.0,,,0.0,,18.3769,5.1643,1.0,507000000.0,0.11298957452803607,0.051949734421557196,0.12085593731163351,0.6696805304400241,0.15280289330922242,0.06568208317139526,0.14285714285714285,0.15280289330922242,0.0,1.7368062648961526,4845000000.0,1398000000.0,1209000000.0,3519000000.0,1209000000.0,5.0,5.0,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2017-03-31,7718000000.0,5199000000.0,2415000000.0,3658000000.0,4060000000.0,2565000000.0,,-1913000000.0,-1356000000.0,-354000000.0,-276000000.0,-60000000.0,0.0,-630000000.0,,,0.0,2.1528,28.5375,5.6957,0.0,-354000000.0,-0.06798029556650247,-0.03576055973050013,0.14427600627286985,0.7088342916884475,0.18504966021955044,-0.04586680487172843,-0.08719211822660099,0.18504966021955044,0.0,2.1527950310559008,4845000000.0,967000000.0,1224000000.0,3547000000.0,1224000000.0,3.0,3.0,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2017-06-30,7375000000.0,4902000000.0,1629000000.0,2889000000.0,4486000000.0,2248000000.0,,1449000000.0,1295000000.0,743000000.0,644000000.0,105000000.0,2.0,313000000.0,,,0.0,,27.95,6.5159,2.0,743000000.0,0.14355773517610343,0.08732203389830509,0.4444444444444444,0.893719806763285,0.5127674258109041,0.1007457627118644,0.16562639322336156,0.5127674258109041,0.0,3.009208103130755,5023000000.0,1171000000.0,1407000000.0,3750000000.0,1407000000.0,4.0,4.0,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2017-09-30,7922000000.0,5415000000.0,2272000000.0,3534000000.0,4388000000.0,2067000000.0,,2408000000.0,1865000000.0,702000000.0,622000000.0,89000000.0,1.0,313000000.0,,,0.0,,30.6777,7.1625,1.0,702000000.0,0.14175022789425706,0.07851552638222671,0.25830564784053156,0.7745016611295681,0.2915282392026578,0.08861398636707903,0.15998176845943482,0.2915282392026578,0.0,2.383362676056338,5262000000.0,1391000000.0,1598000000.0,4026000000.0,1598000000.0,4.0,4.0,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2017-12-31,8642000000.0,5966000000.0,3107000000.0,4556000000.0,4086000000.0,2566000000.0,,3568000000.0,2524000000.0,681000000.0,436000000.0,259000000.0,1.0,312000000.0,,,0.0,,33.6351,6.6148,1.0,681000000.0,0.10670582476749878,0.05045128442490164,0.12219730941704036,0.7073991031390134,0.19086322869955158,0.07880120342513307,0.16666666666666666,0.19086322869955158,0.0,1.92018023817187,5512000000.0,1426000000.0,1772000000.0,4328000000.0,1772000000.0,4.0,4.0,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2018-03-31,8584000000.0,6004000000.0,2491000000.0,3989000000.0,4595000000.0,4258000000.0,,-2275000000.0,-1811000000.0,-692000000.0,-659000000.0,-47000000.0,-1.0,-626000000.0,,,0.0,2.4103,34.9134,7.0708,-1.0,-692000000.0,-0.14341675734494017,-0.07677073625349487,0.2896703296703297,0.7960439560439561,0.30417582417582417,-0.08061509785647716,-0.15059847660500544,0.30417582417582417,0.0,2.4102769971898836,5150000000.0,1043000000.0,1434000000.0,3873000000.0,1434000000.0,3.0,3.0,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2018-06-30,8247000000.0,5624000000.0,1464000000.0,2987000000.0,5260000000.0,3876000000.0,,1137000000.0,922000000.0,300000000.0,293000000.0,26000000.0,0.0,310000000.0,,,0.0,,63.4695,9.0783,0.0,300000000.0,0.05570342205323194,0.0355280708136292,0.25769569041336854,0.810905892700088,0.2638522427440633,0.036376864314296105,0.057034220532319393,0.2638522427440633,0.0,3.841530054644809,4838000000.0,692000000.0,991000000.0,3500000000.0,991000000.0,1.0,1.0,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2018-09-30,8450000000.0,5803000000.0,1649000000.0,3133000000.0,5317000000.0,2881000000.0,,2423000000.0,1790000000.0,558000000.0,548000000.0,47000000.0,1.0,309000000.0,,,0.0,,36.9777,6.9373,1.0,558000000.0,0.10306563851796126,0.06485207100591715,0.2261659100288898,0.7387536112257532,0.2302930251754024,0.06603550295857988,0.10494639834493136,0.2302930251754024,0.0,3.519102486355367,4853000000.0,618000000.0,847000000.0,3425000000.0,847000000.0,1.0,1.0,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2018-12-31,8857000000.0,6247000000.0,2090000000.0,3513000000.0,5344000000.0,3887000000.0,,3712000000.0,2666000000.0,800000000.0,810000000.0,50000000.0,2.0,307000000.0,,,0.0,,16.825,4.5034,2.0,800000000.0,0.15157185628742514,0.0914530879530315,0.2182112068965517,0.7182112068965517,0.21551724137931033,0.09032403748447555,0.1497005988023952,0.21551724137931033,0.0,2.9889952153110046,4997000000.0,992000000.0,966000000.0,3567000000.0,966000000.0,2.0,2.0,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2019-03-31,8957000000.0,6381000000.0,2265000000.0,3626000000.0,5331000000.0,4708000000.0,,-2322000000.0,-1750000000.0,-662000000.0,-632000000.0,-63000000.0,0.33000000000000007,-620000000.0,1547000000.0,,0.0,2.8172,30.186,6.214,0.33000000000000007,-662000000.0,-0.11855186644156819,-0.07055933906441889,0.2721791559000861,0.7536606373815676,0.285099052540913,-0.07390867477950207,-0.12417932845619958,0.285099052540913,0.0,2.8172185430463577,4950000000.0,1019000000.0,996000000.0,3628000000.0,996000000.0,3.33,3.33,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2019-06-30,9749000000.0,5800000000.0,1650000000.0,3264000000.0,6485000000.0,3533000000.0,,1209000000.0,1022000000.0,415000000.0,1421000000.0,-985000000.0,4.75,299000000.0,,,0.0,,13.9262,5.9537,4.75,415000000.0,0.21912104857363146,0.14575853933736793,1.17535153019024,0.8453267162944582,0.34325889164598844,0.04256846856087804,0.06399383191981496,0.34325889164598844,0.0,3.515151515151515,5022000000.0,2147000000.0,1111000000.0,3728000000.0,1111000000.0,8.08,8.08,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2019-09-30,10593000000.0,6040000000.0,1818000000.0,3435000000.0,7158000000.0,2940000000.0,,2557000000.0,1965000000.0,683000000.0,2275000000.0,-1555000000.0,7.66,297000000.0,,,0.0,,10.4983,5.6704,7.66,683000000.0,0.3178262084381112,0.2147644671009157,0.8897145091904576,0.7684786859601095,0.2671098944075088,0.06447654111205513,0.0954177144453758,0.2671098944075088,0.0,3.3223322332233223,5156000000.0,3874000000.0,1236000000.0,3903000000.0,1236000000.0,14.74,14.74,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2019-12-31,11161000000.0,6629000000.0,2338000000.0,3924000000.0,7237000000.0,3603000000.0,,4150000000.0,3050000000.0,1044000000.0,2621000000.0,-1527000000.0,8.85,296000000.0,,,0.0,,11.0921,5.826,8.85,1044000000.0,0.3621666436368661,0.23483558820894185,0.6315662650602409,0.7349397590361446,0.251566265060241,0.09354000537586238,0.14425867071991155,0.251566265060241,0.0,2.8353293413173652,5594000000.0,5685000000.0,1480000000.0,4287000000.0,1480000000.0,21.59,21.59,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2020-03-31,11112000000.0,6517000000.0,2664000000.0,3651000000.0,7461000000.0,3768000000.0,,-2379000000.0,-1869000000.0,-697000000.0,-3278000000.0,2536000000.0,-10.959999999999997,-597000000.0,,,0.0,2.4463,9.5481,5.2405,-10.959999999999997,-697000000.0,-0.43935129339230666,-0.29499640028797697,1.3778898696931483,0.78562421185372,0.29298024379991594,-0.06272498200143989,-0.0934191127194746,0.29298024379991594,0.0,2.4463213213213213,5537000000.0,3039000000.0,1445000000.0,4168000000.0,1445000000.0,10.3,10.3,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2020-06-30,11284000000.0,6690000000.0,2568000000.0,3502000000.0,7782000000.0,4013000000.0,,1459000000.0,1171000000.0,471000000.0,365000000.0,103000000.0,1.25,292000000.0,,,0.0,,19.2258,6.588,1.25,471000000.0,0.04690310974042663,0.032346685572492026,0.25017135023989034,0.8026045236463331,0.32282385195339275,0.04174051754696916,0.060524286815728606,0.32282385195339275,0.0,2.6051401869158877,5787000000.0,1983000000.0,1501000000.0,4317000000.0,1501000000.0,6.8000000000000025,6.8000000000000025,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2020-09-30,11470000000.0,6830000000.0,2485000000.0,3395000000.0,8075000000.0,4059000000.0,,2610000000.0,2036000000.0,620000000.0,550000000.0,57000000.0,1.88,292000000.0,,,0.0,,28.6621,6.7374,1.88,620000000.0,0.06811145510835913,0.04795117698343505,0.210727969348659,0.7800766283524905,0.23754789272030652,0.05405405405405406,0.07678018575851393,0.23754789272030652,0.0,2.7484909456740443,5840000000.0,258000000.0,1438000000.0,4388000000.0,1438000000.0,1.0200000000000022,1.0200000000000022,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2020-12-31,12420000000.0,7721000000.0,3492000000.0,4457000000.0,7963000000.0,4772000000.0,,4283000000.0,3108000000.0,871000000.0,761000000.0,91000000.0,2.61,292000000.0,,,0.0,,35.3309,7.3466,2.61,871000000.0,0.09556699736280297,0.06127214170692431,0.1776791968246556,0.7256595844034556,0.20336212934858744,0.07012882447665056,0.10938088660052744,0.20336212934858744,0.0,2.2110538373424973,5973000000.0,-1602000000.0,1265000000.0,4446000000.0,1265000000.0,-5.219999999999997,-5.219999999999997,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2021-03-31,13288000000.0,7213000000.0,2964000000.0,5448000000.0,7840000000.0,5260000000.0,286000000.0,-2723000000.0,-2180000000.0,-916000000.0,-839000000.0,-71000000.0,-2.87,-584000000.0,1934000000.0,,0.0,2.4335,46.5184,6.917,-2.87,-916000000.0,-0.10701530612244899,-0.06313967489464178,0.30811604847594565,0.8005875872199779,0.33639368343738524,-0.06893437688139675,-0.11683673469387755,0.33639368343738524,0.0,2.433535762483131,5629000000.0,837000000.0,1046000000.0,4135000000.0,1046000000.0,2.8699999999999997,2.8699999999999997,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
2021-06-30,12734000000.0,4677000000.0,2471000000.0,5006000000.0,7728000000.0,2838000000.0,,1551000000.0,1236000000.0,322000000.0,204000000.0,104000000.0,0.71,289000000.0,,,0.0,,60.7945,7.1836,0.71,322000000.0,0.026397515527950312,0.01602010365949427,0.13152804642166344,0.7969052224371374,0.2076079948420374,0.025286634207633107,0.041666666666666664,0.2076079948420374,0.0,1.8927559692432214,5721000000.0,676000000.0,897000000.0,4200000000.0,897000000.0,2.3299999999999996,2.3299999999999996,0.0,0.73278,204.885,131.15,2.52842,50951.715,74.929,5.898,6.974
