report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2013-12-31,35248700000.0,13104700000.0,8916600000.0,35248700000.0,17631400000.0,4200300000.0,1012600000.0,3830200000.0,-11324900000.0,,-3574700000.0,-932500000.0,-2.0999999999999996,,-669200000.0,-775700000.0,5212900000.0,1.4697,12.265,2.486,-2.0999999999999996,,-0.20274623682747825,-0.10141366915659301,0.3156495863098129,,,,,0.2956600156538902,1.4696969696969697,23113100000.0,4684800000.0,4.32,4.32,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2014-03-31,34756900000.0,13039300000.0,6631700000.0,,18338100000.0,5255300000.0,9100000.0,3888000000.0,4683100000.0,,727900000.0,162900000.0,0.0,1075800000.0,272300000.0,348800000.0,5264400000.0,,17.0541,2.9696,0.0,,0.03969331610144999,0.020942604202331048,0.1554312314492537,,,,,0.2870744515516875,1.9662077596996246,22194200000.0,3864700000.0,2.9000000000000004,2.9000000000000004,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2014-06-30,35018400000.0,13156700000.0,7417400000.0,,17983700000.0,5301000000.0,10300000.0,3765700000.0,9618700000.0,,1461400000.0,369800000.0,1.0,1076400000.0,1326200000.0,697200000.0,5311300000.0,,20.5178,3.2828,1.0,,0.0812624765760105,0.041732346423594455,0.15193321342801003,,,,,0.29533966869998945,1.7737616954728073,20281200000.0,2571900000.0,1.9000000000000004,1.9000000000000004,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2014-09-30,34648800000.0,12110500000.0,7574600000.0,,17669300000.0,5292600000.0,313000000.0,3165800000.0,14494300000.0,,1962000000.0,524700000.0,1.0,1075700000.0,3017500000.0,1039600000.0,5605600000.0,,26.9408,3.5688,1.0,,0.11104005252047336,0.056625337674032,0.1353635567084992,,,,,0.31725082487704664,1.598830301270034,17471200000.0,576600000.0,-0.09999999999999964,-0.09999999999999964,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2014-12-31,37178200000.0,12179800000.0,11207500000.0,,15373200000.0,5367700000.0,2688700000.0,3871600000.0,-9180500000.0,,-1760800000.0,-447600000.0,0.0,-2153614000.0,-248900000.0,-706600000.0,8056400000.0,1.2245,32.1337,3.916,0.0,,-0.1145369864439414,-0.047361087949389695,0.1917978323620718,,,,,0.5240548486977337,1.0867544055320097,19615600000.0,2390500000.0,2.0,2.0,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2015-03-31,35653900000.0,11742700000.0,8342900000.0,,14919800000.0,7415300000.0,805400000.0,3064800000.0,4644700000.0,,529500000.0,88400000.0,0.0,1067000000.0,-84800000.0,357500000.0,8220700000.0,,36.8206,4.1229,0.0,,0.03548975187334951,0.014851110257222912,0.11400090425646436,,,,,0.5509926406520195,1.4075081806086613,19577200000.0,2192100000.0,2.0,2.0,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2015-06-30,36036600000.0,12346000000.0,8232000000.0,,14670300000.0,7988600000.0,10800000.0,3315500000.0,9623400000.0,,1130300000.0,167300000.0,1.0,1066300000.0,863800000.0,726000000.0,7999400000.0,,44.9899,4.7223,1.0,,0.07704682249170092,0.03136533413252083,0.11745329093667518,,,,,0.5452785559940833,1.499757045675413,19581900000.0,1861000000.0,2.0,2.0,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2015-09-30,36304700000.0,12567000000.0,8303300000.0,,15221400000.0,8069600000.0,9300000.0,3238800000.0,14583100000.0,,1930000000.0,415400000.0,1.0,1066000000.0,1968500000.0,1084300000.0,8078900000.0,,39.3359,4.7083,1.0,,0.12679516995808532,0.05316116095161232,0.13234497466245174,,,,,0.530759325686205,1.5134946346633267,19670700000.0,1829000000.0,2.0,2.0,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2015-12-31,35568900000.0,12573600000.0,8229600000.0,,14571300000.0,7972400000.0,6100000.0,3666400000.0,-8892500000.0,,-1181400000.0,-289500000.0,0.0,-2133580000.0,25300000.0,-740100000.0,7978500000.0,1.5279,38.767,4.678,0.0,,-0.08107718597517037,-0.033214409217040726,0.13285352825414676,,,,,0.5475489489613143,1.5278506853310003,19958700000.0,2408400000.0,2.0,2.0,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2016-03-31,34691800000.0,11714600000.0,7340900000.0,,15009900000.0,7477600000.0,648300000.0,2307600000.0,4865100000.0,,440100000.0,126700000.0,0.0,1063100000.0,-326900000.0,385500000.0,8125900000.0,,34.2969,3.9414,0.0,,0.02932064837207443,0.012685994961345332,0.09046062773632607,,,,,0.5413693628871611,1.5957988802462912,20179100000.0,2319000000.0,2.0,2.0,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2016-06-30,36475300000.0,12977300000.0,8401000000.0,,14637300000.0,8685500000.0,645800000.0,3238000000.0,10269900000.0,,1187800000.0,323500000.0,1.0,1061000000.0,1074900000.0,759200000.0,9331300000.0,,35.2726,4.2212,1.0,,0.08114884575707268,0.03256450255378297,0.11565838031529031,,,,,0.6375014517704768,1.5447327699083442,20825600000.0,2376500000.0,2.0,2.0,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2016-09-30,37590300000.0,13385900000.0,8272800000.0,,15589200000.0,8707300000.0,641500000.0,3489000000.0,15461600000.0,,1965800000.0,516200000.0,1.0,1061100000.0,2734100000.0,1152000000.0,9348800000.0,,36.2468,4.2517,1.0,,0.12610012059631026,0.052295405995695696,0.12714078749935323,,,,,0.5996972262848639,1.6180615994584664,21704100000.0,2412300000.0,2.0,2.0,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2016-12-31,38805900000.0,15101400000.0,10986600000.0,,14007700000.0,8367800000.0,1937400000.0,4582100000.0,-9374500000.0,,-856100000.0,-330000000.0,0.0,-2123375000.0,1368900000.0,-800100000.0,10305200000.0,1.3745,30.0827,3.8806,0.0,,-0.06111638598770676,-0.02206107834118008,0.09132220385087204,,,,,0.7356810896863868,1.3745289716563813,21222100000.0,2737600000.0,2.0,2.0,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2017-03-31,37624300000.0,12976200000.0,10448000000.0,,14031000000.0,7637500000.0,2609300000.0,2616900000.0,5228300000.0,,-110800000.0,172000000.0,0.0,1056300000.0,339900000.0,386900000.0,10246800000.0,,42.4398,4.2994,0.0,,-0.007896799942983394,-0.0029449052872744476,-0.021192356980280398,,,,,0.730297199059226,1.24197932618683,21585300000.0,2186700000.0,2.0,2.0,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2017-06-30,40946500000.0,15746500000.0,11294500000.0,,14100800000.0,9867900000.0,2444200000.0,3069900000.0,11052600000.0,,897200000.0,424500000.0,0.0,1057500000.0,1991000000.0,782500000.0,12312100000.0,,37.1092,4.1266,0.0,,0.0636275955974129,0.02191151868902104,0.08117547002515245,,,,,0.8731490411891524,1.3941741555624418,22368000000.0,1896100000.0,1.0,1.0,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2017-09-30,43010400000.0,17428400000.0,12666500000.0,,14890300000.0,9926600000.0,3538100000.0,3724300000.0,16710600000.0,,1452800000.0,460500000.0,1.0,1057000000.0,3872100000.0,1155400000.0,13464700000.0,,42.736,4.2308,1.0,,0.09756687239343734,0.03377787697859123,0.08693882924610725,,,,,0.9042598201513737,1.37594442032132,23617000000.0,1383100000.0,1.0,1.0,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2017-12-31,44981000000.0,19202100000.0,14535900000.0,,11592200000.0,9940500000.0,3706600000.0,6536200000.0,-10120200000.0,,-2443300000.0,1344500000.0,-1.0,-2118777000.0,-587400000.0,-757500000.0,13647100000.0,1.321,,4.0768,-1.0,,-0.21077103569641656,-0.05431849002912341,0.24142803501907076,,,,,1.1772657476579078,1.3210121148329308,22871300000.0,-204100000.0,0.0,0.0,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2018-03-31,44355600000.0,16261500000.0,11547000000.0,,14527000000.0,9393500000.0,2304200000.0,3084300000.0,5700000000.0,,1217400000.0,223600000.0,1.0,1049800000.0,436500000.0,422800000.0,11697700000.0,,73.5854,3.659,1.0,,0.0838025745164177,0.027446365284203123,0.21357894736842106,,,,,0.8052385213739932,1.408287866978436,23343000000.0,1124100000.0,1.0,1.0,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2018-06-30,42359200000.0,18332700000.0,13055200000.0,,11555200000.0,9170500000.0,3049100000.0,6817300000.0,12055200000.0,,957500000.0,488300000.0,0.0,1041600000.0,1954000000.0,848000000.0,12219600000.0,,,4.1665,0.0,,0.08286312655774024,0.022604298475891897,0.07942630566062778,,,,,1.0574979230130157,1.4042450517801335,24345600000.0,1184400000.0,1.0,1.0,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2018-09-30,44625100000.0,20685900000.0,10826700000.0,,13076600000.0,11674700000.0,1002200000.0,8960000000.0,18117100000.0,,2107000000.0,749800000.0,2.0,1037800000.0,4075800000.0,1263500000.0,12676900000.0,,256.7452,5.2489,2.0,,0.16112751020907576,0.04721558046928746,0.11629896617008241,,,,,0.9694339507211355,1.9106375904015074,25752100000.0,1838600000.0,2.0,2.0,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2018-12-31,43908400000.0,20549600000.0,11888100000.0,,9828700000.0,11639700000.0,1131200000.0,7998200000.0,-11316600000.0,,-1049900000.0,-898000000.0,0.0,-2095533000.0,-941800000.0,-925300000.0,12770900000.0,1.7286,37.9285,5.7034,0.0,,-0.10681982357788924,-0.023911142287125015,0.09277521517063429,,,,,1.2993478282987576,1.7285857285857287,24555700000.0,3232000000.0,3.0,3.0,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2019-03-31,38006800000.0,12597500000.0,11236100000.0,38006800000.0,2480300000.0,13610200000.0,2354900000.0,2036400000.0,5092200000.0,731100000.0,4241600000.0,170000000.0,4.31,984000000.0,311300000.0,356500000.0,15965100000.0,,21.3663,6.1823,4.31,1087600000.0,1.7101157118090553,0.11160108191165792,0.8329602136601076,0.14357252268174855,0.01923603144700422,0.039635898381168204,0.21358155610541613,6.43676168205459,1.1211630369968228,23947900000.0,6256200000.0,6.31,6.31,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2019-06-30,38666400000.0,13454500000.0,11855400000.0,,2780500000.0,13717600000.0,2068600000.0,2290200000.0,10728900000.0,,5568800000.0,308700000.0,5.0,954200000.0,1362800000.0,603900000.0,15786200000.0,,13.9547,5.05,5.0,,2.0028052508541627,0.14402168290815798,0.5190466869856183,,,,,5.677468081280345,1.1348836816977916,22621600000.0,10867500000.0,11.309999999999999,11.309999999999999,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2019-09-30,37893100000.0,12661800000.0,10828600000.0,,3382500000.0,13662200000.0,1563100000.0,,16205500000.0,,6822700000.0,460600000.0,7.0,942400000.0,2872900000.0,891900000.0,15225300000.0,,13.5843,4.9427,7.0,,2.017058388765706,0.18005124943591314,0.4210113850236031,,,,,4.5011973392461195,1.1692924293075744,20710000000.0,15583200000.0,16.31,16.31,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2019-12-31,39286100000.0,13709600000.0,11775200000.0,,2606900000.0,13817900000.0,1499300000.0,2337500000.0,-9707100000.0,,-8314700000.0,-311300000.0,-8.309999999999999,-1944916000.0,289600000.0,-619700000.0,15317200000.0,1.1643,15.17,5.6538,-8.309999999999999,,-3.18949710383981,-0.21164483112347623,0.8565586014360622,,,,,5.875637730637923,1.1642774645016645,22319500000.0,8318400000.0,8.0,8.0,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2020-03-31,41102800000.0,13994200000.0,12610200000.0,,3078800000.0,13982300000.0,3248000000.0,1699000000.0,5859800000.0,,1456500000.0,223400000.0,1.0,911700000.0,382400000.0,273600000.0,17230300000.0,,23.9929,5.7504,1.0,,0.47307392490580746,0.03543554210418755,0.2485579712618178,,,,,5.596433675457971,1.1097524226419881,23087100000.0,5533300000.0,4.69,4.69,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2020-06-30,41967000000.0,14581900000.0,11988500000.0,,4092900000.0,15064400000.0,1263800000.0,2365100000.0,11359200000.0,,2868500000.0,455100000.0,3.0,911600000.0,2877800000.0,598000000.0,16328200000.0,,27.9507,6.8423,3.0,,0.7008478096215397,0.06835132365906546,0.2525265863793225,,,,,3.9893962715922697,1.2163239771447638,23717400000.0,2833000000.0,2.6900000000000004,2.6900000000000004,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2020-09-30,43946000000.0,16239900000.0,11976900000.0,,4826900000.0,16334600000.0,587500000.0,3595300000.0,17099800000.0,,4076900000.0,683900000.0,4.0,911900000.0,4684400000.0,956400000.0,16922100000.0,,25.4059,6.0988,4.0,,0.84462077109532,0.09277067309880307,0.23841799319290283,,,,,3.5057904659305144,1.3559351752122837,24611700000.0,87200000.0,-0.3099999999999996,-0.3099999999999996,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2020-12-31,46633100000.0,17462100000.0,12481600000.0,,5641600000.0,16586600000.0,8700000.0,3657100000.0,-9779000000.0,,-2208200000.0,-326200000.0,-1.21,-1822695000.0,-1445000000.0,-504100000.0,16595300000.0,1.399,26.0763,6.5815,-1.21,,-0.39141378332387977,-0.047352631499943176,0.22581041006237856,,,,,2.9415945830969936,1.3990273682861172,24539800000.0,6193700000.0,6.789999999999999,6.789999999999999,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2021-03-31,46838300000.0,16604500000.0,11714200000.0,46838300000.0,6898700000.0,16199600000.0,4900000.0,3002400000.0,6805600000.0,1476400000.0,,121100000.0,1.49,912400000.0,1697400000.0,350300000.0,16204500000.0,,29.4065,7.0298,1.49,1826700000.0,,,,0.21693899141883155,0.031521212341182325,0.06390456733266388,0.2684113083343129,2.3489208111673214,1.4174676887879667,25485600000.0,,7.279999999999999,7.279999999999999,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2021-06-30,47809000000.0,17295500000.0,15093200000.0,,6444400000.0,14736600000.0,1778500000.0,3220000000.0,13545700000.0,,2745500000.0,324800000.0,3.01,911600000.0,3472900000.0,719600000.0,16515100000.0,,36.2588,8.2359,3.01,,0.42602880019862205,0.057426425986738895,0.2026842466613021,,,,,2.5627056048662404,1.1459133914610553,27672100000.0,,7.289999999999999,7.289999999999999,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2021-09-30,48187000000.0,17808300000.0,13682000000.0,,7757000000.0,15522400000.0,1563000000.0,3788200000.0,20318500000.0,,3855600000.0,460000000.0,4.23,911700000.0,5104200000.0,1101900000.0,17085400000.0,,37.0066,7.9622,4.23,,0.4970478277684672,0.08001328159047046,0.18975810222211284,,,,,2.2025783163594173,1.301586025434878,30890800000.0,,7.52,7.52,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2021-12-31,48806000000.0,18452400000.0,15052700000.0,,8979200000.0,15346400000.0,1538300000.0,3818500000.0,-12351400000.0,,-1019400000.0,-332100000.0,-2.6100000000000003,-1824019000.0,-3013800000.0,-624200000.0,16884700000.0,1.2259,47.3386,9.3307,-2.6100000000000003,,-0.11352904490377762,-0.020886776216039012,0.0825331541363732,,,,,1.8804236457590877,1.2258531691988812,28318400000.0,,6.12,6.12,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2022-03-31,46919300000.0,16964700000.0,13386000000.0,,9330800000.0,15152900000.0,1355900000.0,2459200000.0,7810000000.0,,1902900000.0,150700000.0,2.1,906400000.0,2499200000.0,435700000.0,16508800000.0,,44.4951,9.3007,2.1,,0.20393749732070132,0.04055687105306345,0.2436491677336748,,,,,1.769280233206156,1.267346481398476,29322800000.0,7484600000.0,6.729999999999999,6.729999999999999,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2022-06-30,47063600000.0,17115200000.0,15620600000.0,,8544700000.0,14692000000.0,2121800000.0,2622900000.0,14298000000.0,,2855400000.0,289100000.0,3.16,904400000.0,3319900000.0,784600000.0,16813800000.0,,54.1272,10.5973,3.16,,0.3341720598733718,0.06067109188417376,0.19970625262274444,,,,,1.967746088218428,1.0956813438664328,30075100000.0,7594500000.0,6.879999999999999,6.879999999999999,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2022-09-30,47461500000.0,17639900000.0,15652800000.0,,10070100000.0,14143800000.0,1744600000.0,2617400000.0,21239600000.0,,4307100000.0,402900000.0,4.0,904500000.0,5504700000.0,1147500000.0,15888400000.0,,50.9247,10.5077,4.0,,0.42771174069770906,0.09074934420530324,0.2027863048268329,,,,,1.5777797638553739,1.1269485331697844,30996200000.0,8046000000.0,6.649999999999999,6.649999999999999,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2022-12-31,49489800000.0,18034500000.0,17138200000.0,,10649800000.0,14737500000.0,1501100000.0,2067000000.0,-14806200000.0,,-2820600000.0,-281100000.0,-3.26,-1810681000.0,-4239400000.0,-845300000.0,16238600000.0,1.0523,57.8289,12.6528,-3.26,,-0.2648500441322842,-0.056993562309809294,0.19050127649228027,,,,,1.5247798080715131,1.0522983743917098,28541400000.0,6244800000.0,5.999999999999998,5.999999999999998,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2023-03-31,53163000000.0,20811400000.0,16010000000.0,,11190400000.0,18880500000.0,3100000.0,3545900000.0,6960000000.0,,1344900000.0,184800000.0,1.0,903300000.0,1730600000.0,362300000.0,18883600000.0,,57.5113,11.8107,1.0,,0.1201833714612525,0.025297669431747643,0.19323275862068964,,,,,1.6874821275378895,1.2999000624609618,27691400000.0,5686800000.0,4.899999999999999,4.899999999999999,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2023-06-30,54814000000.0,21331600000.0,18915000000.0,,11063800000.0,18158400000.0,661600000.0,2694500000.0,15272100000.0,,3108100000.0,510500000.0,3.0,903000000.0,2362500000.0,728600000.0,18820000000.0,,68.5171,15.0833,3.0,,0.28092517941394457,0.056702667201809755,0.2035149062669836,,,,,1.7010430412697264,1.1277610362146444,28665500000.0,5939500000.0,4.739999999999998,4.739999999999998,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2023-09-30,57915500000.0,23007000000.0,21998200000.0,,11220400000.0,17923600000.0,2244700000.0,2380800000.0,24770700000.0,,3050700000.0,995100000.0,3.0,903100000.0,4552000000.0,1139600000.0,20168300000.0,,102.4369,15.9325,3.0,,0.2718887027200456,0.052675017914029926,0.123157601521152,,,,,1.7974671134718905,1.045858297497068,32196600000.0,4683100000.0,3.739999999999999,3.739999999999999,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
2023-12-31,64006300000.0,25727000000.0,27293200000.0,,10771900000.0,18320800000.0,6904500000.0,2818600000.0,-12878700000.0,,-2263300000.0,-376200000.0,-2.0,-1806116000.0,-4405000000.0,-703200000.0,25225300000.0,0.9426,105.5969,16.2164,-2.0,,-0.21011149379403818,-0.03536058169273962,0.17573978740090226,,,,,2.341768861575024,0.9426157431155013,34124100000.0,5240400000.0,4.999999999999998,4.999999999999998,0.51852125,1133.95,623.78,2.80117,867145.25,42.0163,38.2885,13.3041
