report_date,total_assets,total_liabilities,total_equity,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2013-06-30,9184859000.0,5601589000.0,3547111000.0,24260000.0,721872000.0,198580000.0,109187000.0,95661000.0,1413000.0,0.0,127627496.0,275507000.0,,0.0,,35.152,5.4489,0.0,198580000.0,0.030781951847573985,0.01188771651257793,0.15125534720836936,0.2750903207216792,0.02162036455867205,0.05598358777044192,0.2750903207216792,0.0,1489309000.0,221814000.0,402963000.0,402963000.0,187106000.0,0.37,0.37,0.0,2.1536615608264835,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
2013-09-30,9426041000.0,5745472000.0,3643482000.0,55118000.0,1101328000.0,283757000.0,259785000.0,143403000.0,1765000.0,1.79,127955769.0,454080000.0,,0.0,,21.6925,4.7,1.79,283757000.0,0.07130129914186484,0.027560351159092136,0.2358834062150422,0.2576498554472419,0.03010351853975598,0.0778807195973522,0.2576498554472419,0.0,1661306000.0,637367000.0,415280000.0,415280000.0,213751000.0,1.04,1.04,0.0,1.9428213201341749,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
2013-12-31,9685745000.0,6039233000.0,3610516000.0,56808000.0,-699311000.0,-199111000.0,-105195000.0,-97743000.0,-3089000.0,0.33000000000000007,-254193963.0,-162238000.0,,0.0,0.6453,20.0627,4.2567,0.33000000000000007,-199111000.0,-0.029135724644344465,-0.010860806267354757,0.150426634215678,0.2847245360075846,-0.020557117702355368,-0.05514751908037521,0.2847245360075846,0.0,1482259000.0,314488000.0,381812000.0,381812000.0,189399000.0,2.12,2.12,0.0,2.0159134947914192,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
2014-03-31,9805394000.0,5929674000.0,3831233000.0,70242000.0,390590000.0,90007000.0,45912000.0,47374000.0,1838000.0,0.0,129136961.0,,,0.0,,22.0423,4.5074,0.0,90007000.0,0.01198360945418877,0.004682320771607954,0.11754525205458409,0.2304385672956297,0.009179335373978853,0.023492959055217994,0.2304385672956297,0.0,1514479000.0,309689000.0,373233000.0,373233000.0,188695000.0,2.12,2.12,0.0,1.9779697395267495,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
2014-06-30,9910231000.0,5775950000.0,4091722000.0,80926000.0,792036000.0,182460000.0,106251000.0,96520000.0,2859000.0,0.0,131320547.0,,,0.0,,25.3397,5.0846,0.0,182460000.0,0.025967306674304854,0.010721344436875387,0.13414920533915126,0.23036831659167006,0.018411276185186804,0.044592472313612706,0.23036831659167006,0.0,1584643000.0,306753000.0,357113000.0,357113000.0,189554000.0,2.12,2.12,0.0,1.8839644639522246,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
2014-09-30,9722007000.0,5618447000.0,4062108000.0,36528000.0,1204222000.0,264832000.0,234020000.0,144689000.0,4037000.0,1.0,132852966.0,,,0.0,,29.2779,5.3325,1.0,264832000.0,0.05761048204528289,0.024071161438168065,0.19433293861098702,0.21991958293404373,0.02724046588322761,0.06519570626876489,0.21991958293404373,0.0,1687537000.0,280988000.0,338188000.0,338188000.0,190840000.0,1.33,1.33,0.0,1.7721022846363446,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
2014-12-31,9526784000.0,5612546000.0,3878256000.0,41321000.0,-770410000.0,-278633000.0,-186000000.0,-97498000.0,-3496000.0,-0.010000000000000009,-259673239.0,655888000.0,,0.0,0.7539,44.9157,5.5631,-0.010000000000000009,-278633000.0,-0.04795970147406463,-0.019523902294835277,0.24142988798172402,0.36166846224737476,-0.02924733047374644,-0.07184492204743576,0.36166846224737476,0.0,1616438000.0,200183000.0,258666000.0,258666000.0,191085000.0,0.99,0.99,0.0,1.3536698327969228,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
2015-03-31,9408426000.0,5550565000.0,3815457000.0,37329000.0,406609000.0,149318000.0,120183000.0,45466000.0,1675000.0,0.75,136128800.0,138922000.0,,0.0,,32.6297,5.4869,0.75,149318000.0,0.0314989790213859,0.012773975158012615,0.2955738805584726,0.36722748389730675,0.015870667420884214,0.03913502366820017,0.36722748389730675,0.0,1632457000.0,274454000.0,317977000.0,317977000.0,189177000.0,1.74,1.74,0.0,1.6808438657976392,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
2015-06-30,9586009000.0,5695816000.0,3847845000.0,59152000.0,826904000.0,256371000.0,255694000.0,91580000.0,4290000.0,1.0,136260995.0,,,0.0,,25.8939,5.4836,1.0,256371000.0,0.06645122139795132,0.026673665755999186,0.30921848243568784,0.3100371989977071,0.026744289516106235,0.06662716403597338,0.3100371989977071,0.0,1667325000.0,423897000.0,391888000.0,391888000.0,184237000.0,2.74,2.74,0.0,2.1270863073106923,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
2015-09-30,9501013000.0,5465362000.0,3995479000.0,22998000.0,1262893000.0,360501000.0,312672000.0,139718000.0,6044000.0,1.88,136920477.0,539207000.0,,0.0,,31.8154,5.2972,1.88,360501000.0,0.07825644935187996,0.03290933293113061,0.24758392041130958,0.2854564876042547,0.03794342771660243,0.09022722932594565,0.2854564876042547,0.0,1725996000.0,502549000.0,487557000.0,487557000.0,179266000.0,3.62,3.62,0.0,2.719740497361463,1.0900613,184.79,129.95,1.92665,62431.492,47.709,2.3432,10.2134
