report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,net_income,income_tax,eps_diluted,operating_cash_flow,total_debt,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,revenue_ttm,net_income_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2016-09-30,266605000000.0,250282000000.0,16323000000.0,,250000000.0,3444000000.0,10076000000.0,999000000.0,263000000.0,4.0,677000000.0,250000000.0,8.5243,0.8196,4.0,0.06120198492924095,0.003747116520695411,0.09914648670107186,0.015315812044354591,13053000000.0,1079000000.0,4.000000000000001,4.000000000000001,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2016-12-31,261627000000.0,247149000000.0,14478000000.0,,,2722000000.0,-6540000000.0,-548000000.0,-141000000.0,-1.0,-233000000.0,0.0,12.8189,1.1338,-1.0,-0.03785053184141456,-0.002094585039005913,0.0837920489296636,0.0,13330000000.0,1192000000.0,5.000000000000001,5.000000000000001,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2017-03-31,267468000000.0,252495000000.0,14973000000.0,,200000000.0,1923000000.0,3500000000.0,435000000.0,40000000.0,1.0,109000000.0,200000000.0,10.3804,1.074,1.0,0.02905229412943298,0.0016263627798465611,0.12428571428571429,0.013357376611233554,13587000000.0,1419000000.0,6.000000000000001,6.000000000000001,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2017-06-30,271651000000.0,255655000000.0,15996000000.0,,450000000.0,1978000000.0,7077000000.0,846000000.0,162000000.0,3.0,202000000.0,450000000.0,10.0642,1.0849,3.0,0.05288822205551388,0.003114290026541408,0.1195421788893599,0.028132033008252063,14113000000.0,1732000000.0,7.000000000000001,7.000000000000001,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2017-09-30,276785000000.0,260471000000.0,16314000000.0,,450000000.0,1965000000.0,10588000000.0,1264000000.0,254000000.0,5.0,609000000.0,450000000.0,11.2865,1.1764,5.0,0.0774794654897634,0.004566721462507,0.11938043067623726,0.027583670467083488,14625000000.0,1997000000.0,8.0,8.0,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2017-12-31,281763000000.0,264441000000.0,17322000000.0,,450000000.0,1628000000.0,-6908000000.0,-466000000.0,-1405000000.0,0.0,-132000000.0,450000000.0,8.2006,1.1945,0.0,-0.02690220528807297,-0.0016538722259487584,0.06745801968731906,0.025978524419812955,14257000000.0,2079000000.0,9.0,9.0,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2018-03-31,279237000000.0,263252000000.0,15985000000.0,,250000000.0,,3609000000.0,367000000.0,68000000.0,1.0,140000000.0,250000000.0,7.7177,1.08,1.0,0.02295902408507976,0.0013142957416101735,0.10169021889720144,0.01563966218329684,14366000000.0,2011000000.0,9.0,9.0,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2018-06-30,298832000000.0,283655000000.0,15177000000.0,,,,7629000000.0,752000000.0,134000000.0,3.0,632000000.0,0.0,6.9424,0.9308,3.0,0.04954865915530078,0.00251646410023023,0.09857124131603094,0.0,14918000000.0,1917000000.0,9.0,9.0,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2018-09-30,303850000000.0,288780000000.0,15070000000.0,,,,11893000000.0,1242000000.0,176000000.0,5.0,1034000000.0,0.0,7.1683,0.9481,5.0,0.08241539482415394,0.004087543195655751,0.10443117800386782,0.0,16223000000.0,1895000000.0,9.0,9.0,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2018-12-31,298147000000.0,283797000000.0,14350000000.0,,,,-6707000000.0,-720000000.0,-134000000.0,-2.0,137000000.0,0.0,6.6789,0.6656,-2.0,-0.050174216027874564,-0.0024149161319751665,0.10735052929774862,0.0,16424000000.0,1641000000.0,7.000000000000001,7.000000000000001,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2019-03-31,314299000000.0,297882000000.0,16417000000.0,,300000000.0,,3965000000.0,252000000.0,16000000.0,1.22,-1331000000.0,300000000.0,8.2969,0.7527,1.22,0.015349942133154658,0.0008017842882096348,0.0635561160151324,0.018273740634707925,16780000000.0,1526000000.0,7.220000000000001,7.220000000000001,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2019-06-30,322259000000.0,303804000000.0,18455000000.0,,300000000.0,,8275000000.0,616000000.0,73000000.0,3.0,-2562000000.0,300000000.0,8.8176,0.7752,3.0,0.033378488214575994,0.0019115059625953038,0.07444108761329306,0.01625575724735844,17426000000.0,1390000000.0,7.220000000000001,7.220000000000001,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2019-09-30,325278000000.0,305279000000.0,19999000000.0,,300000000.0,,12913000000.0,454000000.0,-16000000.0,2.0,-2857000000.0,300000000.0,14.1566,0.6913,2.0,0.02270113505675284,0.0013957291916453004,0.03515836753659103,0.015000750037501875,18446000000.0,602000000.0,4.220000000000001,4.220000000000001,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
