report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_ps_ttm
2014-09-30,44056.0,44056.0,1391375.0,1391375.0,-1347319.0,0.0,44056.0,6584.0,3485.0,-23338.0,11911.0,39751.0,0.0,,,-42402.0,,,,0.0,,,,-23338.0,-0.008840519579995532,0.2703604503359361,1.8090826245443499,0.5293134872417983,-3.5446537059538277,-0.5297348828763392,0.01732180723347626,,-3.5446537059538277,-0.0,0.03166364208067559,-1410915870.0,-97666151.0,-136927577.0,-113717.0,-136927577.0,26574.0,,,-0.0,-5152.689734326786,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2014-12-31,178.0,178.0,1383757.0,1383757.0,-1383579.0,0.0,178.0,-706139488.0,-1290.0,-63546056.0,-51288644.0,-28412.0,-17762000.0,,,-59265790.0,,,,0.0,0.0001,,,-63546056.0,37.069544998876104,-288138.44943820225,0.07263245417030126,1.8268345304603615e-06,0.08999079796540142,-357000.3146067416,45.92875144823678,,0.08999079796540142,-0.0,0.00012863530229657375,-706123653.0,-51353349.0,-63606239.0,5248.0,-63606239.0,51110.0,,,-0.0,-1244.496947759734,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2015-03-31,91417.0,91417.0,1429509.0,1429509.0,-1338092.0,,91417.0,1690.0,1690.0,-42715.0,-54513.0,11798.0,0.0,,,-8761.0,,,,0.0,0.0001,,,-42715.0,0.04073935125536959,-0.5963114081625955,-32.25621301775148,1.0,-25.275147928994084,-0.4672544493912511,0.03192231924262308,,-25.275147928994084,-0.0,0.06394992966116338,-706126243.0,-51377420.0,-63631749.0,5757.0,-63631749.0,49671.0,,,-0.0,-1281.06438364438,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2015-06-30,6417.0,6417.0,1404095.0,1404095.0,-1397678.0,,6417.0,3763.0,3723.0,-91417.0,-114099.0,22682.0,0.0,,,-93761.0,,,,0.0,,,,-91417.0,0.08163468266653692,-17.780738662926602,-30.321286207812914,0.989370183364337,-24.293648684560193,-14.246065139473274,0.0654063382266874,,-24.293648684560193,-0.0,0.004570203583090887,-706127451.0,-51445345.0,-63703526.0,7608.0,-63703526.0,45819.0,,,-0.0,-1390.3299068072197,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2015-09-30,6736.0,6736.0,1518056.0,1518056.0,-1511320.0,,4236.0,3856.0,3816.0,-211759.0,-277741.0,65982.0,0.0,,,-145942.0,,,,0.0,,,,-211759.0,0.1837737871529524,-41.23233372921615,-72.02826763485477,0.9896265560165975,-54.91675311203319,-31.43690617577197,0.14011526347828387,,-54.91675311203319,-0.0,0.004437253961645684,-706130179.0,-51734997.0,-63891947.0,7939.0,-63891947.0,72050.0,,,-0.0,-886.7723386537127,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2015-12-31,7145.0,7145.0,1562799.0,1562799.0,-1555654.0,,4667.0,-5453.0,-5413.0,110923.0,99611.0,11312.0,0.0,,,65453.0,,,,0.0,0.0046,,,110923.0,-0.06403159057219665,13.941357592722184,-18.26719237117183,0.9926645883000184,-20.341646799926647,15.524562631210637,-0.07130313038760547,,-20.341646799926647,-0.0,0.004571925116409724,3856.0,-346742.0,-234968.0,3816.0,-234968.0,111774.0,,,-0.0,-2.102170451088804,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2016-03-31,365.0,365.0,1630377.0,1630377.0,-1630012.0,,365.0,49.0,49.0,-46194.0,-77691.0,31497.0,0.0,,,-71802.0,,,,0.0,0.0046,,,-46194.0,0.047662839291980674,-212.85205479452054,-1585.530612244898,1.0,-942.734693877551,-126.55890410958904,0.028339668665015964,,-942.734693877551,-0.0,0.0002238746007825184,2215.0,-369920.0,-238447.0,2175.0,-238447.0,131473.0,,,-0.0,-1.8136575570649487,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2016-06-30,148.0,148.0,1689095.0,1689095.0,-1688947.0,,148.0,50.0,50.0,-299319.0,-346626.0,47307.0,0.0,,,-102019.0,,,,0.0,,,,-299319.0,0.20523201734571897,-2342.0675675675675,-6932.52,1.0,-5986.38,-2022.4256756756756,0.17722225741837963,,-5986.38,-0.0,8.76208857405889e-05,-1498.0,-602447.0,-446349.0,-1498.0,-446349.0,156098.0,,,-0.0,-2.85941523914464,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2016-09-30,1110.0,1110.0,1458886.0,1458886.0,-1457776.0,,1110.0,50.0,50.0,-350221.0,-407583.0,57362.0,,,,-122344.0,,,,0.0,,,,-350221.0,0.2795923379174853,-367.1918918918919,-8151.66,1.0,-7004.42,-315.51441441441443,0.2402433570040939,,-7004.42,-0.0,0.0007608545150203648,-5304.0,-732289.0,-584811.0,-5264.0,-584811.0,147478.0,,,-0.0,-3.9654117902331194,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2016-12-31,14343.0,14343.0,1561113.0,1561113.0,-1546770.0,,,-100.0,-100.0,275122.0,335324.0,-60202.0,0.0,,,,,,,0.0,0.0048,,,275122.0,-0.2167898265417612,23.378930488740153,-3353.24,1.0,-2751.22,19.181621696995048,-0.1778687199777601,,-2751.22,-0.0,0.009187675715979561,49.0,-496576.0,-420612.0,49.0,-420612.0,75964.0,,,-0.0,-5.5369912063609075,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2017-06-30,917414.0,26583.0,11159597.0,11851397.0,-10933983.0,,26583.0,,,-8080117.0,,283094.0,0.0,,,-763071.0,,,,0.0,,,,-8080117.0,,,,,,-8.807492582410994,0.7389911800667698,,,-0.0,0.0023820752666964587,,,-8454535.0,,-8454535.0,327561.0,,,-0.0,-25.810566581491692,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
