report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-09-30,61963000000.0,6696000000.0,6569000000.0,42242000000.0,19346000000.0,18955000000.0,335000000.0,1256000000.0,12834000000.0,3649000000.0,1967000000.0,649000000.0,1098000000.0,2.23,880000000.0,4044000000.0,3558000000.0,486000000.0,19290000000.0,,17.4097,17.6717,2.23,3649000000.0,0.1016747648092629,0.03174475089973049,0.153264765466729,0.2843228923172822,0.05888998273163017,0.09444559478206854,0.037868162692847124,0.2843228923172822,0.9971053447741135,1.019333231846552,15374000000.0,2139000000.0,4069000000.0,-13892272000.0,4069000000.0,867000000.0,2.38,2.38,4.7407225362496925,4.693194925028835,0.39489028,100.835,83.09,5.45446,109084.555,25.1289,2.6659,3.8587
2012-12-31,63149000000.0,6162000000.0,7014000000.0,43770000000.0,19004000000.0,19274000000.0,825000000.0,628000000.0,-7686000000.0,-1861000000.0,-976000000.0,-432000000.0,-493000000.0,-1.1099999999999999,-1757000000.0,-1471000000.0,-2336000000.0,-3807000000.0,20099000000.0,0.8785,15.495,16.3337,-1.1099999999999999,-1861000000.0,-0.051357608924436964,-0.015455509984322793,0.12698412698412698,0.24212854540723394,-0.029469983689369587,-0.04759225634861775,0.4953161592505855,0.24212854540723394,1.0576194485371502,0.8785286569717707,16537000000.0,2350000000.0,4463000000.0,-4583000000.0,4463000000.0,859000000.0,2.67,2.67,4.503473000224065,5.19557625145518,0.39489028,100.835,83.09,5.45446,109084.555,25.1289,2.6659,3.8587
2013-03-31,63274000000.0,5932000000.0,6439000000.0,44155000000.0,18744000000.0,20223000000.0,1294000000.0,515000000.0,3897000000.0,325000000.0,81000000.0,211000000.0,31000000.0,0.09,875000000.0,737000000.0,1197000000.0,-460000000.0,21517000000.0,,19.1175,17.0861,0.09,325000000.0,0.004321382842509603,0.0012801466637165344,0.020785219399538105,0.0833974852450603,0.005136390934665108,0.008072328059412335,-0.1180395175776238,0.0833974852450603,1.147940674349125,0.9212610653828234,16830000000.0,2063000000.0,4022000000.0,-4380000000.0,4022000000.0,859000000.0,2.34,2.34,5.349825957235207,4.682188591385332,0.39489028,100.835,83.09,5.45446,109084.555,25.1289,2.6659,3.8587
2013-06-30,63961000000.0,6001000000.0,7346000000.0,44790000000.0,18040000000.0,19943000000.0,1587000000.0,424000000.0,8143000000.0,965000000.0,378000000.0,426000000.0,189000000.0,0.43,877000000.0,1947000000.0,2597000000.0,-650000000.0,21530000000.0,,21.2462,15.8075,0.43,965000000.0,0.020953436807095344,0.005909851315645471,0.04642023824143436,0.11850669286503746,0.015087318834915027,0.02438716199140763,-0.07982316099717549,0.11850669286503746,1.1934589800443458,0.8169071603593793,17188000000.0,1450000000.0,3078000000.0,-4431000000.0,3078000000.0,854000000.0,1.6400000000000001,1.6400000000000001,6.994801819363222,3.604215456674473,0.39489028,100.835,83.09,5.45446,109084.555,25.1289,2.6659,3.8587
2013-09-30,64697000000.0,5785000000.0,5704000000.0,44788000000.0,18778000000.0,21053000000.0,750000000.0,682000000.0,13160000000.0,2456000000.0,1230000000.0,628000000.0,657000000.0,1.4,879000000.0,4411000000.0,3978000000.0,433000000.0,21803000000.0,,21.6389,5.361,1.4,2456000000.0,0.06550218340611354,0.019011700697095693,0.09346504559270517,0.18662613981762918,0.03796157472525774,0.060520933441758455,0.03290273556231003,0.18662613981762918,1.1610927681329215,1.0142005610098177,17514000000.0,713000000.0,1885000000.0,-4484000000.0,1885000000.0,833000000.0,0.81,0.81,11.56657824933687,2.262905162064826,0.39489028,100.835,83.09,5.45446,109084.555,25.1289,2.6659,3.8587
2013-12-31,64546000000.0,5599000000.0,5536000000.0,44407000000.0,19008000000.0,21344000000.0,1482000000.0,659000000.0,-8113000000.0,-491000000.0,-45000000.0,-441000000.0,-28000000.0,-0.04999999999999982,-1750000000.0,-998000000.0,-2309000000.0,-3307000000.0,22826000000.0,1.0161,21.3484,3.6084,-0.04999999999999982,-491000000.0,-0.0023674242424242425,-0.0006971772069531807,0.005546653519043511,0.06052015284111919,-0.00760697796920026,-0.011736864751159344,0.4076174041661531,0.06052015284111919,1.2008627946127945,1.0113800578034682,17087000000.0,1644000000.0,3255000000.0,-3984000000.0,3255000000.0,824000000.0,1.87,1.87,7.012596006144393,3.950242718446602,0.39489028,100.835,83.09,5.45446,109084.555,25.1289,2.6659,3.8587
2014-03-31,64838000000.0,5140000000.0,4835000000.0,44637000000.0,19070000000.0,22288000000.0,598000000.0,590000000.0,4644000000.0,700000000.0,351000000.0,206000000.0,176000000.0,0.39,893000000.0,1103000000.0,1180000000.0,-77000000.0,22886000000.0,,19.7589,3.8006,0.39,700000000.0,0.018405873099108547,0.0054134920879731025,0.0755813953488372,0.1507321274763135,0.010796138067182826,0.016684145295071028,-0.016580534022394487,0.1507321274763135,1.2001048767697955,1.063081695966908,17834000000.0,1914000000.0,3630000000.0,-3601000000.0,3630000000.0,819000000.0,2.17,2.17,6.304683195592286,4.4322344322344325,0.39489028,100.835,83.09,5.45446,109084.555,25.1289,2.6659,3.8587
2014-12-31,70923000000.0,6370000000.0,8967000000.0,49583000000.0,19949000000.0,20841000000.0,803000000.0,710000000.0,18467000000.0,3642000000.0,1963000000.0,835000000.0,977000000.0,2.18,901000000.0,5815000000.0,5977000000.0,-162000000.0,21644000000.0,0.7104,21.9073,3.0584,2.18,3642000000.0,0.0984009223519976,0.027677904205969855,0.10629772025775708,0.19721665673904804,0.051351465674040864,0.08756281104993628,-0.008772404830237722,0.19721665673904804,1.0849666649957392,0.7103825136612022,28158000000.0,3499000000.0,6307000000.0,-3113000000.0,6307000000.0,1228000000.0,3.92,3.92,3.4317425083240845,5.13599348534202,0.39489028,100.835,83.09,5.45446,109084.555,25.1289,2.6659,3.8587
2015-12-31,78318000000.0,6526000000.0,9129000000.0,56175000000.0,20592000000.0,24688000000.0,1376000000.0,1404000000.0,17489000000.0,4282000000.0,2367000000.0,840000000.0,1194000000.0,2.59,914000000.0,6274000000.0,5674000000.0,600000000.0,26064000000.0,0.7149,17.5596,2.4385,2.59,4282000000.0,0.11494755244755245,0.030222937255803262,0.13534221510663846,0.24483961347132482,0.05467453203605812,0.0917781207133059,0.03430727886099834,0.24483961347132482,1.2657342657342658,0.7148647168364552,32487000000.0,4636000000.0,8133000000.0,-2946000000.0,8133000000.0,1440000000.0,5.11,5.11,3.2047215049797124,5.647916666666666,0.39489028,100.835,83.09,5.45446,109084.555,25.1289,2.6659,3.8587
2016-03-31,78735000000.0,5461000000.0,7856000000.0,56389000000.0,20797000000.0,26091000000.0,1195000000.0,754000000.0,3965000000.0,933000000.0,485000000.0,246000000.0,222000000.0,0.53,922000000.0,865000000.0,1872000000.0,-1007000000.0,27286000000.0,,19.8386,2.7599,0.53,933000000.0,0.023320671250661153,0.006159903473677526,0.1223203026481715,0.23530895334174023,0.011849876166888932,0.01940394734105609,-0.2539722572509458,0.23530895334174023,1.3120161561763717,0.6951374745417516,44565000000.0,5166000000.0,9557000000.0,-646000000.0,9557000000.0,2127000000.0,5.69,5.69,2.8550800460395522,4.493182886694876,0.39489028,100.835,83.09,5.45446,109084.555,25.1289,2.6659,3.8587
