report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,net_income,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,roe,roa,net_margin,fcf_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,fcf_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2019-06-30,14684000000.0,4237000000.0,3176000000.0,9478000000.0,4962000000.0,3962000000.0,866000000.0,712000000.0,220787000.0,2289000000.0,181000000.0,50000000.0,0.77,313000000.0,,110000000.0,,4828000000.0,,,,0.77,0.03647722692462717,0.012326341596295287,0.07907383136740935,,0.9729947601773479,1.3340680100755669,15841000000.0,931000000.0,,1.79,1.79,1.8597996,6.8,1.22,2.82677,176.9346,0.4612,0.0252
2019-09-30,14660000000.0,4340000000.0,3923000000.0,9560000000.0,4855000000.0,3230000000.0,1602000000.0,922000000.0,218963000.0,2200000000.0,221000000.0,66000000.0,0.96,356000000.0,,104000000.0,,4832000000.0,,,,0.96,0.045520082389289396,0.015075034106412005,0.10045454545454545,,0.9952626158599382,1.1062962018863114,12618000000.0,870000000.0,,2.54,2.54,1.8597996,6.8,1.22,2.82677,176.9346,0.4612,0.0252
2019-12-31,15047000000.0,6140000000.0,3435000000.0,9239000000.0,5587000000.0,3233000000.0,1049000000.0,2740000000.0,212590000.0,2371000000.0,818000000.0,71000000.0,3.5199999999999996,438000000.0,,98000000.0,,4282000000.0,1.7875,,,3.5199999999999996,0.14641131197422588,0.054362995946035754,0.34500210881484605,,0.7664220511902631,1.787481804949054,9066000000.0,1353000000.0,,5.8,5.8,1.8597996,6.8,1.22,2.82677,176.9346,0.4612,0.0252
2020-03-31,14784000000.0,5977000000.0,3373000000.0,9170000000.0,5393000000.0,3238000000.0,1050000000.0,2622000000.0,212831000.0,1860000000.0,-2000000.0,-1000000.0,-0.03,173000000.0,,94000000.0,,4288000000.0,1.7875,,,-0.03,-0.0003708511032820323,-0.00013528138528138528,-0.001075268817204301,,0.7951047654366772,1.7720130447672695,8720000000.0,1218000000.0,,5.22,5.22,1.8597996,6.8,1.22,2.82677,176.9346,0.4612,0.0252
2020-06-30,14125000000.0,5391000000.0,3791000000.0,8430000000.0,5477000000.0,2185000000.0,1793000000.0,2272000000.0,213014000.0,1465000000.0,27000000.0,8000000.0,,34000000.0,,88000000.0,,3978000000.0,,,,,0.004929706043454446,0.001911504424778761,0.018430034129692834,,0.7263100237356217,1.4220522289633342,7896000000.0,1064000000.0,,,,1.8597996,6.8,1.22,2.82677,176.9346,0.4612,0.0252
2020-09-30,15352000000.0,6541000000.0,3327000000.0,9686000000.0,5448000000.0,3836000000.0,1218000000.0,3242000000.0,205957000.0,1767000000.0,90000000.0,29000000.0,0.41,106000000.0,,90000000.0,,5054000000.0,,,,0.41,0.016519823788546256,0.005862428348097967,0.050933786078098474,,0.9276798825256976,1.9660354673880374,7463000000.0,933000000.0,,,,1.8597996,6.8,1.22,2.82677,176.9346,0.4612,0.0252
2020-12-31,14741000000.0,5783000000.0,2478000000.0,8931000000.0,5592000000.0,4050000000.0,,2625000000.0,198386000.0,1930000000.0,77000000.0,28000000.0,0.45999999999999996,235000000.0,,96000000.0,,4050000000.0,2.3337,,,0.45999999999999996,0.01376967095851216,0.0052235262193881015,0.03989637305699482,,0.7242489270386266,2.3337368845843423,7022000000.0,192000000.0,,,,1.8597996,6.8,1.22,2.82677,176.9346,0.4612,0.0252
2021-03-31,14272000000.0,5420000000.0,2645000000.0,8629000000.0,5425000000.0,3674000000.0,678000000.0,2379000000.0,191947000.0,1710000000.0,39000000.0,14000000.0,0.18,117000000.0,,86000000.0,,4352000000.0,2.3337,,,0.18,0.007188940092165899,0.0027326233183856503,0.02280701754385965,,0.8022119815668203,2.049149338374291,6872000000.0,233000000.0,,,,1.8597996,6.8,1.22,2.82677,176.9346,0.4612,0.0252
2021-06-30,14110000000.0,5175000000.0,2691000000.0,8601000000.0,5287000000.0,3597000000.0,642000000.0,2124000000.0,182176000.0,1793000000.0,91000000.0,9000000.0,0.46,214000000.0,,84000000.0,,4239000000.0,,,,0.46,0.017212029506336296,0.006449326718639263,0.05075292805354155,,0.8017779459050501,1.9230769230769231,7200000000.0,297000000.0,,1.51,1.51,1.8597996,6.8,1.22,2.82677,176.9346,0.4612,0.0252
2022-03-31,13082000000.0,4566000000.0,3769000000.0,8669000000.0,4184000000.0,2821000000.0,1450000000.0,1681000000.0,154850000.0,1668000000.0,-56000000.0,-31000000.0,-0.38,66000000.0,,72000000.0,,4271000000.0,,0.4464,,-0.38,-0.01338432122370937,-0.004280691025837028,-0.03357314148681055,,1.020793499043977,1.211461926240382,7101000000.0,151000000.0,,0.7200000000000001,0.7200000000000001,1.8597996,6.8,1.22,2.82677,176.9346,0.4612,0.0252
2022-06-30,12270000000.0,4102000000.0,3415000000.0,8164000000.0,3873000000.0,2764000000.0,1108000000.0,1151000000.0,154966000.0,3415000000.0,-60000000.0,-30000000.0,-0.43,-19000000.0,,140000000.0,,3872000000.0,,0.3311,,-0.43,-0.015491866769945779,-0.004889975550122249,-0.017569546120058566,,0.9997418022205009,1.2011713030746705,8586000000.0,14000000.0,,-0.16999999999999998,-0.16999999999999998,1.8597996,6.8,1.22,2.82677,176.9346,0.4612,0.0252
2023-09-30,10444000000.0,3354000000.0,3006000000.0,7422000000.0,2789000000.0,2739000000.0,870000000.0,532000000.0,122906000.0,5121000000.0,59000000.0,1000000.0,0.3,297000000.0,,189000000.0,,3609000000.0,,0.2699,10.5904,0.3,0.021154535675869487,0.005649176560704711,0.011521187268111696,,1.2940121907493725,1.1157684630738522,11997000000.0,34000000.0,,-0.04999999999999999,-0.04999999999999999,1.8597996,6.8,1.22,2.82677,176.9346,0.4612,0.0252
2024-03-31,9944000000.0,3348000000.0,2438000000.0,7339000000.0,2378000000.0,3199000000.0,405000000.0,685000000.0,124185000.0,1502000000.0,-113000000.0,-37000000.0,-0.94,-79000000.0,,59000000.0,,3604000000.0,,0.3313,,-0.94,-0.04751892346509672,-0.011363636363636364,-0.07523302263648468,,1.5155592935239697,1.3732567678424938,11706000000.0,-170000000.0,,-1.45,-1.45,1.8597996,6.8,1.22,2.82677,176.9346,0.4612,0.0252
2024-06-30,9491000000.0,3051000000.0,2046000000.0,6902000000.0,2361000000.0,3174000000.0,129000000.0,485000000.0,124319000.0,3080000000.0,-95000000.0,-30000000.0,-0.83,44000000.0,,118000000.0,,3303000000.0,,0.221,,-0.83,-0.04023718763235917,-0.010009482667790538,-0.030844155844155844,,1.3989834815756035,1.4912023460410557,13118000000.0,-209000000.0,,-1.9,-1.9,1.8597996,6.8,1.22,2.82677,176.9346,0.4612,0.0252
