report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2013-09-30,3965151000.0,1820906000.0,338893000.0,,2018539000.0,,8375000.0,344202000.0,492669000.0,288863000.0,117508000.0,99806000.0,12354000.0,,0.0,216475000.0,,,,,8375000.0,,4.4124,32.0153,0.0,117508000.0,0.04944467260726694,0.02517079425222394,0.20258226111243047,0.5863226628831933,0.23851307876079073,0.029635189176906503,0.05797384595498378,,0.23851307876079073,0.004149040469369182,5.37310006403201,1449518000.0,169538000.0,193702000.0,791825000.0,,346508000.0,36071000.0,-0.04999999999999982,-0.04999999999999982,0.024169716139309915,5.370020237864212,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2013-12-31,4003108000.0,1969028000.0,316400000.0,4003108000.0,2075108000.0,,14159000.0,375100000.0,1437833000.0,838157000.0,332827000.0,283786000.0,36755000.0,,1.31,215943000.0,473223000.0,,143704000.0,,14159000.0,,4.7521,25.8428,1.31,476531000.0,0.13675721938328028,0.07089141736870452,0.19737062649139364,0.5829307019660837,0.2314782036578657,0.08314214855057621,0.15930323888713122,,0.33142305121665727,0.006823259319514936,6.223223767383059,1735872000.0,385625000.0,404689000.0,1030562000.0,,560731000.0,41843000.0,0.9300000000000002,0.9300000000000002,0.025250967041237242,9.671605764405038,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2014-03-31,4067630000.0,1969399000.0,336079000.0,,2135461000.0,,17500000.0,466603000.0,-462077000.0,-264851000.0,-89872000.0,-66890000.0,-12249000.0,37073000.0,-0.31000000000000005,-427054000.0,,,-4975000.0,,17500000.0,5.8601,4.9245,24.0593,-0.31000000000000005,-94847000.0,-0.03132344725565112,-0.016444465204554004,0.14475942321301427,0.5731750335982964,0.19449572257437614,-0.02209443828470141,-0.04174344077760814,,0.205262326408802,0.008194951816024736,5.859928766748294,1931217000.0,395281000.0,458864000.0,1128743000.0,,648003000.0,48716000.0,1.0,1.0,0.027006047811507044,9.419164134986453,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2014-06-30,4501743000.0,2450351000.0,359690000.0,,2169645000.0,,17500000.0,617770000.0,528876000.0,306519000.0,115946000.0,89909000.0,13678000.0,17082000.0,0.0,224527000.0,165788000.0,,60988000.0,,17500000.0,,4.8945,24.0438,0.0,176934000.0,0.041439498166750785,0.01997204194019961,0.17000015126419046,0.5795668549905838,0.21923097285564103,0.025755801697253708,0.0530124888839103,,0.33454722846187007,0.00806583565514174,6.812396786121382,1997301000.0,406611000.0,476409000.0,1168688000.0,,676126000.0,50538000.0,1.0,1.0,0.025882749665003268,9.426748189481183,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2014-09-30,4610627000.0,1978965000.0,385484000.0,,2203421000.0,,17500000.0,481439000.0,1075119000.0,613973000.0,217264000.0,183550000.0,27697000.0,15748000.0,0.0,224906000.0,357834000.0,,131809000.0,,17500000.0,,4.615,23.6387,0.0,349073000.0,0.08330228313154862,0.03981020368813179,0.1707252871542592,0.5710744578042058,0.20208367631862148,0.04712244126449613,0.0978260820623516,,0.3246831281002382,0.007942195340790525,5.1337150180033415,2579751000.0,490355000.0,576165000.0,1493798000.0,,907691000.0,65881000.0,1.0,1.0,0.01927968879277199,8.745541203078277,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2014-12-31,4628917000.0,1783479000.0,353086000.0,,2256289000.0,,17500000.0,456339000.0,1603829000.0,915932000.0,315273000.0,269607000.0,41920000.0,17141000.0,1.0,224433000.0,542672000.0,,205112000.0,,17500000.0,,4.3227,23.7879,1.0,520385000.0,0.1194913417563087,0.05824407739434516,0.16810208569616836,0.5710908083093647,0.19657519598411052,0.06810945195172002,0.1386553457686707,,0.3244641417507727,0.0077560986203451775,5.051117857972279,2745747000.0,476176000.0,558611000.0,1571573000.0,,951545000.0,71046000.0,0.69,0.69,0.018391142825615183,7.862666441460462,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2015-03-31,4780713000.0,2664617000.0,353972000.0,,2044654000.0,,0.0,607815000.0,-1060788000.0,-606860000.0,-222863000.0,-174057000.0,-21261000.0,-69389000.0,0.0,-450305000.0,,,-119611000.0,,0.0,7.5282,4.5882,26.696,0.0,-342474000.0,-0.0851278504822821,-0.03640816756831042,0.1640827384925169,0.5720841487648805,0.2100919316583521,-0.04661710502178232,-0.10899790380181684,,0.3228486747587642,0.0,7.527762082876611,2147036000.0,369009000.0,425620000.0,1229564000.0,,703918000.0,62034000.0,1.0,1.0,0.0,6.861076184028113,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2015-06-30,4856985000.0,2255614000.0,372308000.0,,2098882000.0,,,563547000.0,533952000.0,309017000.0,121319000.0,130667000.0,24052000.0,-10895000.0,0.0,216767000.0,181528000.0,,60375000.0,,0.0,,4.4604,23.4239,0.0,181694000.0,0.06225552460786266,0.02690290375613678,0.2447167535658636,0.578735541771545,0.2272095619081865,0.024978252969692104,0.05780172491831365,,0.3402815234328179,0.0,6.0584623483782245,2152112000.0,409767000.0,430993000.0,1232062000.0,,708678000.0,72408000.0,1.0,1.0,0.0,5.9522842779803335,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2015-09-30,5786309000.0,2778887000.0,371776000.0,,2129381000.0,,,539078000.0,1075343000.0,609967000.0,196267000.0,195566000.0,49696000.0,-21837000.0,0.0,216933000.0,331414000.0,,131484000.0,,0.0,,4.236,23.8675,0.0,327751000.0,0.09184171362475761,0.0337980567577708,0.18186383321414656,0.5672301767901032,0.1825157182405986,0.033919204798775866,0.09217091727595954,,0.30478740271708654,0.0,7.474627194870029,2152336000.0,421783000.0,409996000.0,1228056000.0,,687356000.0,94407000.0,1.0,1.0,0.0,4.342855932293157,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2015-12-31,5446553000.0,1632721000.0,343914000.0,,2126344000.0,,,331451000.0,1615687000.0,902685000.0,272399000.0,256777000.0,77203000.0,-32890000.0,1.0,217280000.0,541891000.0,,207662000.0,,0.0,,4.3788,26.5393,1.0,480061000.0,0.1207598582355442,0.04714486391668272,0.15892744077287246,0.5587004166029683,0.16859639274191102,0.05001310002858689,0.12810674096007044,,0.2971250000773665,0.0,4.747468843955175,2164194000.0,408953000.0,367122000.0,1214809000.0,,647032000.0,129690000.0,1.0,1.0,0.0,2.830765671987046,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2016-03-31,5567515000.0,3096713000.0,382009000.0,,2150919000.0,,,2092751000.0,-1051648000.0,-616205000.0,-237640000.0,-258878000.0,-46933000.0,22990000.0,0.0,-433592000.0,,,-116350000.0,,0.0,8.1073,4.5183,30.2887,0.0,-353990000.0,-0.12035692650443834,-0.04649794387621767,0.24616411574975658,0.5859422544425511,0.22596914556962025,-0.04268331562645094,-0.11048300749586572,,0.3366050237341772,0.0,8.10638754584316,2173334000.0,324132000.0,352345000.0,1205464000.0,,635516000.0,104018000.0,1.0,1.0,0.0,3.3873464208117827,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2016-06-30,7358756000.0,1672988000.0,573285000.0,,2532549000.0,,,600526000.0,799411000.0,348490000.0,-59104000.0,-113363000.0,34416000.0,18478000.0,0.0,214345000.0,223967000.0,,113141000.0,,0.0,,4.4756,136.2634,0.0,54037000.0,-0.04476241130971207,-0.015405185332955732,-0.14180815625504278,0.43593345600698513,-0.07393443422719978,-0.008031792330116666,-0.023337751806579064,,0.06759601756793439,0.0,2.9182483407031405,2438793000.0,80102000.0,171922000.0,1244937000.0,,507859000.0,114382000.0,1.0,1.0,0.0,1.5030511793813712,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2016-09-30,7074396000.0,1490735000.0,578803000.0,,2519512000.0,,,489988000.0,1670775000.0,759111000.0,3656000.0,-79444000.0,69542000.0,8138000.0,0.0,214935000.0,446090000.0,,225957000.0,,0.0,,4.8319,272.4644,0.0,229613000.0,-0.03153150292596344,-0.011229792621165115,-0.04754919124358457,0.45434663554338556,0.00218820607203244,0.0005167932357758882,0.001451074652551764,,0.13742903742275292,0.0,2.5755481571450045,3034225000.0,-194908000.0,-20689000.0,1394081000.0,,409721000.0,134228000.0,1.0,1.0,0.0,-0.1541332657865721,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2016-12-31,7144581000.0,1676750000.0,651553000.0,,2566898000.0,,,663938000.0,2505141000.0,1224370000.0,121730000.0,27731000.0,104685000.0,-15699000.0,0.0,233351000.0,736892000.0,,340925000.0,,0.0,,4.5033,145.0326,0.0,462655000.0,0.010803312013176995,0.003881403262136716,0.011069636399707641,0.4887429489996771,0.04859207525644265,0.017038088027835362,0.04742299849857688,,0.1846822194838534,0.0,2.57346677860435,3923679000.0,-423954000.0,-171358000.0,1715766000.0,,392315000.0,161710000.0,0.0,0.0,0.0,-1.059662358543071,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2017-03-31,7686881000.0,2305040000.0,704450000.0,,3270711000.0,2900500000.0,,908684000.0,-1567520000.0,-574775000.0,209535000.0,329715000.0,-62297000.0,-91722000.0,0.0,-427825000.0,,,-210815000.0,,2900500000.0,3.2741,4.6857,97.0134,0.0,-1280000.0,0.10080835634820685,0.04289320987276894,-0.2103418138205573,0.36667793712360924,-0.13367293559252832,0.02725878025170417,0.033953627578120406,,0.0008165765030111259,0.8868102378962862,3.2721129959542905,3407807000.0,164639000.0,275817000.0,1757196000.0,,745025000.0,146346000.0,0.0,0.0,3.893157947719875,1.884691074576688,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2017-06-30,7887891000.0,2298762000.0,736443000.0,,3412554000.0,2983900000.0,,773036000.0,972141000.0,584439000.0,221598000.0,170587000.0,49490000.0,-4382000.0,0.0,242902000.0,344992000.0,,151801000.0,,2983900000.0,,5.0164,40.0392,0.0,373399000.0,0.0499880734488011,0.02162643981769018,0.17547557401652641,0.6011874820627872,0.22794841489043255,0.028093440946382244,0.034643882376078995,,0.3840996316377974,0.8743890939161695,3.121439133782248,3580537000.0,448589000.0,556519000.0,1993145000.0,,1064387000.0,161420000.0,0.0,0.0,2.8033976363860136,3.4476458927022673,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2017-09-30,8055198000.0,2443422000.0,734186000.0,,3546124000.0,3011900000.0,,826407000.0,1984280000.0,1198533000.0,446997000.0,359743000.0,98949000.0,-7302000.0,1.0,243835000.0,695123000.0,,304356000.0,,3011900000.0,,5.663,34.8958,1.0,751353000.0,0.10144681911856439,0.044659734000331214,0.18129649041465923,0.6040140504364303,0.22526911524583224,0.055491745826732004,0.06816031780304554,,0.3786527103029814,0.8493498817300241,3.328069453789639,3894042000.0,887776000.0,999860000.0,2432567000.0,,1586127000.0,190827000.0,1.0,1.0,1.898902168615754,5.2396149391857545,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2017-12-31,8123793000.0,2253441000.0,756832000.0,,3185075000.0,3039623000.0,,672079000.0,2978485000.0,1805592000.0,692243000.0,108657000.0,148693000.0,440434000.0,0.0,248024000.0,1060082000.0,,459032000.0,,3039623000.0,,5.4488,86.105,0.0,1151275000.0,0.034114424307119924,0.013375156161659954,0.036480626895888345,0.6062115471456127,0.2324144657434904,0.08521179700172075,0.11120908998316063,,0.3865304005224132,0.9543332574586155,2.97746527630967,4367386000.0,968702000.0,1570373000.0,3013789000.0,,2274747000.0,234835000.0,1.0,1.0,1.3362466243498727,6.687133519279494,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
