report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2021-07-31,3136045000.0,2252025000.0,1136828000.0,2224644000.0,904268000.0,738772000.0,1787051000.0,,471596000.0,-78750000.0,-142367000.0,12526000.0,54300000.0,-0.63,225276000.0,256008000.0,55793000.0,,200215000.0,738772000.0,,50.3862,,-0.63,-78750000.0,-0.15743894509149942,-0.045396988882493716,,,,-0.02511124680927729,-0.04792944785276074,,,0.8169834606554695,1.98097249539948,,-127483000.0,933881000.0,358620000.0,-127483000.0,19855000.0,,,-5.795062871127915,-6.420700075547721,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
2021-10-31,3299617000.0,2360086000.0,1241547000.0,2340047000.0,948182000.0,739145000.0,1907508000.0,,749983000.0,-119014000.0,-192822000.0,18929000.0,58800000.0,-0.85,226292000.0,415066000.0,85420000.0,,329646000.0,739145000.0,,47.7806,,-0.85,-119014000.0,-0.20335969254847697,-0.05843769140479031,,,,-0.03606903467887334,-0.07053404586070157,,,0.7795391602034208,1.9009236057918064,,-169771000.0,1237168000.0,486408000.0,-169771000.0,38274000.0,-2.29,-2.29,-4.353776557833788,-4.43567434812144,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
2022-01-31,3618381000.0,2570952000.0,1406830000.0,2580738000.0,1025764000.0,739517000.0,,,-377544000.0,86563000.0,185436000.0,-12454000.0,-90800000.0,0.8299999999999998,-448579000.0,-243823000.0,-54866000.0,,-298689000.0,739517000.0,1.8275,28.5396,,0.8299999999999998,86563000.0,0.18077842466688243,0.05124833454520129,,,,0.023923130261849154,0.049036385708564244,,,0.720942633978186,1.827478799854993,-234802000.0,-142548000.0,1068373000.0,352909000.0,-142548000.0,25231000.0,-1.0300000000000002,-1.0300000000000002,-5.187845497656929,-5.649716618445563,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
2022-04-30,3835835000.0,2733058000.0,1497103000.0,2718838000.0,1102541000.0,739889000.0,2152736000.0,487834000.0,361002000.0,-23883000.0,-31523000.0,6298000.0,3400000.0,-0.14,,214957000.0,52211000.0,,162746000.0,739889000.0,,28.8715,,-0.14,-23883000.0,-0.028591226992919085,-0.00821802814771751,-0.06461829228795041,0.740009921407692,-0.048957227253532964,-0.006226284498681512,-0.012962771991337527,0.33360938351980385,-0.048957227253532964,0.6710761776659553,1.8255644401220223,-181276000.0,-135084000.0,1205037000.0,393918000.0,-135084000.0,25299000.0,-0.79,-0.79,-5.477251191850996,-5.339499584963833,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
2022-07-31,4154236000.0,2975980000.0,1649250000.0,2910889000.0,1225419000.0,740261000.0,2318858000.0,,755588000.0,-72190000.0,-80808000.0,12633000.0,8200000.0,-0.35,231850000.0,424863000.0,118339000.0,,306524000.0,740261000.0,,23.1939,,-0.35,-72190000.0,-0.06594315903376723,-0.019451952176043924,,,,-0.017377443168852227,-0.03672520450938098,,,0.6040880711005786,1.8044444444444445,-119717000.0,-128524000.0,1489029000.0,500227000.0,-128524000.0,25406000.0,-0.5100000000000001,-0.5100000000000001,-5.759710248669509,-5.058805006691332,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
2022-10-31,4469443000.0,3203613000.0,1817053000.0,3131811000.0,1314289000.0,740633000.0,2466551000.0,,1178242000.0,-128612000.0,-135764000.0,18967000.0,17100000.0,-0.58,232502000.0,667714000.0,179609000.0,,488105000.0,740633000.0,,18.488,,-0.58,-128612000.0,-0.1032984374060804,-0.03037604462122014,,,,-0.028775845222771608,-0.06258729041783581,,,0.5635236998864025,1.7630817593102677,-62659000.0,-138122000.0,1917288000.0,658686000.0,-138122000.0,25444000.0,-0.2400000000000001,-0.2400000000000001,-5.36216533209771,-5.428470366294608,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
2023-04-30,5137858000.0,3708770000.0,2080064000.0,3503499000.0,1605301000.0,741377000.0,2829677000.0,,523350000.0,-19456000.0,491000.0,6387000.0,4400000.0,0.0,240598000.0,300892000.0,62264000.0,,238628000.0,741377000.0,,11.5148,,0.0,-19456000.0,0.00030586164214686215,9.556511682494923e-05,,,,-0.0037867920833935076,-0.008290869049780157,,,0.4618305227493162,1.783007638226516,-247604000.0,-244141000.0,2818182000.0,1196003000.0,-244141000.0,44285000.0,-1.0699999999999998,-1.0699999999999998,-3.0366755276663895,-5.5129502088743365,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
2023-07-31,5520458000.0,4050386000.0,2229463000.0,3650358000.0,1838207000.0,741750000.0,3167215000.0,,1072059000.0,-34829000.0,8963000.0,12831000.0,9000000.0,0.04,241383000.0,545673000.0,102681000.0,,442992000.0,741750000.0,,14.5058,,0.04,-34829000.0,0.004875947050577002,0.0016235971725534367,,,,-0.006309077978674958,-0.013499837400390782,,,0.403518210952303,1.8167540793455643,-207118000.0,-255087000.0,3529239000.0,1476249000.0,-255087000.0,50818000.0,-0.8899999999999999,-0.8899999999999999,-2.907831445742041,-5.019619032626235,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
2023-10-31,5831056000.0,4079133000.0,2350417000.0,3770209000.0,2028950000.0,742122000.0,2968872000.0,,1663069000.0,-31666000.0,35628000.0,19334000.0,18600000.0,0.15,242196000.0,819191000.0,123945000.0,,695246000.0,742122000.0,,14.8233,,0.15,-31666000.0,0.01755982158259198,0.00611004250345049,,,,-0.005430577240211722,-0.011427346528708023,,,0.36576652948569455,1.735493318845124,-90682000.0,-214563000.0,4436720000.0,1864971000.0,-214563000.0,57519000.0,-0.38999999999999996,-0.38999999999999996,-3.458760364088869,-3.730297814635164,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
2024-01-31,6646520000.0,4757307000.0,2697279000.0,4309431000.0,2303950000.0,742494000.0,3375069000.0,,-958646000.0,83956000.0,44245000.0,-12796000.0,200000.0,0.18,-480542000.0,-499549000.0,-112361000.0,,-611910000.0,742494000.0,1.7637,22.9884,786.3508,0.18,83956000.0,0.019203975780724407,0.006656867052231845,,,,0.012631572612434777,0.027558688096679277,,,0.3222700145402461,1.763743016573369,89327000.0,-1995000.0,2299832000.0,764956000.0,-1995000.0,25756000.0,0.37,0.37,-372.17744360902253,-0.0774576797639385,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
2024-04-30,6841985000.0,4841622000.0,2683686000.0,4273203000.0,2535540000.0,742866000.0,3702437000.0,,696033000.0,6936000.0,42820000.0,6511000.0,7700000.0,0.17,250164000.0,383228000.0,49683000.0,,333545000.0,742866000.0,,21.6623,540.3423,0.17,6936000.0,0.01688792131064783,0.006258417696034119,,,,0.0010137408953688149,0.0021156623066209616,,,0.29298137674814834,1.8040940706177995,131656000.0,24397000.0,2472515000.0,859873000.0,24397000.0,25880000.0,0.54,0.54,30.449071607164814,0.9426970633693972,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
2024-07-31,7202474000.0,5181648000.0,2728319000.0,4311884000.0,2852915000.0,743238000.0,4038536000.0,,1422504000.0,20594000.0,89833000.0,,18600000.0,0.36,250724000.0,709869000.0,88937000.0,,620932000.0,743238000.0,,16.054,331.6741,0.36,20594000.0,0.031488144581945134,0.012472519859148398,,,,0.002859295292145449,0.005726675144244419,,,0.2605188026982928,1.899209000120587,212526000.0,79820000.0,2822960000.0,1037813000.0,79820000.0,,0.86,0.86,9.311425707842647,,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
2024-10-31,7782958000.0,5572327000.0,3000380000.0,4687347000.0,3057933000.0,743610000.0,4260324000.0,,2177595000.0,-35129000.0,73011000.0,,24900000.0,0.29,250747000.0,1036005000.0,167641000.0,,868364000.0,743610000.0,,19.4552,574.3089,0.29,-35129000.0,0.02387593187947545,0.009380880636899236,,,,-0.004513579541351759,-0.009240721464941998,,,0.24317406561883467,1.8572070871023003,249909000.0,76357000.0,3337486000.0,1210931000.0,76357000.0,,1.0,1.0,9.73859633039538,,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
2025-01-31,8701578000.0,6113345000.0,3461050000.0,5382661000.0,3279494000.0,743983000.0,4323295000.0,,-1333989000.0,-112831000.0,-224935000.0,,19900000.0,-0.9,-506885000.0,-747375000.0,-51409000.0,,-798784000.0,743983000.0,1.7663,24.7998,,-0.9,-112831000.0,-0.06858832490622029,-0.0258499090624712,,,,-0.012966728563485842,-0.02804315769668871,,,0.22685908252919507,1.766326692766646,-19271000.0,-120430000.0,2962143000.0,1024057000.0,-120430000.0,,-0.08000000000000007,-0.08000000000000007,-6.177721497965623,,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
2025-04-30,8720362000.0,6070798000.0,3282534000.0,5229348000.0,3450877000.0,744355000.0,4614153000.0,,814291000.0,-124656000.0,-110207000.0,,21100000.0,-0.44,248432000.0,384107000.0,85751000.0,,298356000.0,744355000.0,,25.8268,,-0.44,-124656000.0,-0.03193593976255891,-0.01263789278472614,,,,-0.014294819412313389,-0.02971373216070053,,,0.21570024083732917,1.8494242557731313,-172298000.0,-252022000.0,3080401000.0,988868000.0,-252022000.0,,-0.6900000000000002,-0.6900000000000002,-2.953531834522383,,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
2025-07-31,9288859000.0,6534354000.0,3475938000.0,5494168000.0,3756680000.0,744727000.0,4972436000.0,,1672960000.0,-237635000.0,-187882000.0,,27100000.0,-0.75,249182000.0,716939000.0,116248000.0,,600691000.0,744727000.0,,26.0995,,-0.75,-237635000.0,-0.05001277723947741,-0.020226596183664753,,,,-0.0255827976288584,-0.052791271706824114,,,0.19824073383945398,1.8798822073351136,-450013000.0,-510251000.0,3330857000.0,968627000.0,-510251000.0,,-1.8000000000000003,-1.8000000000000003,-1.4595307015566847,,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
2025-10-31,9965347000.0,6519282000.0,3599895000.0,5906330000.0,4016497000.0,745099000.0,4801083000.0,,2599399000.0,-307078000.0,-221879000.0,,37800000.0,-0.89,249905000.0,1114480000.0,199643000.0,,914837000.0,745099000.0,,29.8502,,-0.89,-307078000.0,-0.05524191851755398,-0.022265055095422166,,,,-0.030814581770208304,-0.06449056156801207,,,0.1855096617774145,1.8109644864641885,-744903000.0,-782200000.0,3752661000.0,1015100000.0,-782200000.0,,-2.9800000000000004,-2.9800000000000004,-0.9525683968294554,,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
2026-01-31,11086684000.0,7419119000.0,4184192000.0,6614079000.0,4428390000.0,745471000.0,5230125000.0,,-1493574000.0,376077000.0,357466000.0,,-51800000.0,1.4300000000000002,-496943000.0,-603177000.0,-99534000.0,,-702711000.0,745471000.0,1.7731,22.9911,,1.4300000000000002,376077000.0,0.08072143600721707,0.03224282391380506,,,,0.0339215043921158,0.07268788241508614,,,0.16833905776139862,1.773130630716755,-162502000.0,-293292000.0,3593076000.0,1111173000.0,-293292000.0,,-0.6499999999999999,-0.6499999999999999,-2.541736562879315,,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
