report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_pe,eps,ebitda,roe,roa,net_margin,roi,roic,fcf_margin,debt_equity,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2013-12-31,79340000000.0,68531000000.0,10809000000.0,20474000000.0,140000000.0,6554000000.0,,,-1346000000.0,-620000000.0,-858000000.0,-1.04,3517000000.0,-122000000.0,,3395000000.0,20614000000.0,10.6917,-1.04,,-0.12452585808122861,-0.01696496092765314,,,,,1.9071144416689796,2470000000.0,,1146000000.0,4.96,4.96,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2014-03-31,79584000000.0,68563000000.0,11021000000.0,,124000000.0,8731000000.0,,,631000000.0,270000000.0,391000000.0,1.0,,43000000.0,,,124000000.0,11.2162,1.0,,0.05725433263769168,0.007928729392842783,,,,,0.011251247618183469,2428000000.0,,1118000000.0,4.96,4.96,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2014-06-30,78937000000.0,67556000000.0,11381000000.0,,120000000.0,6879000000.0,,,1275000000.0,544000000.0,762000000.0,2.0,,73000000.0,,,120000000.0,11.6683,2.0,,0.11202881996309638,0.0161521213119323,,,,,0.010543888937703189,2428000000.0,,1067000000.0,4.96,4.96,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2014-09-30,80596000000.0,69295000000.0,11301000000.0,,139000000.0,7382000000.0,,,1919000000.0,832000000.0,1127000000.0,4.0,,102000000.0,,,139000000.0,11.7977,4.0,,0.16980798159454916,0.023810114645888135,,,,,0.01229979647818777,2479000000.0,,1026000000.0,5.96,5.96,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2014-12-31,83126000000.0,71992000000.0,11134000000.0,,113000000.0,7284000000.0,,,-1502000000.0,-512000000.0,-909000000.0,-3.0,,-73000000.0,,,113000000.0,12.6582,-3.0,,-0.13490210167055866,-0.018068955561436856,,,,,0.010149092868690498,2323000000.0,,1134000000.0,4.0,4.0,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2015-03-31,84178000000.0,72967000000.0,11211000000.0,,166000000.0,11814000000.0,,,586000000.0,300000000.0,322000000.0,1.0,,41000000.0,,,166000000.0,11.0359,1.0,,0.05227009187405227,0.006961438855758037,,,,,0.014806886094014806,2278000000.0,,1164000000.0,4.0,4.0,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2015-06-30,84911000000.0,73648000000.0,11263000000.0,,144000000.0,10595000000.0,,,1185000000.0,611000000.0,665000000.0,2.0,,88000000.0,,,144000000.0,11.4183,2.0,,0.1052117553049809,0.013955789002602725,,,,,0.012785225961111604,2188000000.0,,1231000000.0,4.0,4.0,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2015-09-30,85611000000.0,74308000000.0,11303000000.0,,0.0,10250000000.0,,,1797000000.0,934000000.0,1027000000.0,3.0,,119000000.0,,,0.0,10.2824,3.0,,0.15898434044059098,0.020990293303430635,,,,,0.0,2066000000.0,,1333000000.0,3.0,3.0,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2015-12-31,86936000000.0,75661000000.0,11275000000.0,,0.0,9572000000.0,,,-1271000000.0,-582000000.0,-699000000.0,-1.0,,-80000000.0,,,0.0,9.979,-1.0,,-0.11272727272727273,-0.014619950308272752,,,,,0.0,2297000000.0,,1263000000.0,5.0,5.0,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2016-03-31,88093000000.0,76777000000.0,11316000000.0,,,12135000000.0,,,575000000.0,334000000.0,339000000.0,1.0,,46000000.0,,,0.0,9.2263,1.0,,0.0508130081300813,0.006527192853007617,,,,,0.0,2286000000.0,,1297000000.0,5.0,5.0,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2016-06-30,87511000000.0,76114000000.0,11397000000.0,,,10617000000.0,,,1191000000.0,673000000.0,621000000.0,2.0,,86000000.0,,,0.0,9.5924,2.0,,0.10450118452224269,0.013609717635497252,,,,,0.0,2292000000.0,,1359000000.0,5.0,5.0,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2016-09-30,90541000000.0,79194000000.0,11347000000.0,,,12076000000.0,,,1830000000.0,1032000000.0,943000000.0,4.0,,132000000.0,,,0.0,9.7962,4.0,,0.16127610822243765,0.02021183773097271,,,,,0.0,2325000000.0,,1457000000.0,6.0,6.0,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2016-12-31,92308000000.0,80985000000.0,11323000000.0,,,11914000000.0,,,-1203000000.0,-641000000.0,-640000000.0,-2.0,,-85000000.0,,,0.0,11.9869,-2.0,,-0.1062439282875563,-0.013032456558478138,,,,,0.0,2393000000.0,,1398000000.0,5.0,5.0,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2017-03-31,94795000000.0,83530000000.0,11265000000.0,,,15163000000.0,,,564000000.0,386000000.0,304000000.0,1.0,,47000000.0,,,0.0,11.0223,1.0,,0.050066577896138484,0.005949680890342318,,,,,0.0,2382000000.0,,1450000000.0,5.0,5.0,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2017-06-30,93757000000.0,82498000000.0,11259000000.0,,,12950000000.0,,,1110000000.0,786000000.0,625000000.0,2.0,,103000000.0,,,0.0,10.087,2.0,,0.09858779642952305,0.011839116012671054,,,,,0.0,2301000000.0,,1563000000.0,5.0,5.0,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2017-09-30,97608000000.0,86421000000.0,11187000000.0,,,13249000000.0,,,1712000000.0,1212000000.0,926000000.0,4.0,,161000000.0,,,0.0,10.6648,4.0,,0.15303477250379904,0.01753954593885747,,,,,0.0,2183000000.0,,1743000000.0,5.0,5.0,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2017-12-31,100087000000.0,89195000000.0,10892000000.0,,,13306000000.0,,,-1287000000.0,-736000000.0,-417000000.0,-2.0,,-93000000.0,,,0.0,13.3147,-2.0,,-0.118160117517444,-0.012858812832835433,,,,,0.0,2099000000.0,,1648000000.0,5.0,5.0,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2018-03-31,101967000000.0,91096000000.0,10871000000.0,,,17011000000.0,,,666000000.0,469000000.0,190000000.0,1.0,,58000000.0,,,0.0,11.1767,1.0,,0.06126391316346242,0.0065315249051163616,,,,,0.0,2201000000.0,,1731000000.0,5.0,5.0,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2018-06-30,102751000000.0,91862000000.0,10889000000.0,,,15289000000.0,,,1335000000.0,976000000.0,398000000.0,3.0,,118000000.0,,,0.0,10.684,3.0,,0.12260078978785931,0.012992574281515509,,,,,0.0,2426000000.0,,1921000000.0,6.0,6.0,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2018-09-30,105842000000.0,94826000000.0,11016000000.0,,,16019000000.0,154000000.0,,2055000000.0,1534000000.0,645000000.0,5.0,4430000000.0,177000000.0,,4253000000.0,0.0,10.7667,5.0,,0.18654684095860566,0.019415732884866123,13.344155844155845,,,27.616883116883116,0.0,2769000000.0,,2243000000.0,7.0,7.0,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2018-12-31,109553000000.0,98423000000.0,11130000000.0,,,13299000000.0,,,-1314000000.0,-840000000.0,-378000000.0,-2.0,761000000.0,-99000000.0,,662000000.0,0.0,7.2265,-2.0,,-0.11805929919137466,-0.011994194590746032,,,,,0.0,2742000000.0,,2139000000.0,7.0,7.0,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2019-03-31,110720000000.0,99461000000.0,11259000000.0,26276000000.0,,15169000000.0,,,726000000.0,632000000.0,204000000.0,2.15,2335000000.0,82000000.0,,2253000000.0,26276000000.0,8.5576,2.15,,0.06448174793498535,0.0065570809248554915,,,,,2.333777422506439,2802000000.0,,2302000000.0,8.15,8.15,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2019-06-30,110707000000.0,99214000000.0,11493000000.0,,,10313000000.0,,,1479000000.0,1277000000.0,438000000.0,4.46,3913000000.0,151000000.0,,3762000000.0,0.0,8.8145,4.46,,0.12868702688593056,0.013359588824554906,,,,,0.0,2946000000.0,10930000000.0,2603000000.0,9.61,9.61,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2019-09-30,110786000000.0,99069000000.0,11717000000.0,,,6075000000.0,,,2249000000.0,1915000000.0,662000000.0,6.82,4732000000.0,212000000.0,,4520000000.0,0.0,8.7896,6.82,,0.19194333020397714,0.02030039896737855,,,,,0.0,3140000000.0,11197000000.0,2984000000.0,11.43,11.43,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2019-12-31,113996000000.0,102137000000.0,11859000000.0,,,6924000000.0,,,-1497000000.0,-1294000000.0,-426000000.0,-4.35,-4784000000.0,-161000000.0,,-4945000000.0,0.0,8.9917,-4.35,,-0.12623324057677712,-0.013132039720691954,,,,,0.0,2957000000.0,5590000000.0,2530000000.0,9.08,9.08,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2020-03-31,112657000000.0,102992000000.0,9665000000.0,,,10028000000.0,,,-61000000.0,584000000.0,-17000000.0,-0.25,1680000000.0,59000000.0,,1621000000.0,0.0,5.0339,-0.25,,-0.006311433005690636,-0.0005414665755345873,,,,,0.0,2170000000.0,4958000000.0,2482000000.0,6.68,6.68,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2020-06-30,113792000000.0,104149000000.0,9643000000.0,,,15138000000.0,,,-429000000.0,1066000000.0,-110000000.0,-1.45,3267000000.0,153000000.0,,3114000000.0,0.0,14.6259,-1.45,,-0.0444882298040029,-0.003770036557930259,,,,,0.0,262000000.0,4310000000.0,2271000000.0,0.7700000000000007,0.7700000000000007,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2020-09-30,124349000000.0,114097000000.0,10252000000.0,,,9513000000.0,,,342000000.0,1482000000.0,78000000.0,1.0,4563000000.0,206000000.0,,4357000000.0,0.0,16.8619,1.0,,0.0333593445181428,0.002750323685755414,,,,,0.0,-1645000000.0,4147000000.0,1838000000.0,-5.05,-5.05,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2020-12-31,112889000000.0,102005000000.0,10884000000.0,21241000000.0,,13564000000.0,,,1289000000.0,-1267000000.0,343000000.0,4.3,-3314000000.0,-157000000.0,,-3471000000.0,21241000000.0,24.3182,4.3,,0.11843072399852995,0.011418295848134008,,,,,1.951580301359794,1141000000.0,5621000000.0,1865000000.0,3.5999999999999996,3.5999999999999996,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2021-03-31,113871000000.0,101717000000.0,12154000000.0,,,20348000000.0,,,1593000000.0,316000000.0,486000000.0,5.04,1508000000.0,41000000.0,,1467000000.0,0.0,10.4113,5.04,,0.13106796116504854,0.01398951445056248,,,,,0.0,2795000000.0,5467000000.0,1597000000.0,8.89,8.89,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2021-06-30,110985000000.0,97814000000.0,13171000000.0,,,15445000000.0,,,3291000000.0,606000000.0,1010000000.0,10.59,3056000000.0,97000000.0,,2959000000.0,0.0,7.4193,10.59,,0.24986713233619315,0.029652655764292473,,,,,0.0,6515000000.0,5312000000.0,1137000000.0,20.93,20.93,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2021-09-30,108544000000.0,95281000000.0,13263000000.0,,,12716000000.0,,,4382000000.0,875000000.0,1321000000.0,14.16,4677000000.0,146000000.0,,4531000000.0,0.0,7.1009,14.16,,0.33039282213677146,0.04037072523584906,,,,,0.0,10555000000.0,5486000000.0,530000000.0,34.09,34.09,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2021-12-31,110242000000.0,96834000000.0,13408000000.0,,,8750000000.0,,,-3817000000.0,-663000000.0,-1202000000.0,-11.96,-3222000000.0,-90000000.0,,-3312000000.0,0.0,6.2154,-11.96,,-0.28468078758949883,-0.034623827579325486,,,,,0.0,5449000000.0,5645000000.0,1134000000.0,17.830000000000002,17.830000000000002,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2022-03-31,107412000000.0,93979000000.0,13433000000.0,17132000000.0,,9625000000.0,,1618000000.0,1242000000.0,257000000.0,376000000.0,4.22,1734000000.0,51000000.0,,1683000000.0,17132000000.0,6.0959,4.22,1618000000.0,0.09245886994714508,0.011562953859903921,,0.015063493836815253,0.05293636512350728,,1.2753666344078016,5098000000.0,5861000000.0,1075000000.0,17.009999999999998,17.009999999999998,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2022-06-30,114600000000.0,100836000000.0,13764000000.0,,,11439000000.0,,,2353000000.0,562000000.0,717000000.0,8.18,3346000000.0,99000000.0,,3247000000.0,0.0,5.7658,8.18,,0.1709532112757919,0.020532286212914485,,,,,0.0,4160000000.0,6149000000.0,1031000000.0,14.599999999999998,14.599999999999998,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2022-09-30,121886000000.0,107600000000.0,14286000000.0,,,10004000000.0,,,3359000000.0,1076000000.0,1029000000.0,11.73,4965000000.0,178000000.0,,4787000000.0,0.0,5.608,11.73,,0.23512529749405012,0.027558538306286202,,,,,0.0,3137000000.0,6405000000.0,1232000000.0,12.169999999999998,12.169999999999998,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2022-12-31,131628000000.0,117038000000.0,14590000000.0,,,8856000000.0,,,-2562000000.0,-30000000.0,-772000000.0,-8.629999999999999,-2905000000.0,-92000000.0,,-2997000000.0,0.0,6.086,-8.629999999999999,,-0.17559972583961617,-0.0194639438417358,,,,,0.0,4392000000.0,6720000000.0,1865000000.0,15.5,15.5,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2023-03-31,133061000000.0,118746000000.0,14315000000.0,,,10130000000.0,,,976000000.0,945000000.0,292000000.0,3.58,1791000000.0,76000000.0,,1715000000.0,0.0,6.1685,3.58,,0.0681802305274188,0.0073349817001225,,,,,0.0,4126000000.0,6752000000.0,2553000000.0,14.860000000000001,14.860000000000001,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2023-06-30,138082000000.0,124226000000.0,13856000000.0,,,8605000000.0,,,1869000000.0,2058000000.0,557000000.0,7.09,3298000000.0,158000000.0,,3140000000.0,0.0,7.4751,7.09,,0.13488741339491916,0.013535435465882591,,,,,0.0,3642000000.0,6645000000.0,4049000000.0,13.770000000000001,13.770000000000001,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2023-09-30,143432000000.0,129196000000.0,14236000000.0,,,9194000000.0,,,2552000000.0,3346000000.0,762000000.0,9.69,5687000000.0,235000000.0,,5452000000.0,0.0,6.334,9.69,,0.17926383815678562,0.017792403368843773,,,,,0.0,2835000000.0,7310000000.0,6319000000.0,11.73,11.73,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2023-12-31,151522000000.0,136694000000.0,14828000000.0,,,11685000000.0,,,-2457000000.0,-1603000000.0,-725000000.0,-9.1,-2213000000.0,-166000000.0,,-2379000000.0,0.0,9.56,-9.1,,-0.16570002697599137,-0.016215467060888847,,,,,0.0,2940000000.0,7928000000.0,4746000000.0,11.26,11.26,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2024-03-31,152689000000.0,137969000000.0,14720000000.0,,,14004000000.0,,,308000000.0,1461000000.0,96000000.0,1.1,1843000000.0,71000000.0,,1772000000.0,0.0,11.4836,1.1,,0.02092391304347826,0.0020171721604044825,,,,,0.0,2272000000.0,7985000000.0,5262000000.0,8.78,8.78,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2024-06-30,150867000000.0,134800000000.0,16067000000.0,,,10865000000.0,,,1838000000.0,2908000000.0,636000000.0,7.16,4421000000.0,136000000.0,,4285000000.0,0.0,7.7554,7.16,,0.11439596688865376,0.01218291607840018,,,,,0.0,2241000000.0,9130000000.0,6112000000.0,8.85,8.85,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2024-09-30,151615000000.0,134506000000.0,17109000000.0,,,10787000000.0,,,3244000000.0,,1128000000.0,12.61,6445000000.0,205000000.0,,6240000000.0,0.0,7.8547,12.61,,0.1896078087556257,0.02139629983840649,,,,,0.0,2933000000.0,9918000000.0,,11.77,11.77,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2024-12-31,147640000000.0,129714000000.0,17926000000.0,,,8474000000.0,,,-855000000.0,,-321000000.0,-3.1499999999999986,-4284000000.0,-144000000.0,,-4428000000.0,0.0,8.0802,-3.1499999999999986,,-0.047696083900479753,-0.005791113519371444,,,,,0.0,4535000000.0,7869000000.0,,17.72,17.72,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2025-03-31,147914000000.0,128951000000.0,18963000000.0,,,11865000000.0,,,1104000000.0,,340000000.0,4.25,2132000000.0,64000000.0,,2068000000.0,0.0,7.6164,4.25,,0.058218636291725995,0.007463796530416323,,,,,0.0,5331000000.0,8165000000.0,,20.87,20.87,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
